BarIndex,Time,Open,High,Low,Close,Volume,Geometry,VolumePolarity,VolumeDelta,VolumeRank20,VolumeRank50,Range,RangeDelta,RangeRank20,Body,BodyDelta,BodyRank20,CloseLocation,OverlapRatio,CloseInsidePriorRange,CloseInsidePriorBody,BreaksPriorHigh,BreaksPriorLow,ParticipationState,ExpansionState,CompressionState,DissipationState,AcceptanceState,SignificanceState,EvidenceFlags
1,"2025-11-30 16:10:00",1.1714,1.1717,1.1713,1.1717,181,"HHHL","Black","Down",0,0,0.0004,"Flat",0,0.0003,"Up",0,1,0.25,False,False,True,False,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
2,"2025-11-30 16:15:00",1.17165,1.17195,1.1716,1.1719,238,"HHHL","Black","Up",0,0,0.00035,"Down",0,0.00025,"Down",0,0.857143,0.285714,False,False,True,False,"Rising","Absent","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
3,"2025-11-30 16:20:00",1.17185,1.17185,1.1716,1.17165,110,"InsideBar","Red","Down",0,0,0.00025,"Down",0,0.0002,"Down",0,0.2,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
4,"2025-11-30 16:25:00",1.1717,1.1717,1.17125,1.17125,94,"LLLH","Red","Down",0,0,0.00045,"Up",0,0.00045,"Up",0,0,0.222222,False,False,False,True,"Falling","Local","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
5,"2025-11-30 16:30:00",1.17125,1.1713,1.1711,1.1711,97,"LLLH","Red","Up",0,0,0.0002,"Down",0,0.00015,"Down",0,0,0.25,False,False,False,True,"Rising","Absent","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
6,"2025-11-30 16:35:00",1.1711,1.17115,1.17075,1.17085,172,"LLLH","Red","Up",0,0,0.0004,"Up",0,0.00025,"Up",0,0.25,0.125,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorLow;AcceptanceAccepted"
7,"2025-11-30 16:40:00",1.1708,1.1711,1.1708,1.171,71,"InsideBar","Black","Down",0,0,0.0003,"Down",0,0.0002,"Down",0,0.666667,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
8,"2025-11-30 16:45:00",1.17105,1.17125,1.17105,1.1712,281,"HHHL","Black","Up",0,0,0.0002,"Down",0,0.00015,"Down",0,0.75,0.25,False,False,True,False,"Rising","Absent","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
9,"2025-11-30 16:50:00",1.17125,1.1713,1.1709,1.17105,320,"OutsideBar","Red","Up",0,0,0.0004,"Up",0,0.0002,"Up",0,0.375,0.5,True,True,True,True,"Rising","Local","Local","Absent","Contained","Minor","BreaksPriorHigh;BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;AcceptanceContained;CompressionLocal"
10,"2025-11-30 16:55:00",1.17105,1.1711,1.17095,1.1711,90,"InsideBar","Black","Down",0,0,0.00015,"Down",0,0.00005,"Down",0,1,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
