BarIndex,Time,Open,High,Low,Close,Volume,Geometry,VolumePolarity,VolumeDelta,VolumeRank20,VolumeRank50,Range,RangeDelta,RangeRank20,Body,BodyDelta,BodyRank20,CloseLocation,OverlapRatio,CloseInsidePriorRange,CloseInsidePriorBody,BreaksPriorHigh,BreaksPriorLow,ParticipationState,ExpansionState,CompressionState,DissipationState,AcceptanceState,SignificanceState,EvidenceFlags
1,"2026-04-01 06:10:00",93.27,93.5,93.16,93.32,1550,"HHHL","Black","Down",0,0,0.34,"Down",0,0.05,"Down",0,0.470588,0.823529,True,False,True,False,"Falling","Absent","Clustered","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionClustered"
2,"2026-04-01 06:15:00",93.31,93.45,92.61,92.95,3290,"LLLH","Red","Up",0,0,0.84,"Up",0,0.36,"Up",0,0.404762,0.345238,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorLow;AcceptanceAccepted"
3,"2026-04-01 06:20:00",92.96,93.22,92.5,92.79,2295,"LLLH","Red","Down",0,0,0.72,"Down",0,0.17,"Down",0,0.402778,0.847222,True,False,False,True,"Falling","Absent","Clustered","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionClustered"
4,"2026-04-01 06:25:00",92.81,93.42,92.59,92.6,1750,"HHHL","Red","Down",0,0,0.83,"Up",0,0.21,"Up",0,0.012048,0.759036,True,False,True,False,"Falling","Local","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
5,"2026-04-01 06:30:00",92.59,92.81,92.37,92.61,1841,"LLLH","Black","Up",0,0,0.44,"Down",0,0.02,"Down",0,0.545455,0.5,True,True,False,True,"Rising","Absent","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
6,"2026-04-01 06:35:00",92.63,92.74,92.03,92.13,2764,"LLLH","Red","Up",0,0,0.71,"Up",0,0.5,"Up",0,0.140845,0.521127,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorLow;AcceptanceAccepted"
7,"2026-04-01 06:40:00",92.15,92.31,91.36,91.62,4056,"LLLH","Red","Up",0,0,0.95,"Up",0,0.53,"Up",0,0.273684,0.294737,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorLow;AcceptanceAccepted"
8,"2026-04-01 06:45:00",91.61,92.4,91.27,91.99,4602,"OutsideBar","Black","Up",0,0,1.13,"Up",0,0.38,"Down",0,0.637168,0.840708,True,True,True,True,"Rising","Local","Local","Absent","Contained","Minor","BreaksPriorHigh;BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;AcceptanceContained;CompressionLocal"
9,"2026-04-01 06:50:00",91.95,92.07,91.49,91.58,2276,"InsideBar","Red","Down",0,0,0.58,"Down",0,0.37,"Down",0,0.155172,1,True,False,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CompressionClustered"
10,"2026-04-01 06:55:00",91.56,91.86,90.93,91.31,3082,"LLLH","Red","Up",0,0,0.93,"Up",0,0.25,"Down",0,0.408602,0.397849,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorLow;AcceptanceAccepted"
11,"2026-04-01 07:00:00",91.32,91.63,91.1,91.45,1921,"InsideBar","Black","Down",0,0,0.53,"Down",0,0.13,"Down",0,0.660377,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
12,"2026-04-01 07:05:00",91.45,91.93,91.38,91.55,2191,"HHHL","Black","Up",0,0,0.55,"Up",0,0.1,"Down",0,0.309091,0.454545,True,False,True,False,"Rising","Local","Local","Absent","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;AcceptanceContained;CompressionLocal"
13,"2026-04-01 07:10:00",91.52,91.92,91.37,91.51,1582,"LLLH","Red","Down",0,0,0.55,"Down",0,0.01,"Down",0,0.254545,0.981818,True,True,False,True,"Falling","Absent","Clustered","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionClustered"
14,"2026-04-01 07:15:00",91.51,91.74,91.06,91.17,1833,"LLLH","Red","Up",0,0,0.68,"Up",0,0.34,"Up",0,0.161765,0.544118,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorLow;AcceptanceAccepted"
15,"2026-04-01 07:20:00",91.17,91.3,90.95,91.12,1968,"LLLH","Red","Up",0,0,0.35,"Down",0,0.05,"Down",0,0.485714,0.685714,True,False,False,True,"Rising","Absent","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
16,"2026-04-01 07:25:00",91.11,91.61,91.08,91.31,2509,"HHHL","Black","Up",0,0,0.53,"Up",0,0.2,"Up",0,0.433962,0.415094,False,False,True,False,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorHigh;AcceptanceAccepted"
17,"2026-04-01 07:30:00",91.28,91.6,91.19,91.34,1282,"InsideBar","Black","Down",0,0,0.41,"Down",0,0.06,"Down",0,0.365854,1,True,False,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CompressionClustered"
18,"2026-04-01 07:35:00",91.36,91.75,90.72,91.67,3458,"OutsideBar","Black","Up",0,0,1.03,"Up",0,0.31,"Up",0,0.92233,0.398058,False,False,True,True,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorHigh;BreaksPriorLow;AcceptanceAccepted"
19,"2026-04-01 07:40:00",91.66,91.99,91.02,91.27,3515,"HHHL","Red","Up",0.9,0,0.97,"Down",0.9,0.39,"Up",0.9,0.257732,0.752577,True,False,True,False,"Peak","Strong","Local","Local","Contained","Structural","VolumePeak20;RangePeak20;BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
20,"2026-04-01 07:45:00",91.31,92.07,91.3,91.44,2885,"HHHL","Black","Down",0.7,0,0.77,"Down",0.65,0.13,"Down",0.35,0.181818,0.896104,True,True,True,False,"Falling","Absent","Clustered","Local","Contained","Moderate","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionClustered"
21,"2026-04-01 07:50:00",91.45,91.83,91.22,91.34,1684,"LLLH","Red","Down",0.15,0,0.61,"Down",0.45,0.11,"Down",0.3,0.196721,0.868852,True,True,False,True,"Falling","Absent","Clustered","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionClustered"
22,"2026-04-01 07:55:00",91.34,91.58,91.09,91.34,1796,"LLLH","Neutral","Up",0.25,0,0.49,"Down",0.2,0,"Down",0.05,0.510204,0.734694,True,True,False,True,"Rising","Absent","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
23,"2026-04-01 08:00:00",91.33,91.58,91.17,91.56,1085,"InsideBar","Black","Down",0.05,0,0.41,"Down",0.15,0.23,"Up",0.6,0.95122,1,True,False,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CompressionClustered"
24,"2026-04-01 08:05:00",91.55,91.86,91.43,91.63,1675,"HHHL","Black","Up",0.2,0,0.43,"Up",0.2,0.08,"Down",0.3,0.465116,0.348837,False,False,True,False,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorHigh;AcceptanceAccepted"
