BarIndex,Time,Open,High,Low,Close,Volume,Geometry,VolumePolarity,VolumeDelta,VolumeRank20,VolumeRank50,Range,RangeDelta,RangeRank20,Body,BodyDelta,BodyRank20,CloseLocation,OverlapRatio,CloseInsidePriorRange,CloseInsidePriorBody,BreaksPriorHigh,BreaksPriorLow,ParticipationState,ExpansionState,CompressionState,DissipationState,AcceptanceState,SignificanceState,EvidenceFlags
1,"2026-04-30 06:40:00",27345,27373,27294,27295.5,15811,"LLLH","Red","Down",0,0,79,"Down",0,49.5,"Down",0,0.018987,0.401899,False,False,False,True,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
2,"2026-04-30 06:45:00",27296.25,27351.25,27271,27345.25,12060,"LLLH","Black","Down",0,0,80.25,"Up",0,49,"Down",0,0.925234,0.713396,True,False,False,True,"Falling","Local","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
3,"2026-04-30 06:50:00",27345.75,27365.25,27286.25,27323.75,12067,"HHHL","Red","Up",0,0,79,"Down",0,22,"Down",0,0.474684,0.822785,True,True,True,False,"Rising","Absent","Clustered","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionClustered"
4,"2026-04-30 06:55:00",27325,27342.75,27241.75,27244,12737,"LLLH","Red","Up",0,0,101,"Up",0,81,"Up",0,0.022277,0.559406,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorLow;AcceptanceAccepted"
5,"2026-04-30 07:00:00",27243.5,27265.25,27203,27245.75,11158,"LLLH","Black","Down",0,0,62.25,"Down",0,2.25,"Down",0,0.686747,0.37751,True,True,False,True,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
6,"2026-04-30 07:05:00",27247.25,27303,27236.25,27288.25,10175,"HHHL","Black","Down",0,0,66.75,"Up",0,41,"Up",0,0.779026,0.434457,False,False,True,False,"Falling","Local","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
7,"2026-04-30 07:10:00",27288.5,27301,27200.75,27227.5,11392,"LLLH","Red","Up",0,0,100.25,"Up",0,61,"Up",0,0.266833,0.645885,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorLow;AcceptanceAccepted"
8,"2026-04-30 07:15:00",27227,27274.25,27202.25,27252.75,8884,"InsideBar","Black","Down",0,0,72,"Down",0,25.75,"Down",0,0.701389,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
9,"2026-04-30 07:20:00",27253,27253,27163.25,27214.5,10650,"LLLH","Red","Up",0,0,89.75,"Up",0,38.5,"Up",0,0.571031,0.56546,True,False,False,True,"Rising","Local","Local","Absent","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;AcceptanceContained;CompressionLocal"
10,"2026-04-30 07:25:00",27214.25,27258.25,27205,27241.25,8308,"HHHL","Black","Down",0,0,53.25,"Down",0,27,"Down",0,0.680751,0.901408,True,True,True,False,"Falling","Absent","Clustered","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionClustered"
11,"2026-04-30 07:30:00",27241,27243.5,27187,27228.25,8060,"LLLH","Red","Down",0,0,56.5,"Up",0,12.75,"Down",0,0.730088,0.681416,True,True,False,True,"Falling","Local","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
12,"2026-04-30 07:35:00",27228.5,27275.75,27201.5,27220,10048,"HHHL","Red","Up",0,0,74.25,"Up",0,8.5,"Down",0,0.249158,0.565657,True,False,True,False,"Rising","Local","Local","Absent","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;AcceptanceContained;CompressionLocal"
13,"2026-04-30 07:40:00",27220.75,27230.75,27171.25,27175.75,8496,"LLLH","Red","Down",0,0,59.5,"Down",0,45,"Up",0,0.07563,0.491597,False,False,False,True,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
14,"2026-04-30 07:45:00",27176.25,27257,27175,27245.5,7998,"HHHL","Black","Down",0,0,82,"Up",0,69.25,"Up",0,0.859756,0.679878,False,False,True,False,"Falling","Local","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
15,"2026-04-30 07:50:00",27245.25,27300,27243.25,27284,7514,"HHHL","Black","Down",0,0,56.75,"Down",0,38.75,"Down",0,0.718062,0.242291,False,False,True,False,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
16,"2026-04-30 07:55:00",27283,27348.5,27273,27339.25,8747,"HHHL","Black","Up",0,0,75.5,"Up",0,56.25,"Up",0,0.877483,0.357616,False,False,True,False,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorHigh;AcceptanceAccepted"
17,"2026-04-30 08:00:00",27338.75,27376,27337,27359.5,6917,"HHHL","Black","Down",0,0,39,"Down",0,20.75,"Down",0,0.576923,0.294872,False,False,True,False,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
18,"2026-04-30 08:05:00",27359.25,27403.5,27359.25,27379.25,8921,"HHHL","Black","Up",0,0,44.25,"Up",0,20,"Down",0,0.451977,0.378531,False,False,True,False,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorHigh;AcceptanceAccepted"
19,"2026-04-30 08:10:00",27378,27404.25,27356.5,27403.75,8603,"OutsideBar","Black","Down",0.35,0,47.75,"Up",0.15,25.75,"Up",0.4,0.989529,0.926702,False,False,True,True,"Falling","Local","Absent","Local","Accepted","Minor","BreaksPriorHigh;BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
20,"2026-04-30 08:15:00",27403.5,27415.25,27372.75,27401.25,7038,"HHHL","Red","Down",0.1,0,42.5,"Down",0.1,2.25,"Down",0.1,0.670588,0.741176,True,True,True,False,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
21,"2026-04-30 08:20:00",27401.75,27410,27384,27397.75,4642,"InsideBar","Red","Down",0.05,0,26,"Down",0.05,4,"Up",0.15,0.528846,1,True,False,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CompressionClustered"
22,"2026-04-30 08:25:00",27398,27402,27377,27397,4344,"LLLH","Red","Down",0.05,0,25,"Down",0.05,1,"Down",0.05,0.8,0.72,True,False,False,True,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
23,"2026-04-30 08:30:00",27398.5,27417,27389.5,27404.75,5111,"HHHL","Black","Up",0.15,0,27.5,"Up",0.15,6.25,"Up",0.25,0.554545,0.454545,False,False,True,False,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorHigh;AcceptanceAccepted"
24,"2026-04-30 08:35:00",27404.25,27435.75,27404,27404.75,6873,"HHHL","Black","Up",0.2,0,31.75,"Up",0.2,0.5,"Down",0.05,0.023622,0.409449,True,True,True,False,"Rising","Local","Local","Absent","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;AcceptanceContained;CompressionLocal"
25,"2026-04-30 08:40:00",27404.5,27404.75,27363.75,27369,6390,"LLLH","Red","Down",0.2,0,41,"Up",0.3,35.5,"Up",0.65,0.128049,0.018293,False,False,False,True,"Falling","Local","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
26,"2026-04-30 08:45:00",27368.5,27377.25,27350.5,27361.25,4854,"LLLH","Red","Down",0.15,0,26.75,"Down",0.15,7.25,"Down",0.3,0.401869,0.504673,False,False,False,True,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
27,"2026-04-30 08:50:00",27362.25,27373.25,27331.25,27373,6184,"LLLH","Black","Up",0.25,0,42,"Up",0.4,10.75,"Up",0.4,0.994048,0.541667,True,False,False,True,"Rising","Local","Local","Absent","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;AcceptanceContained;CompressionLocal"
28,"2026-04-30 08:55:00",27373,27411.5,27369.5,27408,5463,"HHHL","Black","Down",0.25,0,42,"Flat",0.45,35,"Up",0.7,0.916667,0.089286,False,False,True,False,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
29,"2026-04-30 09:00:00",27408.75,27422,27387,27388.5,4781,"HHHL","Red","Down",0.15,0,35,"Down",0.3,20.25,"Down",0.55,0.042857,0.7,True,True,True,False,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
30,"2026-04-30 09:05:00",27388.25,27394,27356.25,27384.5,5722,"LLLH","Red","Up",0.35,0,37.75,"Up",0.35,3.75,"Down",0.2,0.748344,0.18543,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorLow;AcceptanceAccepted"
31,"2026-04-30 09:10:00",27385.25,27410.25,27383.75,27392.25,3783,"HHHL","Black","Down",0.05,0,26.5,"Down",0.15,7,"Up",0.35,0.320755,0.386792,True,False,True,False,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
32,"2026-04-30 09:15:00",27391.75,27433.25,27387.25,27430.75,4027,"HHHL","Black","Up",0.1,0,46,"Up",0.75,39,"Up",0.85,0.945652,0.5,False,False,True,False,"Rising","Local","Absent","Absent","Accepted","Moderate","BreaksPriorHigh;AcceptanceAccepted"
