APVA Age Transition Matrix Study v0.1 - 6E
================================================================

Rows: 35260
Sources:
  .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv

State x Age Counts
==================
RecoveryResolution           1          1079
RecoveryResolution           2           339
RecoveryResolution           3           251
RecoveryResolution           4            16
RecoveryResolution           5             6
RecoveryResolution           6-10          5
ExhaustionPersistence        1          1116
ExhaustionPersistence        2           304
ExhaustionPersistence        3           234
ExhaustionPersistence        4           143
ExhaustionPersistence        5            58
ExhaustionPersistence        6-10         29
CompressionProcessing        1          2928
CompressionProcessing        2          1659
CompressionProcessing        3           840
CompressionProcessing        4           528
CompressionProcessing        5           282
CompressionProcessing        6-10        247
CompressionProcessing        11-20         5
NeutralProcessing            1          5672
NeutralProcessing            2          3205
NeutralProcessing            3          1754
NeutralProcessing            4          1312
NeutralProcessing            5          1192
NeutralProcessing            6-10       2884
NeutralProcessing            11-20       891
NeutralProcessing            21+          82
ReassertionProcessing        1          1759
ReassertionProcessing        2           237
ReassertionProcessing        3            15
DecayToNeutral               1          1486
DestructiveRotation          1           836
DestructiveRotation          2           100
DestructiveRotation          3            11
DestructiveRotation          4             1
ConstructiveEmergence        1            83
MixedStructure               1          3265
MixedStructure               2           355
MixedStructure               3            42
MixedStructure               4             8
MixedStructure               5             1

Transition Matrix Lag 1
================================
State                        Age    NextState                           N       Prob       Lift
NeutralProcessing            1      NeutralProcessing                3205     56.51%      1.173
NeutralProcessing            6-10   NeutralProcessing                2137     74.10%      1.538
NeutralProcessing            2      NeutralProcessing                1754     54.73%      1.136
CompressionProcessing        1      CompressionProcessing            1659     56.66%      3.079
NeutralProcessing            3      NeutralProcessing                1312     74.80%      1.552
MixedStructure               1      NeutralProcessing                1219     37.35%      0.775
NeutralProcessing            4      NeutralProcessing                1192     90.85%      1.885
NeutralProcessing            5      NeutralProcessing                 968     81.21%      1.685
CompressionProcessing        1      NeutralProcessing                 891     30.43%      0.631
NeutralProcessing            1      MixedStructure                    845     14.90%      1.431
CompressionProcessing        2      CompressionProcessing             840     50.63%      2.751
NeutralProcessing            1      CompressionProcessing             835     14.72%      0.800
DecayToNeutral               1      NeutralProcessing                 811     54.58%      1.132
ReassertionProcessing        1      NeutralProcessing                 728     41.39%      0.859
NeutralProcessing            11-20  NeutralProcessing                 688     77.22%      1.602
MixedStructure               1      DecayToNeutral                    662     20.28%      4.812
RecoveryResolution           1      CompressionProcessing             607     56.26%      3.057
NeutralProcessing            2      MixedStructure                    573     17.88%      1.718
ReassertionProcessing        1      MixedStructure                    560     31.84%      3.059
CompressionProcessing        2      NeutralProcessing                 549     33.09%      0.687
NeutralProcessing            1      ReassertionProcessing             530      9.34%      1.638
CompressionProcessing        3      CompressionProcessing             528     62.86%      3.415
