APVA Destination Robustness Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Destination event count: 747

1. Baseline Signature Table
DestinationFamily | Signal | Horizon | EffectSize | ReplicationCount | Direction | Rank
CompressionProcessing | VolumeRelativeToRollingMean | t-1 | 0.4371 | 1 | Positive | 1
CompressionProcessing | RangeRelativeToPrevious | t-3 | -0.2574 | 1 | Negative | 2
CompressionProcessing | VolumeRelativeToSessionMean | t-1 | 0.2336 | 0 | Positive | 3
CompressionProcessing | TrueRangeRelativeToPrevious | t-3 | -0.2281 | 0 | Negative | 4
CompressionProcessing | VolumeRelativeToRollingMean | t-2 | 0.2135 | 0 | Positive | 5
CompressionProcessing | VolumeRelativeToPrevious | t-1 | 0.2113 | 0 | Positive | 6
CompressionProcessing | BodyRelativeToPrevious | t-2 | -0.2013 | 0 | Negative | 7
CompressionProcessing | EfficiencyRatio | t-2 | -0.1596 | 0 | Negative | 8
CompressionProcessing | EfficiencyRatio | t-1 | -0.1485 | 0 | Negative | 9
CompressionProcessing | BodyRelativeToPrevious | t-1 | -0.1472 | 0 | Negative | 10
CompressionProcessing | PolarityFlipFlag | t-3 | -0.1168 | 0 | Negative | 11
CompressionProcessing | EfficiencyRatio | t-5 | 0.1117 | 0 | Positive | 12
CompressionProcessing | BodyRelativeToPrevious | t-3 | -0.0962 | 0 | Negative | 13
CompressionProcessing | MemoryStrength | t-2 | 0.0909 | 0 | Positive | 14
CompressionProcessing | BranchEntropy | t-2 | -0.0909 | 0 | Negative | 15
CompressionProcessing | PolarityFlipFlag | t-2 | 0.0876 | 0 | Positive | 16
CompressionProcessing | VolumeRelativeToSessionMean | t-5 | -0.0873 | 0 | Negative | 17
CompressionProcessing | BodyRelativeToPrevious | t-5 | -0.0837 | 0 | Negative | 18
CompressionProcessing | VolumeRelativeToRollingMean | t-3 | 0.0753 | 0 | Positive | 19
CompressionProcessing | VolumeRelativeToPrevious | t-2 | 0.0738 | 0 | Positive | 20
CompressionProcessing | RangeRelativeToPrevious | t-1 | 0.0627 | 0 | Positive | 21
CompressionProcessing | MemoryStrength | t-5 | -0.0607 | 0 | Negative | 22
CompressionProcessing | TrueRangeRelativeToPrevious | t-5 | -0.0524 | 0 | Negative | 23
CompressionProcessing | PolarityFlipFlag | t-1 | 0.0500 | 0 | Positive | 24
CompressionProcessing | CloseLocation | t-1 | 0.0461 | 0 | Positive | 25
CompressionProcessing | CloseLocation | t-5 | 0.0423 | 0 | Positive | 26
CompressionProcessing | VolumeRelativeToRollingMean | t-5 | 0.0403 | 0 | Positive | 27
CompressionProcessing | VolumeRelativeToPrevious | t-3 | -0.0368 | 0 | Negative | 28
CompressionProcessing | VolumeRelativeToPrevious | t-5 | -0.0345 | 0 | Negative | 29
CompressionProcessing | RangeRelativeToPrevious | t-5 | -0.0312 | 0 | Negative | 30
CompressionProcessing | VolumeRelativeToSessionMean | t-2 | 0.0311 | 0 | Positive | 31
CompressionProcessing | BranchEntropy | t-5 | 0.0289 | 0 | Positive | 32
CompressionProcessing | CloseLocation | t-3 | -0.0265 | 0 | Negative | 33
CompressionProcessing | RangeRelativeToPrevious | t-2 | -0.0228 | 0 | Negative | 34
CompressionProcessing | CloseLocation | t-2 | 0.0216 | 0 | Positive | 35
CompressionProcessing | VolumeRelativeToSessionMean | t-3 | -0.0199 | 0 | Negative | 36
CompressionProcessing | PolarityFlipFlag | t-5 | 0.0186 | 0 | Positive | 37
CompressionProcessing | BranchEntropy | t-3 | -0.0172 | 0 | Negative | 38
CompressionProcessing | TrueRangeRelativeToPrevious | t-1 | 0.0120 | 0 | Positive | 39
CompressionProcessing | EfficiencyRatio | t-3 | 0.0096 | 0 | Positive | 40
CompressionProcessing | MemoryStrength | t-3 | 0.0086 | 0 | Positive | 41
CompressionProcessing | TrueRangeRelativeToPrevious | t-2 | 0.0045 | 0 | Positive | 42
CompressionProcessing | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 43
CompressionProcessing | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 44
ConstructiveEmergence | VolumeRelativeToSessionMean | t-5 | 0.9903 | 1 | Positive | 1
ConstructiveEmergence | VolumeRelativeToSessionMean | t-1 | 0.8523 | 1 | Positive | 2
ConstructiveEmergence | VolumeRelativeToRollingMean | t-5 | 0.6831 | 1 | Positive | 3
ConstructiveEmergence | VolumeRelativeToSessionMean | t-2 | 0.6340 | 1 | Positive | 4
ConstructiveEmergence | PolarityFlipFlag | t-2 | -0.6209 | 1 | Negative | 5
ConstructiveEmergence | BodyRelativeToPrevious | t-5 | -0.6124 | 1 | Negative | 6
ConstructiveEmergence | CloseLocation | t-1 | 0.5677 | 1 | Positive | 7
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-1 | 0.5648 | 1 | Positive | 8
ConstructiveEmergence | RangeRelativeToPrevious | t-1 | 0.5543 | 1 | Positive | 9
ConstructiveEmergence | PolarityFlipFlag | t-3 | 0.5522 | 1 | Positive | 10
ConstructiveEmergence | EfficiencyRatio | t-1 | -0.4683 | 1 | Negative | 11
ConstructiveEmergence | VolumeRelativeToRollingMean | t-3 | -0.4507 | 1 | Negative | 12
ConstructiveEmergence | MemoryStrength | t-2 | -0.4449 | 1 | Negative | 13
ConstructiveEmergence | BranchEntropy | t-2 | 0.4449 | 1 | Positive | 14
ConstructiveEmergence | BranchEntropy | t-5 | -0.3935 | 1 | Negative | 15
ConstructiveEmergence | MemoryStrength | t-5 | 0.3438 | 1 | Positive | 16
ConstructiveEmergence | BranchEntropy | t-3 | 0.3419 | 1 | Positive | 17
ConstructiveEmergence | EfficiencyRatio | t-5 | -0.3240 | 1 | Negative | 18
ConstructiveEmergence | MemoryStrength | t-3 | -0.3226 | 1 | Negative | 19
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-2 | 0.3222 | 1 | Positive | 20
ConstructiveEmergence | VolumeRelativeToPrevious | t-5 | 0.3213 | 1 | Positive | 21
ConstructiveEmergence | EfficiencyRatio | t-2 | 0.3151 | 1 | Positive | 22
ConstructiveEmergence | EfficiencyRatio | t-3 | -0.3030 | 1 | Negative | 23
ConstructiveEmergence | PolarityFlipFlag | t-1 | 0.2973 | 1 | Positive | 24
ConstructiveEmergence | RangeRelativeToPrevious | t-2 | 0.2959 | 1 | Positive | 25
