APVA Excursion Destinations Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Destination event count: 747

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
CompressionProcessing | 134 | 134 | 0 | 0 | 17.94% | 1
MixedStructure | 278 | 278 | 0 | 0 | 37.22% | 1
ReassertionProcessing | 263 | 263 | 0 | 0 | 35.21% | 1
RecoveryResolution | 23 | 23 | 0 | 0 | 3.08% | 1
ExhaustionPersistence | 41 | 41 | 0 | 0 | 5.49% | 1
ConstructiveEmergence | 8 | 8 | 0 | 0 | 1.07% | 1
DestructiveRotation | 0 | 0 | 0 | 0 | 0.00% | 0
DecayToNeutral | 0 | 0 | 0 | 0 | 0.00% | 0

2. Destination Profile Table
DestinationFamily | Signal | Horizon | Mean | Median | StdDev
CompressionProcessing | RangeRelativeToPrevious | t-1 | 1.1046 | 1.0000 | 0.6043
CompressionProcessing | RangeRelativeToPrevious | t-2 | 1.2495 | 1.0000 | 0.7556
CompressionProcessing | RangeRelativeToPrevious | t-3 | 1.0320 | 1.0000 | 0.5418
CompressionProcessing | RangeRelativeToPrevious | t-5 | 1.0218 | 1.0000 | 0.4503
CompressionProcessing | BodyRelativeToPrevious | t-1 | 1.0675 | 0.6667 | 1.2692
CompressionProcessing | BodyRelativeToPrevious | t-2 | 1.3082 | 1.0000 | 1.6103
CompressionProcessing | BodyRelativeToPrevious | t-3 | 1.2536 | 1.0000 | 1.2663
CompressionProcessing | BodyRelativeToPrevious | t-5 | 0.9346 | 0.8333 | 0.9786
CompressionProcessing | TrueRangeRelativeToPrevious | t-1 | 1.0765 | 1.0000 | 0.5345
CompressionProcessing | TrueRangeRelativeToPrevious | t-2 | 1.2394 | 1.0000 | 0.7117
CompressionProcessing | TrueRangeRelativeToPrevious | t-3 | 1.0516 | 1.0000 | 0.5555
CompressionProcessing | TrueRangeRelativeToPrevious | t-5 | 1.0138 | 1.0000 | 0.4338
CompressionProcessing | VolumeRelativeToPrevious | t-1 | 2.0388 | 1.1335 | 3.4660
CompressionProcessing | VolumeRelativeToPrevious | t-2 | 1.4433 | 1.0532 | 1.5173
CompressionProcessing | VolumeRelativeToPrevious | t-3 | 1.3376 | 0.9305 | 1.6661
CompressionProcessing | VolumeRelativeToPrevious | t-5 | 1.1303 | 0.9188 | 1.0751
CompressionProcessing | VolumeRelativeToRollingMean | t-1 | 1.0856 | 0.8987 | 0.6774
CompressionProcessing | VolumeRelativeToRollingMean | t-2 | 0.8683 | 0.7041 | 0.6995
CompressionProcessing | VolumeRelativeToRollingMean | t-3 | 0.7420 | 0.6514 | 0.4482
CompressionProcessing | VolumeRelativeToRollingMean | t-5 | 0.6223 | 0.5376 | 0.5038
CompressionProcessing | VolumeRelativeToSessionMean | t-1 | 0.7883 | 0.5904 | 0.8118
CompressionProcessing | VolumeRelativeToSessionMean | t-2 | 0.6367 | 0.3977 | 0.8392
CompressionProcessing | VolumeRelativeToSessionMean | t-3 | 0.5661 | 0.3908 | 0.5427
CompressionProcessing | VolumeRelativeToSessionMean | t-5 | 0.4847 | 0.3519 | 0.5305
CompressionProcessing | EfficiencyRatio | t-1 | 0.4432 | 0.4000 | 0.3162
CompressionProcessing | EfficiencyRatio | t-2 | 0.4402 | 0.4643 | 0.3241
CompressionProcessing | EfficiencyRatio | t-3 | 0.4786 | 0.5000 | 0.3216
CompressionProcessing | EfficiencyRatio | t-5 | 0.4313 | 0.4000 | 0.2972
CompressionProcessing | CloseLocation | t-1 | 0.5114 | 0.5000 | 0.3454
CompressionProcessing | CloseLocation | t-2 | 0.5024 | 0.5000 | 0.3336
CompressionProcessing | CloseLocation | t-3 | 0.4912 | 0.5000 | 0.3239
CompressionProcessing | CloseLocation | t-5 | 0.5056 | 0.5000 | 0.3458
CompressionProcessing | MemoryStrength | t-1 | 0.2232 | 0.2232 | 0.0000
CompressionProcessing | MemoryStrength | t-2 | 0.2534 | 0.2232 | 0.0425
CompressionProcessing | MemoryStrength | t-3 | 0.2941 | 0.3132 | 0.0635
CompressionProcessing | MemoryStrength | t-5 | 0.3112 | 0.3132 | 0.0486
CompressionProcessing | BranchEntropy | t-1 | 1.1703 | 1.1703 | 0.0000
CompressionProcessing | BranchEntropy | t-2 | 1.0347 | 1.1703 | 0.1907
CompressionProcessing | BranchEntropy | t-3 | 0.8295 | 0.7665 | 0.3122
CompressionProcessing | BranchEntropy | t-5 | 0.9074 | 0.8439 | 0.2973
CompressionProcessing | PolarityFlipFlag | t-1 | 0.6343 | 1.0000 | 0.4816
CompressionProcessing | PolarityFlipFlag | t-2 | 0.7015 | 1.0000 | 0.4576
CompressionProcessing | PolarityFlipFlag | t-3 | 0.6045 | 1.0000 | 0.4890
CompressionProcessing | PolarityFlipFlag | t-5 | 0.7164 | 1.0000 | 0.4507
MixedStructure | RangeRelativeToPrevious | t-1 | 0.9774 | 0.8333 | 0.6564
MixedStructure | RangeRelativeToPrevious | t-2 | 1.2950 | 1.0000 | 0.9260
MixedStructure | RangeRelativeToPrevious | t-3 | 1.3490 | 1.0000 | 1.0797
MixedStructure | RangeRelativeToPrevious | t-5 | 1.0728 | 1.0000 | 0.5498
