APVA Interpretation Arbitration Study v0.1
Research only. No optimization, fitting, machine learning, trading rules, or future leakage.

Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
State counts: RecoveryResolution=1696, ExhaustionPersistence=1884, CompressionProcessing=6489, NeutralProcessing=16992, ReassertionProcessing=2011, DecayToNeutral=1486, DestructiveRotation=948, ConstructiveEmergence=83, MixedStructure=3671
Age counts: 1=18224, 2=6199, 3=3147, 4=2008, 5=1539, 6-10=3165, 11-20=896, 21+=82
Validated context counts: B=310, C=255, D=233
Candidate interpretation counts: ValidatedContext=798, PreviousDistinctContext=35256, CurrentStateAge=35260

1. Reliability tables
InterpretationType | InterpretationKey | Count | PersistenceRate_t1 | ExitRate_t1 | Entropy_t1 | NormalizedEntropy_t1 | DominantDestination | DominantProbability_t1 | ReliabilityScore
CurrentStateAge | CompressionProcessing+Age1 | 2928 | 56.66% | 43.34% | 1.1110 | 0.5343 | CompressionProcessing | 56.66% | 0.5989
CurrentStateAge | CompressionProcessing+Age11-20 | 5 | 40.00% | 60.00% | 1.0549 | 0.9602 | CompressionProcessing | 40.00% | 0.0000
CurrentStateAge | CompressionProcessing+Age2 | 1659 | 50.63% | 49.37% | 1.2356 | 0.5624 | CompressionProcessing | 50.63% | 0.4503
CurrentStateAge | CompressionProcessing+Age3 | 840 | 62.86% | 37.14% | 1.1341 | 0.5454 | CompressionProcessing | 62.86% | 0.7117
CurrentStateAge | CompressionProcessing+Age4 | 528 | 53.41% | 46.59% | 1.3071 | 0.6286 | CompressionProcessing | 53.41% | 0.4396
CurrentStateAge | CompressionProcessing+Age5 | 282 | 45.04% | 54.96% | 1.5435 | 0.7423 | CompressionProcessing | 45.04% | 0.1584
CurrentStateAge | CompressionProcessing+Age6-10 | 247 | 49.80% | 50.20% | 1.4301 | 0.6878 | CompressionProcessing | 49.80% | 0.3082
CurrentStateAge | ConstructiveEmergence+Age1 | 83 | 0.00% | 100.00% | 1.1780 | 0.8497 | MixedStructure | 46.99% | -0.3798
CurrentStateAge | DecayToNeutral+Age1 | 1486 | 0.00% | 100.00% | 1.1580 | 0.6463 | NeutralProcessing | 54.58% | -0.1005
CurrentStateAge | DestructiveRotation+Age1 | 836 | 11.96% | 88.04% | 1.8149 | 0.8260 | DecayToNeutral | 29.78% | -0.4085
CurrentStateAge | DestructiveRotation+Age2 | 100 | 11.00% | 89.00% | 1.6826 | 0.8092 | DecayToNeutral | 45.00% | -0.2492
CurrentStateAge | DestructiveRotation+Age3 | 11 | 9.09% | 90.91% | 1.0336 | 0.7456 | DecayToNeutral | 63.64% | -0.0183
CurrentStateAge | DestructiveRotation+Age4 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | DecayToNeutral | 100.00% | 0.0000
CurrentStateAge | ExhaustionPersistence+Age1 | 1116 | 27.24% | 72.76% | 1.6846 | 0.9402 | ExhaustionPersistence | 27.24% | -0.3954
CurrentStateAge | ExhaustionPersistence+Age2 | 304 | 76.97% | 23.03% | 0.5803 | 0.5282 | ExhaustionPersistence | 76.97% | 1.0112
CurrentStateAge | ExhaustionPersistence+Age3 | 234 | 61.11% | 38.89% | 0.9008 | 0.6498 | ExhaustionPersistence | 61.11% | 0.5724
CurrentStateAge | ExhaustionPersistence+Age4 | 143 | 40.56% | 59.44% | 1.5370 | 0.8578 | ExhaustionPersistence | 40.56% | -0.0466
CurrentStateAge | ExhaustionPersistence+Age5 | 58 | 31.03% | 68.97% | 1.6524 | 0.9222 | ExhaustionPersistence | 31.03% | -0.3015
CurrentStateAge | ExhaustionPersistence+Age6-10 | 29 | 37.93% | 62.07% | 1.3934 | 0.8658 | ExhaustionPersistence | 37.93% | -0.1072
CurrentStateAge | MixedStructure+Age1 | 3264 | 10.88% | 89.12% | 1.7605 | 0.8012 | NeutralProcessing | 37.35% | -0.3190
CurrentStateAge | MixedStructure+Age2 | 355 | 11.83% | 88.17% | 1.6819 | 0.8088 | NeutralProcessing | 31.27% | -0.3778
CurrentStateAge | MixedStructure+Age3 | 42 | 19.05% | 80.95% | 1.5287 | 0.8532 | DecayToNeutral | 40.48% | -0.2579
CurrentStateAge | MixedStructure+Age4 | 8 | 12.50% | 87.50% | 1.3209 | 0.9528 | DecayToNeutral | 37.50% | 0.0000
CurrentStateAge | MixedStructure+Age5 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | DecayToNeutral | 100.00% | 0.0000
CurrentStateAge | NeutralProcessing+Age1 | 5672 | 56.51% | 43.49% | 1.2623 | 0.7045 | NeutralProcessing | 56.51% | 0.4256
CurrentStateAge | NeutralProcessing+Age11-20 | 891 | 77.22% | 22.78% | 0.8432 | 0.4333 | NeutralProcessing | 77.22% | 1.1110
CurrentStateAge | NeutralProcessing+Age2 | 3205 | 54.73% | 45.27% | 1.2354 | 0.6895 | NeutralProcessing | 54.73% | 0.4050
CurrentStateAge | NeutralProcessing+Age21+ | 82 | 78.05% | 21.95% | 0.7959 | 0.4945 | NeutralProcessing | 78.05% | 1.0664
CurrentStateAge | NeutralProcessing+Age3 | 1754 | 74.80% | 25.20% | 0.8439 | 0.5243 | NeutralProcessing | 74.80% | 0.9717
CurrentStateAge | NeutralProcessing+Age4 | 1312 | 90.85% | 9.15% | 0.4516 | 0.2520 | NeutralProcessing | 90.85% | 1.5650
CurrentStateAge | NeutralProcessing+Age5 | 1192 | 81.21% | 18.79% | 0.7665 | 0.3939 | NeutralProcessing | 81.21% | 1.2303
CurrentStateAge | NeutralProcessing+Age6-10 | 2884 | 74.10% | 25.90% | 0.9239 | 0.4748 | NeutralProcessing | 74.10% | 1.0072
CurrentStateAge | ReassertionProcessing+Age1 | 1759 | 13.47% | 86.53% | 1.3784 | 0.7693 | NeutralProcessing | 41.39% | -0.2207
CurrentStateAge | ReassertionProcessing+Age2 | 237 | 6.33% | 93.67% | 1.0276 | 0.7413 | DestructiveRotation | 45.99% | -0.2181
CurrentStateAge | ReassertionProcessing+Age3 | 15 | 0.00% | 100.00% | 0.2449 | 0.3534 | DestructiveRotation | 93.33% | 0.5800
CurrentStateAge | RecoveryResolution+Age1 | 1079 | 31.42% | 68.58% | 0.9454 | 0.8606 | CompressionProcessing | 56.26% | 0.0162
CurrentStateAge | RecoveryResolution+Age2 | 339 | 74.04% | 25.96% | 0.5726 | 0.8261 | RecoveryResolution | 74.04% | 0.6547
CurrentStateAge | RecoveryResolution+Age3 | 251 | 6.37% | 93.63% | 0.9486 | 0.6843 | CompressionProcessing | 68.92% | 0.0687
CurrentStateAge | RecoveryResolution+Age4 | 16 | 37.50% | 62.50% | 0.6616 | 0.9544 | CompressionProcessing | 62.50% | 0.0456
CurrentStateAge | RecoveryResolution+Age5 | 6 | 83.33% | 16.67% | 0.4506 | 0.6500 | RecoveryResolution | 83.33% | 0.0000
CurrentStateAge | RecoveryResolution+Age6-10 | 5 | 0.00% | 100.00% | 0.6730 | 0.9710 | CompressionProcessing | 60.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->ConstructiveEmergence+Age1 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
