APVA Loop Closure Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Loop candidates: 2061

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
6E | 2052 | 4 | 5 | 99.56% | 10.8762 | 9.0000 | 50
Aggregate | 2052 | 4 | 5 | 99.56% | 10.8762 | 9.0000 | 50

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
FormationPhase | 1.0000 | 1.0000 | 1 | 8.42%
LifecyclePhase | 1.3592 | 1.0000 | 3 | 11.44%
LateNeutralPhase | 1.9815 | 1.0000 | 34 | 16.68%
FailurePhase | 1.0000 | 1.0000 | 1 | 8.42%
DestinationPhase | 1.0000 | 1.0000 | 1 | 8.42%
ExcursionPhase | 4.0809 | 1.0000 | 35 | 34.36%
ReturnPhase | 0.4547 | 0.0000 | 1 | 3.83%
NextFormationPhase | 1.0000 | 1.0000 | 1 | 8.42%

3. Canonical Loop Path Table
CanonicalPath | Count | Probability | ReplicationCount | MeanDuration
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> MixedStructure -> NeutralStart | 249 | 12.13% | 1 | 6.7390
NeutralStart -> Age2 -> ReassertionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 228 | 11.11% | 1 | 6.6623
NeutralStart -> Age2 -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 195 | 9.50% | 1 | 6.8923
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 97 | 4.73% | 1 | 13.1134
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> MixedStructure -> NeutralStart | 73 | 3.56% | 1 | 14.1507
NeutralStart -> Age3 -> MixedStructure -> MixedStructure -> MixedStructure -> NeutralStart | 71 | 3.46% | 1 | 6.9859
NeutralStart -> Age6-10 -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 66 | 3.22% | 1 | 12.0152
NeutralStart -> Age3 -> ReassertionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 63 | 3.07% | 1 | 6.3651
NeutralStart -> Age3 -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 42 | 2.05% | 1 | 7.0476
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 31 | 1.51% | 1 | 9.0000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 28 | 1.36% | 1 | 11.5714
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 27 | 1.32% | 1 | 12.4815
NeutralStart -> Age5 -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 24 | 1.17% | 1 | 9.3750
NeutralStart -> Age11-20 -> MixedStructure -> MixedStructure -> MixedStructure -> NeutralStart | 24 | 1.17% | 1 | 17.7917
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 23 | 1.12% | 1 | 9.0000
NeutralStart -> Age11-20 -> ReassertionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 20 | 0.97% | 1 | 18.4500
NeutralStart -> Age6-10 -> ExhaustionPersistence -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 19 | 0.93% | 1 | 11.2632
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 16 | 0.78% | 1 | 15.2500
NeutralStart -> Age5 -> MixedStructure -> MixedStructure -> MixedStructure -> NeutralStart | 14 | 0.68% | 1 | 15.2857
NeutralStart -> Age11-20 -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 14 | 0.68% | 1 | 18.9286
NeutralStart -> Age4 -> MixedStructure -> MixedStructure -> MixedStructure -> NeutralStart | 14 | 0.68% | 1 | 9.2143
NeutralStart -> Age2 -> ReassertionProcessing -> ReassertionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 13 | 0.63% | 1 | 8.0769
NeutralStart -> Age2 -> CompressionProcessing -> CompressionProcessing -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 13 | 0.63% | 1 | 12.5385
NeutralStart -> Age2 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 13 | 0.63% | 1 | 7.6154
NeutralStart -> Age4 -> RecoveryResolution -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 12 | 0.58% | 1 | 7.4167
NeutralStart -> Age4 -> ExhaustionPersistence -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 12 | 0.58% | 1 | 12.1667
NeutralStart -> Age4 -> ReassertionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 11 | 0.54% | 1 | 10.0000
NeutralStart -> Age5 -> MixedStructure -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 11 | 0.54% | 1 | 10.6364
NeutralStart -> Age4 -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 11 | 0.54% | 1 | 5.8182
NeutralStart -> Age11-20 -> MixedStructure -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 11 | 0.54% | 1 | 18.8182
