APVA Minimal Engine Study v0.1
================================================================================
Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
State counts: RecoveryResolution=1696, ExhaustionPersistence=1884, CompressionProcessing=6489, NeutralProcessing=16992, ReassertionProcessing=2011, DecayToNeutral=1486, DestructiveRotation=948, ConstructiveEmergence=83, MixedStructure=3671
State-age key count: 41

1. Transition Hazard Table
State | AgeBucket | Horizon | Count | NextStateDistribution | PersistenceRate | ExitRate | Entropy | NormalizedEntropy | DominantDestination | DominantProbability
CompressionProcessing | 1 | t+1 | 2928 | CompressionProcessing:56.66%, NeutralProcessing:30.43%, ExhaustionPersistence:6.18%, RecoveryResolution:4.30%, MixedStructure:0.96%, DestructiveRotation:0.72%, ReassertionProcessing:0.65%, DecayToNeutral:0.10% | 56.66% | 43.34% | 1.1110 | 0.5343 | CompressionProcessing | 56.66%
CompressionProcessing | 1 | t+2 | 2928 | CompressionProcessing:41.73%, NeutralProcessing:38.83%, ExhaustionPersistence:6.22%, RecoveryResolution:4.03%, MixedStructure:3.83%, DestructiveRotation:1.88%, DecayToNeutral:1.81%, ReassertionProcessing:1.57%, ConstructiveEmergence:0.10% | 41.73% | 58.27% | 1.3785 | 0.6274 | CompressionProcessing | 41.73%
CompressionProcessing | 1 | t+3 | 2928 | CompressionProcessing:42.59%, NeutralProcessing:31.45%, MixedStructure:6.73%, ExhaustionPersistence:6.56%, RecoveryResolution:4.99%, DecayToNeutral:3.52%, ReassertionProcessing:2.56%, DestructiveRotation:1.43%, ConstructiveEmergence:0.17% | 42.59% | 57.41% | 1.5205 | 0.6920 | CompressionProcessing | 42.59%
CompressionProcessing | 1 | t+5 | 2928 | NeutralProcessing:45.49%, CompressionProcessing:21.31%, MixedStructure:9.87%, ExhaustionPersistence:6.63%, RecoveryResolution:5.81%, DecayToNeutral:4.17%, ReassertionProcessing:4.00%, DestructiveRotation:2.53%, ConstructiveEmergence:0.20% | 21.31% | 78.69% | 1.6281 | 0.7410 | NeutralProcessing | 45.49%
CompressionProcessing | 11-20 | t+1 | 5 | CompressionProcessing:40.00%, ExhaustionPersistence:40.00%, RecoveryResolution:20.00% | 40.00% | 60.00% | 1.0549 | 0.9602 | CompressionProcessing | 40.00%
CompressionProcessing | 11-20 | t+2 | 5 | CompressionProcessing:80.00%, ExhaustionPersistence:20.00% | 80.00% | 20.00% | 0.5004 | 0.7219 | CompressionProcessing | 80.00%
CompressionProcessing | 11-20 | t+3 | 5 | NeutralProcessing:40.00%, CompressionProcessing:20.00%, DestructiveRotation:20.00%, ExhaustionPersistence:20.00% | 20.00% | 80.00% | 1.3322 | 0.9610 | NeutralProcessing | 40.00%
CompressionProcessing | 11-20 | t+5 | 5 | NeutralProcessing:60.00%, CompressionProcessing:20.00%, DestructiveRotation:20.00% | 20.00% | 80.00% | 0.9503 | 0.8650 | NeutralProcessing | 60.00%
CompressionProcessing | 2 | t+1 | 1659 | CompressionProcessing:50.63%, NeutralProcessing:33.09%, ExhaustionPersistence:6.93%, RecoveryResolution:4.64%, DecayToNeutral:2.47%, MixedStructure:1.21%, DestructiveRotation:0.84%, ReassertionProcessing:0.12%, ConstructiveEmergence:0.06% | 50.63% | 49.37% | 1.2356 | 0.5624 | CompressionProcessing | 50.63%
CompressionProcessing | 2 | t+2 | 1659 | CompressionProcessing:50.15%, NeutralProcessing:30.08%, ExhaustionPersistence:6.15%, MixedStructure:4.70%, RecoveryResolution:3.98%, DecayToNeutral:2.47%, ReassertionProcessing:1.63%, DestructiveRotation:0.72%, ConstructiveEmergence:0.12% | 50.15% | 49.85% | 1.3532 | 0.6159 | CompressionProcessing | 50.15%
CompressionProcessing | 2 | t+3 | 1659 | CompressionProcessing:39.24%, NeutralProcessing:34.30%, ExhaustionPersistence:6.75%, MixedStructure:6.57%, RecoveryResolution:5.91%, DecayToNeutral:3.32%, ReassertionProcessing:2.05%, DestructiveRotation:1.81%, ConstructiveEmergence:0.06% | 39.24% | 60.76% | 1.5317 | 0.6971 | CompressionProcessing | 39.24%
CompressionProcessing | 2 | t+5 | 1659 | NeutralProcessing:45.57%, CompressionProcessing:22.42%, MixedStructure:8.86%, RecoveryResolution:6.15%, ExhaustionPersistence:5.79%, ReassertionProcessing:4.58%, DecayToNeutral:3.92%, DestructiveRotation:2.65%, ConstructiveEmergence:0.06% | 22.42% | 77.58% | 1.6134 | 0.7343 | NeutralProcessing | 45.57%
CompressionProcessing | 3 | t+1 | 840 | CompressionProcessing:62.86%, NeutralProcessing:21.07%, ExhaustionPersistence:7.74%, RecoveryResolution:4.05%, MixedStructure:2.02%, DecayToNeutral:1.31%, ReassertionProcessing:0.60%, DestructiveRotation:0.36% | 62.86% | 37.14% | 1.1341 | 0.5454 | CompressionProcessing | 62.86%
CompressionProcessing | 3 | t+2 | 840 | CompressionProcessing:46.07%, NeutralProcessing:30.60%, ExhaustionPersistence:6.90%, MixedStructure:5.83%, RecoveryResolution:4.64%, DecayToNeutral:3.57%, ReassertionProcessing:1.31%, DestructiveRotation:1.07% | 46.07% | 53.93% | 1.4366 | 0.6909 | CompressionProcessing | 46.07%
CompressionProcessing | 3 | t+3 | 840 | NeutralProcessing:34.05%, CompressionProcessing:30.00%, MixedStructure:9.88%, ExhaustionPersistence:6.79%, RecoveryResolution:6.31%, DecayToNeutral:5.60%, ReassertionProcessing:4.40%, DestructiveRotation:2.74%, ConstructiveEmergence:0.24% | 30.00% | 70.00% | 1.7254 | 0.7853 | NeutralProcessing | 34.05%
CompressionProcessing | 3 | t+5 | 840 | NeutralProcessing:43.93%, CompressionProcessing:22.26%, MixedStructure:9.17%, RecoveryResolution:7.38%, ExhaustionPersistence:5.60%, ReassertionProcessing:4.17%, DecayToNeutral:3.93%, DestructiveRotation:3.57% | 22.26% | 77.74% | 1.6471 | 0.7921 | NeutralProcessing | 43.93%
CompressionProcessing | 4 | t+1 | 528 | CompressionProcessing:53.41%, NeutralProcessing:26.89%, ExhaustionPersistence:6.63%, RecoveryResolution:4.36%, MixedStructure:4.17%, DecayToNeutral:3.60%, DestructiveRotation:0.57%, ReassertionProcessing:0.38% | 53.41% | 46.59% | 1.3071 | 0.6286 | CompressionProcessing | 53.41%
CompressionProcessing | 4 | t+2 | 528 | CompressionProcessing:35.42%, NeutralProcessing:30.11%, MixedStructure:9.66%, DecayToNeutral:8.14%, ExhaustionPersistence:5.87%, RecoveryResolution:4.17%, ReassertionProcessing:3.41%, DestructiveRotation:2.84%, ConstructiveEmergence:0.38% | 35.42% | 64.58% | 1.6954 | 0.7716 | CompressionProcessing | 35.42%
CompressionProcessing | 4 | t+3 | 528 | NeutralProcessing:36.36%, CompressionProcessing:28.60%, MixedStructure:10.98%, ExhaustionPersistence:5.68%, ReassertionProcessing:5.49%, RecoveryResolution:5.11%, DecayToNeutral:4.36%, DestructiveRotation:3.41% | 28.60% | 71.40% | 1.6945 | 0.8149 | NeutralProcessing | 36.36%
CompressionProcessing | 4 | t+5 | 528 | NeutralProcessing:46.59%, CompressionProcessing:20.27%, MixedStructure:7.77%, RecoveryResolution:7.39%, ExhaustionPersistence:6.25%, ReassertionProcessing:4.73%, DecayToNeutral:4.55%, DestructiveRotation:2.46% | 20.27% | 79.73% | 1.6196 | 0.7789 | NeutralProcessing | 46.59%
CompressionProcessing | 5 | t+1 | 282 | CompressionProcessing:45.04%, NeutralProcessing:26.95%, DecayToNeutral:7.80%, ExhaustionPersistence:6.74%, MixedStructure:4.26%, RecoveryResolution:4.26%, DestructiveRotation:3.19%, ReassertionProcessing:1.77% | 45.04% | 54.96% | 1.5435 | 0.7423 | CompressionProcessing | 45.04%
CompressionProcessing | 5 | t+2 | 282 | CompressionProcessing:38.30%, NeutralProcessing:31.21%, MixedStructure:8.51%, DecayToNeutral:5.67%, ExhaustionPersistence:4.61%, ReassertionProcessing:4.61%, RecoveryResolution:3.90%, DestructiveRotation:3.19% | 38.30% | 61.70% | 1.6236 | 0.7808 | CompressionProcessing | 38.30%
CompressionProcessing | 5 | t+3 | 282 | NeutralProcessing:33.33%, CompressionProcessing:28.01%, MixedStructure:13.12%, RecoveryResolution:7.80%, DecayToNeutral:6.03%, ExhaustionPersistence:5.32%, DestructiveRotation:3.19%, ReassertionProcessing:3.19% | 28.01% | 71.99% | 1.7334 | 0.8336 | NeutralProcessing | 33.33%
CompressionProcessing | 5 | t+5 | 282 | NeutralProcessing:45.04%, CompressionProcessing:21.28%, MixedStructure:8.51%, ReassertionProcessing:8.16%, ExhaustionPersistence:6.38%, RecoveryResolution:6.03%, DecayToNeutral:2.48%, DestructiveRotation:1.77%, ConstructiveEmergence:0.35% | 21.28% | 78.72% | 1.6308 | 0.7422 | NeutralProcessing | 45.04%
CompressionProcessing | 6-10 | t+1 | 247 | CompressionProcessing:49.80%, NeutralProcessing:25.51%, ExhaustionPersistence:6.48%, MixedStructure:6.48%, DecayToNeutral:5.26%, RecoveryResolution:4.86%, DestructiveRotation:0.81%, ReassertionProcessing:0.81% | 49.80% | 50.20% | 1.4301 | 0.6878 | CompressionProcessing | 49.80%
CompressionProcessing | 6-10 | t+2 | 247 | CompressionProcessing:37.65%, NeutralProcessing:28.74%, MixedStructure:10.53%, DecayToNeutral:8.91%, ExhaustionPersistence:7.29%, RecoveryResolution:4.86%, ReassertionProcessing:1.62%, DestructiveRotation:0.40% | 37.65% | 62.35% | 1.6054 | 0.7720 | CompressionProcessing | 37.65%
CompressionProcessing | 6-10 | t+3 | 247 | NeutralProcessing:36.03%, CompressionProcessing:27.94%, MixedStructure:10.12%, ExhaustionPersistence:8.91%, DecayToNeutral:6.07%, RecoveryResolution:4.86%, ReassertionProcessing:3.24%, DestructiveRotation:2.83% | 27.94% | 72.06% | 1.7004 | 0.8177 | NeutralProcessing | 36.03%
CompressionProcessing | 6-10 | t+5 | 247 | NeutralProcessing:39.68%, CompressionProcessing:19.84%, MixedStructure:12.55%, ExhaustionPersistence:11.34%, RecoveryResolution:6.48%, DecayToNeutral:4.86%, DestructiveRotation:3.24%, ReassertionProcessing:1.62%, ConstructiveEmergence:0.40% | 19.84% | 80.16% | 1.7193 | 0.7825 | NeutralProcessing | 39.68%
