APVA Neutral Failure Timing Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
ReferenceFailureCount: 2052
StableControlCount: 14630
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
NeutralProcessing_Age2 | 931 | 931 | 0 | 0 | 45.37%
NeutralProcessing_Age6-10 | 507 | 507 | 0 | 0 | 24.71%
NeutralProcessing_Age3 | 242 | 242 | 0 | 0 | 11.79%
NeutralProcessing_Age5 | 145 | 145 | 0 | 0 | 7.07%
NeutralProcessing_Age11-20 | 126 | 126 | 0 | 0 | 6.14%
NeutralProcessing_Age4 | 90 | 90 | 0 | 0 | 4.39%
NeutralProcessing_Age21+ | 11 | 11 | 0 | 0 | 0.54%

2. Warning Window Signal Table
FailureNode | AgeBucket | Horizon | Signal | FailureMean | ControlMean | EffectSize | ReplicationCount
AllFailureNodes | 21+ | t-3 | EfficiencyRatio | 0.6377 | 0.3859 | 0.8633 | 0
AllFailureNodes | 4 | t-0 | RangeRelativeToPrevious | 2.0342 | 1.1799 | 0.8035 | 0
AllFailureNodes | 4 | t-0 | TrueRangeRelativeToPrevious | 1.9970 | 1.1705 | 0.7720 | 0
AllFailureNodes | 3 | t-3 | RangeRelativeToPrevious | 1.7722 | 1.1446 | 0.7153 | 0
AllFailureNodes | 3 | t-3 | TrueRangeRelativeToPrevious | 1.7357 | 1.1272 | 0.7150 | 0
AllFailureNodes | 4 | t-0 | VolumeRelativeToRollingMean | 1.3397 | 0.6531 | 0.6944 | 0
AllFailureNodes | 4 | t-0 | BodyRelativeToPrevious | 3.1172 | 1.3220 | 0.6935 | 0
AllFailureNodes | 21+ | t-1 | VolumeRelativeToRollingMean | 0.7412 | 0.4439 | 0.6900 | 0
AllFailureNodes | 4 | t-0 | EfficiencyRatio | 0.6137 | 0.4244 | 0.6850 | 0
AllFailureNodes | 21+ | t-3 | BodyRelativeToPrevious | 2.2257 | 1.1000 | 0.6682 | 0
AllFailureNodes | 21+ | t-3 | PolarityFlipFlag | 0.3636 | 0.6667 | -0.6363 | 0
AllFailureNodes | 21+ | t-2 | TrueRangeRelativeToPrevious | 0.7782 | 1.1165 | -0.6112 | 0
AllFailureNodes | 21+ | t-3 | TrueRangeRelativeToPrevious | 1.7424 | 1.1548 | 0.6044 | 0
AllFailureNodes | 21+ | t-5 | BodyRelativeToPrevious | 0.5104 | 1.1979 | -0.6043 | 0
AllFailureNodes | 3 | t-3 | BodyRelativeToPrevious | 2.5466 | 1.3318 | 0.5410 | 0
AllFailureNodes | 21+ | t-2 | BodyRelativeToPrevious | 0.6783 | 1.2474 | -0.5406 | 0
AllFailureNodes | 21+ | t-0 | VolumeRelativeToRollingMean | 0.8045 | 0.4881 | 0.5096 | 0
AllFailureNodes | 21+ | t-5 | VolumeRelativeToPrevious | 0.8728 | 1.2846 | -0.4842 | 0
AllFailureNodes | 21+ | t-1 | VolumeRelativeToSessionMean | 0.3321 | 0.2149 | 0.4818 | 0
AllFailureNodes | 4 | t-0 | VolumeRelativeToSessionMean | 0.9382 | 0.5711 | 0.4760 | 0
AllFailureNodes | 21+ | t-5 | RangeRelativeToPrevious | 0.8699 | 1.1212 | -0.4722 | 0
AllFailureNodes | 21+ | t-5 | EfficiencyRatio | 0.2673 | 0.4167 | -0.4482 | 0
AllFailureNodes | 21+ | t-0 | VolumeRelativeToSessionMean | 0.3330 | 0.2180 | 0.4391 | 0
AllFailureNodes | 21+ | t-2 | RangeRelativeToPrevious | 0.8740 | 1.1141 | -0.4382 | 0
AllFailureNodes | 5 | t-0 | VolumeRelativeToRollingMean | 0.9296 | 0.6801 | 0.4269 | 0
AllFailureNodes | 4 | t-0 | VolumeRelativeToPrevious | 2.2235 | 1.3553 | 0.4231 | 0
AllFailureNodes | 21+ | t-0 | BodyRelativeToPrevious | 0.7208 | 1.1887 | -0.4204 | 0
AllFailureNodes | 4 | t-5 | EfficiencyRatio | 0.6458 | 0.5306 | 0.4182 | 0
AllFailureNodes | 21+ | t-3 | RangeRelativeToPrevious | 1.5606 | 1.1520 | 0.4114 | 0
AllFailureNodes | 11-20 | t-5 | EfficiencyRatio | 0.3728 | 0.4912 | -0.3872 | 0
AllFailureNodes | 3 | t-3 | EfficiencyRatio | 0.6083 | 0.4982 | 0.3865 | 0
AllFailureNodes | 3 | t-3 | VolumeRelativeToPrevious | 1.9194 | 1.2883 | 0.3808 | 0
AllFailureNodes | 3 | t-2 | TrueRangeRelativeToPrevious | 0.7622 | 0.8961 | -0.3682 | 0
AllFailureNodes | 3 | t-2 | RangeRelativeToPrevious | 0.7620 | 0.8972 | -0.3673 | 0
AllFailureNodes | 5 | t-5 | VolumeRelativeToPrevious | 0.8941 | 1.2113 | -0.3517 | 0
AllFailureNodes | 5 | t-1 | EfficiencyRatio | 0.5183 | 0.4139 | 0.3418 | 0
AllFailureNodes | 5 | t-1 | BodyRelativeToPrevious | 2.2849 | 1.2426 | 0.3410 | 0
AllFailureNodes | 4 | t-5 | RangeRelativeToPrevious | 1.6615 | 1.3608 | 0.3382 | 0
AllFailureNodes | 4 | t-0 | PolarityFlipFlag | 0.5000 | 0.6626 | -0.3342 | 0
AllFailureNodes | 4 | t-5 | VolumeRelativeToRollingMean | 1.4042 | 1.0732 | 0.3306 | 0
AllFailureNodes | 21+ | t-3 | CloseLocation | 0.6136 | 0.5139 | 0.3215 | 0
AllFailureNodes | 21+ | t-5 | VolumeRelativeToSessionMean | 0.2558 | 0.3396 | -0.3187 | 0
AllFailureNodes | 5 | t-0 | VolumeRelativeToSessionMean | 0.7942 | 0.5933 | 0.3142 | 0
AllFailureNodes | 21+ | t-2 | VolumeRelativeToRollingMean | 0.5430 | 0.4240 | 0.3095 | 0
AllFailureNodes | 21+ | t-0 | TrueRangeRelativeToPrevious | 0.9530 | 1.1436 | -0.3093 | 0
AllFailureNodes | 21+ | t-5 | TrueRangeRelativeToPrevious | 0.9518 | 1.1288 | -0.3033 | 0
AllFailureNodes | 5 | t-1 | TrueRangeRelativeToPrevious | 1.4621 | 1.1499 | 0.3025 | 0
AllFailureNodes | 6-10 | t-0 | VolumeRelativeToRollingMean | 0.8553 | 0.6503 | 0.2992 | 0
AllFailureNodes | 21+ | t-0 | RangeRelativeToPrevious | 0.9530 | 1.1348 | -0.2988 | 0
AllFailureNodes | 4 | t-1 | TrueRangeRelativeToPrevious | 0.8998 | 1.0287 | -0.2967 | 0
AllFailureNodes | 21+ | t-2 | VolumeRelativeToSessionMean | 0.3132 | 0.2258 | 0.2907 | 0
AllFailureNodes | 4 | t-1 | RangeRelativeToPrevious | 0.9044 | 1.0350 | -0.2895 | 0
AllFailureNodes | 5 | t-1 | RangeRelativeToPrevious | 1.4615 | 1.1601 | 0.2891 | 0
AllFailureNodes | 21+ | t-1 | BodyRelativeToPrevious | 1.6000 | 1.1856 | 0.2885 | 0
AllFailureNodes | 4 | t-3 | EfficiencyRatio | 0.3534 | 0.4264 | -0.2724 | 0
AllFailureNodes | 4 | t-5 | TrueRangeRelativeToPrevious | 1.5965 | 1.3687 | 0.2720 | 0
AllFailureNodes | 5 | t-5 | CloseLocation | 0.5632 | 0.4721 | 0.2677 | 0
AllFailureNodes | 3 | t-0 | RangeRelativeToPrevious | 0.9060 | 1.0281 | -0.2631 | 0
AllFailureNodes | 21+ | t-1 | RangeRelativeToPrevious | 1.2916 | 1.1057 | 0.2601 | 0
AllFailureNodes | 21+ | t-5 | VolumeRelativeToRollingMean | 0.4188 | 0.5226 | -0.2598 | 0
AllFailureNodes | 3 | t-3 | VolumeRelativeToRollingMean | 1.1844 | 0.9492 | 0.2562 | 0
AllFailureNodes | 5 | t-5 | PolarityFlipFlag | 0.7103 | 0.5899 | 0.2546 | 0
AllFailureNodes | 4 | t-5 | BodyRelativeToPrevious | 2.6855 | 2.0248 | 0.2537 | 0
AllFailureNodes | 11-20 | t-3 | PolarityFlipFlag | 0.6111 | 0.7294 | -0.2535 | 0
AllFailureNodes | 3 | t-0 | TrueRangeRelativeToPrevious | 0.9104 | 1.0213 | -0.2469 | 0
AllFailureNodes | 21+ | t-1 | EfficiencyRatio | 0.5485 | 0.4590 | 0.2464 | 0
AllFailureNodes | All | t-3 | TrueRangeRelativeToPrevious | 1.3275 | 1.1358 | 0.2430 | 0
