APVA Node Flow Study v0.1
========================================================================================================
Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Node count: 41
Category count: 4

1. Node Category Assignment
StateAgeNode | NodeCategory | ImportanceScore | ReliabilityScore
CompressionProcessing_Age1 | Secondary Node | 0.5055 | 0.5928
CompressionProcessing_Age11-20 | Insufficient Node | 0.3631 | 0.3336
CompressionProcessing_Age2 | Weak Node | 0.4398 | 0.4893
CompressionProcessing_Age3 | Secondary Node | 0.4518 | 0.5219
CompressionProcessing_Age4 | Weak Node | 0.3844 | 0.4527
CompressionProcessing_Age5 | Weak Node | 0.3702 | 0.4101
CompressionProcessing_Age6-10 | Weak Node | 0.3536 | 0.4247
ConstructiveEmergence_Age1 | Weak Node | 0.3757 | 0.3863
DecayToNeutral_Age1 | Secondary Node | 0.4943 | 0.5077
DestructiveRotation_Age1 | Weak Node | 0.3332 | 0.3908
DestructiveRotation_Age2 | Weak Node | 0.3825 | 0.4392
DestructiveRotation_Age3 | Insufficient Node | 0.3747 | 0.4854
DestructiveRotation_Age4 | Insufficient Node | 0.4000 | 0.6667
ExhaustionPersistence_Age1 | Secondary Node | 0.5173 | 0.4189
ExhaustionPersistence_Age2 | Secondary Node | 0.4858 | 0.5343
ExhaustionPersistence_Age3 | Weak Node | 0.3910 | 0.4496
ExhaustionPersistence_Age4 | Weak Node | 0.3236 | 0.4023
ExhaustionPersistence_Age5 | Weak Node | 0.3404 | 0.3597
ExhaustionPersistence_Age6-10 | Insufficient Node | 0.3310 | 0.3580
MixedStructure_Age1 | Weak Node | 0.4438 | 0.5820
MixedStructure_Age2 | Secondary Node | 0.5065 | 0.3588
MixedStructure_Age3 | Insufficient Node | 0.3531 | 0.4072
MixedStructure_Age4 | Insufficient Node | 0.4506 | 0.3754
MixedStructure_Age5 | Insufficient Node | 0.6443 | 0.6667
NeutralProcessing_Age1 | Core Node | 0.6057 | 0.8054
NeutralProcessing_Age11-20 | Secondary Node | 0.5777 | 0.6067
NeutralProcessing_Age2 | Core Node | 0.5892 | 0.6445
