APVA Outcome vs State Age Study v0.1 - 6E
============================================================

Rows: 35260

State                        Age           N    Valid       MeanDR     MedianDR      Cont      Fail      Flat      Skew
RecoveryResolution           1          1079      900     -0.00003     -0.00005    45.67%    50.56%     3.78%    -4.89%
RecoveryResolution           2           339      303     -0.00003     -0.00005    42.90%    54.13%     2.97%   -11.22%
RecoveryResolution           3           251      235      0.00002     -0.00005    47.66%    50.64%     1.70%    -2.98%
RecoveryResolution           4            16       14      0.00018      0.00030    71.43%    28.57%     0.00%    42.86%
RecoveryResolution           5             6        6     -0.00005      0.00002    50.00%    16.67%    33.33%    33.33%
RecoveryResolution           6-10          5        4      0.00011      0.00000    50.00%    50.00%     0.00%     0.00%
ExhaustionPersistence        1          1116     1106     -0.00001      0.00000    47.65%    46.56%     5.79%     1.08%
ExhaustionPersistence        2           304      299     -0.00007     -0.00005    42.47%    52.51%     5.02%   -10.03%
ExhaustionPersistence        3           234      215     -0.00002     -0.00005    44.65%    52.09%     3.26%    -7.44%
ExhaustionPersistence        4           143      138     -0.00008     -0.00013    41.30%    55.80%     2.90%   -14.49%
ExhaustionPersistence        5            58       55      0.00002      0.00000    49.09%    45.45%     5.45%     3.64%
ExhaustionPersistence        6-10         29       28     -0.00021     -0.00027    32.14%    60.71%     7.14%   -28.57%
CompressionProcessing        1          2928     2631     -0.00001      0.00000    46.94%    48.50%     4.56%    -1.56%
CompressionProcessing        2          1659     1493     -0.00004     -0.00005    44.41%    50.64%     4.96%    -6.23%
CompressionProcessing        3           840      763     -0.00003     -0.00005    46.00%    50.59%     3.41%    -4.59%
CompressionProcessing        4           528      489      0.00001      0.00000    46.22%    48.67%     5.11%    -2.45%
CompressionProcessing        5           282      260      0.00001      0.00000    47.31%    48.46%     4.23%    -1.15%
CompressionProcessing        6-10        247      229     -0.00002     -0.00005    41.92%    51.53%     6.55%    -9.61%
CompressionProcessing        11-20         5        5     -0.00010     -0.00035    40.00%    60.00%     0.00%   -20.00%
NeutralProcessing            1          5672     4710     -0.00001      0.00000    45.82%    48.77%     5.41%    -2.95%
NeutralProcessing            2          3205     2657     -0.00001      0.00000    47.27%    48.48%     4.25%    -1.20%
NeutralProcessing            3          1754     1422      0.00002      0.00000    48.66%    44.73%     6.61%     3.94%
NeutralProcessing            4          1312     1101     -0.00001      0.00000    45.50%    48.77%     5.72%    -3.27%
NeutralProcessing            5          1192     1037     -0.00002      0.00000    44.94%    48.70%     6.36%    -3.76%
NeutralProcessing            6-10       2884     2443     -0.00001      0.00000    45.97%    49.24%     4.79%    -3.27%
NeutralProcessing            11-20       891      718     -0.00001      0.00000    46.80%    45.82%     7.38%     0.97%
NeutralProcessing            21+          82       68     -0.00001      0.00000    45.59%    48.53%     5.88%    -2.94%
ReassertionProcessing        1          1759     1732      0.00000      0.00000    46.77%    48.15%     5.08%    -1.39%
ReassertionProcessing        2           237      235     -0.00006     -0.00005    44.26%    50.64%     5.11%    -6.38%
ReassertionProcessing        3            15       15     -0.00003      0.00005    53.33%    40.00%     6.67%    13.33%
DecayToNeutral               1          1486     1265     -0.00001      0.00000    47.75%    46.72%     5.53%     1.03%
DestructiveRotation          1           836      789     -0.00001      0.00000    46.77%    49.68%     3.55%    -2.92%
DestructiveRotation          2           100       99     -0.00005      0.00000    44.44%    49.49%     6.06%    -5.05%
DestructiveRotation          3            11       10      0.00001     -0.00005    40.00%    50.00%    10.00%   -10.00%
DestructiveRotation          4             1        1     -0.00020     -0.00020     0.00%   100.00%     0.00%  -100.00%
ConstructiveEmergence        1            83       82     -0.00002      0.00005    51.22%    46.34%     2.44%     4.88%
MixedStructure               1          3265     3153     -0.00002      0.00000    46.27%    48.30%     5.42%    -2.03%
MixedStructure               2           355      341     -0.00002      0.00000    45.45%    48.97%     5.57%    -3.52%
MixedStructure               3            42       42     -0.00001      0.00000    50.00%    50.00%     0.00%     0.00%
MixedStructure               4             8        8      0.00024      0.00025    75.00%    25.00%     0.00%    50.00%
MixedStructure               5             1        1      0.00010      0.00010   100.00%     0.00%     0.00%   100.00%
