APVA Phase Transition Matrix Study v0.1 - 6E
=============================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Structural state counts: {'MixedStructure': 3671, 'NeutralProcessing': 16992, 'ReassertionProcessing': 2011, 'RecoveryResolution': 1696, 'CompressionProcessing': 6489, 'ExhaustionPersistence': 1884, 'DecayToNeutral': 1486, 'DestructiveRotation': 948, 'ConstructiveEmergence': 83}
Lifecycle phase counts: {'Terminal': 7908, 'Growth': 6973, 'Maturity': 2937, 'Insufficient': 68, 'Birth': 12364, 'Decay': 5010}
Valid phase observations: 35192

Section 1 - Phase Counts
========================
Phase              Count  Frequency
Birth              12364     35.07%
Growth              6973     19.78%
Maturity            2937      8.33%
Decay               5010     14.21%
Terminal            7908     22.43%
Insufficient          68      0.19%

Section 2 - Phase -> NextState Tables
=====================================
Phase           H NextState                        Count  Probability      Lift
Birth           1 RecoveryResolution                 702        5.68%     1.180
Birth           1 ExhaustionPersistence              485        3.92%     0.734
Birth           1 CompressionProcessing             3352       27.11%     1.473
Birth           1 NeutralProcessing                 5231       42.31%     0.878
Birth           1 ReassertionProcessing              568        4.59%     0.805
Birth           1 DecayToNeutral                     232        1.88%     0.445
Birth           1 DestructiveRotation                433        3.50%     1.303
Birth           1 ConstructiveEmergence               26        0.21%     0.893
Birth           1 MixedStructure                    1335       10.80%     1.037
Growth          1 RecoveryResolution                 103        1.48%     0.307
Growth          1 ExhaustionPersistence              158        2.27%     0.424
Growth          1 CompressionProcessing             1374       19.70%     1.071
Growth          1 NeutralProcessing                 3726       53.43%     1.109
Growth          1 ReassertionProcessing              570        8.17%     1.433
Growth          1 DecayToNeutral                     147        2.11%     0.500
Growth          1 DestructiveRotation                 56        0.80%     0.299
Growth          1 ConstructiveEmergence               12        0.17%     0.731
Growth          1 MixedStructure                     827       11.86%     1.139
Maturity        1 RecoveryResolution                 384       13.07%     2.718
Maturity        1 ExhaustionPersistence              343       11.68%     2.186
Maturity        1 CompressionProcessing              556       18.93%     1.029
Maturity        1 NeutralProcessing                 1473       50.15%     1.041
Maturity        1 ReassertionProcessing               31        1.06%     0.185
Maturity        1 DecayToNeutral                      73        2.49%     0.590
Maturity        1 DestructiveRotation                 15        0.51%     0.190
Maturity        1 MixedStructure                      62        2.11%     0.203
Decay           1 RecoveryResolution                  93        1.86%     0.386
Decay           1 ExhaustionPersistence              308        6.15%     1.151
Decay           1 CompressionProcessing              488        9.74%     0.529
Decay           1 NeutralProcessing                 3345       66.77%     1.385
