APVA Process Graph Study v0.1
============================================================================================
Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Node count: 41
Edge count: 221

1. Directed Graph Summary
SourceNode | DestinationNode | TransitionCount | TransitionProbability
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 1659 | 56.66%
CompressionProcessing_Age1 | NeutralProcessing_Age1 | 891 | 30.43%
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 181 | 6.18%
CompressionProcessing_Age1 | RecoveryResolution_Age1 | 126 | 4.30%
CompressionProcessing_Age1 | MixedStructure_Age1 | 28 | 0.96%
CompressionProcessing_Age1 | DestructiveRotation_Age1 | 21 | 0.72%
CompressionProcessing_Age1 | ReassertionProcessing_Age1 | 19 | 0.65%
CompressionProcessing_Age1 | DecayToNeutral_Age1 | 3 | 0.10%
CompressionProcessing_Age11-20 | CompressionProcessing_Age11-20 | 2 | 40.00%
CompressionProcessing_Age11-20 | ExhaustionPersistence_Age1 | 2 | 40.00%
CompressionProcessing_Age11-20 | RecoveryResolution_Age1 | 1 | 20.00%
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 840 | 50.63%
CompressionProcessing_Age2 | NeutralProcessing_Age1 | 549 | 33.09%
CompressionProcessing_Age2 | ExhaustionPersistence_Age1 | 115 | 6.93%
CompressionProcessing_Age2 | RecoveryResolution_Age1 | 77 | 4.64%
CompressionProcessing_Age2 | DecayToNeutral_Age1 | 41 | 2.47%
CompressionProcessing_Age2 | MixedStructure_Age1 | 20 | 1.21%
CompressionProcessing_Age2 | DestructiveRotation_Age1 | 14 | 0.84%
CompressionProcessing_Age2 | ReassertionProcessing_Age1 | 2 | 0.12%
CompressionProcessing_Age2 | ConstructiveEmergence_Age1 | 1 | 0.06%
CompressionProcessing_Age3 | CompressionProcessing_Age4 | 528 | 62.86%
CompressionProcessing_Age3 | NeutralProcessing_Age1 | 177 | 21.07%
CompressionProcessing_Age3 | ExhaustionPersistence_Age1 | 65 | 7.74%
CompressionProcessing_Age3 | RecoveryResolution_Age1 | 34 | 4.05%
