APVA Sequence Evolution Study v0.1
==================================
Input: Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_OPEN_apva_bar_evidence_v01.csv
Total rows: 35151
SequenceStage logic reuses the crude proxy from APVA_PostBreakoutOOE_10.py.
This is not true PVA OOE.
Same-bar IB/SYM and lateral breakouts create parallel source-specific segments.
Transition-rate lookahead: next 5 bars of the same segment.
Ranked-condition minimum Count: 30

Diagnostics
===========
Total segments:         3181
IBSYM segments:         1191
Lateral segments:       1990
Up segments:            1561
Down segments:          1620
Average segment length: 10.18
Median segment length:  9.00
Max segment length:     20
Zero-length segments:   119

Segment Ledger
==============
SegmentId Type     Direction   StartBar     EndBar   Length  MaxStage  ToStage1  ToStage2  ToStage3  ToStage4
        1 Lateral  Up                18         28       11         2         1         6        NA        NA
        2 Lateral  Up                30         44       15         4         2         3         8         9
        3 Lateral  Down              46         47        2         0        NA        NA        NA        NA
        4 Lateral  Down              49         56        8         3         1         3         4        NA
        5 IBSYM    Down              58         58        1         0        NA        NA        NA        NA
        6 Lateral  Up                60         64        5         2         2         4        NA        NA
        7 Lateral  Up                66         79       14         4         1         6        10        11
        8 IBSYM    Down              81         95       15         3         3        11        14        NA
        9 Lateral  Down              81         95       15         3         3        11        14        NA
       10 Lateral  Up                97        104        8         1         1        NA        NA        NA
       11 IBSYM    Up               106        125       20         4         4        10        11        15
       12 Lateral  Up               106        125       20         4         4        10        11        15
       13 Lateral  Up               129        145       17         4         1         3         6        10
       14 IBSYM    Down             147        147        1         0        NA        NA        NA        NA
       15 Lateral  Up               149        152        4         0        NA        NA        NA        NA
       16 Lateral  Down             154        173       20         3         4         5        20        NA
       17 Lateral  Down             188        197       10         4         2         5         8        10
       18 Lateral  Down             199        213       15         4         1         2         3         4
       19 IBSYM    Down             215        231       17         4         3         7         8        10
       20 Lateral  Down             215        231       17         4         3         7         8        10
       21 Lateral  Down             233        236        4         1         4        NA        NA        NA
       22 IBSYM    Down             238        239        2         1         2        NA        NA        NA
       23 Lateral  Down             241        260       20         4         1         5         9        11
       24 Lateral  Up               265        269        5         1         4        NA        NA        NA
       25 IBSYM    Down             271        270        0         0        NA        NA        NA        NA
       26 Lateral  Down             272        281       10         1         6        NA        NA        NA
       27 IBSYM    Down             283        286        4         1         1        NA        NA        NA
       28 Lateral  Down             283        286        4         1         1        NA        NA        NA
       29 IBSYM    Down             288        290        3         1         2        NA        NA        NA
       30 Lateral  Down             288        290        3         1         2        NA        NA        NA
       31 IBSYM    Down             292        311       20         3         1         3        15        NA
       32 Lateral  Down             292        311       20         3         1         3        15        NA
       33 Lateral  Up               323        332       10         2         5         7        NA        NA
       34 Lateral  Up               334        344       11         2         1         7        NA        NA
       35 IBSYM    Down             346        348        3         1         2        NA        NA        NA
       36 Lateral  Down             350        354        5         2         1         5        NA        NA
       37 IBSYM    Up               356        369       14         2         1         2        NA        NA
       38 Lateral  Up               356        369       14         2         1         2        NA        NA
       39 Lateral  Up               371        390       20         4         1         6         7        12
       40 IBSYM    Down             400        399        0         0        NA        NA        NA        NA
       41 Lateral  Down             401        405        5         2         2         4        NA        NA
       42 IBSYM    Up               407        410        4         0        NA        NA        NA        NA
       43 Lateral  Up               407        410        4         0        NA        NA        NA        NA
       44 Lateral  Down             412        424       13         3         1         3         4        NA
       45 IBSYM    Up               426        430        5         1         1        NA        NA        NA
       46 Lateral  Up               426        430        5         1         1        NA        NA        NA
       47 Lateral  Up               432        433        2         1         1        NA        NA        NA
       48 IBSYM    Down             435        439        5         2         4         5        NA        NA
       49 Lateral  Down             435        439        5         2         4         5        NA        NA
       50 IBSYM    Up               441        444        4         2         1         3        NA        NA
       51 Lateral  Up               441        444        4         2         1         3        NA        NA
       52 IBSYM    Down             446        449        4         2         2         3        NA        NA
       53 Lateral  Down             446        449        4         2         2         3        NA        NA
       54 IBSYM    Down             451        452        2         0        NA        NA        NA        NA
       55 Lateral  Down             454        473       20         4         5        13        14        15
       56 IBSYM    Down             485        488        4         1         3        NA        NA        NA
       57 Lateral  Down             490        497        8         2         2         7        NA        NA
       58 Lateral  Up               499        503        5         1         2        NA        NA        NA
       59 IBSYM    Up               505        509        5         3         1         4         5        NA
       60 Lateral  Up               505        509        5         3         1         4         5        NA
       61 Lateral  Down             511        530       20         4         1         3         4        16
       62 IBSYM    Up               552        557        6         2         1         4        NA        NA
       63 IBSYM    Up               559        567        9         2         4         9        NA        NA
       64 Lateral  Up               559        567        9         2         4         9        NA        NA
       65 IBSYM    Up               569        576        8         2         2         3        NA        NA
       66 Lateral  Up               569        576        8         2         2         3        NA        NA
       67 Lateral  Up               578        596       19         2         1         9        NA        NA
       68 Lateral  Up               598        601        4         1         3        NA        NA        NA
       69 IBSYM    Down             603        609        7         2         4         5        NA        NA
       70 Lateral  Down             603        609        7         2         4         5        NA        NA
       71 IBSYM    Down             611        615        5         1         2        NA        NA        NA
       72 Lateral  Down             611        615        5         1         2        NA        NA        NA
       73 Lateral  Up               617        617        1         0        NA        NA        NA        NA
       74 IBSYM    Up               619        621        3         1         1        NA        NA        NA
       75 Lateral  Up               623        635       13         3         2         6         9        NA
       76 IBSYM    Up               637        636        0         0        NA        NA        NA        NA
       77 Lateral  Up               638        657       20         4         1         5         6         9
       78 Lateral  Down             727        730        4         1         3        NA        NA        NA
       79 IBSYM    Down             732        731        0         0        NA        NA        NA        NA
       80 Lateral  Down             733        734        2         1         2        NA        NA        NA
       81 Lateral  Down             736        755       20         4         1         3         4         5
       82 IBSYM    Down             768        773        6         3         2         3         4        NA
       83 IBSYM    Up               775        775        1         1         1        NA        NA        NA
       84 Lateral  Up               777        796       20         4         1         7         9        10
       85 Lateral  Down             805        814       10         1         3        NA        NA        NA
       86 IBSYM    Down             816        817        2         1         2        NA        NA        NA
       87 Lateral  Down             816        817        2         1         2        NA        NA        NA
       88 IBSYM    Down             819        818        0         0        NA        NA        NA        NA
       89 Lateral  Down             820        839       20         4         4         7        13        14
       90 Lateral  Down             842        855       14         4         1         5         8         9
       91 IBSYM    Down             857        860        4         0        NA        NA        NA        NA
       92 Lateral  Down             857        860        4         0        NA        NA        NA        NA
       93 Lateral  Up               862        873       12         2         7        10        NA        NA
       94 Lateral  Up               875        882        8         2         5         6        NA        NA
       95 IBSYM    Down             884        897       14         2         2         3        NA        NA
       96 Lateral  Down             884        897       14         2         2         3        NA        NA
       97 Lateral  Up               899        899        1         0        NA        NA        NA        NA
       98 IBSYM    Up               901        905        5         0        NA        NA        NA        NA
       99 Lateral  Up               901        905        5         0        NA        NA        NA        NA
      100 IBSYM    Up               907        906        0         0        NA        NA        NA        NA
      101 Lateral  Up               908        909        2         1         2        NA        NA        NA
      102 IBSYM    Down             911        911        1         0        NA        NA        NA        NA
      103 Lateral  Down             913        918        6         2         2         3        NA        NA
      104 IBSYM    Up               920        919        0         0        NA        NA        NA        NA
      105 Lateral  Up               921        940       20         4         2         5         6         8
      106 Lateral  Up              1011       1030       20         4         1         4         5         7
      107 IBSYM    Down            1087       1086        0         0        NA        NA        NA        NA
      108 Lateral  Down            1088       1095        8         2         2         4        NA        NA
      109 Lateral  Down            1097       1100        4         3         2         3         4        NA
      110 IBSYM    Up              1102       1103        2         2         1         2        NA        NA
      111 IBSYM    Down            1105       1116       12         4         3         5         7         9
      112 Lateral  Up              1118       1125        8         1         1        NA        NA        NA
      113 IBSYM    Up              1127       1126        0         0        NA        NA        NA        NA
      114 Lateral  Up              1128       1136        9         1         1        NA        NA        NA
      115 IBSYM    Up              1138       1151       14         3         2         3         5        NA
      116 Lateral  Up              1138       1151       14         3         2         3         5        NA
      117 Lateral  Down            1153       1156        4         4         1         2         3         4
      118 IBSYM    Down            1158       1167       10         3         1         4         6        NA
      119 Lateral  Down            1158       1167       10         3         1         4         6        NA
      120 Lateral  Down            1169       1175        7         4         3         5         6         7
      121 Lateral  Up              1177       1180        4         1         3        NA        NA        NA
      122 IBSYM    Up              1182       1181        0         0        NA        NA        NA        NA
      123 Lateral  Up              1183       1185        3         1         1        NA        NA        NA
      124 IBSYM    Up              1187       1191        5         1         1        NA        NA        NA
      125 Lateral  Up              1187       1191        5         1         1        NA        NA        NA
      126 IBSYM    Down            1193       1212       20         2         4         7        NA        NA
