APVA Stage + Alignment + Breakout Type Study v0.1 - 6E
======================================================
Instrument: 6E
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_OPEN_apva_bar_evidence_v01.csv
Total rows: 35179
Total stage-alignment-breakout observations: 28147
Breakout, SequenceStage, alignment, event, and DRFwd logic are reused from prior studies.
This is a descriptive decomposition of the prior Stage x Alignment result.

Observation Counts by BreakoutType
==================================
IBSYM            8724
Lateral         19423

Observation Counts by Stage
===========================
Stage0      2892
Stage1      8403
Stage2      6783
Stage3      3856
Stage4      6213

Observation Counts by Alignment
===============================
Aligned         13938
Opposed         14209

Event x Stage x Alignment x BreakoutType
========================================
Event                    Type       Stage Alignment    Count   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
AllBars                  IBSYM     Stage0 Aligned         2     0.000200     0.000200    50.00%     0.00%    50.00%
AllBars                  IBSYM     Stage0 Opposed      1066     0.000043     0.000000    46.44%    47.37%     6.19%
AllBars                  IBSYM     Stage1 Aligned      2064    -0.000031     0.000000    44.33%    49.03%     6.64%
AllBars                  IBSYM     Stage1 Opposed       590     0.000008     0.000000    45.08%    49.66%     5.25%
AllBars                  IBSYM     Stage2 Aligned       896    -0.000019    -0.000050    44.64%    50.67%     4.69%
AllBars                  IBSYM     Stage2 Opposed      1165     0.000000     0.000000    46.78%    47.30%     5.92%
AllBars                  IBSYM     Stage3 Aligned       219     0.000015     0.000000    48.40%    47.03%     4.57%
AllBars                  IBSYM     Stage3 Opposed       913    -0.000060    -0.000050    42.83%    51.70%     5.48%
AllBars                  IBSYM     Stage4 Aligned      1039     0.000003     0.000000    48.99%    46.49%     4.52%
AllBars                  IBSYM     Stage4 Opposed       770    -0.000012     0.000000    45.84%    48.44%     5.71%
AllBars                  Lateral   Stage0 Aligned         7     0.000150     0.000200    71.43%    14.29%    14.29%
AllBars                  Lateral   Stage0 Opposed      1817     0.000004     0.000000    46.18%    48.05%     5.78%
AllBars                  Lateral   Stage1 Aligned      4459    -0.000022     0.000000    44.94%    49.59%     5.47%
AllBars                  Lateral   Stage1 Opposed      1290     0.000001     0.000000    47.36%    47.52%     5.12%
AllBars                  Lateral   Stage2 Aligned      2143    -0.000007     0.000000    47.04%    48.67%     4.29%
AllBars                  Lateral   Stage2 Opposed      2579    -0.000025     0.000000    46.10%    48.97%     4.92%
AllBars                  Lateral   Stage3 Aligned       551     0.000043     0.000050    50.45%    44.46%     5.08%
AllBars                  Lateral   Stage3 Opposed      2173    -0.000043    -0.000050    43.53%    51.40%     5.06%
AllBars                  Lateral   Stage4 Aligned      2558     0.000043     0.000050    50.70%    45.15%     4.14%
AllBars                  Lateral   Stage4 Opposed      1846    -0.000035    -0.000050    45.02%    50.38%     4.60%
DissipationAny           IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
DissipationAny           IBSYM     Stage0 Opposed       494     0.000046     0.000000    46.36%    48.18%     5.47%
DissipationAny           IBSYM     Stage1 Aligned       970    -0.000023     0.000000    45.15%    48.66%     6.19%
DissipationAny           IBSYM     Stage1 Opposed       370     0.000007    -0.000025    45.14%    50.00%     4.86%
DissipationAny           IBSYM     Stage2 Aligned       429    -0.000015     0.000000    46.62%    48.48%     4.90%
DissipationAny           IBSYM     Stage2 Opposed       389     0.000010     0.000000    47.30%    44.99%     7.71%
DissipationAny           IBSYM     Stage3 Aligned       151     0.000023     0.000000    49.01%    45.03%     5.96%
