APVA Stage + Alignment Interaction Study v0.1
=============================================
Input: Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_OPEN_apva_bar_evidence_v01.csv
Total rows: 35151
SequenceStage logic reuses APVA_PostBreakoutOOE_10.py.
Alignment logic reuses APVA_BreakoutAlignment_09.py.
This is not true PVA OOE.
Each source-specific segment-bar observation is counted; overlapping segments may include the same bar.
SequenceStage progression is direction-aware, so Stage and Alignment are descriptive interacting factors.
Ranked comparisons require both sides Count >= 30.

Diagnostics
===========
Total stage-alignment observations: 28132
Stage0 observations: 2892
Stage1 observations: 8398
Stage2 observations: 6778
Stage3 observations: 3853
Stage4 observations: 6211
Aligned observations: 13926
Opposed observations: 14206

Stage x Alignment Counts
========================
Stage       Aligned    Opposed
Stage0           9       2883
Stage1        6518       1880
Stage2        3035       3743
Stage3         769       3084
Stage4        3595       2616

Event Counts by Stage x Alignment
=================================
Event                        S0A     S0O     S1A     S1O     S2A     S2O     S3A     S3O     S4A     S4O
AllBars                        9    2883    6518    1880    3035    3743     769    3084    3595    2616
DissipationAny                 0    1381    3213    1160    1504    1289     522    1785    1611    1318
DissipationContained           0     627    1217     617     712     529     284     672     668     620
DissipationAccepted            0     603    1768     543     709     487     238    1053     745     579
ParticipationPeak              0     532    1496       0     698    1483       0     304     738     499
ParticipationClimactic         0     212     645       0     358     571       0     109     349     230
PeakContained                  0     155     363       0     239     527       0      62     281     159
PeakAccepted                   0     266     997       0     344     740       0     224     363     258
ClimacticContained             0      63     116       0     112     198       0      21      91      75
ClimacticAccepted              0     115     502       0     216     318       0      86     233     127

Event x Stage x Alignment DRFwd5 Table
=====================================
Event                      Stage Alignment    Count   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
AllBars                   Stage0 Aligned         9     0.000161     0.000200    66.67%    11.11%    22.22%
AllBars                   Stage0 Opposed      2883     0.000018     0.000000    46.27%    47.80%     5.93%
AllBars                   Stage1 Aligned      6518    -0.000025     0.000000    44.72%    49.43%     5.85%
AllBars                   Stage1 Opposed      1880     0.000003     0.000000    46.65%    48.19%     5.16%
AllBars                   Stage2 Aligned      3035    -0.000011     0.000000    46.29%    49.29%     4.42%
AllBars                   Stage2 Opposed      3743    -0.000017     0.000000    46.33%    48.44%     5.24%
AllBars                   Stage3 Aligned       769     0.000035     0.000000    49.80%    45.25%     4.94%
AllBars                   Stage3 Opposed      3084    -0.000048    -0.000050    43.35%    51.46%     5.19%
AllBars                   Stage4 Aligned      3595     0.000032     0.000050    50.24%    45.51%     4.26%
AllBars                   Stage4 Opposed      2616    -0.000028     0.000000    45.26%    49.81%     4.93%
DissipationAny            Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
DissipationAny            Stage0 Opposed      1381     0.000019     0.000000    45.91%    48.30%     5.79%
DissipationAny            Stage1 Aligned      3213    -0.000015     0.000000    46.03%    48.27%     5.70%
DissipationAny            Stage1 Opposed      1160    -0.000009     0.000000    46.72%    48.36%     4.91%
DissipationAny            Stage2 Aligned      1504    -0.000007     0.000000    48.14%    47.81%     4.06%
DissipationAny            Stage2 Opposed      1289    -0.000030     0.000000    45.23%    48.88%     5.90%
DissipationAny            Stage3 Aligned       522     0.000021     0.000025    50.00%    44.83%     5.17%
DissipationAny            Stage3 Opposed      1785    -0.000043    -0.000050    43.81%    51.65%     4.54%
DissipationAny            Stage4 Aligned      1611     0.000030     0.000050    51.52%    45.31%     3.17%
