APVA State Hazard Function Study v0.1 - 6E
==============================================================

Rows: 35260

State                        Age           N     Surv1      Haz1     Surv3      Haz3     Surv5      Haz5
RecoveryResolution           1          1079    31.42%    68.58%     3.89%    96.11%     7.41%    92.59%
RecoveryResolution           2           339    74.04%    25.96%     6.19%    93.81%     7.67%    92.33%
RecoveryResolution           3           251     6.37%    93.63%     9.56%    90.44%     8.37%    91.63%
RecoveryResolution           4            16    37.50%    62.50%     6.25%    93.75%     0.00%   100.00%
RecoveryResolution           5             6    83.33%    16.67%    16.67%    83.33%     0.00%   100.00%
RecoveryResolution           6-10          5     0.00%   100.00%     0.00%   100.00%     0.00%   100.00%
ExhaustionPersistence        1          1116    27.24%    72.76%    15.77%    84.23%     7.80%    92.20%
ExhaustionPersistence        2           304    76.97%    23.03%    19.41%    80.59%     9.87%    90.13%
ExhaustionPersistence        3           234    61.11%    38.89%    12.39%    87.61%     6.41%    93.59%
ExhaustionPersistence        4           143    40.56%    59.44%    11.89%    88.11%     3.50%    96.50%
ExhaustionPersistence        5            58    31.03%    68.97%     5.17%    94.83%     6.90%    93.10%
ExhaustionPersistence        6-10         29    37.93%    62.07%     3.45%    96.55%    10.34%    89.66%
CompressionProcessing        1          2928    56.66%    43.34%    42.59%    57.41%    21.31%    78.69%
CompressionProcessing        2          1659    50.63%    49.37%    39.24%    60.76%    22.42%    77.58%
CompressionProcessing        3           840    62.86%    37.14%    30.00%    70.00%    22.26%    77.74%
CompressionProcessing        4           528    53.41%    46.59%    28.60%    71.40%    20.27%    79.73%
CompressionProcessing        5           282    45.04%    54.96%    28.01%    71.99%    21.28%    78.72%
CompressionProcessing        6-10        247    49.80%    50.20%    27.94%    72.06%    19.84%    80.16%
CompressionProcessing        11-20         5    40.00%    60.00%    20.00%    80.00%    20.00%    80.00%
NeutralProcessing            1          5672    56.51%    43.49%    58.36%    41.64%    48.29%    51.71%
NeutralProcessing            2          3205    54.73%    45.27%    72.45%    27.55%    50.80%    49.20%
NeutralProcessing            3          1754    74.80%    25.20%    74.23%    25.77%    50.06%    49.94%
NeutralProcessing            4          1312    90.85%     9.15%    66.54%    33.46%    52.59%    47.41%
NeutralProcessing            5          1192    81.21%    18.79%    55.70%    44.30%    51.34%    48.66%
NeutralProcessing            6-10       2884    74.10%    25.90%    60.68%    39.32%    51.49%    48.51%
NeutralProcessing            11-20       891    77.22%    22.78%    63.52%    36.48%    52.64%    47.36%
NeutralProcessing            21+          82    78.05%    21.95%    62.20%    37.80%    52.44%    47.56%
ReassertionProcessing        1          1759    13.47%    86.53%    15.12%    84.88%     6.71%    93.29%
ReassertionProcessing        2           237     6.33%    93.67%    17.72%    82.28%     6.33%    93.67%
ReassertionProcessing        3            15     0.00%   100.00%    13.33%    86.67%     0.00%   100.00%
DecayToNeutral               1          1486     0.00%   100.00%     4.71%    95.29%     4.78%    95.22%
DestructiveRotation          1           836    11.96%    88.04%     7.06%    92.94%     3.11%    96.89%
DestructiveRotation          2           100    11.00%    89.00%    11.00%    89.00%     4.00%    96.00%
DestructiveRotation          3            11     9.09%    90.91%     9.09%    90.91%     0.00%   100.00%
DestructiveRotation          4             1     0.00%   100.00%     0.00%   100.00%     0.00%   100.00%
ConstructiveEmergence        1            83     0.00%   100.00%     0.00%   100.00%     0.00%   100.00%
MixedStructure               1          3265    10.87%    89.13%    16.88%    83.12%     9.86%    90.14%
MixedStructure               2           355    11.83%    88.17%    16.06%    83.94%    11.55%    88.45%
MixedStructure               3            42    19.05%    80.95%    16.67%    83.33%    16.67%    83.33%
MixedStructure               4             8    12.50%    87.50%    37.50%    62.50%    12.50%    87.50%
MixedStructure               5             1     0.00%   100.00%     0.00%   100.00%     0.00%   100.00%
