APVA State Transition Model Study v0.1
========================================================================================
Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
State counts: RecoveryResolution=1696, ExhaustionPersistence=1884, CompressionProcessing=6489, NeutralProcessing=16992, ReassertionProcessing=2011, DecayToNeutral=1486, DestructiveRotation=948, ConstructiveEmergence=83, MixedStructure=3671
State-age counts: 41

1. Transition Matrix
State | AgeBucket | NextState | Count | TransitionCount | TransitionProbability
CompressionProcessing | 1 | RecoveryResolution | 2928 | 126 | 4.30%
CompressionProcessing | 1 | ExhaustionPersistence | 2928 | 181 | 6.18%
CompressionProcessing | 1 | CompressionProcessing | 2928 | 1659 | 56.66%
CompressionProcessing | 1 | NeutralProcessing | 2928 | 891 | 30.43%
CompressionProcessing | 1 | ReassertionProcessing | 2928 | 19 | 0.65%
CompressionProcessing | 1 | DecayToNeutral | 2928 | 3 | 0.10%
CompressionProcessing | 1 | DestructiveRotation | 2928 | 21 | 0.72%
CompressionProcessing | 1 | ConstructiveEmergence | 2928 | 0 | 0.00%
CompressionProcessing | 1 | MixedStructure | 2928 | 28 | 0.96%
CompressionProcessing | 11-20 | RecoveryResolution | 5 | 1 | 20.00%
CompressionProcessing | 11-20 | ExhaustionPersistence | 5 | 2 | 40.00%
CompressionProcessing | 11-20 | CompressionProcessing | 5 | 2 | 40.00%
CompressionProcessing | 11-20 | NeutralProcessing | 5 | 0 | 0.00%
CompressionProcessing | 11-20 | ReassertionProcessing | 5 | 0 | 0.00%
CompressionProcessing | 11-20 | DecayToNeutral | 5 | 0 | 0.00%
CompressionProcessing | 11-20 | DestructiveRotation | 5 | 0 | 0.00%
CompressionProcessing | 11-20 | ConstructiveEmergence | 5 | 0 | 0.00%
CompressionProcessing | 11-20 | MixedStructure | 5 | 0 | 0.00%
CompressionProcessing | 2 | RecoveryResolution | 1659 | 77 | 4.64%
CompressionProcessing | 2 | ExhaustionPersistence | 1659 | 115 | 6.93%
CompressionProcessing | 2 | CompressionProcessing | 1659 | 840 | 50.63%
CompressionProcessing | 2 | NeutralProcessing | 1659 | 549 | 33.09%
CompressionProcessing | 2 | ReassertionProcessing | 1659 | 2 | 0.12%
CompressionProcessing | 2 | DecayToNeutral | 1659 | 41 | 2.47%
CompressionProcessing | 2 | DestructiveRotation | 1659 | 14 | 0.84%
CompressionProcessing | 2 | ConstructiveEmergence | 1659 | 1 | 0.06%
CompressionProcessing | 2 | MixedStructure | 1659 | 20 | 1.21%
CompressionProcessing | 3 | RecoveryResolution | 840 | 34 | 4.05%
CompressionProcessing | 3 | ExhaustionPersistence | 840 | 65 | 7.74%
CompressionProcessing | 3 | CompressionProcessing | 840 | 528 | 62.86%
CompressionProcessing | 3 | NeutralProcessing | 840 | 177 | 21.07%
CompressionProcessing | 3 | ReassertionProcessing | 840 | 5 | 0.60%
CompressionProcessing | 3 | DecayToNeutral | 840 | 11 | 1.31%
CompressionProcessing | 3 | DestructiveRotation | 840 | 3 | 0.36%
CompressionProcessing | 3 | ConstructiveEmergence | 840 | 0 | 0.00%
CompressionProcessing | 3 | MixedStructure | 840 | 17 | 2.02%
CompressionProcessing | 4 | RecoveryResolution | 528 | 23 | 4.36%
CompressionProcessing | 4 | ExhaustionPersistence | 528 | 35 | 6.63%
CompressionProcessing | 4 | CompressionProcessing | 528 | 282 | 53.41%
CompressionProcessing | 4 | NeutralProcessing | 528 | 142 | 26.89%
CompressionProcessing | 4 | ReassertionProcessing | 528 | 2 | 0.38%
CompressionProcessing | 4 | DecayToNeutral | 528 | 19 | 3.60%
CompressionProcessing | 4 | DestructiveRotation | 528 | 3 | 0.57%
CompressionProcessing | 4 | ConstructiveEmergence | 528 | 0 | 0.00%
CompressionProcessing | 4 | MixedStructure | 528 | 22 | 4.17%
CompressionProcessing | 5 | RecoveryResolution | 282 | 12 | 4.26%
CompressionProcessing | 5 | ExhaustionPersistence | 282 | 19 | 6.74%
CompressionProcessing | 5 | CompressionProcessing | 282 | 127 | 45.04%
CompressionProcessing | 5 | NeutralProcessing | 282 | 76 | 26.95%
CompressionProcessing | 5 | ReassertionProcessing | 282 | 5 | 1.77%
CompressionProcessing | 5 | DecayToNeutral | 282 | 22 | 7.80%
CompressionProcessing | 5 | DestructiveRotation | 282 | 9 | 3.19%
CompressionProcessing | 5 | ConstructiveEmergence | 282 | 0 | 0.00%
CompressionProcessing | 5 | MixedStructure | 282 | 12 | 4.26%
CompressionProcessing | 6-10 | RecoveryResolution | 247 | 12 | 4.86%
CompressionProcessing | 6-10 | ExhaustionPersistence | 247 | 16 | 6.48%
CompressionProcessing | 6-10 | CompressionProcessing | 247 | 123 | 49.80%
CompressionProcessing | 6-10 | NeutralProcessing | 247 | 63 | 25.51%
CompressionProcessing | 6-10 | ReassertionProcessing | 247 | 2 | 0.81%
CompressionProcessing | 6-10 | DecayToNeutral | 247 | 13 | 5.26%
CompressionProcessing | 6-10 | DestructiveRotation | 247 | 2 | 0.81%
CompressionProcessing | 6-10 | ConstructiveEmergence | 247 | 0 | 0.00%
CompressionProcessing | 6-10 | MixedStructure | 247 | 16 | 6.48%
