APVA Trajectory Study v0.1 - 6E
===============================
Instrument: 6E
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Valid polarity rows: 31107
Family counts: {'A': 181, 'B': 3069, 'C': 5456, 'D': 6497, 'N': 20057}
Total path windows by length: {3: 35258, 4: 35257, 5: 35256}
Study 30 family precedence reused exactly: A, then B, then C, then D, then N.

Section 1 - Family Path Tables
==============================
Path                               Len    Count   Frequency    Expected       OER
N->N->N                              3     6376     18.08%   6489.4617    0.9825
N->D->N                              3     3451      9.79%   2102.1106    1.6417
N->N->D                              3     3064      8.69%   2102.1106    1.4576
D->N->N                              3     2612      7.41%   2102.1106    1.2426
C->N->N                              3     1447      4.10%   1765.2941    0.8197
N->C->N                              3     1314      3.73%   1765.2941    0.7444
N->N->C                              3     1257      3.57%   1765.2941    0.7121
D->N->D                              3     1096      3.11%    680.9300    1.6096
B->N->N                              3      810      2.30%    992.9779    0.8157
N->D->D                              3      626      1.78%    680.9300    0.9193
C->C->N                              3      600      1.70%    480.2036    1.2495
N->C->C                              3      595      1.69%    480.2036    1.2391
N->N->B                              3      580      1.65%    992.9779    0.5841
N->B->N                              3      578      1.64%    992.9779    0.5821
N->D->C                              3      564      1.60%    571.8261    0.9863
D->D->N                              3      546      1.55%    680.9300    0.8018
D->N->C                              3      527      1.49%    571.8261    0.9216
C->N->C                              3      488      1.38%    480.2036    1.0162
C->N->D                              3      482      1.37%    571.8261    0.8429
C->B->N                              3      468      1.33%    270.1145    1.7326
N->C->B                              3      440      1.25%    270.1145    1.6289
D->C->N                              3      416      1.18%    571.8261    0.7275
C->C->C                              3      364      1.03%    130.6273    2.7866
B->C->N                              3      325      0.92%    270.1145    1.2032
N->D->B                              3      313      0.89%    321.6522    0.9731
B->N->D                              3      312      0.88%    321.6522    0.9700
C->C->B                              3      306      0.87%     73.4778    4.1645
C->B->C                              3      263      0.75%     73.4778    3.5793
N->B->C                              3      262      0.74%    270.1145    0.9700
B->N->C                              3      252      0.71%    270.1145    0.9329
D->B->N                              3      244      0.69%    321.6522    0.7586
B->D->N                              3      241      0.68%    321.6522    0.7493
C->N->B                              3      241      0.68%    270.1145    0.8922
C->D->N                              3      214      0.61%    571.8261    0.3742
D->N->B                              3      214      0.61%    321.6522    0.6653
B->C->C                              3      207      0.59%     73.4778    2.8172
B->B->N                              3      193      0.55%    151.9394    1.2702
D->C->C                              3      191      0.54%    155.5508    1.2279
N->C->D                              3      172      0.49%    571.8261    0.3008
C->B->B                              3      171      0.48%     41.3313    4.1373
N->B->D                              3      161      0.46%    321.6522    0.5005
B->C->B                              3      143      0.41%     41.3313    3.4598
N->B->B                              3      142      0.40%    151.9394    0.9346
D->C->B                              3      125      0.35%     87.4973    1.4286
C->B->D                              3      112      0.32%     87.4973    1.2800
B->B->C                              3      111      0.31%     41.3313    2.6856
B->N->B                              3      110      0.31%    151.9394    0.7240
D->D->C                              3       87      0.25%    185.2298    0.4697
B->D->C                              3       84      0.24%     87.4973    0.9600
C->C->D                              3       82      0.23%    155.5508    0.5272
D->B->C                              3       79      0.22%     87.4973    0.9029
B->B->B                              3       78      0.22%     23.2488    3.3550
D->D->D                              3       73      0.21%    220.5715    0.3310
A->N->N                              3       71      0.20%     58.5627    1.2124
B->B->D                              3       64      0.18%     49.2173    1.3004
C->D->C                              3       61      0.17%    155.5508    0.3922
D->B->B                              3       57      0.16%     49.2173    1.1581
D->B->D                              3       56      0.16%    104.1918    0.5375
D->C->D                              3       54      0.15%    185.2298    0.2915
D->D->B                              3       51      0.14%    104.1918    0.4895
N->A->N                              3       47      0.13%     58.5627    0.8026
N->N->A                              3       40      0.11%     58.5627    0.6830
C->D->B                              3       37      0.10%     87.4973    0.4229
B->C->D                              3       34      0.10%     87.4973    0.3886
B->D->B                              3       34      0.10%     49.2173    0.6908
C->A->N                              3       32      0.09%     15.9305    2.0087
B->D->D                              3       31      0.09%    104.1918    0.2975
C->D->D                              3       28      0.08%    185.2298    0.1512
D->A->N                              3       21      0.06%     18.9700    1.1070
D->N->A                              3       21      0.06%     18.9700    1.1070
A->N->D                              3       20      0.06%     18.9700    1.0543
N->D->A                              3       20      0.06%     18.9700    1.0543
N->N->N->N                           4     3628     10.29%   3691.3058    0.9829
N->N->D->N                           4     2134      6.05%   1195.7129    1.7847
N->D->N->N                           4     2026      5.75%   1195.7129    1.6944
N->N->N->D                           4     1809      5.13%   1195.7129    1.5129
D->N->N->N                           4     1487      4.22%   1195.7129    1.2436
N->D->N->D                           4      856      2.43%    387.3235    2.2100
D->N->D->N                           4      775      2.20%    387.3235    2.0009
C->N->N->N                           4      770      2.18%   1004.1265    0.7668
N->C->N->N                           4      730      2.07%   1004.1265    0.7270
D->N->N->D                           4      714      2.03%    387.3235    1.8434
N->N->C->N                           4      650      1.84%   1004.1265    0.6473
N->N->N->C                           4      631      1.79%   1004.1265    0.6284
N->D->D->N                           4      458      1.30%    387.3235    1.1825
B->N->N->N                           4      447      1.27%    564.8211    0.7914
N->N->D->D                           4      403      1.14%    387.3235    1.0405
N->D->N->C                           4      388      1.10%    325.2635    1.1929
C->N->N->D                           4      343      0.97%    325.2635    1.0545
N->N->D->C                           4      339      0.96%    325.2635    1.0422
D->D->N->N                           4      324      0.92%    387.3235    0.8365
C->N->D->N                           4      313      0.89%    325.2635    0.9623
C->C->N->N                           4      306      0.87%    273.1472    1.1203
N->D->C->N                           4      304      0.86%    325.2635    0.9346
N->B->N->N                           4      301      0.85%    564.8211    0.5329
N->N->N->B                           4      293      0.83%    564.8211    0.5187
N->N->C->C                           4      288      0.82%    273.1472    1.0544
D->N->C->N                           4      280      0.79%    325.2635    0.8608
D->N->N->C                           4      277      0.79%    325.2635    0.8516
N->N->B->N                           4      275      0.78%    564.8211    0.4869
C->B->N->N                           4      262      0.74%    153.6453    1.7052
N->C->N->D                           4      257      0.73%    325.2635    0.7901
C->N->C->N                           4      256      0.73%    273.1472    0.9372
N->C->C->N                           4      255      0.72%    273.1472    0.9336
D->C->N->N                           4      234      0.66%    325.2635    0.7194
C->N->N->C                           4      224      0.64%    273.1472    0.8201
N->N->C->B                           4      224      0.64%    153.6453    1.4579
N->C->N->C                           4      221      0.63%    273.1472    0.8091
B->N->D->N                           4      218      0.62%    182.9607    1.1915
N->C->B->N                           4      210      0.60%    153.6453    1.3668
B->N->N->D                           4      182      0.52%    182.9607    0.9947
N->D->B->N                           4      178      0.50%    182.9607    0.9729
N->N->D->B                           4      174      0.49%    182.9607    0.9510
B->C->N->N                           4      168      0.48%    153.6453    1.0934
N->D->N->B                           4      165      0.47%    182.9607    0.9018
N->C->C->C                           4      154      0.44%     74.3028    2.0726
C->C->C->N                           4      152      0.43%     74.3028    2.0457
D->B->N->N                           4      145      0.41%    182.9607    0.7925
D->N->D->D                           4      142      0.40%    125.4645    1.1318
N->B->N->D                           4      140      0.40%    182.9607    0.7652
C->C->N->C                           4      138      0.39%     74.3028    1.8573
C->C->B->N                           4      137      0.39%     41.7953    3.2779
N->C->C->B                           4      136      0.39%     41.7953    3.2540
D->D->N->D                           4      135      0.38%    125.4645    1.0760
N->N->B->C                           4      135      0.38%    153.6453    0.8786
B->D->N->N                           4      131      0.37%    182.9607    0.7160
D->N->B->N                           4      131      0.37%    182.9607    0.7160
N->D->C->C                           4      128      0.36%     88.4797    1.4467
D->N->N->B                           4      125      0.35%    182.9607    0.6832
B->N->C->N                           4      124      0.35%    153.6453    0.8071
D->N->C->C                           4      124      0.35%     88.4797    1.4015
C->N->B->N                           4      122      0.35%    153.6453    0.7940
N->B->C->N                           4      122      0.35%    153.6453    0.7940
B->N->N->C                           4      118      0.33%    153.6453    0.7680
C->D->N->N                           4      118      0.33%    325.2635    0.3628
C->B->C->N                           4      113      0.32%     41.7953    2.7037
N->C->D->N                           4      112      0.32%    325.2635    0.3443
C->C->C->C                           4      109      0.31%     20.2122    5.3928
N->C->B->C                           4      106      0.30%     41.7953    2.5362
C->N->C->C                           4      105      0.30%     74.3028    1.4131
D->N->D->C                           4      104      0.29%    105.3616    0.9871
N->B->D->N                           4      102      0.29%    182.9607    0.5575
N->C->N->B                           4      100      0.28%    153.6453    0.6508
B->B->N->N                           4       99      0.28%     86.4255    1.1455
D->C->C->N                           4       99      0.28%     88.4797    1.1189
C->N->N->B                           4       98      0.28%    153.6453    0.6378
C->C->N->D                           4       95      0.27%     88.4797    1.0737
D->N->C->B                           4       92      0.26%     49.7698    1.8485
N->N->B->D                           4       92      0.26%    182.9607    0.5028
C->B->N->D                           4       90      0.26%     49.7698    1.8083
N->B->N->C                           4       89      0.25%    153.6453    0.5793
B->C->C->N                           4       88      0.25%     41.7953    2.1055
C->C->B->C                           4       86      0.24%     11.3694    7.5642
N->D->C->B                           4       86      0.24%     49.7698    1.7280
N->N->C->D                           4       86      0.24%    325.2635    0.2644
C->C->C->B                           4       84      0.24%     11.3694    7.3883
C->B->N->C                           4       83      0.24%     41.7953    1.9859
C->N->C->B                           4       82      0.23%     41.7953    1.9619
C->B->C->C                           4       80      0.23%     11.3694    7.0365
C->N->D->C                           4       77      0.22%     88.4797    0.8703
D->C->N->D                           4       77      0.22%    105.3616    0.7308
N->N->B->B                           4       75      0.21%     86.4255    0.8678
N->B->C->C                           4       74      0.21%     41.7953    1.7705
D->N->D->B                           4       72      0.20%     59.2659    1.2149
N->C->B->B                           4       70      0.20%     23.5099    2.9775
B->N->C->C                           4       69      0.20%     41.7953    1.6509
C->B->B->N                           4       69      0.20%     23.5099    2.9349
B->C->B->N                           4       66      0.19%     23.5099    2.8073
C->N->B->C                           4       66      0.19%     41.7953    1.5791
N->D->D->C                           4       65      0.18%    105.3616    0.6169
D->C->N->C                           4       64      0.18%     88.4797    0.7233
B->C->N->C                           4       63      0.18%     41.7953    1.5073
D->D->N->C                           4       61      0.17%    105.3616    0.5790
C->B->D->N                           4       60      0.17%     49.7698    1.2055
B->N->N->B                           4       59      0.17%     86.4255    0.6827
B->C->C->C                           4       58      0.16%     11.3694    5.1014
N->D->D->D                           4       58      0.16%    125.4645    0.4623
C->C->N->B                           4       57      0.16%     41.7953    1.3638
N->B->B->N                           4       57      0.16%     86.4255    0.6595
B->D->N->D                           4       56      0.16%     59.2659    0.9449
C->B->C->B                           4       55      0.16%      6.3953    8.6001
C->C->B->B                           4       54      0.15%      6.3953    8.4437
N->D->B->C                           4       54      0.15%     49.7698    1.0850
D->C->B->N                           4       53      0.15%     49.7698    1.0649
N->B->C->B                           4       52      0.15%     23.5099    2.2118
B->C->N->D                           4       51      0.14%     49.7698    1.0247
N->C->B->D                           4       50      0.14%     49.7698    1.0046
B->N->B->N                           4       48      0.14%     86.4255    0.5554
C->B->B->C                           4       48      0.14%      6.3953    7.5056
D->D->C->N                           4       48      0.14%    105.3616    0.4556
B->B->C->N                           4       47      0.13%     23.5099    1.9992
D->D->D->N                           4       47      0.13%    125.4645    0.3746
N->B->N->B                           4       47      0.13%     86.4255    0.5438
C->C->D->N                           4       46      0.13%     88.4797    0.5199
C->N->D->D                           4       46      0.13%    105.3616    0.4366
C->D->N->D                           4       45      0.13%    105.3616    0.4271
B->C->C->B                           4       44      0.12%      6.3953    6.8801
C->N->D->B                           4       44      0.12%     49.7698    0.8841
A->N->N->N                           4       43      0.12%     33.3114    1.2909
D->B->C->N                           4       43      0.12%     49.7698    0.8640
B->C->N->B                           4       42      0.12%     23.5099    1.7865
N->D->D->B                           4       42      0.12%     59.2659    0.7087
B->N->D->C                           4       41      0.12%     49.7698    0.8238
D->B->N->C                           4       41      0.12%     49.7698    0.8238
D->C->C->C                           4       41      0.12%     24.0687    1.7035
N->D->B->D                           4       41      0.12%     59.2659    0.6918
B->B->D->N                           4       40      0.11%     27.9955    1.4288
B->B->N->D                           4       40      0.11%     27.9955    1.4288
B->N->C->B                           4       40      0.11%     23.5099    1.7014
D->B->N->D                           4       40      0.11%     59.2659    0.6749
D->C->C->B                           4       40      0.11%     13.5386    2.9545
D->C->N->B                           4       40      0.11%     49.7698    0.8037
B->D->N->C                           4       39      0.11%     49.7698    0.7836
C->D->N->C                           4       39      0.11%     88.4797    0.4408
C->N->C->D                           4       39      0.11%     88.4797    0.4408
D->B->D->N                           4       39      0.11%     59.2659    0.6581
N->C->C->D                           4       39      0.11%     88.4797    0.4408
N->D->B->B                           4       39      0.11%     27.9955    1.3931
N->D->C->D                           4       39      0.11%    105.3616    0.3702
B->B->N->C                           4       38      0.11%     23.5099    1.6163
B->C->B->C                           4       37      0.10%      6.3953    5.7855
B->B->C->C                           4       36      0.10%      6.3953    5.6292
B->D->C->N                           4       36      0.10%     49.7698    0.7233
D->C->D->N                           4       35      0.10%    105.3616    0.3322
N->B->B->C                           4       34      0.10%     23.5099    1.4462
B->B->B->N                           4       33      0.09%     13.2243    2.4954
C->B->B->B                           4       32      0.09%      3.5973    8.8955
D->B->B->N                           4       32      0.09%     27.9955    1.1430
D->N->B->C                           4       32      0.09%     49.7698    0.6430
B->N->D->D                           4       31      0.09%     59.2659    0.5231
C->B->N->B                           4       31      0.09%     23.5099    1.3186
D->C->B->C                           4       31      0.09%     13.5386    2.2897
D->D->B->N                           4       30      0.09%     59.2659    0.5062
N->B->D->C                           4       30      0.09%     49.7698    0.6028
B->N->B->C                           4       29      0.08%     23.5099    1.2335
D->N->C->D                           4       29      0.08%    105.3616    0.2752
N->A->N->N                           4       29      0.08%     33.3114    0.8706
C->B->D->C                           4       28      0.08%     13.5386    2.0682
N->C->D->C                           4       28      0.08%     88.4797    0.3165
C->C->B->D                           4       27      0.08%     13.5386    1.9943
C->D->C->N                           4       27      0.08%     88.4797    0.3052
C->N->B->D                           4       27      0.08%     49.7698    0.5425
B->C->B->B                           4       26      0.07%      3.5973    7.2276
D->N->B->D                           4       26      0.07%     59.2659    0.4387
N->B->B->B                           4       26      0.07%     13.2243    1.9661
C->N->B->B                           4       25      0.07%     23.5099    1.0634
D->N->B->B                           4       25      0.07%     27.9955    0.8930
B->D->C->C                           4       24      0.07%     13.5386    1.7727
D->D->C->C                           4       24      0.07%     28.6609    0.8374
B->D->D->N                           4       23      0.07%     59.2659    0.3881
C->A->N->N                           4       23      0.07%      9.0615    2.5382
N->N->A->N                           4       23      0.07%     33.3114    0.6905
B->B->C->B                           4       22      0.06%      3.5973    6.1156
N->B->B->D                           4       22      0.06%     27.9955    0.7858
B->C->D->N                           4       21      0.06%     49.7698    0.4219
B->N->D->B                           4       21      0.06%     27.9955    0.7501
C->B->B->D                           4       21      0.06%      7.6155    2.7575
