APVA Age Transition Matrix Study v0.1 - Aggregate
==========================================================

Instruments: 6E, CL, NQ

Aggregate Transition Matrix Lag 1
========================================
State                        Age    NextState                        6E_N    6E_Prob    6E_Lift     CL_N    CL_Prob    CL_Lift     NQ_N    NQ_Prob    NQ_Lift  ValidN   MeanProb   MeanLift
CompressionProcessing        1      CompressionProcessing            1659     56.66%      3.079       92     51.98%      3.984       51     57.30%      5.392       3     55.31%      4.152
CompressionProcessing        1      DecayToNeutral                      3      0.10%      0.024        0      0.00%        N/A        1      1.12%      0.252       2      0.61%      0.138
CompressionProcessing        1      DestructiveRotation                21      0.72%      0.267        0      0.00%        N/A        1      1.12%      0.274       2      0.92%      0.271
CompressionProcessing        1      ExhaustionPersistence             181      6.18%      1.157       13      7.34%      1.120        4      4.49%      0.810       3      6.01%      1.029
CompressionProcessing        1      MixedStructure                     28      0.96%      0.092        3      1.69%      0.145        1      1.12%      0.101       3      1.26%      0.113
CompressionProcessing        1      NeutralProcessing                 891     30.43%      0.631       56     31.64%      0.664       26     29.21%      0.577       3     30.43%      0.624
CompressionProcessing        1      RecoveryResolution                126      4.30%      0.895       13      7.34%      1.232        5      5.62%      1.594       3      5.76%      1.240
CompressionProcessing        2      CompressionProcessing             840     50.63%      2.751       41     44.57%      3.416       30     58.82%      5.535       3     51.34%      3.901
CompressionProcessing        2      DecayToNeutral                     41      2.47%      0.586        2      2.17%      0.566        1      1.96%      0.440       3      2.20%      0.531
CompressionProcessing        2      DestructiveRotation                14      0.84%      0.314        1      1.09%      0.347        0      0.00%        N/A       2      0.97%      0.331
CompressionProcessing        2      ExhaustionPersistence             115      6.93%      1.297       10     10.87%      1.657        2      3.92%      0.707       3      7.24%      1.220
CompressionProcessing        2      MixedStructure                     20      1.21%      0.116        1      1.09%      0.093        1      1.96%      0.176       3      1.42%      0.128
CompressionProcessing        2      NeutralProcessing                 549     33.09%      0.687       33     35.87%      0.753       15     29.41%      0.581       3     32.79%      0.674
CompressionProcessing        2      ReassertionProcessing               2      0.12%      0.021        0      0.00%        N/A        1      1.96%      0.211       2      1.04%      0.116
CompressionProcessing        2      RecoveryResolution                 77      4.64%      0.965        4      4.35%      0.729        1      1.96%      0.556       3      3.65%      0.750
CompressionProcessing        3      CompressionProcessing             528     62.86%      3.415       22     53.66%      4.113       18     60.00%      5.646       3     58.84%      4.392
CompressionProcessing        3      DecayToNeutral                     11      1.31%      0.311        0      0.00%        N/A        3     10.00%      2.243       2      5.65%      1.277
CompressionProcessing        3      ExhaustionPersistence              65      7.74%      1.448        6     14.63%      2.231        2      6.67%      1.202       3      9.68%      1.627
CompressionProcessing        3      MixedStructure                     17      2.02%      0.194        1      2.44%      0.209        0      0.00%        N/A       2      2.23%      0.202
CompressionProcessing        3      NeutralProcessing                 177     21.07%      0.437       10     24.39%      0.512        5     16.67%      0.329       3     20.71%      0.426
CompressionProcessing        3      ReassertionProcessing               5      0.60%      0.104        1      2.44%      0.316        0      0.00%        N/A       2      1.52%      0.210
CompressionProcessing        3      RecoveryResolution                 34      4.05%      0.841        1      2.44%      0.409        2      6.67%      1.891       3      4.38%      1.047
CompressionProcessing        4      CompressionProcessing             282     53.41%      2.902       12     54.55%      4.181        8     44.44%      4.182       3     50.80%      3.755
CompressionProcessing        4      DecayToNeutral                     19      3.60%      0.854        2      9.09%      2.368        2     11.11%      2.492       3      7.93%      1.905
CompressionProcessing        4      DestructiveRotation                 3      0.57%      0.211        0      0.00%        N/A        2     11.11%      2.713       2      5.84%      1.462
CompressionProcessing        4      ExhaustionPersistence              35      6.63%      1.241        2      9.09%      1.386        1      5.56%      1.002       3      7.09%      1.209
CompressionProcessing        4      MixedStructure                     22      4.17%      0.400        0      0.00%        N/A        2     11.11%      0.997       2      7.64%      0.699
CompressionProcessing        4      NeutralProcessing                 142     26.89%      0.558        5     22.73%      0.477        2     11.11%      0.220       3     20.24%      0.418
CompressionProcessing        4      ReassertionProcessing               2      0.38%      0.066        1      4.55%      0.589        0      0.00%        N/A       2      2.46%      0.328
CompressionProcessing        4      RecoveryResolution                 23      4.36%      0.906        0      0.00%        N/A        1      5.56%      1.576       2      4.96%      1.241
