APVA Branch Forecast Study v0.1 - Aggregate
============================================================================================================
Instruments: 6E, CL, NQ

Aggregate Model Comparison Table
Model | Top1Accuracy_6E | Top1Accuracy_CL | Top1Accuracy_NQ | MeanTop1Accuracy | Top2Accuracy | Top3Accuracy | MeanBrierScore | MeanCalibrationError | MeanForecastEntropy | UniqueKeyCount | SparseKeyRate
Baseline_MostCommonNextNode | 16.09% | 16.62% | 15.40% | 16.04% | 25.43% | 34.54% | 0.9278 | 0.00% | 2.9245 | 1 | 0.00%
Model1_CurrentNode | 56.18% | 55.09% | 58.48% | 56.58% | 76.02% | 86.40% | 0.5936 | 0.00% | 1.2167 | 41 | 24.39%
Model2_CurrentPreviousNode | 59.75% | 60.49% | 63.50% | 61.25% | 80.35% | 89.69% | 0.5504 | 0.00% | 1.0961 | 227 | 59.47%
Model3_CurrentMemoryClass | 56.18% | 55.09% | 58.48% | 56.58% | 76.02% | 86.40% | 0.5936 | 0.00% | 1.2167 | 41 | 24.39%
Model4_CurrentConfidenceBucket | 56.18% | 55.09% | 58.48% | 56.58% | 76.02% | 86.40% | 0.5936 | 0.00% | 1.2167 | 41 | 24.39%
Model5_CurrentEntropyBucket | 56.18% | 55.09% | 58.48% | 56.58% | 76.02% | 86.40% | 0.5936 | 0.00% | 1.2167 | 41 | 24.39%
Model6_Combined | 59.75% | 60.49% | 63.50% | 61.25% | 80.35% | 89.69% | 0.5504 | 0.00% | 1.0961 | 227 | 59.47%

Aggregate Branch Table
CurrentNode | NextNode | Count | Probability_6E | Probability_CL | Probability_NQ | ReplicationCount
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 3633 | 56.51% | 56.85% | 58.92% | 3
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 2171 | 66.44% | 63.94% | 63.87% | 3
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 2006 | 54.73% | 55.34% | 64.00% | 3
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 1802 | 56.66% | 51.98% | 57.30% | 3
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 1501 | 74.80% | 75.71% | 74.11% | 3
MixedStructure_Age1 | NeutralProcessing_Age1 | 1399 | 37.35% | 41.22% | 35.52% | 3
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 1367 | 90.85% | 89.62% | 96.39% | 3
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | 1113 | 81.21% | 78.95% | 87.50% | 3
CompressionProcessing_Age1 | NeutralProcessing_Age1 | 973 | 30.43% | 31.64% | 29.21% | 3
NeutralProcessing_Age1 | MixedStructure_Age1 | 950 | 14.90% | 14.83% | 13.13% | 3
DecayToNeutral_Age1 | NeutralProcessing_Age1 | 931 | 54.58% | 61.17% | 66.28% | 3
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 911 | 50.63% | 44.57% | 58.82% | 3
NeutralProcessing_Age1 | CompressionProcessing_Age1 | 901 | 14.72% | 10.11% | 7.07% | 3
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 844 | 41.39% | 33.33% | 39.46% | 3
MixedStructure_Age1 | DecayToNeutral_Age1 | 741 | 20.28% | 15.77% | 19.13% | 3
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 714 | 75.20% | 63.33% | 67.57% | 3
