APVA Age Transition Matrix Study v0.1 - CL
================================================================

Rows: 2684
Sources:
  .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv

State x Age Counts
==================
RecoveryResolution           1            94
RecoveryResolution           2            38
RecoveryResolution           3            27
RecoveryResolution           4             1
ExhaustionPersistence        1            97
ExhaustionPersistence        2            31
ExhaustionPersistence        3            21
ExhaustionPersistence        4            16
ExhaustionPersistence        5             8
ExhaustionPersistence        6-10          3
CompressionProcessing        1           177
CompressionProcessing        2            92
CompressionProcessing        3            41
CompressionProcessing        4            22
CompressionProcessing        5            12
CompressionProcessing        6-10          6
NeutralProcessing            1           446
NeutralProcessing            2           253
NeutralProcessing            3           140
NeutralProcessing            4           106
NeutralProcessing            5            95
NeutralProcessing            6-10        208
NeutralProcessing            11-20        30
ReassertionProcessing        1           174
ReassertionProcessing        2            32
ReassertionProcessing        3             1
DecayToNeutral               1           103
DestructiveRotation          1            71
DestructiveRotation          2            12
DestructiveRotation          3             1
ConstructiveEmergence        1            12
MixedStructure               1           279
MixedStructure               2            28
MixedStructure               3             5
MixedStructure               4             2

Transition Matrix Lag 1
================================
State                        Age    NextState                           N       Prob       Lift
NeutralProcessing            1      NeutralProcessing                 253     56.85%      1.194
NeutralProcessing            6-10   NeutralProcessing                 144     69.23%      1.453
NeutralProcessing            2      NeutralProcessing                 140     55.34%      1.162
MixedStructure               1      NeutralProcessing                 115     41.22%      0.865
NeutralProcessing            3      NeutralProcessing                 106     75.71%      1.590
NeutralProcessing            4      NeutralProcessing                  95     89.62%      1.882
CompressionProcessing        1      CompressionProcessing              92     51.98%      3.984
NeutralProcessing            5      NeutralProcessing                  75     78.95%      1.657
NeutralProcessing            1      MixedStructure                     66     14.83%      1.271
ReassertionProcessing        1      MixedStructure                     66     37.93%      3.251
DecayToNeutral               1      NeutralProcessing                  63     61.17%      1.284
NeutralProcessing            1      ReassertionProcessing              63     14.16%      1.835
ReassertionProcessing        1      NeutralProcessing                  58     33.33%      0.700
CompressionProcessing        1      NeutralProcessing                  56     31.64%      0.664
NeutralProcessing            2      MixedStructure                     54     21.34%      1.830
RecoveryResolution           1      CompressionProcessing              46     48.94%      3.751
NeutralProcessing            1      CompressionProcessing              45     10.11%      0.775
MixedStructure               1      DecayToNeutral                     44     15.77%      4.108
CompressionProcessing        2      CompressionProcessing              41     44.57%      3.416
MixedStructure               1      ExhaustionPersistence              39     13.98%      2.131
RecoveryResolution           1      RecoveryResolution                 38     40.43%      6.779
CompressionProcessing        2      NeutralProcessing                  33     35.87%      0.753
ReassertionProcessing        1      ReassertionProcessing              32     18.39%      2.384
ExhaustionPersistence        1      ExhaustionPersistence              31     31.96%      4.872
NeutralProcessing            6-10   ReassertionProcessing              31     14.90%      1.932
NeutralProcessing            2      ReassertionProcessing              30     11.86%      1.537
ExhaustionPersistence        1      RecoveryResolution                 29     29.90%      5.013
MixedStructure               1      MixedStructure                     28     10.04%      0.860
RecoveryResolution           2      RecoveryResolution                 27     71.05%     11.915
DecayToNeutral               1      MixedStructure                     26     25.24%      2.164
DestructiveRotation          1      NeutralProcessing                  25     35.21%      0.739
MixedStructure               1      RecoveryResolution                 25      8.96%      1.503
NeutralProcessing            2      CompressionProcessing              24      9.49%      0.727
CompressionProcessing        3      CompressionProcessing              22     53.66%      4.113
ExhaustionPersistence        2      ExhaustionPersistence              21     67.74%     10.327
DestructiveRotation          1      DecayToNeutral                     20     28.17%      7.338
NeutralProcessing            6-10   MixedStructure                     20      9.62%      0.824
NeutralProcessing            11-20  NeutralProcessing                  19     63.33%      1.330
ReassertionProcessing        2      DestructiveRotation                18     56.25%     17.967
ExhaustionPersistence        1      DecayToNeutral                     17     17.53%      4.565
MixedStructure               1      ReassertionProcessing              17      6.09%      0.790
RecoveryResolution           3      CompressionProcessing              17     62.96%      4.827
ExhaustionPersistence        3      ExhaustionPersistence              16     76.19%     11.615
NeutralProcessing            1      DestructiveRotation                15      3.37%      1.077
NeutralProcessing            3      MixedStructure                     15     10.71%      0.918
NeutralProcessing            3      ReassertionProcessing              14     10.00%      1.296
CompressionProcessing        1      ExhaustionPersistence              13      7.34%      1.120
CompressionProcessing        1      RecoveryResolution                 13      7.34%      1.232
CompressionProcessing        4      CompressionProcessing              12     54.55%      4.181
DestructiveRotation          1      DestructiveRotation                12     16.90%      5.398
ReassertionProcessing        2      NeutralProcessing                  12     37.50%      0.787
DecayToNeutral               1      DestructiveRotation                11     10.68%      3.411
ExhaustionPersistence        1      NeutralProcessing                  11     11.34%      0.238
ReassertionProcessing        1      DestructiveRotation                11      6.32%      2.019
RecoveryResolution           2      NeutralProcessing                  11     28.95%      0.608
CompressionProcessing        2      ExhaustionPersistence              10     10.87%      1.657
CompressionProcessing        3      NeutralProcessing                  10     24.39%      0.512
NeutralProcessing            5      MixedStructure                     10     10.53%      0.902
RecoveryResolution           1      NeutralProcessing                  10     10.64%      0.223
ExhaustionPersistence        2      RecoveryResolution                  9     29.03%      4.868
ExhaustionPersistence        4      ExhaustionPersistence               8     50.00%      7.622
MixedStructure               2      DecayToNeutral                      8     28.57%      7.442
ExhaustionPersistence        1      CompressionProcessing               7      7.22%      0.553
MixedStructure               2      NeutralProcessing                   7     25.00%      0.525
NeutralProcessing            6-10   CompressionProcessing               7      3.37%      0.258
CompressionProcessing        3      ExhaustionPersistence               6     14.63%      2.231
NeutralProcessing            5      ReassertionProcessing               6      6.32%      0.819
ReassertionProcessing        1      CompressionProcessing               6      3.45%      0.264
CompressionProcessing        4      NeutralProcessing                   5     22.73%      0.477
CompressionProcessing        5      CompressionProcessing               5     41.67%      3.194
ConstructiveEmergence        1      MixedStructure                      5     41.67%      3.572
DestructiveRotation          1      ExhaustionPersistence               5      7.04%      1.074
ExhaustionPersistence        3      NeutralProcessing                   5     23.81%      0.500
MixedStructure               1      CompressionProcessing               5      1.79%      0.137
MixedStructure               2      MixedStructure                      5     17.86%      1.531
NeutralProcessing            2      DestructiveRotation                 5      1.98%      0.631
NeutralProcessing            3      CompressionProcessing               5      3.57%      0.274
RecoveryResolution           3      NeutralProcessing                   5     18.52%      0.389
CompressionProcessing        2      RecoveryResolution                  4      4.35%      0.729
CompressionProcessing        5      ExhaustionPersistence               4     33.33%      5.081
ConstructiveEmergence        1      NeutralProcessing                   4     33.33%      0.700
DestructiveRotation          1      RecoveryResolution                  4      5.63%      0.945
DestructiveRotation          2      DecayToNeutral                      4     33.33%      8.683
MixedStructure               2      RecoveryResolution                  4     14.29%      2.396
NeutralProcessing            11-20  MixedStructure                      4     13.33%      1.143
NeutralProcessing            11-20  ReassertionProcessing               4     13.33%      1.728
NeutralProcessing            4      MixedStructure                      4      3.77%      0.323
NeutralProcessing            4      ReassertionProcessing               4      3.77%      0.489
NeutralProcessing            6-10   ExhaustionPersistence               4      1.92%      0.293
RecoveryResolution           3      ExhaustionPersistence               4     14.81%      2.258
CompressionProcessing        1      MixedStructure                      3      1.69%      0.145
CompressionProcessing        6-10   NeutralProcessing                   3     50.00%      1.050
ConstructiveEmergence        1      DecayToNeutral                      3     25.00%      6.512
DestructiveRotation          1      ReassertionProcessing               3      4.23%      0.548
DestructiveRotation          2      ExhaustionPersistence               3     25.00%      3.811
ExhaustionPersistence        4      NeutralProcessing                   3     18.75%      0.394
ExhaustionPersistence        5      NeutralProcessing                   3     37.50%      0.787
MixedStructure               1      ConstructiveEmergence               3      1.08%      2.404
MixedStructure               1      DestructiveRotation                 3      1.08%      0.343
MixedStructure               2      ExhaustionPersistence               3     10.71%      1.633
NeutralProcessing            1      ConstructiveEmergence               3      0.67%      1.507
NeutralProcessing            5      CompressionProcessing               3      3.16%      0.242
CompressionProcessing        2      DecayToNeutral                      2      2.17%      0.566
CompressionProcessing        4      DecayToNeutral                      2      9.09%      2.368
CompressionProcessing        4      ExhaustionPersistence               2      9.09%      1.386
DecayToNeutral               1      CompressionProcessing               2      1.94%      0.149
DestructiveRotation          2      NeutralProcessing                   2     16.67%      0.350
ExhaustionPersistence        1      DestructiveRotation                 2      2.06%      0.659
ExhaustionPersistence        4      DestructiveRotation                 2     12.50%      3.993
ExhaustionPersistence        5      DecayToNeutral                      2     25.00%      6.512
ExhaustionPersistence        6-10   ExhaustionPersistence               2     66.67%     10.163
MixedStructure               3      ConstructiveEmergence               2     40.00%     89.433
MixedStructure               3      MixedStructure                      2     40.00%      3.429
MixedStructure               4      NeutralProcessing                   2    100.00%      2.099
NeutralProcessing            11-20  CompressionProcessing               2      6.67%      0.511
NeutralProcessing            4      ExhaustionPersistence               2      1.89%      0.288
CompressionProcessing        2      DestructiveRotation                 1      1.09%      0.347
CompressionProcessing        2      MixedStructure                      1      1.09%      0.093
CompressionProcessing        3      MixedStructure                      1      2.44%      0.209
CompressionProcessing        3      ReassertionProcessing               1      2.44%      0.316
CompressionProcessing        3      RecoveryResolution                  1      2.44%      0.409
CompressionProcessing        4      ReassertionProcessing               1      4.55%      0.589
CompressionProcessing        5      DestructiveRotation                 1      8.33%      2.662
CompressionProcessing        5      MixedStructure                      1      8.33%      0.714
CompressionProcessing        5      NeutralProcessing                   1      8.33%      0.175
CompressionProcessing        6-10   CompressionProcessing               1     16.67%      1.278
CompressionProcessing        6-10   MixedStructure                      1     16.67%      1.429
CompressionProcessing        6-10   RecoveryResolution                  1     16.67%      2.795
DecayToNeutral               1      ConstructiveEmergence               1      0.97%      2.171
DestructiveRotation          1      CompressionProcessing               1      1.41%      0.108
DestructiveRotation          1      MixedStructure                      1      1.41%      0.121
DestructiveRotation          2      CompressionProcessing               1      8.33%      0.639
DestructiveRotation          2      DestructiveRotation                 1      8.33%      2.662
DestructiveRotation          2      RecoveryResolution                  1      8.33%      1.397
DestructiveRotation          3      CompressionProcessing               1    100.00%      7.666
ExhaustionPersistence        2      NeutralProcessing                   1      3.23%      0.068
ExhaustionPersistence        4      CompressionProcessing               1      6.25%      0.479
ExhaustionPersistence        4      DecayToNeutral                      1      6.25%      1.628
ExhaustionPersistence        4      RecoveryResolution                  1      6.25%      1.048
ExhaustionPersistence        5      CompressionProcessing               1     12.50%      0.958
ExhaustionPersistence        5      DestructiveRotation                 1     12.50%      3.993
