APVA Context Disambiguation Study v0.1
Frozen candidate validation. Research only. No trades, optimization, fitting, machine learning, or parameter search.

Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
Age counts: 1=1453, 2=486, 3=236, 4=147, 5=115, 6-10=217, 11-20=30, 21+=0
Distinct context count: 156

1. Candidate summary
Candidate | Description | Count | DirectionAgreement
A | NeutralProcessing -> CompressionProcessing Age 3 | 13 | Positive
B | RecoveryResolution -> CompressionProcessing Age 3 | 20 | Negative
C | RecoveryResolution -> NeutralProcessing Age 1 | 25 | Positive
D | DecayToNeutral -> NeutralProcessing Age 4 | 15 | Positive
E | Baseline CompressionProcessing Age 3 | 41 | Positive
F | Baseline NeutralProcessing Age 1 | 430 | Positive
G | Baseline NeutralProcessing Age 4 | 104 | Positive

2. Outcome validation
Candidate | Count | MeanDRFwd5 | MedianDRFwd5 | ContinuationRate5 | FailureRate5 | FlatRate5 | OutcomeSkew | StdDevDRFwd5 | MaxFavorableDRFwd5 | MaxAdverseDRFwd5
A | 13 | 0.3908 | 0.2300 | 76.92% | 15.38% | 7.69% | 61.54% | 0.6079 | 1.5700 | -0.5200
B | 20 | 0.1160 | -0.0200 | 45.00% | 50.00% | 5.00% | -5.00% | 0.9284 | 2.1800 | -1.4700
C | 25 | 1.1644 | 0.3500 | 76.00% | 24.00% | 0.00% | 52.00% | 3.9842 | 20.2400 | -1.5300
D | 15 | 0.4960 | 0.3500 | 80.00% | 20.00% | 0.00% | 60.00% | 0.9681 | 3.3700 | -1.1000
E | 41 | 0.4024 | 0.1400 | 60.98% | 34.15% | 4.88% | 26.83% | 1.5717 | 8.9500 | -1.4700
F | 430 | 0.0650 | 0.0300 | 51.16% | 48.14% | 0.70% | 3.02% | 1.3994 | 20.2400 | -3.5600
G | 104 | 0.1437 | 0.1450 | 66.35% | 33.65% | 0.00% | 32.69% | 0.7230 | 3.3700 | -1.7600

3. Transition validation
Candidate | Horizon | NextState | Count | Probability | Lift | Entropy | NormalizedEntropy | DominantDestination | DominantProbability
A | t+1 | CompressionProcessing | 8 | 61.54% | 4.7174 | 1.1787 | 0.7323 | CompressionProcessing | 61.54%
A | t+1 | ExhaustionPersistence | 2 | 15.38% | 2.3453 | 1.1787 | 0.7323 | CompressionProcessing | 61.54%
A | t+1 | NeutralProcessing | 1 | 7.69% | 0.1615 | 1.1787 | 0.7323 | CompressionProcessing | 61.54%
A | t+1 | RecoveryResolution | 1 | 7.69% | 1.2899 | 1.1787 | 0.7323 | CompressionProcessing | 61.54%
A | t+1 | ReassertionProcessing | 1 | 7.69% | 0.9970 | 1.1787 | 0.7323 | CompressionProcessing | 61.54%
A | t+2 | CompressionProcessing | 6 | 46.15% | 3.5367 | 1.3114 | 0.8148 | CompressionProcessing | 46.15%
A | t+2 | NeutralProcessing | 4 | 30.77% | 0.6457 | 1.3114 | 0.8148 | CompressionProcessing | 46.15%
A | t+2 | ExhaustionPersistence | 1 | 7.69% | 1.1722 | 1.3114 | 0.8148 | CompressionProcessing | 46.15%
A | t+2 | RecoveryResolution | 1 | 7.69% | 1.2894 | 1.3114 | 0.8148 | CompressionProcessing | 46.15%
A | t+2 | ReassertionProcessing | 1 | 7.69% | 0.9967 | 1.3114 | 0.8148 | CompressionProcessing | 46.15%
A | t+3 | ExhaustionPersistence | 4 | 30.77% | 4.6871 | 1.4986 | 0.9311 | ExhaustionPersistence | 30.77%
A | t+3 | NeutralProcessing | 4 | 30.77% | 0.6455 | 1.4986 | 0.9311 | ExhaustionPersistence | 30.77%
A | t+3 | DestructiveRotation | 2 | 15.38% | 4.9103 | 1.4986 | 0.9311 | ExhaustionPersistence | 30.77%
A | t+3 | CompressionProcessing | 2 | 15.38% | 1.1785 | 1.4986 | 0.9311 | ExhaustionPersistence | 30.77%
A | t+3 | RecoveryResolution | 1 | 7.69% | 1.2889 | 1.4986 | 0.9311 | ExhaustionPersistence | 30.77%
A | t+5 | NeutralProcessing | 5 | 38.46% | 0.8069 | 1.5858 | 0.8850 | NeutralProcessing | 38.46%
A | t+5 | CompressionProcessing | 3 | 23.08% | 1.7664 | 1.5858 | 0.8850 | NeutralProcessing | 38.46%
A | t+5 | ExhaustionPersistence | 2 | 15.38% | 2.3418 | 1.5858 | 0.8850 | NeutralProcessing | 38.46%
