APVA Destination Robustness Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Destination event count: 64

1. Baseline Signature Table
DestinationFamily | Signal | Horizon | EffectSize | ReplicationCount | Direction | Rank
CompressionProcessing | PolarityFlipFlag | t-3 | -0.7821 | 1 | Negative | 1
CompressionProcessing | BodyRelativeToPrevious | t-3 | -0.5440 | 1 | Negative | 2
CompressionProcessing | RangeRelativeToPrevious | t-5 | 0.5396 | 1 | Positive | 3
CompressionProcessing | TrueRangeRelativeToPrevious | t-5 | 0.5359 | 1 | Positive | 4
CompressionProcessing | EfficiencyRatio | t-3 | -0.5027 | 1 | Negative | 5
CompressionProcessing | VolumeRelativeToSessionMean | t-5 | 0.4832 | 1 | Positive | 6
CompressionProcessing | VolumeRelativeToRollingMean | t-5 | 0.4683 | 1 | Positive | 7
CompressionProcessing | TrueRangeRelativeToPrevious | t-1 | -0.4297 | 1 | Negative | 8
CompressionProcessing | RangeRelativeToPrevious | t-1 | -0.4285 | 1 | Negative | 9
CompressionProcessing | MemoryStrength | t-2 | -0.4203 | 1 | Negative | 10
CompressionProcessing | BranchEntropy | t-2 | 0.4203 | 1 | Positive | 11
CompressionProcessing | VolumeRelativeToPrevious | t-3 | -0.4176 | 1 | Negative | 12
CompressionProcessing | PolarityFlipFlag | t-1 | -0.4154 | 1 | Negative | 13
CompressionProcessing | PolarityFlipFlag | t-2 | 0.3948 | 1 | Positive | 14
CompressionProcessing | VolumeRelativeToPrevious | t-5 | 0.3804 | 1 | Positive | 15
CompressionProcessing | VolumeRelativeToSessionMean | t-2 | 0.3631 | 1 | Positive | 16
CompressionProcessing | EfficiencyRatio | t-5 | -0.3468 | 1 | Negative | 17
CompressionProcessing | VolumeRelativeToSessionMean | t-1 | 0.3348 | 1 | Positive | 18
CompressionProcessing | CloseLocation | t-5 | -0.3239 | 1 | Negative | 19
CompressionProcessing | MemoryStrength | t-3 | 0.3232 | 1 | Positive | 20
CompressionProcessing | BodyRelativeToPrevious | t-5 | -0.3130 | 1 | Negative | 21
CompressionProcessing | VolumeRelativeToRollingMean | t-2 | 0.3083 | 1 | Positive | 22
CompressionProcessing | VolumeRelativeToRollingMean | t-1 | 0.3071 | 1 | Positive | 23
CompressionProcessing | CloseLocation | t-2 | 0.2761 | 1 | Positive | 24
CompressionProcessing | BodyRelativeToPrevious | t-1 | -0.2407 | 0 | Negative | 25
CompressionProcessing | EfficiencyRatio | t-1 | 0.2157 | 0 | Positive | 26
CompressionProcessing | MemoryStrength | t-5 | 0.2134 | 0 | Positive | 27
CompressionProcessing | EfficiencyRatio | t-2 | -0.1957 | 0 | Negative | 28
CompressionProcessing | TrueRangeRelativeToPrevious | t-3 | 0.1643 | 0 | Positive | 29
CompressionProcessing | PolarityFlipFlag | t-5 | -0.1598 | 0 | Negative | 30
CompressionProcessing | CloseLocation | t-1 | 0.1594 | 0 | Positive | 31
CompressionProcessing | RangeRelativeToPrevious | t-3 | 0.1486 | 0 | Positive | 32
CompressionProcessing | VolumeRelativeToSessionMean | t-3 | 0.1362 | 0 | Positive | 33
CompressionProcessing | VolumeRelativeToPrevious | t-1 | 0.0992 | 0 | Positive | 34
CompressionProcessing | CloseLocation | t-3 | 0.0754 | 0 | Positive | 35
CompressionProcessing | BodyRelativeToPrevious | t-2 | -0.0612 | 0 | Negative | 36
CompressionProcessing | BranchEntropy | t-5 | -0.0611 | 0 | Negative | 37
CompressionProcessing | VolumeRelativeToPrevious | t-2 | -0.0351 | 0 | Negative | 38
CompressionProcessing | RangeRelativeToPrevious | t-2 | 0.0323 | 0 | Positive | 39
CompressionProcessing | BranchEntropy | t-3 | -0.0314 | 0 | Negative | 40
CompressionProcessing | TrueRangeRelativeToPrevious | t-2 | 0.0276 | 0 | Positive | 41
CompressionProcessing | VolumeRelativeToRollingMean | t-3 | 0.0183 | 0 | Positive | 42
CompressionProcessing | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 43
CompressionProcessing | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 44
ConstructiveEmergence | BodyRelativeToPrevious | t-1 | 16.6334 | 1 | Positive | 1
ConstructiveEmergence | EfficiencyRatio | t-3 | 4.1671 | 1 | Positive | 2
ConstructiveEmergence | VolumeRelativeToSessionMean | t-5 | 2.9905 | 1 | Positive | 3
ConstructiveEmergence | EfficiencyRatio | t-2 | -2.4735 | 1 | Negative | 4
ConstructiveEmergence | CloseLocation | t-3 | -2.2416 | 1 | Negative | 5
ConstructiveEmergence | RangeRelativeToPrevious | t-1 | 1.9536 | 1 | Positive | 6
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-1 | 1.9511 | 1 | Positive | 7
ConstructiveEmergence | VolumeRelativeToSessionMean | t-3 | 1.7775 | 1 | Positive | 8
ConstructiveEmergence | VolumeRelativeToSessionMean | t-1 | 1.6475 | 1 | Positive | 9
ConstructiveEmergence | MemoryStrength | t-5 | 1.4226 | 1 | Positive | 10
ConstructiveEmergence | PolarityFlipFlag | t-2 | 1.3061 | 1 | Positive | 11
ConstructiveEmergence | MemoryStrength | t-3 | 1.3013 | 1 | Positive | 12
ConstructiveEmergence | EfficiencyRatio | t-1 | 1.2673 | 1 | Positive | 13
ConstructiveEmergence | VolumeRelativeToPrevious | t-5 | 1.2358 | 1 | Positive | 14
ConstructiveEmergence | PolarityFlipFlag | t-1 | 1.1471 | 1 | Positive | 15
ConstructiveEmergence | PolarityFlipFlag | t-3 | 1.1471 | 1 | Positive | 16
ConstructiveEmergence | PolarityFlipFlag | t-5 | 1.0724 | 1 | Positive | 17
ConstructiveEmergence | MemoryStrength | t-2 | -0.9293 | 1 | Negative | 18
ConstructiveEmergence | BranchEntropy | t-2 | 0.9293 | 1 | Positive | 19
ConstructiveEmergence | BodyRelativeToPrevious | t-5 | 0.8857 | 1 | Positive | 20
ConstructiveEmergence | VolumeRelativeToPrevious | t-1 | 0.8015 | 1 | Positive | 21
ConstructiveEmergence | RangeRelativeToPrevious | t-5 | 0.7819 | 1 | Positive | 22
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-5 | 0.7813 | 1 | Positive | 23
ConstructiveEmergence | CloseLocation | t-5 | 0.7024 | 1 | Positive | 24
ConstructiveEmergence | BodyRelativeToPrevious | t-2 | -0.6642 | 1 | Negative | 25
ConstructiveEmergence | CloseLocation | t-1 | -0.6434 | 1 | Negative | 26
ConstructiveEmergence | CloseLocation | t-2 | 0.5850 | 1 | Positive | 27
ConstructiveEmergence | RangeRelativeToPrevious | t-2 | -0.5454 | 1 | Negative | 28
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-2 | -0.5440 | 1 | Negative | 29
ConstructiveEmergence | BranchEntropy | t-3 | -0.4232 | 1 | Negative | 30
ConstructiveEmergence | BranchEntropy | t-5 | -0.4047 | 1 | Negative | 31
ConstructiveEmergence | VolumeRelativeToPrevious | t-2 | -0.2797 | 1 | Negative | 32
ConstructiveEmergence | VolumeRelativeToSessionMean | t-2 | 0.1286 | 0 | Positive | 33
ConstructiveEmergence | EfficiencyRatio | t-5 | -0.0888 | 0 | Negative | 34
ConstructiveEmergence | VolumeRelativeToRollingMean | t-5 | -0.0765 | 0 | Negative | 35
ConstructiveEmergence | RangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 36
ConstructiveEmergence | BodyRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 37
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 38
ConstructiveEmergence | VolumeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 39
ConstructiveEmergence | VolumeRelativeToRollingMean | t-1 | 0.0000 | 0 | Flat | 40
ConstructiveEmergence | VolumeRelativeToRollingMean | t-2 | 0.0000 | 0 | Flat | 41
ConstructiveEmergence | VolumeRelativeToRollingMean | t-3 | 0.0000 | 0 | Flat | 42
