APVA Excursion Destinations Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Destination event count: 64

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
CompressionProcessing | 7 | 0 | 7 | 0 | 10.94% | 1
MixedStructure | 20 | 0 | 20 | 0 | 31.25% | 1
ReassertionProcessing | 31 | 0 | 31 | 0 | 48.44% | 1
RecoveryResolution | 1 | 0 | 1 | 0 | 1.56% | 1
ExhaustionPersistence | 4 | 0 | 4 | 0 | 6.25% | 1
ConstructiveEmergence | 1 | 0 | 1 | 0 | 1.56% | 1
DestructiveRotation | 0 | 0 | 0 | 0 | 0.00% | 0
DecayToNeutral | 0 | 0 | 0 | 0 | 0.00% | 0

2. Destination Profile Table
DestinationFamily | Signal | Horizon | Mean | Median | StdDev
CompressionProcessing | RangeRelativeToPrevious | t-1 | 0.7501 | 0.6227 | 0.4245
CompressionProcessing | RangeRelativeToPrevious | t-2 | 1.6939 | 1.5806 | 0.7407
CompressionProcessing | RangeRelativeToPrevious | t-3 | 0.9546 | 0.9412 | 0.5158
CompressionProcessing | RangeRelativeToPrevious | t-5 | 1.1062 | 1.0000 | 0.3488
CompressionProcessing | BodyRelativeToPrevious | t-1 | 1.1257 | 0.6417 | 1.1375
CompressionProcessing | BodyRelativeToPrevious | t-2 | 5.2439 | 2.1429 | 7.2352
CompressionProcessing | BodyRelativeToPrevious | t-3 | 0.4932 | 0.4167 | 0.3327
CompressionProcessing | BodyRelativeToPrevious | t-5 | 0.8980 | 0.5000 | 0.8892
CompressionProcessing | TrueRangeRelativeToPrevious | t-1 | 0.7501 | 0.6227 | 0.4245
CompressionProcessing | TrueRangeRelativeToPrevious | t-2 | 1.6869 | 1.5313 | 0.7420
CompressionProcessing | TrueRangeRelativeToPrevious | t-3 | 0.9606 | 0.9412 | 0.5199
CompressionProcessing | TrueRangeRelativeToPrevious | t-5 | 1.1062 | 1.0000 | 0.3488
CompressionProcessing | VolumeRelativeToPrevious | t-1 | 1.1271 | 1.3245 | 0.4671
CompressionProcessing | VolumeRelativeToPrevious | t-2 | 1.7710 | 1.3374 | 1.1531
CompressionProcessing | VolumeRelativeToPrevious | t-3 | 0.8216 | 0.8891 | 0.2791
CompressionProcessing | VolumeRelativeToPrevious | t-5 | 1.0739 | 0.9622 | 0.4041
CompressionProcessing | VolumeRelativeToRollingMean | t-1 | 0.9197 | 0.9522 | 0.3477
CompressionProcessing | VolumeRelativeToRollingMean | t-2 | 1.2223 | 0.7913 | 0.8719
CompressionProcessing | VolumeRelativeToRollingMean | t-3 | 0.6696 | 0.6098 | 0.1919
CompressionProcessing | VolumeRelativeToRollingMean | t-5 | 0.7526 | 0.7801 | 0.2569
CompressionProcessing | VolumeRelativeToSessionMean | t-1 | 0.8661 | 0.9733 | 0.3129
