APVA Harmful Node Heterogeneity Study v0.1
============================================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Harmful node count: 8

1. Harmful Node Inventory
Node | Count | ReplicationCount | ContributionScore | Top1Loss | BrierWorsening
ExhaustionPersistence_Age1 | 97 | 1 | 0.5704 | -0.08% | -0.0036
ExhaustionPersistence_Age4 | 16 | 1 | 0.5243 | -0.11% | -0.0012
MixedStructure_Age1 | 279 | 1 | 0.4804 | -2.92% | -0.0237
NeutralProcessing_Age1 | 445 | 1 | 0.5000 | -3.67% | -0.0388
NeutralProcessing_Age11-20 | 30 | 1 | 0.3311 | -0.14% | -0.0026
NeutralProcessing_Age2 | 253 | 1 | 0.5137 | -2.08% | -0.0207
NeutralProcessing_Age6-10 | 208 | 1 | 0.5092 | -0.96% | -0.0142
RecoveryResolution_Age1 | 94 | 1 | 0.5325 | -0.57% | -0.0068

2. Baseline Harmfulness
Node | BaselineTop1Loss | BaselineBrierWorsening | BaselineContribution
ExhaustionPersistence_Age1 | -0.08% | -0.0036 | 0.5704
ExhaustionPersistence_Age4 | -0.11% | -0.0012 | 0.5243
MixedStructure_Age1 | -2.92% | -0.0237 | 0.4804
NeutralProcessing_Age1 | -3.67% | -0.0388 | 0.5000
NeutralProcessing_Age11-20 | -0.14% | -0.0026 | 0.3311
NeutralProcessing_Age2 | -2.08% | -0.0207 | 0.5137
NeutralProcessing_Age6-10 | -0.96% | -0.0142 | 0.5092
RecoveryResolution_Age1 | -0.57% | -0.0068 | 0.5325

3. Previous Node Split
Node | Subgroup | Count | Top1Accuracy | BrierScore | ForecastConfidence | Entropy
ExhaustionPersistence_Age1 | MixedStructure_Age1 | 39 | 61.54% | 0.4734 | 23.08% | 0.6663
ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 13 | 84.62% | 0.2604 | 69.23% | 0.4293
ExhaustionPersistence_Age1 | CompressionProcessing_Age2 | 10 | 50.00% | 0.5000 | 0.00% | 0.6931
ExhaustionPersistence_Age1 | CompressionProcessing_Age3 | 6 | 83.33% | 0.2778 | 66.67% | 0.4506
ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 5 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age1 | CompressionProcessing_Age5 | 4 | 75.00% | 0.3750 | 50.00% | 0.5623
ExhaustionPersistence_Age1 | NeutralProcessing_Age6-10 | 4 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age1 | RecoveryResolution_Age3 | 4 | 75.00% | 0.3750 | 50.00% | 0.5623
ExhaustionPersistence_Age1 | DestructiveRotation_Age2 | 3 | 66.67% | 0.4444 | 33.33% | 0.6365
ExhaustionPersistence_Age1 | MixedStructure_Age2 | 3 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age1 | CompressionProcessing_Age4 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age1 | NeutralProcessing_Age4 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age1 | NeutralProcessing_Age11-20 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age1 | NeutralProcessing_Age5 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age4 | ExhaustionPersistence_Age3 | 16 | 56.25% | 0.4922 | 12.50% | 0.6853
MixedStructure_Age1 | NeutralProcessing_Age1 | 66 | 65.15% | 0.4541 | 30.30% | 0.6465
MixedStructure_Age1 | ReassertionProcessing_Age1 | 66 | 59.09% | 0.4835 | 18.18% | 0.6765
MixedStructure_Age1 | NeutralProcessing_Age2 | 54 | 77.78% | 0.3457 | 55.56% | 0.5297
MixedStructure_Age1 | DecayToNeutral_Age1 | 26 | 92.31% | 0.1420 | 84.62% | 0.2712
MixedStructure_Age1 | NeutralProcessing_Age6-10 | 20 | 65.00% | 0.4550 | 30.00% | 0.6474
MixedStructure_Age1 | NeutralProcessing_Age3 | 15 | 80.00% | 0.3200 | 60.00% | 0.5004
MixedStructure_Age1 | NeutralProcessing_Age5 | 10 | 50.00% | 0.5000 | 0.00% | 0.6931
MixedStructure_Age1 | ConstructiveEmergence_Age1 | 5 | 80.00% | 0.3200 | 60.00% | 0.5004
MixedStructure_Age1 | NeutralProcessing_Age11-20 | 4 | 50.00% | 0.5000 | 0.00% | 0.6931
MixedStructure_Age1 | NeutralProcessing_Age4 | 4 | 100.00% | 0.0000 | 100.00% | 0.0000
MixedStructure_Age1 | CompressionProcessing_Age1 | 3 | 66.67% | 0.4444 | 33.33% | 0.6365
MixedStructure_Age1 | CompressionProcessing_Age2 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
MixedStructure_Age1 | CompressionProcessing_Age3 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
MixedStructure_Age1 | CompressionProcessing_Age5 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
