APVA Interpretation Arbitration Study v0.1
Research only. No optimization, fitting, machine learning, trading rules, or future leakage.

Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
Age counts: 1=1453, 2=486, 3=236, 4=147, 5=115, 6-10=217, 11-20=30, 21+=0
Validated context counts: B=20, C=26, D=15
Candidate interpretation counts: ValidatedContext=61, PreviousDistinctContext=2680, CurrentStateAge=2684

1. Reliability tables
InterpretationType | InterpretationKey | Count | PersistenceRate_t1 | ExitRate_t1 | Entropy_t1 | NormalizedEntropy_t1 | DominantDestination | DominantProbability_t1 | ReliabilityScore
CurrentStateAge | CompressionProcessing+Age1 | 177 | 51.98% | 48.02% | 1.1569 | 0.7188 | CompressionProcessing | 51.98% | 0.3207
CurrentStateAge | CompressionProcessing+Age2 | 92 | 44.57% | 55.43% | 1.2870 | 0.6614 | CompressionProcessing | 44.57% | 0.2299
CurrentStateAge | CompressionProcessing+Age3 | 41 | 53.66% | 46.34% | 1.2311 | 0.6871 | CompressionProcessing | 53.66% | 0.3861
CurrentStateAge | CompressionProcessing+Age4 | 22 | 54.55% | 45.45% | 1.2438 | 0.7728 | CompressionProcessing | 54.55% | 0.3181
CurrentStateAge | CompressionProcessing+Age5 | 12 | 41.67% | 58.33% | 1.3522 | 0.8402 | CompressionProcessing | 41.67% | -0.0068
CurrentStateAge | CompressionProcessing+Age6-10 | 6 | 16.67% | 83.33% | 1.2425 | 0.8962 | NeutralProcessing | 50.00% | 0.0000
CurrentStateAge | ConstructiveEmergence+Age1 | 12 | 0.00% | 100.00% | 1.0776 | 0.9808 | MixedStructure | 41.67% | -0.5642
CurrentStateAge | DecayToNeutral+Age1 | 103 | 0.00% | 100.00% | 1.0086 | 0.6267 | NeutralProcessing | 61.17% | -0.0150
CurrentStateAge | DestructiveRotation+Age1 | 71 | 16.90% | 83.10% | 1.6276 | 0.7827 | NeutralProcessing | 35.21% | -0.2616
CurrentStateAge | DestructiveRotation+Age2 | 12 | 8.33% | 91.67% | 1.6326 | 0.9112 | DecayToNeutral | 33.33% | -0.4945
CurrentStateAge | DestructiveRotation+Age3 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
CurrentStateAge | ExhaustionPersistence+Age1 | 97 | 31.96% | 68.04% | 1.5473 | 0.8636 | ExhaustionPersistence | 31.96% | -0.2244
