APVA Loop Closure Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Loop candidates: 167

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
CL | 166 | 1 | 0 | 99.40% | 9.6747 | 8.0000 | 37
Aggregate | 166 | 1 | 0 | 99.40% | 9.6747 | 8.0000 | 37

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
FormationPhase | 1.0000 | 1.0000 | 1 | 9.37%
LifecyclePhase | 1.2771 | 1.0000 | 3 | 11.96%
LateNeutralPhase | 1.4337 | 1.0000 | 11 | 13.43%
FailurePhase | 1.0000 | 1.0000 | 1 | 9.37%
DestinationPhase | 1.0000 | 1.0000 | 1 | 9.37%
ExcursionPhase | 3.4880 | 2.0000 | 27 | 32.67%
ReturnPhase | 0.4759 | 0.0000 | 1 | 4.46%
NextFormationPhase | 1.0000 | 1.0000 | 1 | 9.37%

3. Canonical Loop Path Table
CanonicalPath | Count | Probability | ReplicationCount | MeanDuration
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> MixedStructure -> NeutralStart | 24 | 14.46% | 1 | 6.5000
NeutralStart -> Age2 -> ReassertionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 18 | 10.84% | 1 | 4.6111
NeutralStart -> Age2 -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 13 | 7.83% | 1 | 6.6154
NeutralStart -> Age3 -> MixedStructure -> MixedStructure -> MixedStructure -> NeutralStart | 9 | 5.42% | 1 | 6.6667
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 8 | 4.82% | 1 | 11.2500
NeutralStart -> Age6-10 -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 4 | 2.41% | 1 | 13.5000
NeutralStart -> Age3 -> ReassertionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 4 | 2.41% | 1 | 6.2500
NeutralStart -> Age5 -> MixedStructure -> MixedStructure -> MixedStructure -> NeutralStart | 4 | 2.41% | 1 | 6.7500
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 3 | 1.81% | 1 | 13.6667
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 3 | 1.81% | 1 | 11.0000
NeutralStart -> Age4 -> ReassertionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 3 | 1.81% | 1 | 11.0000
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 3 | 1.81% | 1 | 6.0000
NeutralStart -> Age2 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 3 | 1.81% | 1 | 4.0000
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> MixedStructure -> NeutralStart | 3 | 1.81% | 1 | 12.6667
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> DecayToNeutral -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 2 | 1.20% | 1 | 11.5000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 2 | 1.20% | 1 | 13.0000
NeutralStart -> Age4 -> MixedStructure -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 2 | 1.20% | 1 | 23.5000
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 2 | 1.20% | 1 | 7.0000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> DestructiveRotation -> DestructiveRotation -> NeutralStart | 2 | 1.20% | 1 | 12.5000
NeutralStart -> Age5 -> MixedStructure -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 2 | 1.20% | 1 | 10.5000
NeutralStart -> Age5 -> ReassertionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 2 | 1.20% | 1 | 11.5000
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 2 | 1.20% | 1 | 7.0000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> DestructiveRotation -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 2 | 1.20% | 1 | 15.0000
NeutralStart -> Age2 -> CompressionProcessing -> CompressionProcessing -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 2 | 1.20% | 1 | 9.5000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> ExhaustionPersistence -> DecayToNeutral -> DestructiveRotation -> DecayToNeutral -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 1 | 0.60% | 1 | 16.0000
NeutralStart -> Age2 -> DestructiveRotation -> DestructiveRotation -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 1 | 0.60% | 1 | 4.0000
NeutralStart -> Age2 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> ExhaustionPersistence -> DecayToNeutral -> CompressionProcessing -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 1 | 0.60% | 1 | 21.0000
NeutralStart -> Age2 -> ReassertionProcessing -> ReassertionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 4.0000
NeutralStart -> Age3 -> MixedStructure -> MixedStructure -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 1 | 0.60% | 1 | 7.0000
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> ExhaustionPersistence -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 17.0000
NeutralStart -> Age5 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 1 | 0.60% | 1 | 7.0000
NeutralStart -> Age6-10 -> ExhaustionPersistence -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 1 | 0.60% | 1 | 8.0000
NeutralStart -> Age3 -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 4.0000
NeutralStart -> Age11-20 -> CompressionProcessing -> CompressionProcessing -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 1 | 0.60% | 1 | 25.0000
NeutralStart -> Age11-20 -> ReassertionProcessing -> ReassertionProcessing -> ConstructiveEmergence -> ConstructiveEmergence -> NeutralStart | 1 | 0.60% | 1 | 26.0000
