APVA Memory Dynamics Study v0.1
============================================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Node count: 35

1. Memory Stream Reconstruction
Bar | StateAgeNode | NodeCategory | MemoryStrength | HalfLife | EntropyGrowth | ForecastConfidence
0 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
1 | MixedStructure_Age2 | Insufficient Node | 0.1567 | 5.00 | 1.2510 | 0.0357
2 | MixedStructure_Age3 | Insufficient Node | 0.4000 | 3.00 | 1.8403 | 0.0000
3 | MixedStructure_Age4 | Insufficient Node | 0.1111 | 2.00 | 2.8944 | 1.0000
4 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
5 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
6 | ReassertionProcessing_Age2 | Insufficient Node | 0.2188 | 2.00 | 1.9893 | 0.1875
7 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
8 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 1.6917 | 0.3399
9 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
10 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
11 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 1.6917 | 0.3399
12 | NeutralProcessing_Age3 | Core Node | 0.3509 | 5.00 | 2.1063 | 0.6500
13 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
14 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
15 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
16 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
17 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
18 | CompressionProcessing_Age1 | Weak Node | 0.1697 | 2.00 | 1.7443 | 0.2034
19 | CompressionProcessing_Age2 | Secondary Node | 0.2168 | 3.00 | 1.6136 | 0.0870
20 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
21 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 1.6917 | 0.3399
22 | NeutralProcessing_Age3 | Core Node | 0.3509 | 5.00 | 2.1063 | 0.6500
23 | NeutralProcessing_Age4 | Core Node | 0.3265 | 5.00 | 2.4430 | 0.8585
24 | NeutralProcessing_Age5 | Secondary Node | 0.3357 | 3.00 | 2.1524 | 0.6842
25 | NeutralProcessing_Age6-10 | Secondary Node | 0.2169 | 3.00 | 1.7158 | 0.4904
26 | NeutralProcessing_Age6-10 | Secondary Node | 0.2169 | 3.00 | 1.7158 | 0.4904
27 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
28 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
29 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
30 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 1.6917 | 0.3399
31 | NeutralProcessing_Age3 | Core Node | 0.3509 | 5.00 | 2.1063 | 0.6500
32 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
33 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
34 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
35 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
36 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
37 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
38 | DecayToNeutral_Age1 | Weak Node | 0.1769 | 2.00 | 1.8881 | 0.3592
39 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
40 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
41 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
42 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 1.6917 | 0.3399
43 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
44 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
45 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 1.6917 | 0.3399
46 | NeutralProcessing_Age3 | Core Node | 0.3509 | 5.00 | 2.1063 | 0.6500
47 | NeutralProcessing_Age4 | Core Node | 0.3265 | 5.00 | 2.4430 | 0.8585
48 | NeutralProcessing_Age5 | Secondary Node | 0.3357 | 3.00 | 2.1524 | 0.6842
49 | NeutralProcessing_Age6-10 | Secondary Node | 0.2169 | 3.00 | 1.7158 | 0.4904
50 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 1.1813 | 0.2545
51 | DecayToNeutral_Age1 | Weak Node | 0.1769 | 2.00 | 1.8881 | 0.3592
52 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
