APVA Minimal Engine Study v0.1
================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
State-age key count: 35

1. Transition Hazard Table
State | AgeBucket | Horizon | Count | NextStateDistribution | PersistenceRate | ExitRate | Entropy | NormalizedEntropy | DominantDestination | DominantProbability
CompressionProcessing | 1 | t+1 | 177 | CompressionProcessing:51.98%, NeutralProcessing:31.64%, ExhaustionPersistence:7.34%, RecoveryResolution:7.34%, MixedStructure:1.69% | 51.98% | 48.02% | 1.1569 | 0.7188 | CompressionProcessing | 51.98%
CompressionProcessing | 1 | t+2 | 176 | CompressionProcessing:37.50%, NeutralProcessing:37.50%, ExhaustionPersistence:7.39%, ReassertionProcessing:5.11%, RecoveryResolution:4.55%, MixedStructure:3.98%, DecayToNeutral:1.70%, DestructiveRotation:1.70%, ConstructiveEmergence:0.57% | 37.50% | 62.50% | 1.5171 | 0.6904 | CompressionProcessing | 37.50%
CompressionProcessing | 1 | t+3 | 176 | CompressionProcessing:35.23%, NeutralProcessing:34.09%, MixedStructure:9.66%, ExhaustionPersistence:9.09%, RecoveryResolution:5.11%, DecayToNeutral:2.84%, DestructiveRotation:2.27%, ReassertionProcessing:1.70% | 35.23% | 64.77% | 1.5868 | 0.7631 | CompressionProcessing | 35.23%
CompressionProcessing | 1 | t+5 | 176 | NeutralProcessing:39.77%, CompressionProcessing:17.61%, ExhaustionPersistence:11.93%, MixedStructure:9.09%, RecoveryResolution:6.82%, ReassertionProcessing:5.68%, DestructiveRotation:5.11%, DecayToNeutral:3.41%, ConstructiveEmergence:0.57% | 17.61% | 82.39% | 1.7869 | 0.8132 | NeutralProcessing | 39.77%
CompressionProcessing | 2 | t+1 | 92 | CompressionProcessing:44.57%, NeutralProcessing:35.87%, ExhaustionPersistence:10.87%, RecoveryResolution:4.35%, DecayToNeutral:2.17%, DestructiveRotation:1.09%, MixedStructure:1.09% | 44.57% | 55.43% | 1.2870 | 0.6614 | CompressionProcessing | 44.57%
CompressionProcessing | 2 | t+2 | 92 | CompressionProcessing:42.39%, NeutralProcessing:39.13%, ExhaustionPersistence:10.87%, MixedStructure:3.26%, RecoveryResolution:3.26%, ReassertionProcessing:1.09% | 42.39% | 57.61% | 1.2446 | 0.6946 | CompressionProcessing | 42.39%
CompressionProcessing | 2 | t+3 | 92 | NeutralProcessing:36.96%, CompressionProcessing:31.52%, ExhaustionPersistence:10.87%, RecoveryResolution:7.61%, MixedStructure:5.43%, ReassertionProcessing:4.35%, DecayToNeutral:3.26% | 31.52% | 68.48% | 1.5752 | 0.8095 | NeutralProcessing | 36.96%
CompressionProcessing | 2 | t+5 | 92 | NeutralProcessing:48.91%, CompressionProcessing:11.96%, ExhaustionPersistence:9.78%, RecoveryResolution:9.78%, MixedStructure:7.61%, ReassertionProcessing:6.52%, DecayToNeutral:3.26%, DestructiveRotation:2.17% | 11.96% | 88.04% | 1.6274 | 0.7826 | NeutralProcessing | 48.91%
CompressionProcessing | 3 | t+1 | 41 | CompressionProcessing:53.66%, NeutralProcessing:24.39%, ExhaustionPersistence:14.63%, MixedStructure:2.44%, ReassertionProcessing:2.44%, RecoveryResolution:2.44% | 53.66% | 46.34% | 1.2311 | 0.6871 | CompressionProcessing | 53.66%
CompressionProcessing | 3 | t+2 | 41 | CompressionProcessing:39.02%, NeutralProcessing:26.83%, ExhaustionPersistence:9.76%, DecayToNeutral:7.32%, RecoveryResolution:7.32%, MixedStructure:4.88%, ReassertionProcessing:4.88% | 39.02% | 60.98% | 1.6246 | 0.8349 | CompressionProcessing | 39.02%
CompressionProcessing | 3 | t+3 | 41 | NeutralProcessing:26.83%, CompressionProcessing:21.95%, ExhaustionPersistence:17.07%, DestructiveRotation:12.20%, RecoveryResolution:12.20%, MixedStructure:9.76% | 21.95% | 78.05% | 1.7279 | 0.9644 | NeutralProcessing | 26.83%
CompressionProcessing | 3 | t+5 | 41 | NeutralProcessing:46.34%, CompressionProcessing:14.63%, ExhaustionPersistence:9.76%, MixedStructure:9.76%, RecoveryResolution:9.76%, DestructiveRotation:4.88%, DecayToNeutral:2.44%, ReassertionProcessing:2.44% | 14.63% | 85.37% | 1.6473 | 0.7922 | NeutralProcessing | 46.34%
CompressionProcessing | 4 | t+1 | 22 | CompressionProcessing:54.55%, NeutralProcessing:22.73%, DecayToNeutral:9.09%, ExhaustionPersistence:9.09%, ReassertionProcessing:4.55% | 54.55% | 45.45% | 1.2438 | 0.7728 | CompressionProcessing | 54.55%
CompressionProcessing | 4 | t+2 | 22 | CompressionProcessing:31.82%, ExhaustionPersistence:22.73%, NeutralProcessing:22.73%, DestructiveRotation:13.64%, MixedStructure:4.55%, RecoveryResolution:4.55% | 31.82% | 68.18% | 1.5905 | 0.8877 | CompressionProcessing | 31.82%
CompressionProcessing | 4 | t+3 | 22 | NeutralProcessing:31.82%, ExhaustionPersistence:18.18%, RecoveryResolution:18.18%, CompressionProcessing:13.64%, DecayToNeutral:9.09%, MixedStructure:9.09% | 13.64% | 86.36% | 1.6919 | 0.9443 | NeutralProcessing | 31.82%
CompressionProcessing | 4 | t+5 | 22 | NeutralProcessing:40.91%, MixedStructure:13.64%, RecoveryResolution:13.64%, CompressionProcessing:9.09%, DecayToNeutral:9.09%, ExhaustionPersistence:9.09%, ReassertionProcessing:4.55% | 9.09% | 90.91% | 1.7035 | 0.8754 | NeutralProcessing | 40.91%
CompressionProcessing | 5 | t+1 | 12 | CompressionProcessing:41.67%, ExhaustionPersistence:33.33%, DestructiveRotation:8.33%, MixedStructure:8.33%, NeutralProcessing:8.33% | 41.67% | 58.33% | 1.3522 | 0.8402 | CompressionProcessing | 41.67%
CompressionProcessing | 5 | t+2 | 12 | ExhaustionPersistence:25.00%, NeutralProcessing:25.00%, CompressionProcessing:16.67%, RecoveryResolution:16.67%, DecayToNeutral:8.33%, MixedStructure:8.33% | 16.67% | 83.33% | 1.7046 | 0.9513 | ExhaustionPersistence | 25.00%
CompressionProcessing | 5 | t+3 | 12 | NeutralProcessing:25.00%, CompressionProcessing:16.67%, ExhaustionPersistence:16.67%, RecoveryResolution:16.67%, DestructiveRotation:8.33%, MixedStructure:8.33%, ReassertionProcessing:8.33% | 16.67% | 83.33% | 1.8637 | 0.9577 | NeutralProcessing | 25.00%
CompressionProcessing | 5 | t+5 | 12 | NeutralProcessing:25.00%, CompressionProcessing:16.67%, MixedStructure:16.67%, ReassertionProcessing:16.67%, DestructiveRotation:8.33%, ExhaustionPersistence:8.33%, RecoveryResolution:8.33% | 16.67% | 83.33% | 1.8637 | 0.9577 | NeutralProcessing | 25.00%
CompressionProcessing | 6-10 | t+1 | 6 | NeutralProcessing:50.00%, CompressionProcessing:16.67%, MixedStructure:16.67%, RecoveryResolution:16.67% | 16.67% | 83.33% | 1.2425 | 0.8962 | NeutralProcessing | 50.00%
CompressionProcessing | 6-10 | t+2 | 6 | CompressionProcessing:33.33%, MixedStructure:33.33%, NeutralProcessing:33.33% | 33.33% | 66.67% | 1.0986 | 1.0000 | CompressionProcessing | 33.33%
CompressionProcessing | 6-10 | t+3 | 6 | NeutralProcessing:33.33%, CompressionProcessing:16.67%, DecayToNeutral:16.67%, MixedStructure:16.67%, RecoveryResolution:16.67% | 16.67% | 83.33% | 1.5607 | 0.9697 | NeutralProcessing | 33.33%
CompressionProcessing | 6-10 | t+5 | 6 | NeutralProcessing:66.67%, CompressionProcessing:16.67%, MixedStructure:16.67% | 16.67% | 83.33% | 0.8676 | 0.7897 | NeutralProcessing | 66.67%
ConstructiveEmergence | 1 | t+1 | 12 | MixedStructure:41.67%, NeutralProcessing:33.33%, DecayToNeutral:25.00% | 0.00% | 100.00% | 1.0776 | 0.9808 | MixedStructure | 41.67%
ConstructiveEmergence | 1 | t+2 | 12 | MixedStructure:41.67%, NeutralProcessing:33.33%, DecayToNeutral:25.00% | 0.00% | 100.00% | 1.0776 | 0.9808 | MixedStructure | 41.67%
ConstructiveEmergence | 1 | t+3 | 12 | MixedStructure:58.33%, NeutralProcessing:25.00%, ExhaustionPersistence:16.67% | 0.00% | 100.00% | 0.9596 | 0.8735 | MixedStructure | 58.33%
