APVA Neutral Failure Timing Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
ReferenceFailureCount: 166
StableControlCount: 852
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
NeutralProcessing_Age2 | 80 | 0 | 80 | 0 | 48.19%
NeutralProcessing_Age6-10 | 40 | 0 | 40 | 0 | 24.10%
NeutralProcessing_Age3 | 19 | 0 | 19 | 0 | 11.45%
NeutralProcessing_Age5 | 14 | 0 | 14 | 0 | 8.43%
NeutralProcessing_Age4 | 8 | 0 | 8 | 0 | 4.82%
NeutralProcessing_Age11-20 | 5 | 0 | 5 | 0 | 3.01%

2. Warning Window Signal Table
FailureNode | AgeBucket | Horizon | Signal | FailureMean | ControlMean | EffectSize | ReplicationCount
AllFailureNodes | 11-20 | t-3 | BodyRelativeToPrevious | 0.4585 | 10.0000 | -131.0915 | 0
AllFailureNodes | 11-20 | t-3 | EfficiencyRatio | 0.1500 | 0.7692 | -21.4752 | 0
AllFailureNodes | 11-20 | t-5 | VolumeRelativeToRollingMean | 0.6189 | 0.0000 | 7.1701 | 0
AllFailureNodes | 11-20 | t-2 | EfficiencyRatio | 0.1499 | 0.6606 | -5.3260 | 0
AllFailureNodes | 11-20 | t-5 | VolumeRelativeToPrevious | 1.3135 | 0.0000 | 4.7060 | 0
AllFailureNodes | 11-20 | t-5 | VolumeRelativeToSessionMean | 0.6109 | 0.0000 | 4.0162 | 0
AllFailureNodes | 11-20 | t-5 | RangeRelativeToPrevious | 1.2884 | 0.0000 | 2.9970 | 0
AllFailureNodes | 11-20 | t-5 | TrueRangeRelativeToPrevious | 1.2884 | 0.0000 | 2.9970 | 0
AllFailureNodes | 11-20 | t-5 | CloseLocation | 0.4146 | 0.0000 | 2.8413 | 0
AllFailureNodes | 11-20 | t-3 | CloseLocation | 0.4332 | 0.0000 | 2.7216 | 0
AllFailureNodes | 11-20 | t-3 | VolumeRelativeToSessionMean | 0.6338 | 0.2120 | 2.5486 | 0
AllFailureNodes | 11-20 | t-2 | VolumeRelativeToRollingMean | 0.6818 | 0.5505 | 2.4747 | 0
AllFailureNodes | 11-20 | t-2 | VolumeRelativeToSessionMean | 0.5903 | 0.4004 | 2.3991 | 0
AllFailureNodes | 11-20 | t-0 | RangeRelativeToPrevious | 0.5736 | 1.4097 | -1.9364 | 0
AllFailureNodes | 11-20 | t-0 | TrueRangeRelativeToPrevious | 0.5736 | 1.4097 | -1.9364 | 0
AllFailureNodes | 11-20 | t-3 | VolumeRelativeToPrevious | 1.4465 | 0.4107 | 1.8188 | 0
AllFailureNodes | 11-20 | t-1 | PolarityFlipFlag | 0.4000 | 1.0000 | -1.7321 | 0
AllFailureNodes | 11-20 | t-3 | PolarityFlipFlag | 0.4000 | 1.0000 | -1.7321 | 0
AllFailureNodes | 11-20 | t-3 | VolumeRelativeToRollingMean | 0.7299 | 0.2831 | 1.7309 | 0
AllFailureNodes | 11-20 | t-0 | VolumeRelativeToPrevious | 0.6979 | 1.7082 | -1.4639 | 0
AllFailureNodes | 11-20 | t-3 | RangeRelativeToPrevious | 1.2864 | 0.8125 | 1.3195 | 0
AllFailureNodes | 11-20 | t-3 | TrueRangeRelativeToPrevious | 1.2864 | 0.8125 | 1.3195 | 0
AllFailureNodes | 11-20 | t-2 | RangeRelativeToPrevious | 1.2352 | 0.8671 | 1.2643 | 0
AllFailureNodes | 11-20 | t-2 | TrueRangeRelativeToPrevious | 1.2352 | 0.8671 | 1.2643 | 0
AllFailureNodes | 11-20 | t-0 | CloseLocation | 0.5817 | 0.3495 | 1.2574 | 0
AllFailureNodes | 3 | t-3 | VolumeRelativeToRollingMean | 1.8521 | 0.8280 | 1.2417 | 0
AllFailureNodes | 4 | t-0 | EfficiencyRatio | 0.5688 | 0.3085 | 1.2218 | 0
AllFailureNodes | 11-20 | t-2 | VolumeRelativeToPrevious | 1.0621 | 1.5783 | -1.2087 | 0
AllFailureNodes | 11-20 | t-5 | EfficiencyRatio | 0.1868 | 0.0000 | 1.2019 | 0
AllFailureNodes | 11-20 | t-0 | VolumeRelativeToRollingMean | 0.7634 | 1.1675 | -1.1963 | 0
AllFailureNodes | 3 | t-3 | RangeRelativeToPrevious | 2.2923 | 1.0090 | 1.1959 | 0
AllFailureNodes | 3 | t-3 | TrueRangeRelativeToPrevious | 2.2920 | 1.0089 | 1.1954 | 0
AllFailureNodes | 3 | t-3 | VolumeRelativeToSessionMean | 1.5901 | 0.8479 | 1.1831 | 0
AllFailureNodes | 11-20 | t-5 | PolarityFlipFlag | 0.4000 | 0.0000 | 1.1547 | 0
AllFailureNodes | 3 | t-3 | BodyRelativeToPrevious | 5.8531 | 1.4870 | 1.0748 | 0
AllFailureNodes | 11-20 | t-2 | PolarityFlipFlag | 0.8000 | 0.3333 | 1.0675 | 0
AllFailureNodes | 11-20 | t-1 | VolumeRelativeToSessionMean | 0.9430 | 0.5991 | 1.0627 | 0
AllFailureNodes | 3 | t-2 | RangeRelativeToPrevious | 0.6328 | 0.9061 | -1.0539 | 0
AllFailureNodes | 3 | t-3 | VolumeRelativeToPrevious | 2.3884 | 1.0012 | 1.0501 | 0
AllFailureNodes | 3 | t-2 | TrueRangeRelativeToPrevious | 0.6328 | 0.9039 | -1.0463 | 0
AllFailureNodes | 4 | t-5 | BodyRelativeToPrevious | 1.8285 | 5.4253 | -1.0037 | 0
AllFailureNodes | 5 | t-5 | VolumeRelativeToRollingMean | 1.0607 | 0.6538 | 0.9270 | 0
AllFailureNodes | 4 | t-0 | PolarityFlipFlag | 0.1250 | 0.4966 | -0.8766 | 0
AllFailureNodes | 11-20 | t-1 | BodyRelativeToPrevious | 14.5842 | 1.0386 | 0.8581 | 0
AllFailureNodes | 4 | t-0 | BodyRelativeToPrevious | 9.1613 | 2.6247 | 0.8200 | 0
AllFailureNodes | 4 | t-5 | VolumeRelativeToRollingMean | 1.2061 | 0.9740 | 0.8186 | 0
AllFailureNodes | 6-10 | t-5 | VolumeRelativeToRollingMean | 0.7224 | 0.5415 | 0.8172 | 0
AllFailureNodes | 6-10 | t-5 | VolumeRelativeToSessionMean | 0.7270 | 0.5372 | 0.8119 | 0
AllFailureNodes | 4 | t-0 | RangeRelativeToPrevious | 2.0293 | 1.2232 | 0.8021 | 0
AllFailureNodes | 4 | t-0 | TrueRangeRelativeToPrevious | 2.0293 | 1.2259 | 0.7992 | 0
AllFailureNodes | 11-20 | t-1 | VolumeRelativeToRollingMean | 1.1153 | 0.8278 | 0.7971 | 0
AllFailureNodes | 11-20 | t-5 | BodyRelativeToPrevious | 2.1592 | 0.0000 | 0.7775 | 0
AllFailureNodes | 11-20 | t-0 | BodyRelativeToPrevious | 0.4760 | 1.8103 | -0.7761 | 0
AllFailureNodes | 4 | t-5 | EfficiencyRatio | 0.4698 | 0.6325 | -0.7638 | 0
AllFailureNodes | 11-20 | t-2 | BodyRelativeToPrevious | 1.6800 | 0.8436 | 0.7611 | 0
AllFailureNodes | 11-20 | t-0 | VolumeRelativeToSessionMean | 0.6046 | 0.8315 | -0.7412 | 0
AllFailureNodes | 5 | t-1 | PolarityFlipFlag | 0.7857 | 0.4762 | 0.6772 | 0
AllFailureNodes | 3 | t-5 | CloseLocation | 0.4177 | 0.5779 | -0.6374 | 0
AllFailureNodes | 4 | t-0 | VolumeRelativeToRollingMean | 1.0821 | 0.7143 | 0.6371 | 0
AllFailureNodes | 11-20 | t-1 | CloseLocation | 0.4361 | 0.6152 | -0.6363 | 0
AllFailureNodes | 3 | t-1 | CloseLocation | 0.5727 | 0.4346 | 0.6206 | 0
AllFailureNodes | 4 | t-2 | TrueRangeRelativeToPrevious | 0.8297 | 0.9994 | -0.6187 | 0
AllFailureNodes | 4 | t-2 | RangeRelativeToPrevious | 0.8297 | 0.9985 | -0.6138 | 0
AllFailureNodes | 4 | t-5 | VolumeRelativeToSessionMean | 1.1271 | 0.9556 | 0.6134 | 0
AllFailureNodes | 5 | t-3 | EfficiencyRatio | 0.3380 | 0.2099 | 0.5993 | 0
AllFailureNodes | 5 | t-5 | VolumeRelativeToPrevious | 1.1024 | 0.8325 | 0.5848 | 0
AllFailureNodes | 4 | t-5 | CloseLocation | 0.6166 | 0.4409 | 0.5733 | 0
AllFailureNodes | 4 | t-0 | VolumeRelativeToPrevious | 2.1316 | 1.1812 | 0.5693 | 0
AllFailureNodes | 4 | t-3 | CloseLocation | 0.6201 | 0.4816 | 0.5658 | 0
AllFailureNodes | 6-10 | t-2 | BodyRelativeToPrevious | 1.2184 | 2.6085 | -0.5502 | 0
AllFailureNodes | 3 | t-2 | VolumeRelativeToRollingMean | 1.1388 | 0.6939 | 0.5335 | 0
AllFailureNodes | 5 | t-5 | VolumeRelativeToSessionMean | 0.9263 | 0.7257 | 0.5274 | 0
AllFailureNodes | 6-10 | t-1 | VolumeRelativeToRollingMean | 0.8155 | 0.6097 | 0.5251 | 0
AllFailureNodes | 6-10 | t-2 | TrueRangeRelativeToPrevious | 0.9198 | 1.1576 | -0.5243 | 0
AllFailureNodes | 6-10 | t-2 | RangeRelativeToPrevious | 0.9205 | 1.1564 | -0.5222 | 0
AllFailureNodes | 5 | t-5 | BodyRelativeToPrevious | 1.0681 | 0.6760 | 0.5200 | 0
AllFailureNodes | 3 | t-5 | VolumeRelativeToSessionMean | 0.7759 | 1.0709 | -0.5148 | 0
AllFailureNodes | 4 | t-1 | RangeRelativeToPrevious | 0.8190 | 0.9875 | -0.5140 | 0
AllFailureNodes | 3 | t-2 | VolumeRelativeToSessionMean | 1.0008 | 0.7033 | 0.5124 | 0
AllFailureNodes | 5 | t-3 | VolumeRelativeToRollingMean | 0.7731 | 0.6441 | 0.5101 | 0
AllFailureNodes | 4 | t-1 | TrueRangeRelativeToPrevious | 0.8190 | 0.9845 | -0.5091 | 0
AllFailureNodes | 4 | t-1 | CloseLocation | 0.7052 | 0.5668 | 0.5046 | 0
AllFailureNodes | 6-10 | t-5 | EfficiencyRatio | 0.3772 | 0.2589 | 0.5035 | 0
AllFailureNodes | 6-10 | t-1 | VolumeRelativeToSessionMean | 0.7627 | 0.6001 | 0.5019 | 0
AllFailureNodes | 5 | t-0 | BodyRelativeToPrevious | 1.6500 | 3.3888 | -0.4944 | 0
AllFailureNodes | 4 | t-1 | EfficiencyRatio | 0.2284 | 0.3179 | -0.4896 | 0
AllFailureNodes | 3 | t-5 | VolumeRelativeToRollingMean | 0.8102 | 1.1191 | -0.4863 | 0
AllFailureNodes | 4 | t-5 | RangeRelativeToPrevious | 1.6249 | 1.3462 | 0.4636 | 0
AllFailureNodes | 2 | t-2 | VolumeRelativeToRollingMean | 1.1148 | 0.8641 | 0.4631 | 0
AllFailureNodes | 11-20 | t-1 | EfficiencyRatio | 0.5201 | 0.3859 | 0.4559 | 0
AllFailureNodes | 5 | t-5 | TrueRangeRelativeToPrevious | 1.0357 | 0.8412 | 0.4540 | 0
AllFailureNodes | 3 | t-2 | VolumeRelativeToPrevious | 0.7059 | 0.8756 | -0.4528 | 0
