APVA Node Flow Study v0.1
========================================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Node count: 35
Category count: 4

1. Node Category Assignment
StateAgeNode | NodeCategory | ImportanceScore | ReliabilityScore
CompressionProcessing_Age1 | Weak Node | 0.4111 | 0.5333
CompressionProcessing_Age2 | Secondary Node | 0.4461 | 0.4306
CompressionProcessing_Age3 | Insufficient Node | 0.4383 | 0.4609
CompressionProcessing_Age4 | Insufficient Node | 0.4127 | 0.4552
CompressionProcessing_Age5 | Insufficient Node | 0.3943 | 0.3694
CompressionProcessing_Age6-10 | Insufficient Node | 0.3483 | 0.4482
ConstructiveEmergence_Age1 | Insufficient Node | 0.3008 | 0.3694
DecayToNeutral_Age1 | Weak Node | 0.4077 | 0.5297
DestructiveRotation_Age1 | Weak Node | 0.3872 | 0.4094
DestructiveRotation_Age2 | Insufficient Node | 0.3204 | 0.3694
DestructiveRotation_Age3 | Insufficient Node | 0.5312 | 0.6667
ExhaustionPersistence_Age1 | Weak Node | 0.3936 | 0.4123
ExhaustionPersistence_Age2 | Insufficient Node | 0.5178 | 0.4849
ExhaustionPersistence_Age3 | Insufficient Node | 0.4145 | 0.5230
ExhaustionPersistence_Age4 | Insufficient Node | 0.3575 | 0.4488
ExhaustionPersistence_Age5 | Insufficient Node | 0.4158 | 0.3803
ExhaustionPersistence_Age6-10 | Insufficient Node | 0.3721 | 0.4459
MixedStructure_Age1 | Secondary Node | 0.5086 | 0.6269
MixedStructure_Age2 | Insufficient Node | 0.4709 | 0.3655
MixedStructure_Age3 | Insufficient Node | 0.5005 | 0.3363
MixedStructure_Age4 | Insufficient Node | 0.4327 | 0.6674
NeutralProcessing_Age1 | Core Node | 0.6322 | 0.8067
NeutralProcessing_Age11-20 | Insufficient Node | 0.4566 | 0.5218
NeutralProcessing_Age2 | Secondary Node | 0.7149 | 0.6358
NeutralProcessing_Age3 | Core Node | 0.7661 | 0.6544
NeutralProcessing_Age4 | Core Node | 0.7756 | 0.6983
NeutralProcessing_Age5 | Secondary Node | 0.6127 | 0.6320
NeutralProcessing_Age6-10 | Secondary Node | 0.5526 | 0.6522
ReassertionProcessing_Age1 | Secondary Node | 0.4503 | 0.4785
ReassertionProcessing_Age2 | Insufficient Node | 0.3862 | 0.4191
ReassertionProcessing_Age3 | Insufficient Node | 0.4000 | 0.6667
RecoveryResolution_Age1 | Secondary Node | 0.5964 | 0.4315
RecoveryResolution_Age2 | Insufficient Node | 0.5398 | 0.5015
RecoveryResolution_Age3 | Insufficient Node | 0.5121 | 0.5010
RecoveryResolution_Age4 | Insufficient Node | 0.7613 | 0.6667

2. Node-to-Node Flow Matrix
SourceNode | DestinationNode | TransitionCount | TransitionProbability
CompressionProcessing_Age1 | CompressionProcessing_Age1 | 0 | 0.00%
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 92 | 51.98%
CompressionProcessing_Age1 | CompressionProcessing_Age3 | 0 | 0.00%
CompressionProcessing_Age1 | CompressionProcessing_Age4 | 0 | 0.00%
CompressionProcessing_Age1 | CompressionProcessing_Age5 | 0 | 0.00%
CompressionProcessing_Age1 | CompressionProcessing_Age6-10 | 0 | 0.00%
CompressionProcessing_Age1 | ConstructiveEmergence_Age1 | 0 | 0.00%
