APVA Outcome vs State Age Study v0.1 - CL
============================================================

Rows: 2684

State                        Age           N    Valid       MeanDR     MedianDR      Cont      Fail      Flat      Skew
RecoveryResolution           1            94       90      0.35344      0.11000    52.22%    45.56%     2.22%     6.67%
RecoveryResolution           2            38       37     -0.17405     -0.11000    45.95%    54.05%     0.00%    -8.11%
RecoveryResolution           3            27       27      0.36074      0.13000    51.85%    48.15%     0.00%     3.70%
RecoveryResolution           4             1        1     -0.22000     -0.22000     0.00%   100.00%     0.00%  -100.00%
ExhaustionPersistence        1            97       97     -0.43969     -0.16000    40.21%    59.79%     0.00%   -19.59%
ExhaustionPersistence        2            31       31     -0.10129     -0.25000    41.94%    58.06%     0.00%   -16.13%
ExhaustionPersistence        3            21       21      0.09571      0.16000    52.38%    47.62%     0.00%     4.76%
ExhaustionPersistence        4            16       16     -0.04750      0.07000    56.25%    43.75%     0.00%    12.50%
ExhaustionPersistence        5             8        8     -0.05250      0.22000    62.50%    37.50%     0.00%    25.00%
ExhaustionPersistence        6-10          3        3     -0.31333     -0.45000    33.33%    66.67%     0.00%   -33.33%
CompressionProcessing        1           177      174     -0.01701     -0.03500    45.40%    54.02%     0.57%    -8.62%
CompressionProcessing        2            92       89      0.01382     -0.12000    42.70%    57.30%     0.00%   -14.61%
CompressionProcessing        3            41       41      0.40244      0.14000    60.98%    34.15%     4.88%    26.83%
CompressionProcessing        4            22       22     -0.05000     -0.12000    31.82%    63.64%     4.55%   -31.82%
CompressionProcessing        5            12       12     -0.26667     -0.22000    25.00%    75.00%     0.00%   -50.00%
CompressionProcessing        6-10          6        6     -0.38333     -0.18500    16.67%    83.33%     0.00%   -66.67%
NeutralProcessing            1           446      430      0.06498      0.03000    51.16%    48.14%     0.70%     3.02%
NeutralProcessing            2           253      245     -0.07780     -0.06000    45.71%    53.47%     0.82%    -7.76%
NeutralProcessing            3           140      134      0.23828      0.04500    53.73%    44.03%     2.24%     9.70%
NeutralProcessing            4           106      104      0.14375      0.14500    66.35%    33.65%     0.00%    32.69%
NeutralProcessing            5            95       95     -0.19063     -0.11000    38.95%    60.00%     1.05%   -21.05%
NeutralProcessing            6-10        208      202     -0.10109     -0.06000    48.02%    51.98%     0.00%    -3.96%
NeutralProcessing            11-20        30       27      0.02889      0.02000    51.85%    44.44%     3.70%     7.41%
ReassertionProcessing        1           174      174      0.02023     -0.00500    49.43%    50.00%     0.57%    -0.57%
ReassertionProcessing        2            32       32     -0.08156     -0.01000    46.88%    53.12%     0.00%    -6.25%
ReassertionProcessing        3             1        1      0.55000      0.55000   100.00%     0.00%     0.00%   100.00%
DecayToNeutral               1           103      101     -0.20267      0.09000    53.47%    46.53%     0.00%     6.93%
DestructiveRotation          1            71       70     -0.28671      0.07000    52.86%    47.14%     0.00%     5.71%
DestructiveRotation          2            12       12      1.02917      0.23500    58.33%    41.67%     0.00%    16.67%
DestructiveRotation          3             1        1      3.45000      3.45000   100.00%     0.00%     0.00%   100.00%
ConstructiveEmergence        1            12       12      0.00333      0.08500    58.33%    41.67%     0.00%    16.67%
MixedStructure               1           279      278     -0.03917     -0.03000    47.12%    52.16%     0.72%    -5.04%
MixedStructure               2            28       27      0.12148      0.08000    51.85%    48.15%     0.00%     3.70%
MixedStructure               3             5        5      0.49000      0.51000   100.00%     0.00%     0.00%   100.00%
MixedStructure               4             2        2      0.35500      0.35500    50.00%    50.00%     0.00%     0.00%
