APVA Process Graph Study v0.1
============================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Node count: 35
Edge count: 157

1. Directed Graph Summary
SourceNode | DestinationNode | TransitionCount | TransitionProbability
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 92 | 51.98%
CompressionProcessing_Age1 | NeutralProcessing_Age1 | 56 | 31.64%
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 13 | 7.34%
CompressionProcessing_Age1 | RecoveryResolution_Age1 | 13 | 7.34%
CompressionProcessing_Age1 | MixedStructure_Age1 | 3 | 1.69%
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 41 | 44.57%
CompressionProcessing_Age2 | NeutralProcessing_Age1 | 33 | 35.87%
CompressionProcessing_Age2 | ExhaustionPersistence_Age1 | 10 | 10.87%
CompressionProcessing_Age2 | RecoveryResolution_Age1 | 4 | 4.35%
CompressionProcessing_Age2 | DecayToNeutral_Age1 | 2 | 2.17%
CompressionProcessing_Age2 | DestructiveRotation_Age1 | 1 | 1.09%
CompressionProcessing_Age2 | MixedStructure_Age1 | 1 | 1.09%
CompressionProcessing_Age3 | CompressionProcessing_Age4 | 22 | 53.66%
CompressionProcessing_Age3 | NeutralProcessing_Age1 | 10 | 24.39%
CompressionProcessing_Age3 | ExhaustionPersistence_Age1 | 6 | 14.63%
CompressionProcessing_Age3 | MixedStructure_Age1 | 1 | 2.44%
CompressionProcessing_Age3 | ReassertionProcessing_Age1 | 1 | 2.44%
CompressionProcessing_Age3 | RecoveryResolution_Age1 | 1 | 2.44%
CompressionProcessing_Age4 | CompressionProcessing_Age5 | 12 | 54.55%
CompressionProcessing_Age4 | NeutralProcessing_Age1 | 5 | 22.73%
CompressionProcessing_Age4 | DecayToNeutral_Age1 | 2 | 9.09%
CompressionProcessing_Age4 | ExhaustionPersistence_Age1 | 2 | 9.09%
CompressionProcessing_Age4 | ReassertionProcessing_Age1 | 1 | 4.55%
CompressionProcessing_Age5 | CompressionProcessing_Age6-10 | 5 | 41.67%
CompressionProcessing_Age5 | ExhaustionPersistence_Age1 | 4 | 33.33%
CompressionProcessing_Age5 | DestructiveRotation_Age1 | 1 | 8.33%
CompressionProcessing_Age5 | MixedStructure_Age1 | 1 | 8.33%
CompressionProcessing_Age5 | NeutralProcessing_Age1 | 1 | 8.33%
CompressionProcessing_Age6-10 | NeutralProcessing_Age1 | 3 | 50.00%
CompressionProcessing_Age6-10 | CompressionProcessing_Age6-10 | 1 | 16.67%
CompressionProcessing_Age6-10 | MixedStructure_Age1 | 1 | 16.67%
CompressionProcessing_Age6-10 | RecoveryResolution_Age1 | 1 | 16.67%
ConstructiveEmergence_Age1 | MixedStructure_Age1 | 5 | 41.67%
ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 4 | 33.33%
ConstructiveEmergence_Age1 | DecayToNeutral_Age1 | 3 | 25.00%
DecayToNeutral_Age1 | NeutralProcessing_Age1 | 63 | 61.17%
DecayToNeutral_Age1 | MixedStructure_Age1 | 26 | 25.24%
DecayToNeutral_Age1 | DestructiveRotation_Age1 | 11 | 10.68%
DecayToNeutral_Age1 | CompressionProcessing_Age1 | 2 | 1.94%
DecayToNeutral_Age1 | ConstructiveEmergence_Age1 | 1 | 0.97%
DestructiveRotation_Age1 | NeutralProcessing_Age1 | 25 | 35.21%
DestructiveRotation_Age1 | DecayToNeutral_Age1 | 20 | 28.17%
DestructiveRotation_Age1 | DestructiveRotation_Age2 | 12 | 16.90%
DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 5 | 7.04%
DestructiveRotation_Age1 | RecoveryResolution_Age1 | 4 | 5.63%
DestructiveRotation_Age1 | ReassertionProcessing_Age1 | 3 | 4.23%
DestructiveRotation_Age1 | CompressionProcessing_Age1 | 1 | 1.41%
DestructiveRotation_Age1 | MixedStructure_Age1 | 1 | 1.41%
DestructiveRotation_Age2 | DecayToNeutral_Age1 | 4 | 33.33%
DestructiveRotation_Age2 | ExhaustionPersistence_Age1 | 3 | 25.00%
DestructiveRotation_Age2 | NeutralProcessing_Age1 | 2 | 16.67%
DestructiveRotation_Age2 | CompressionProcessing_Age1 | 1 | 8.33%
DestructiveRotation_Age2 | DestructiveRotation_Age3 | 1 | 8.33%
DestructiveRotation_Age2 | RecoveryResolution_Age1 | 1 | 8.33%
DestructiveRotation_Age3 | CompressionProcessing_Age1 | 1 | 100.00%
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 31 | 31.96%
ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 29 | 29.90%
ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 17 | 17.53%
ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 11 | 11.34%
ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 7 | 7.22%
ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 2 | 2.06%
ExhaustionPersistence_Age2 | ExhaustionPersistence_Age3 | 21 | 67.74%
ExhaustionPersistence_Age2 | RecoveryResolution_Age1 | 9 | 29.03%
ExhaustionPersistence_Age2 | NeutralProcessing_Age1 | 1 | 3.23%
ExhaustionPersistence_Age3 | ExhaustionPersistence_Age4 | 16 | 76.19%
ExhaustionPersistence_Age3 | NeutralProcessing_Age1 | 5 | 23.81%
ExhaustionPersistence_Age4 | ExhaustionPersistence_Age5 | 8 | 50.00%
ExhaustionPersistence_Age4 | NeutralProcessing_Age1 | 3 | 18.75%
ExhaustionPersistence_Age4 | DestructiveRotation_Age1 | 2 | 12.50%
ExhaustionPersistence_Age4 | CompressionProcessing_Age1 | 1 | 6.25%
ExhaustionPersistence_Age4 | DecayToNeutral_Age1 | 1 | 6.25%
ExhaustionPersistence_Age4 | RecoveryResolution_Age1 | 1 | 6.25%
ExhaustionPersistence_Age5 | NeutralProcessing_Age1 | 3 | 37.50%
ExhaustionPersistence_Age5 | DecayToNeutral_Age1 | 2 | 25.00%
ExhaustionPersistence_Age5 | CompressionProcessing_Age1 | 1 | 12.50%
ExhaustionPersistence_Age5 | DestructiveRotation_Age1 | 1 | 12.50%
ExhaustionPersistence_Age5 | ExhaustionPersistence_Age6-10 | 1 | 12.50%
ExhaustionPersistence_Age6-10 | ExhaustionPersistence_Age6-10 | 2 | 66.67%
ExhaustionPersistence_Age6-10 | NeutralProcessing_Age1 | 1 | 33.33%
MixedStructure_Age1 | NeutralProcessing_Age1 | 115 | 41.22%
MixedStructure_Age1 | DecayToNeutral_Age1 | 44 | 15.77%
MixedStructure_Age1 | ExhaustionPersistence_Age1 | 39 | 13.98%
MixedStructure_Age1 | MixedStructure_Age2 | 28 | 10.04%
MixedStructure_Age1 | RecoveryResolution_Age1 | 25 | 8.96%
MixedStructure_Age1 | ReassertionProcessing_Age1 | 17 | 6.09%
MixedStructure_Age1 | CompressionProcessing_Age1 | 5 | 1.79%
MixedStructure_Age1 | ConstructiveEmergence_Age1 | 3 | 1.08%
MixedStructure_Age1 | DestructiveRotation_Age1 | 3 | 1.08%
MixedStructure_Age2 | DecayToNeutral_Age1 | 8 | 28.57%
MixedStructure_Age2 | NeutralProcessing_Age1 | 7 | 25.00%
MixedStructure_Age2 | MixedStructure_Age3 | 5 | 17.86%
MixedStructure_Age2 | RecoveryResolution_Age1 | 4 | 14.29%
MixedStructure_Age2 | ExhaustionPersistence_Age1 | 3 | 10.71%
MixedStructure_Age2 | CompressionProcessing_Age1 | 1 | 3.57%
MixedStructure_Age3 | ConstructiveEmergence_Age1 | 2 | 40.00%
MixedStructure_Age3 | MixedStructure_Age4 | 2 | 40.00%
MixedStructure_Age3 | RecoveryResolution_Age1 | 1 | 20.00%
MixedStructure_Age4 | NeutralProcessing_Age1 | 2 | 100.00%
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 253 | 56.85%
NeutralProcessing_Age1 | MixedStructure_Age1 | 66 | 14.83%
NeutralProcessing_Age1 | ReassertionProcessing_Age1 | 63 | 14.16%
NeutralProcessing_Age1 | CompressionProcessing_Age1 | 45 | 10.11%
NeutralProcessing_Age1 | DestructiveRotation_Age1 | 15 | 3.37%
NeutralProcessing_Age1 | ConstructiveEmergence_Age1 | 3 | 0.67%
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 19 | 63.33%
NeutralProcessing_Age11-20 | MixedStructure_Age1 | 4 | 13.33%
NeutralProcessing_Age11-20 | ReassertionProcessing_Age1 | 4 | 13.33%
NeutralProcessing_Age11-20 | CompressionProcessing_Age1 | 2 | 6.67%
NeutralProcessing_Age11-20 | ExhaustionPersistence_Age1 | 1 | 3.33%
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 140 | 55.34%
NeutralProcessing_Age2 | MixedStructure_Age1 | 54 | 21.34%
NeutralProcessing_Age2 | ReassertionProcessing_Age1 | 30 | 11.86%
NeutralProcessing_Age2 | CompressionProcessing_Age1 | 24 | 9.49%
NeutralProcessing_Age2 | DestructiveRotation_Age1 | 5 | 1.98%
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 106 | 75.71%
NeutralProcessing_Age3 | MixedStructure_Age1 | 15 | 10.71%
NeutralProcessing_Age3 | ReassertionProcessing_Age1 | 14 | 10.00%
NeutralProcessing_Age3 | CompressionProcessing_Age1 | 5 | 3.57%
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 95 | 89.62%
NeutralProcessing_Age4 | MixedStructure_Age1 | 4 | 3.77%
NeutralProcessing_Age4 | ReassertionProcessing_Age1 | 4 | 3.77%
NeutralProcessing_Age4 | ExhaustionPersistence_Age1 | 2 | 1.89%
NeutralProcessing_Age4 | ConstructiveEmergence_Age1 | 1 | 0.94%
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | 75 | 78.95%
NeutralProcessing_Age5 | MixedStructure_Age1 | 10 | 10.53%
NeutralProcessing_Age5 | ReassertionProcessing_Age1 | 6 | 6.32%
NeutralProcessing_Age5 | CompressionProcessing_Age1 | 3 | 3.16%
NeutralProcessing_Age5 | ExhaustionPersistence_Age1 | 1 | 1.05%
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 133 | 63.94%
NeutralProcessing_Age6-10 | ReassertionProcessing_Age1 | 31 | 14.90%
NeutralProcessing_Age6-10 | MixedStructure_Age1 | 20 | 9.62%
NeutralProcessing_Age6-10 | NeutralProcessing_Age11-20 | 11 | 5.29%
NeutralProcessing_Age6-10 | CompressionProcessing_Age1 | 7 | 3.37%
NeutralProcessing_Age6-10 | ExhaustionPersistence_Age1 | 4 | 1.92%
NeutralProcessing_Age6-10 | ConstructiveEmergence_Age1 | 1 | 0.48%
NeutralProcessing_Age6-10 | RecoveryResolution_Age1 | 1 | 0.48%
ReassertionProcessing_Age1 | MixedStructure_Age1 | 66 | 37.93%
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 58 | 33.33%
ReassertionProcessing_Age1 | ReassertionProcessing_Age2 | 32 | 18.39%
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | 11 | 6.32%
ReassertionProcessing_Age1 | CompressionProcessing_Age1 | 6 | 3.45%
ReassertionProcessing_Age1 | ConstructiveEmergence_Age1 | 1 | 0.57%
ReassertionProcessing_Age2 | DestructiveRotation_Age1 | 18 | 56.25%
ReassertionProcessing_Age2 | NeutralProcessing_Age1 | 12 | 37.50%
ReassertionProcessing_Age2 | CompressionProcessing_Age1 | 1 | 3.12%
ReassertionProcessing_Age2 | ReassertionProcessing_Age3 | 1 | 3.12%
ReassertionProcessing_Age3 | DestructiveRotation_Age1 | 1 | 100.00%
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 46 | 48.94%
RecoveryResolution_Age1 | RecoveryResolution_Age2 | 38 | 40.43%
RecoveryResolution_Age1 | NeutralProcessing_Age1 | 10 | 10.64%
RecoveryResolution_Age2 | RecoveryResolution_Age3 | 27 | 71.05%
RecoveryResolution_Age2 | NeutralProcessing_Age1 | 11 | 28.95%
RecoveryResolution_Age3 | CompressionProcessing_Age1 | 17 | 62.96%
RecoveryResolution_Age3 | NeutralProcessing_Age1 | 5 | 18.52%
RecoveryResolution_Age3 | ExhaustionPersistence_Age1 | 4 | 14.81%
RecoveryResolution_Age3 | RecoveryResolution_Age4 | 1 | 3.70%
RecoveryResolution_Age4 | CompressionProcessing_Age1 | 1 | 100.00%

2. Dominant Edges
Node | Count | DominantDestination | DominantProbability | SecondDestination | SecondProbability | TransitionConfidence
CompressionProcessing_Age1 | 177 | CompressionProcessing_Age2 | 51.98% | NeutralProcessing_Age1 | 31.64% | 20.34%
CompressionProcessing_Age2 | 92 | CompressionProcessing_Age3 | 44.57% | NeutralProcessing_Age1 | 35.87% | 8.70%
