APVA Stage + Alignment + Breakout Type Study v0.1 - CL
======================================================
Instrument: CL
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_OPEN_apva_bar_evidence_v01.csv
Total rows: 2677
Total stage-alignment-breakout observations: 2247
Breakout, SequenceStage, alignment, event, and DRFwd logic are reused from prior studies.
This is a descriptive decomposition of the prior Stage x Alignment result.

Observation Counts by BreakoutType
==================================
IBSYM             495
Lateral          1752

Observation Counts by Stage
===========================
Stage0       170
Stage1       591
Stage2       506
Stage3       367
Stage4       613

Observation Counts by Alignment
===============================
Aligned          1136
Opposed          1111

Event x Stage x Alignment x BreakoutType
========================================
Event                    Type       Stage Alignment    Count   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
AllBars                  IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
AllBars                  IBSYM     Stage0 Opposed        45    -0.040444    -0.080000    40.00%    60.00%     0.00%
AllBars                  IBSYM     Stage1 Aligned        86    -0.166744    -0.105000    40.70%    59.30%     0.00%
AllBars                  IBSYM     Stage1 Opposed        30     0.249333     0.165000    60.00%    40.00%     0.00%
AllBars                  IBSYM     Stage2 Aligned        54     0.012407     0.190000    59.26%    40.74%     0.00%
AllBars                  IBSYM     Stage2 Opposed        54    -0.033704     0.010000    51.85%    48.15%     0.00%
AllBars                  IBSYM     Stage3 Aligned        17    -0.115294    -0.210000    35.29%    64.71%     0.00%
AllBars                  IBSYM     Stage3 Opposed        59    -0.002542    -0.080000    44.07%    55.93%     0.00%
AllBars                  IBSYM     Stage4 Aligned        96    -0.269167    -0.035000    46.88%    52.08%     1.04%
AllBars                  IBSYM     Stage4 Opposed        54     0.258704     0.030000    53.70%    46.30%     0.00%
AllBars                  Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
AllBars                  Lateral   Stage0 Opposed       125     0.089680     0.040000    52.00%    48.00%     0.00%
AllBars                  Lateral   Stage1 Aligned       357     0.087591    -0.060000    46.22%    52.94%     0.84%
AllBars                  Lateral   Stage1 Opposed       114     0.053860     0.095000    53.51%    45.61%     0.88%
AllBars                  Lateral   Stage2 Aligned       186     0.054946     0.000000    49.46%    49.46%     1.08%
AllBars                  Lateral   Stage2 Opposed       212    -0.127453     0.020000    51.42%    48.58%     0.00%
AllBars                  Lateral   Stage3 Aligned        67    -0.174179    -0.130000    41.79%    55.22%     2.99%
