APVA Stage + Alignment Interaction Study v0.1
=============================================
Input: Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_OPEN_apva_bar_evidence_v01.csv
Total rows: 2677
SequenceStage logic reuses APVA_PostBreakoutOOE_10.py.
Alignment logic reuses APVA_BreakoutAlignment_09.py.
This is not true PVA OOE.
Each source-specific segment-bar observation is counted; overlapping segments may include the same bar.
SequenceStage progression is direction-aware, so Stage and Alignment are descriptive interacting factors.
Ranked comparisons require both sides Count >= 30.

Diagnostics
===========
Total stage-alignment observations: 2247
Stage0 observations: 170
Stage1 observations: 591
Stage2 observations: 506
Stage3 observations: 367
Stage4 observations: 613
Aligned observations: 1136
Opposed observations: 1111

Stage x Alignment Counts
========================
Stage       Aligned    Opposed
Stage0           0        170
Stage1         445        146
Stage2         240        266
Stage3          84        283
Stage4         367        246

Event Counts by Stage x Alignment
=================================
Event                        S0A     S0O     S1A     S1O     S2A     S2O     S3A     S3O     S4A     S4O
AllBars                        0     170     445     146     240     266      84     283     367     246
DissipationAny                 0      87     216      97     109      89      59     170     156     122
DissipationContained           0      41     118      65      58      52      38     104      75      74
DissipationAccepted            0      43      96      32      48      28      21      61      80      44
ParticipationPeak              0      31      83       0      49     104       0      31      79      40
ParticipationClimactic         0       2      37       0      10      25       0       9      38      16
PeakContained                  0       9      24       0      16      39       0       7      21      19
PeakAccepted                   0      16      56       0      26      60       0      22      48      20
ClimacticContained             0       0       3       0       2       6       0       2       7       4
ClimacticAccepted              0       2      34       0       8      18       0       7      29      12

Event x Stage x Alignment DRFwd5 Table
=====================================
Event                      Stage Alignment    Count   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
AllBars                   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
AllBars                   Stage0 Opposed       170     0.055235    -0.015000    48.82%    51.18%     0.00%
AllBars                   Stage1 Aligned       443     0.038217    -0.070000    45.15%    54.18%     0.68%
AllBars                   Stage1 Opposed       144     0.094583     0.115000    54.86%    44.44%     0.69%
AllBars                   Stage2 Aligned       240     0.045375     0.050000    51.67%    47.50%     0.83%
AllBars                   Stage2 Opposed       266    -0.108421     0.015000    51.50%    48.50%     0.00%
AllBars                   Stage3 Aligned        84    -0.162262    -0.130000    40.48%    57.14%     2.38%
AllBars                   Stage3 Opposed       283     0.087032    -0.030000    48.06%    51.59%     0.35%
AllBars                   Stage4 Aligned       367    -0.066812     0.000000    48.77%    49.86%     1.36%
AllBars                   Stage4 Opposed       246    -0.102033    -0.035000    48.37%    51.63%     0.00%
DissipationAny            Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
DissipationAny            Stage0 Opposed        87     0.176552     0.080000    52.87%    47.13%     0.00%
DissipationAny            Stage1 Aligned       214     0.091869    -0.040000    46.26%    52.80%     0.93%
DissipationAny            Stage1 Opposed        95     0.037263     0.070000    52.63%    46.32%     1.05%
DissipationAny            Stage2 Aligned       109     0.167339    -0.060000    46.79%    53.21%     0.00%
DissipationAny            Stage2 Opposed        89    -0.064494     0.060000    52.81%    47.19%     0.00%
DissipationAny            Stage3 Aligned        59    -0.202373    -0.140000    38.98%    59.32%     1.69%
DissipationAny            Stage3 Opposed       170     0.056412    -0.030000    47.06%    52.94%     0.00%
DissipationAny            Stage4 Aligned       156    -0.037308     0.055000    51.92%    48.08%     0.00%
DissipationAny            Stage4 Opposed       122    -0.128197    -0.050000    46.72%    53.28%     0.00%
DissipationContained      Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
DissipationContained      Stage0 Opposed        41    -0.042927    -0.060000    39.02%    60.98%     0.00%
DissipationContained      Stage1 Aligned       116     0.167931     0.060000    50.86%    48.28%     0.86%
DissipationContained      Stage1 Opposed        65     0.009846    -0.040000    47.69%    50.77%     1.54%
DissipationContained      Stage2 Aligned        58     0.399828     0.060000    53.45%    46.55%     0.00%
DissipationContained      Stage2 Opposed        52    -0.167500     0.055000    51.92%    48.08%     0.00%
