APVA State Grammar Study v0.1 - CL
==================================
Instrument: CL
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_OPEN_apva_bar_evidence_v01.csv
Total rows: 2677
Valid polarity rows: 2625
State encoding precedence: A Accepted, C Compression, D Dissipation, E Expansion, P Peak, K Climactic, N None.
OER is a crude independence baseline: observed raw windows divided by expected windows.

Section 1 - Diagnostics
=======================
State           Count    Frequency
A Accepted       1241      46.36%
C Compression       1436      53.64%
D Dissipation          0       0.00%
E Expansion          0       0.00%
P Peak              0       0.00%
K Climactic          0       0.00%
N None              0       0.00%

Total Windows
-------------
Length 3: 2675
Length 4: 2674
Length 5: 2673
Length 6: 2672

Section 2 - Sequence Consequence Tables
=======================================

Length 3 Sequences (Count >= 20)
--------------------------------
Sequence                          Count  OutcomeN       OER   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
C->C->C                             381       369    0.9227     0.000352     0.040000    51.76%    47.97%     0.27%
C->A->C                             380       362    1.0649     0.081878     0.000000    49.72%    48.90%     1.38%
A->C->C                             356       341    0.9977     0.098182     0.050000    51.91%    46.92%     1.17%
C->C->A                             356       355    0.9977     0.046000    -0.030000    47.89%    52.11%     0.00%
A->C->A                             341       340    1.1058    -0.047853     0.030000    50.88%    48.53%     0.59%
A->A->C                             318       309    1.0312    -0.125081    -0.040000    46.93%    51.78%     1.29%
C->A->A                             318       318    1.0312    -0.034057    -0.010000    48.74%    50.63%     0.63%
A->A->A                             225       225    0.8443    -0.116444    -0.090000    42.22%    57.33%     0.44%

Length 4 Sequences (Count >= 20)
--------------------------------
Sequence                          Count  OutcomeN       OER   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
C->C->C->C                          200       195    0.9033     0.093744     0.020000    50.77%    49.23%     0.00%
C->C->A->C                          197       188    1.0296     0.048032    -0.070000    44.15%    54.26%     1.60%
C->A->A->C                          193       186    1.1672    -0.318656    -0.140000    40.32%    58.06%     1.61%
C->A->C->C                          192       183    1.0035     0.145902     0.040000    50.82%    48.09%     1.09%
C->A->C->A                          187       186    1.1309    -0.001667     0.000000    49.46%    49.46%     1.08%
A->C->A->C                          182       173    1.1007     0.114509     0.110000    55.49%    43.35%     1.16%
A->C->C->C                          181       174    0.9460    -0.104310     0.050000    52.87%    46.55%     0.57%
C->C->C->A                          181       181    0.9460     0.078895    -0.030000    48.62%    51.38%     0.00%
A->C->C->A                          175       174    1.0583     0.011782    -0.025000    47.13%    52.87%     0.00%
A->A->C->C                          164       158    0.9918     0.042911     0.055000    53.16%    45.57%     1.27%
A->C->A->A                          159       159    1.1127    -0.006918    -0.070000    47.17%    52.20%     0.63%
C->C->A->A                          159       159    0.9616    -0.061195     0.010000    50.31%    49.06%     0.63%
A->A->C->A                          154       154    1.0777    -0.103636     0.055000    52.60%    47.40%     0.00%
A->A->A->C                          125       123    0.8747     0.167642     0.090000    56.91%    42.28%     0.81%
C->A->A->A                          125       125    0.8747    -0.167760    -0.090000    37.60%    61.60%     0.80%
A->A->A->A                          100       100    0.8097    -0.052300    -0.065000    48.00%    52.00%     0.00%

Length 5 Sequences (Count >= 20)
--------------------------------
Sequence                          Count  OutcomeN       OER   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
C->C->A->A->C                       104       100    1.1729    -0.043900    -0.105000    41.00%    56.00%     3.00%
C->C->C->C->C                       101       100    0.8507    -0.003000    -0.035000    49.00%    51.00%     0.00%
C->A->C->C->A                       100        99    1.1278    -0.085152    -0.070000    42.42%    57.58%     0.00%
C->C->A->C->A                       100        99    1.1278    -0.068687    -0.040000    47.47%    52.53%     0.00%
A->C->C->C->C                        99        95    0.9649     0.195579     0.030000    52.63%    47.37%     0.00%
C->C->C->A->C                        99        95    0.9649     0.171895    -0.080000    44.21%    54.74%     1.05%
C->C->C->C->A                        99        99    0.9649     0.079596    -0.070000    46.46%    53.54%     0.00%
A->C->C->A->C                        98        93    1.1053    -0.078495    -0.030000    44.09%    53.76%     2.15%
C->A->A->C->A                        97        97    1.2659    -0.068247     0.080000    54.64%    45.36%     0.00%
C->A->C->A->C                        97        92    1.0940     0.196196     0.075000    53.26%    45.65%     1.09%
C->C->A->C->C                        97        92    0.9454     0.278478    -0.005000    47.83%    50.00%     2.17%
C->A->A->C->C                        96        95    1.0827     0.119789     0.070000    55.79%    43.16%     1.05%
A->C->A->C->C                        94        90    1.0601     0.000667     0.065000    53.33%    46.67%     0.00%
C->A->C->C->C                        92        89    0.8967    -0.216180     0.020000    51.69%    47.19%     1.12%
C->A->C->A->A                        90        90    1.1745     0.010556    -0.115000    44.44%    55.56%     0.00%
A->A->C->C->C                        89        85    1.0038     0.012824     0.060000    54.12%    45.88%     0.00%
A->C->A->A->C                        89        86    1.1615    -0.638140    -0.215000    39.53%    60.47%     0.00%
A->C->A->C->A                        87        87    1.1354     0.074598     0.050000    51.72%    45.98%     2.30%
A->A->C->A->C                        85        81    1.1093     0.021728     0.110000    58.02%    40.74%     1.23%
A->C->C->C->A                        82        82    0.9248     0.078049     0.015000    51.22%    48.78%     0.00%
