APVA State Hazard Function Study v0.1 - CL
==============================================================

Rows: 2684

State                        Age           N     Surv1      Haz1     Surv3      Haz3     Surv5      Haz5
RecoveryResolution           1            94    40.43%    59.57%     4.26%    95.74%    10.64%    89.36%
RecoveryResolution           2            38    71.05%    28.95%     2.63%    97.37%     0.00%   100.00%
RecoveryResolution           3            27     3.70%    96.30%     7.41%    92.59%     0.00%   100.00%
RecoveryResolution           4             1     0.00%   100.00%     0.00%   100.00%     0.00%   100.00%
ExhaustionPersistence        1            97    31.96%    68.04%    19.59%    80.41%     6.19%    93.81%
ExhaustionPersistence        2            31    67.74%    32.26%    25.81%    74.19%    12.90%    87.10%
ExhaustionPersistence        3            21    76.19%    23.81%     4.76%    95.24%    14.29%    85.71%
ExhaustionPersistence        4            16    50.00%    50.00%    12.50%    87.50%    12.50%    87.50%
ExhaustionPersistence        5             8    12.50%    87.50%    25.00%    75.00%    12.50%    87.50%
ExhaustionPersistence        6-10          3    66.67%    33.33%     0.00%   100.00%     0.00%   100.00%
CompressionProcessing        1           177    51.98%    48.02%    35.03%    64.97%    17.51%    82.49%
CompressionProcessing        2            92    44.57%    55.43%    31.52%    68.48%    11.96%    88.04%
CompressionProcessing        3            41    53.66%    46.34%    21.95%    78.05%    14.63%    85.37%
CompressionProcessing        4            22    54.55%    45.45%    13.64%    86.36%     9.09%    90.91%
CompressionProcessing        5            12    41.67%    58.33%    16.67%    83.33%    16.67%    83.33%
CompressionProcessing        6-10          6    16.67%    83.33%    16.67%    83.33%    16.67%    83.33%
NeutralProcessing            1           446    56.73%    43.27%    61.21%    38.79%    49.33%    50.67%
NeutralProcessing            2           253    55.34%    44.66%    72.73%    27.27%    48.62%    51.38%
NeutralProcessing            3           140    75.71%    24.29%    70.00%    30.00%    46.43%    53.57%
NeutralProcessing            4           106    89.62%    10.38%    64.15%    35.85%    41.51%    58.49%
NeutralProcessing            5            95    78.95%    21.05%    50.53%    49.47%    51.58%    48.42%
NeutralProcessing            6-10        208    69.23%    30.77%    50.48%    49.52%    46.15%    53.85%
NeutralProcessing            11-20        30    63.33%    36.67%    46.67%    53.33%    43.33%    56.67%
ReassertionProcessing        1           174    18.39%    81.61%    13.22%    86.78%     6.32%    93.68%
ReassertionProcessing        2            32     3.12%    96.88%    25.00%    75.00%     9.38%    90.62%
ReassertionProcessing        3             1     0.00%   100.00%     0.00%   100.00%     0.00%   100.00%
DecayToNeutral               1           103     0.00%   100.00%     6.80%    93.20%     4.85%    95.15%
DestructiveRotation          1            71    16.90%    83.10%     1.41%    98.59%     5.63%    94.37%
DestructiveRotation          2            12     8.33%    91.67%     0.00%   100.00%     0.00%   100.00%
DestructiveRotation          3             1     0.00%   100.00%     0.00%   100.00%     0.00%   100.00%
ConstructiveEmergence        1            12     0.00%   100.00%     0.00%   100.00%     8.33%    91.67%
MixedStructure               1           279    10.04%    89.96%    18.64%    81.36%     9.68%    90.32%
MixedStructure               2            28    17.86%    82.14%    25.00%    75.00%     7.14%    92.86%
MixedStructure               3             5    40.00%    60.00%     0.00%   100.00%     0.00%   100.00%
MixedStructure               4             2     0.00%   100.00%     0.00%   100.00%     0.00%   100.00%
