APVA State Transition Model Study v0.1
========================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
State-age counts: 35

1. Transition Matrix
State | AgeBucket | NextState | Count | TransitionCount | TransitionProbability
CompressionProcessing | 1 | RecoveryResolution | 177 | 13 | 7.34%
CompressionProcessing | 1 | ExhaustionPersistence | 177 | 13 | 7.34%
CompressionProcessing | 1 | CompressionProcessing | 177 | 92 | 51.98%
CompressionProcessing | 1 | NeutralProcessing | 177 | 56 | 31.64%
CompressionProcessing | 1 | ReassertionProcessing | 177 | 0 | 0.00%
CompressionProcessing | 1 | DecayToNeutral | 177 | 0 | 0.00%
CompressionProcessing | 1 | DestructiveRotation | 177 | 0 | 0.00%
CompressionProcessing | 1 | ConstructiveEmergence | 177 | 0 | 0.00%
CompressionProcessing | 1 | MixedStructure | 177 | 3 | 1.69%
CompressionProcessing | 2 | RecoveryResolution | 92 | 4 | 4.35%
CompressionProcessing | 2 | ExhaustionPersistence | 92 | 10 | 10.87%
CompressionProcessing | 2 | CompressionProcessing | 92 | 41 | 44.57%
CompressionProcessing | 2 | NeutralProcessing | 92 | 33 | 35.87%
CompressionProcessing | 2 | ReassertionProcessing | 92 | 0 | 0.00%
CompressionProcessing | 2 | DecayToNeutral | 92 | 2 | 2.17%
CompressionProcessing | 2 | DestructiveRotation | 92 | 1 | 1.09%
CompressionProcessing | 2 | ConstructiveEmergence | 92 | 0 | 0.00%
CompressionProcessing | 2 | MixedStructure | 92 | 1 | 1.09%
CompressionProcessing | 3 | RecoveryResolution | 41 | 1 | 2.44%
CompressionProcessing | 3 | ExhaustionPersistence | 41 | 6 | 14.63%
CompressionProcessing | 3 | CompressionProcessing | 41 | 22 | 53.66%
CompressionProcessing | 3 | NeutralProcessing | 41 | 10 | 24.39%
CompressionProcessing | 3 | ReassertionProcessing | 41 | 1 | 2.44%
CompressionProcessing | 3 | DecayToNeutral | 41 | 0 | 0.00%
CompressionProcessing | 3 | DestructiveRotation | 41 | 0 | 0.00%
CompressionProcessing | 3 | ConstructiveEmergence | 41 | 0 | 0.00%
CompressionProcessing | 3 | MixedStructure | 41 | 1 | 2.44%
CompressionProcessing | 4 | RecoveryResolution | 22 | 0 | 0.00%
CompressionProcessing | 4 | ExhaustionPersistence | 22 | 2 | 9.09%
CompressionProcessing | 4 | CompressionProcessing | 22 | 12 | 54.55%
CompressionProcessing | 4 | NeutralProcessing | 22 | 5 | 22.73%
CompressionProcessing | 4 | ReassertionProcessing | 22 | 1 | 4.55%
CompressionProcessing | 4 | DecayToNeutral | 22 | 2 | 9.09%
CompressionProcessing | 4 | DestructiveRotation | 22 | 0 | 0.00%
CompressionProcessing | 4 | ConstructiveEmergence | 22 | 0 | 0.00%
CompressionProcessing | 4 | MixedStructure | 22 | 0 | 0.00%
CompressionProcessing | 5 | RecoveryResolution | 12 | 0 | 0.00%
CompressionProcessing | 5 | ExhaustionPersistence | 12 | 4 | 33.33%
CompressionProcessing | 5 | CompressionProcessing | 12 | 5 | 41.67%
CompressionProcessing | 5 | NeutralProcessing | 12 | 1 | 8.33%
CompressionProcessing | 5 | ReassertionProcessing | 12 | 0 | 0.00%
CompressionProcessing | 5 | DecayToNeutral | 12 | 0 | 0.00%
CompressionProcessing | 5 | DestructiveRotation | 12 | 1 | 8.33%
CompressionProcessing | 5 | ConstructiveEmergence | 12 | 0 | 0.00%
CompressionProcessing | 5 | MixedStructure | 12 | 1 | 8.33%
CompressionProcessing | 6-10 | RecoveryResolution | 6 | 1 | 16.67%
CompressionProcessing | 6-10 | ExhaustionPersistence | 6 | 0 | 0.00%
CompressionProcessing | 6-10 | CompressionProcessing | 6 | 1 | 16.67%
CompressionProcessing | 6-10 | NeutralProcessing | 6 | 3 | 50.00%
CompressionProcessing | 6-10 | ReassertionProcessing | 6 | 0 | 0.00%
CompressionProcessing | 6-10 | DecayToNeutral | 6 | 0 | 0.00%
CompressionProcessing | 6-10 | DestructiveRotation | 6 | 0 | 0.00%
CompressionProcessing | 6-10 | ConstructiveEmergence | 6 | 0 | 0.00%
CompressionProcessing | 6-10 | MixedStructure | 6 | 1 | 16.67%
ConstructiveEmergence | 1 | RecoveryResolution | 12 | 0 | 0.00%
ConstructiveEmergence | 1 | ExhaustionPersistence | 12 | 0 | 0.00%
ConstructiveEmergence | 1 | CompressionProcessing | 12 | 0 | 0.00%
ConstructiveEmergence | 1 | NeutralProcessing | 12 | 4 | 33.33%
ConstructiveEmergence | 1 | ReassertionProcessing | 12 | 0 | 0.00%
ConstructiveEmergence | 1 | DecayToNeutral | 12 | 3 | 25.00%
ConstructiveEmergence | 1 | DestructiveRotation | 12 | 0 | 0.00%
ConstructiveEmergence | 1 | ConstructiveEmergence | 12 | 0 | 0.00%
ConstructiveEmergence | 1 | MixedStructure | 12 | 5 | 41.67%
DecayToNeutral | 1 | RecoveryResolution | 103 | 0 | 0.00%
DecayToNeutral | 1 | ExhaustionPersistence | 103 | 0 | 0.00%
DecayToNeutral | 1 | CompressionProcessing | 103 | 2 | 1.94%
DecayToNeutral | 1 | NeutralProcessing | 103 | 63 | 61.17%
DecayToNeutral | 1 | ReassertionProcessing | 103 | 0 | 0.00%
DecayToNeutral | 1 | DecayToNeutral | 103 | 0 | 0.00%
DecayToNeutral | 1 | DestructiveRotation | 103 | 11 | 10.68%
DecayToNeutral | 1 | ConstructiveEmergence | 103 | 1 | 0.97%
DecayToNeutral | 1 | MixedStructure | 103 | 26 | 25.24%
DestructiveRotation | 1 | RecoveryResolution | 71 | 4 | 5.63%
DestructiveRotation | 1 | ExhaustionPersistence | 71 | 5 | 7.04%
DestructiveRotation | 1 | CompressionProcessing | 71 | 1 | 1.41%
DestructiveRotation | 1 | NeutralProcessing | 71 | 25 | 35.21%
DestructiveRotation | 1 | ReassertionProcessing | 71 | 3 | 4.23%
DestructiveRotation | 1 | DecayToNeutral | 71 | 20 | 28.17%
DestructiveRotation | 1 | DestructiveRotation | 71 | 12 | 16.90%
DestructiveRotation | 1 | ConstructiveEmergence | 71 | 0 | 0.00%
DestructiveRotation | 1 | MixedStructure | 71 | 1 | 1.41%
DestructiveRotation | 2 | RecoveryResolution | 12 | 1 | 8.33%
DestructiveRotation | 2 | ExhaustionPersistence | 12 | 3 | 25.00%
DestructiveRotation | 2 | CompressionProcessing | 12 | 1 | 8.33%
DestructiveRotation | 2 | NeutralProcessing | 12 | 2 | 16.67%
DestructiveRotation | 2 | ReassertionProcessing | 12 | 0 | 0.00%
DestructiveRotation | 2 | DecayToNeutral | 12 | 4 | 33.33%
DestructiveRotation | 2 | DestructiveRotation | 12 | 1 | 8.33%
DestructiveRotation | 2 | ConstructiveEmergence | 12 | 0 | 0.00%
DestructiveRotation | 2 | MixedStructure | 12 | 0 | 0.00%
DestructiveRotation | 3 | RecoveryResolution | 1 | 0 | 0.00%
DestructiveRotation | 3 | ExhaustionPersistence | 1 | 0 | 0.00%
DestructiveRotation | 3 | CompressionProcessing | 1 | 1 | 100.00%
DestructiveRotation | 3 | NeutralProcessing | 1 | 0 | 0.00%
DestructiveRotation | 3 | ReassertionProcessing | 1 | 0 | 0.00%
DestructiveRotation | 3 | DecayToNeutral | 1 | 0 | 0.00%
DestructiveRotation | 3 | DestructiveRotation | 1 | 0 | 0.00%
DestructiveRotation | 3 | ConstructiveEmergence | 1 | 0 | 0.00%
DestructiveRotation | 3 | MixedStructure | 1 | 0 | 0.00%
ExhaustionPersistence | 1 | RecoveryResolution | 97 | 29 | 29.90%
ExhaustionPersistence | 1 | ExhaustionPersistence | 97 | 31 | 31.96%
ExhaustionPersistence | 1 | CompressionProcessing | 97 | 7 | 7.22%
ExhaustionPersistence | 1 | NeutralProcessing | 97 | 11 | 11.34%
ExhaustionPersistence | 1 | ReassertionProcessing | 97 | 0 | 0.00%
ExhaustionPersistence | 1 | DecayToNeutral | 97 | 17 | 17.53%
ExhaustionPersistence | 1 | DestructiveRotation | 97 | 2 | 2.06%
ExhaustionPersistence | 1 | ConstructiveEmergence | 97 | 0 | 0.00%
ExhaustionPersistence | 1 | MixedStructure | 97 | 0 | 0.00%
ExhaustionPersistence | 2 | RecoveryResolution | 31 | 9 | 29.03%
ExhaustionPersistence | 2 | ExhaustionPersistence | 31 | 21 | 67.74%
ExhaustionPersistence | 2 | CompressionProcessing | 31 | 0 | 0.00%
ExhaustionPersistence | 2 | NeutralProcessing | 31 | 1 | 3.23%
ExhaustionPersistence | 2 | ReassertionProcessing | 31 | 0 | 0.00%
ExhaustionPersistence | 2 | DecayToNeutral | 31 | 0 | 0.00%
ExhaustionPersistence | 2 | DestructiveRotation | 31 | 0 | 0.00%
ExhaustionPersistence | 2 | ConstructiveEmergence | 31 | 0 | 0.00%
ExhaustionPersistence | 2 | MixedStructure | 31 | 0 | 0.00%
ExhaustionPersistence | 3 | RecoveryResolution | 21 | 0 | 0.00%
ExhaustionPersistence | 3 | ExhaustionPersistence | 21 | 16 | 76.19%
ExhaustionPersistence | 3 | CompressionProcessing | 21 | 0 | 0.00%
ExhaustionPersistence | 3 | NeutralProcessing | 21 | 5 | 23.81%
ExhaustionPersistence | 3 | ReassertionProcessing | 21 | 0 | 0.00%
ExhaustionPersistence | 3 | DecayToNeutral | 21 | 0 | 0.00%
ExhaustionPersistence | 3 | DestructiveRotation | 21 | 0 | 0.00%
ExhaustionPersistence | 3 | ConstructiveEmergence | 21 | 0 | 0.00%
ExhaustionPersistence | 3 | MixedStructure | 21 | 0 | 0.00%
ExhaustionPersistence | 4 | RecoveryResolution | 16 | 1 | 6.25%
ExhaustionPersistence | 4 | ExhaustionPersistence | 16 | 8 | 50.00%
ExhaustionPersistence | 4 | CompressionProcessing | 16 | 1 | 6.25%
ExhaustionPersistence | 4 | NeutralProcessing | 16 | 3 | 18.75%
ExhaustionPersistence | 4 | ReassertionProcessing | 16 | 0 | 0.00%
ExhaustionPersistence | 4 | DecayToNeutral | 16 | 1 | 6.25%
ExhaustionPersistence | 4 | DestructiveRotation | 16 | 2 | 12.50%
ExhaustionPersistence | 4 | ConstructiveEmergence | 16 | 0 | 0.00%
ExhaustionPersistence | 4 | MixedStructure | 16 | 0 | 0.00%
ExhaustionPersistence | 5 | RecoveryResolution | 8 | 0 | 0.00%
ExhaustionPersistence | 5 | ExhaustionPersistence | 8 | 1 | 12.50%
ExhaustionPersistence | 5 | CompressionProcessing | 8 | 1 | 12.50%
ExhaustionPersistence | 5 | NeutralProcessing | 8 | 3 | 37.50%
ExhaustionPersistence | 5 | ReassertionProcessing | 8 | 0 | 0.00%
ExhaustionPersistence | 5 | DecayToNeutral | 8 | 2 | 25.00%
ExhaustionPersistence | 5 | DestructiveRotation | 8 | 1 | 12.50%
ExhaustionPersistence | 5 | ConstructiveEmergence | 8 | 0 | 0.00%
ExhaustionPersistence | 5 | MixedStructure | 8 | 0 | 0.00%
ExhaustionPersistence | 6-10 | RecoveryResolution | 3 | 0 | 0.00%
ExhaustionPersistence | 6-10 | ExhaustionPersistence | 3 | 2 | 66.67%
ExhaustionPersistence | 6-10 | CompressionProcessing | 3 | 0 | 0.00%
ExhaustionPersistence | 6-10 | NeutralProcessing | 3 | 1 | 33.33%
ExhaustionPersistence | 6-10 | ReassertionProcessing | 3 | 0 | 0.00%
ExhaustionPersistence | 6-10 | DecayToNeutral | 3 | 0 | 0.00%
ExhaustionPersistence | 6-10 | DestructiveRotation | 3 | 0 | 0.00%
ExhaustionPersistence | 6-10 | ConstructiveEmergence | 3 | 0 | 0.00%
ExhaustionPersistence | 6-10 | MixedStructure | 3 | 0 | 0.00%
MixedStructure | 1 | RecoveryResolution | 279 | 25 | 8.96%
MixedStructure | 1 | ExhaustionPersistence | 279 | 39 | 13.98%
MixedStructure | 1 | CompressionProcessing | 279 | 5 | 1.79%
MixedStructure | 1 | NeutralProcessing | 279 | 115 | 41.22%
MixedStructure | 1 | ReassertionProcessing | 279 | 17 | 6.09%
MixedStructure | 1 | DecayToNeutral | 279 | 44 | 15.77%
MixedStructure | 1 | DestructiveRotation | 279 | 3 | 1.08%
MixedStructure | 1 | ConstructiveEmergence | 279 | 3 | 1.08%
MixedStructure | 1 | MixedStructure | 279 | 28 | 10.04%
MixedStructure | 2 | RecoveryResolution | 28 | 4 | 14.29%
MixedStructure | 2 | ExhaustionPersistence | 28 | 3 | 10.71%
MixedStructure | 2 | CompressionProcessing | 28 | 1 | 3.57%
MixedStructure | 2 | NeutralProcessing | 28 | 7 | 25.00%
MixedStructure | 2 | ReassertionProcessing | 28 | 0 | 0.00%
MixedStructure | 2 | DecayToNeutral | 28 | 8 | 28.57%
MixedStructure | 2 | DestructiveRotation | 28 | 0 | 0.00%
MixedStructure | 2 | ConstructiveEmergence | 28 | 0 | 0.00%
MixedStructure | 2 | MixedStructure | 28 | 5 | 17.86%
MixedStructure | 3 | RecoveryResolution | 5 | 1 | 20.00%
MixedStructure | 3 | ExhaustionPersistence | 5 | 0 | 0.00%
MixedStructure | 3 | CompressionProcessing | 5 | 0 | 0.00%
MixedStructure | 3 | NeutralProcessing | 5 | 0 | 0.00%
MixedStructure | 3 | ReassertionProcessing | 5 | 0 | 0.00%
MixedStructure | 3 | DecayToNeutral | 5 | 0 | 0.00%
