APVA Transition Context Matrix Study v0.1
Research only. No trades, entries/exits, optimization, fitting, or machine learning.

Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Valid context observations: 2683
Structural state counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
State-age counts: CompressionProcessing+Age1=177, CompressionProcessing+Age2=92, CompressionProcessing+Age3=41, CompressionProcessing+Age4=22, CompressionProcessing+Age5=12, CompressionProcessing+Age6-10=6, ConstructiveEmergence+Age1=12, DecayToNeutral+Age1=103, DestructiveRotation+Age1=71, DestructiveRotation+Age2=12, DestructiveRotation+Age3=1, ExhaustionPersistence+Age1=97, ExhaustionPersistence+Age2=31, ExhaustionPersistence+Age3=21, ExhaustionPersistence+Age4=16, ExhaustionPersistence+Age5=8, ExhaustionPersistence+Age6-10=3, MixedStructure+Age1=279, MixedStructure+Age2=28, MixedStructure+Age3=5, MixedStructure+Age4=2, NeutralProcessing+Age1=446, NeutralProcessing+Age2=253, NeutralProcessing+Age3=140, NeutralProcessing+Age4=106, NeutralProcessing+Age5=95, NeutralProcessing+Age6-10=208, NeutralProcessing+Age11-20=30, ReassertionProcessing+Age1=174, ReassertionProcessing+Age2=32, ReassertionProcessing+Age3=1, RecoveryResolution+Age1=94, RecoveryResolution+Age2=38, RecoveryResolution+Age3=27, RecoveryResolution+Age4=1

1. Baseline State+Age transition table
CurrentState | AgeBucket | Horizon | NextState | SourceCount | Count | Probability | Lift | Entropy | NormalizedEntropy
CompressionProcessing | 1 | t+1 | CompressionProcessing | 177 | 92 | 51.98% | 3.9844 | 1.1569 | 0.7188
CompressionProcessing | 1 | t+1 | ExhaustionPersistence | 177 | 13 | 7.34% | 1.1196 | 1.1569 | 0.7188
CompressionProcessing | 1 | t+1 | MixedStructure | 177 | 3 | 1.69% | 0.1453 | 1.1569 | 0.7188
CompressionProcessing | 1 | t+1 | NeutralProcessing | 177 | 56 | 31.64% | 0.6642 | 1.1569 | 0.7188
CompressionProcessing | 1 | t+1 | RecoveryResolution | 177 | 13 | 7.34% | 1.2316 | 1.1569 | 0.7188
CompressionProcessing | 1 | t+2 | CompressionProcessing | 176 | 66 | 37.50% | 2.8736 | 1.5171 | 0.6904
CompressionProcessing | 1 | t+2 | ConstructiveEmergence | 176 | 1 | 0.57% | 1.2699 | 1.5171 | 0.6904
CompressionProcessing | 1 | t+2 | DecayToNeutral | 176 | 3 | 1.70% | 0.4438 | 1.5171 | 0.6904
CompressionProcessing | 1 | t+2 | DestructiveRotation | 176 | 3 | 1.70% | 0.5442 | 1.5171 | 0.6904
CompressionProcessing | 1 | t+2 | ExhaustionPersistence | 176 | 13 | 7.39% | 1.1256 | 1.5171 | 0.6904
CompressionProcessing | 1 | t+2 | MixedStructure | 176 | 7 | 3.98% | 0.3419 | 1.5171 | 0.6904
CompressionProcessing | 1 | t+2 | NeutralProcessing | 176 | 66 | 37.50% | 0.7870 | 1.5171 | 0.6904
CompressionProcessing | 1 | t+2 | ReassertionProcessing | 176 | 9 | 5.11% | 0.6625 | 1.5171 | 0.6904
CompressionProcessing | 1 | t+2 | RecoveryResolution | 176 | 8 | 4.55% | 0.7619 | 1.5171 | 0.6904
