APVA Destination Robustness Study v0.1 - Aggregate
================================================================================================
Instrument: Aggregate
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv, .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv, .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Destination event count: 868

1. Baseline Signature Table
DestinationFamily | Signal | Horizon | EffectSize | ReplicationCount | Direction | Rank
CompressionProcessing | VolumeRelativeToRollingMean | t-1 | 0.4399 | 3 | Positive | 1
CompressionProcessing | VolumeRelativeToRollingMean | t-2 | 0.2368 | 2 | Positive | 2
CompressionProcessing | VolumeRelativeToSessionMean | t-1 | 0.2349 | 2 | Positive | 3
CompressionProcessing | RangeRelativeToPrevious | t-3 | -0.2227 | 2 | Negative | 4
CompressionProcessing | VolumeRelativeToPrevious | t-1 | 0.2090 | 1 | Positive | 5
CompressionProcessing | BodyRelativeToPrevious | t-1 | -0.2083 | 1 | Negative | 6
CompressionProcessing | BranchEntropy | t-1 | -0.2045 | 0 | Negative | 7
CompressionProcessing | BodyRelativeToPrevious | t-3 | -0.1995 | 2 | Negative | 8
CompressionProcessing | MemoryStrength | t-1 | 0.1994 | 0 | Positive | 9
CompressionProcessing | TrueRangeRelativeToPrevious | t-3 | -0.1935 | 1 | Negative | 10
CompressionProcessing | BodyRelativeToPrevious | t-5 | -0.1540 | 2 | Negative | 11
CompressionProcessing | EfficiencyRatio | t-2 | -0.1419 | 1 | Negative | 12
CompressionProcessing | EfficiencyRatio | t-1 | -0.1325 | 1 | Negative | 13
CompressionProcessing | PolarityFlipFlag | t-2 | 0.1280 | 1 | Positive | 14
CompressionProcessing | PolarityFlipFlag | t-3 | -0.1028 | 1 | Negative | 15
CompressionProcessing | VolumeRelativeToRollingMean | t-3 | 0.0972 | 1 | Positive | 16
CompressionProcessing | EfficiencyRatio | t-5 | 0.0924 | 1 | Positive | 17
CompressionProcessing | VolumeRelativeToRollingMean | t-5 | 0.0708 | 2 | Positive | 18
CompressionProcessing | CloseLocation | t-1 | 0.0691 | 1 | Positive | 19
CompressionProcessing | VolumeRelativeToSessionMean | t-5 | -0.0621 | 2 | Negative | 20
CompressionProcessing | VolumeRelativeToSessionMean | t-2 | 0.0610 | 2 | Positive | 21
CompressionProcessing | VolumeRelativeToPrevious | t-2 | 0.0597 | 1 | Positive | 22
CompressionProcessing | MemoryStrength | t-2 | 0.0527 | 2 | Positive | 23
CompressionProcessing | MemoryStrength | t-5 | -0.0514 | 0 | Negative | 24
CompressionProcessing | PolarityFlipFlag | t-1 | 0.0484 | 1 | Positive | 25
CompressionProcessing | BranchEntropy | t-5 | 0.0457 | 0 | Positive | 26
CompressionProcessing | TrueRangeRelativeToPrevious | t-1 | -0.0437 | 2 | Negative | 27
CompressionProcessing | EfficiencyRatio | t-3 | 0.0261 | 1 | Positive | 28
CompressionProcessing | BodyRelativeToPrevious | t-2 | -0.0254 | 1 | Negative | 29
CompressionProcessing | PolarityFlipFlag | t-5 | 0.0253 | 0 | Positive | 30
CompressionProcessing | VolumeRelativeToPrevious | t-3 | -0.0248 | 2 | Negative | 31
CompressionProcessing | BranchEntropy | t-2 | -0.0236 | 2 | Negative | 32
CompressionProcessing | TrueRangeRelativeToPrevious | t-5 | -0.0232 | 1 | Negative | 33
CompressionProcessing | MemoryStrength | t-3 | 0.0208 | 1 | Positive | 34
CompressionProcessing | CloseLocation | t-5 | 0.0203 | 1 | Positive | 35
CompressionProcessing | CloseLocation | t-2 | 0.0195 | 1 | Positive | 36
CompressionProcessing | TrueRangeRelativeToPrevious | t-2 | 0.0184 | 1 | Positive | 37
CompressionProcessing | CloseLocation | t-3 | -0.0183 | 0 | Negative | 38
CompressionProcessing | BranchEntropy | t-3 | 0.0115 | 0 | Positive | 39
CompressionProcessing | RangeRelativeToPrevious | t-1 | 0.0047 | 2 | Positive | 40
CompressionProcessing | RangeRelativeToPrevious | t-5 | -0.0036 | 1 | Negative | 41
CompressionProcessing | VolumeRelativeToPrevious | t-5 | -0.0007 | 2 | Negative | 42
CompressionProcessing | VolumeRelativeToSessionMean | t-3 | 0.0003 | 1 | Positive | 43
CompressionProcessing | RangeRelativeToPrevious | t-2 | -0.0002 | 1 | Negative | 44
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-1 | 0.8140 | 3 | Positive | 1
ConstructiveEmergence | VolumeRelativeToSessionMean | t-5 | 0.8092 | 2 | Positive | 2
ConstructiveEmergence | RangeRelativeToPrevious | t-1 | 0.8012 | 3 | Positive | 3
ConstructiveEmergence | VolumeRelativeToSessionMean | t-1 | 0.7364 | 2 | Positive | 4
ConstructiveEmergence | BodyRelativeToPrevious | t-1 | 0.7002 | 2 | Positive | 5
ConstructiveEmergence | VolumeRelativeToRollingMean | t-5 | 0.5228 | 1 | Positive | 6
ConstructiveEmergence | VolumeRelativeToRollingMean | t-3 | -0.4475 | 2 | Negative | 7
ConstructiveEmergence | PolarityFlipFlag | t-3 | 0.4054 | 2 | Positive | 8
ConstructiveEmergence | PolarityFlipFlag | t-2 | -0.4033 | 1 | Negative | 9
ConstructiveEmergence | MemoryStrength | t-5 | 0.3947 | 2 | Positive | 10
ConstructiveEmergence | VolumeRelativeToSessionMean | t-2 | 0.3939 | 1 | Positive | 11
ConstructiveEmergence | EfficiencyRatio | t-5 | -0.3800 | 2 | Negative | 12
ConstructiveEmergence | BranchEntropy | t-1 | 0.3795 | 0 | Positive | 13
ConstructiveEmergence | MemoryStrength | t-1 | -0.3785 | 0 | Negative | 14
ConstructiveEmergence | MemoryStrength | t-2 | -0.3525 | 2 | Negative | 15
ConstructiveEmergence | PolarityFlipFlag | t-5 | -0.3180 | 1 | Negative | 16
ConstructiveEmergence | CloseLocation | t-1 | 0.3171 | 1 | Positive | 17
ConstructiveEmergence | BranchEntropy | t-5 | -0.2748 | 2 | Negative | 18
ConstructiveEmergence | VolumeRelativeToRollingMean | t-1 | 0.2726 | 2 | Positive | 19
ConstructiveEmergence | PolarityFlipFlag | t-1 | 0.2675 | 2 | Positive | 20
ConstructiveEmergence | VolumeRelativeToPrevious | t-3 | -0.2651 | 2 | Negative | 21
ConstructiveEmergence | BodyRelativeToPrevious | t-2 | -0.2318 | 2 | Negative | 22
ConstructiveEmergence | VolumeRelativeToSessionMean | t-3 | 0.2162 | 2 | Positive | 23
ConstructiveEmergence | CloseLocation | t-2 | 0.1934 | 2 | Positive | 24
ConstructiveEmergence | VolumeRelativeToPrevious | t-5 | 0.1854 | 2 | Positive | 25
