APVA Excursion Destinations Study v0.1 - Aggregate
================================================================================================
Instruments: 6E, CL, NQ

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
CompressionProcessing | 146 | 134 | 7 | 5 | 16.82% | 3
MixedStructure | 315 | 278 | 20 | 17 | 36.29% | 3
ReassertionProcessing | 319 | 263 | 31 | 25 | 36.75% | 3
RecoveryResolution | 26 | 23 | 1 | 2 | 3.00% | 3
ExhaustionPersistence | 51 | 41 | 4 | 6 | 5.88% | 3
ConstructiveEmergence | 11 | 8 | 1 | 2 | 1.27% | 3
DestructiveRotation | 0 | 0 | 0 | 0 | 0.00% | 0
DecayToNeutral | 0 | 0 | 0 | 0 | 0.00% | 0

2. Destination Profile Table
DestinationFamily | Signal | Horizon | Mean | Median | StdDev
CompressionProcessing | RangeRelativeToPrevious | t-1 | 1.0732 | 1.0000 | 0.5988
CompressionProcessing | RangeRelativeToPrevious | t-2 | 1.3019 | 1.0000 | 0.8619
CompressionProcessing | RangeRelativeToPrevious | t-3 | 1.0252 | 1.0000 | 0.5339
CompressionProcessing | RangeRelativeToPrevious | t-5 | 1.0250 | 1.0000 | 0.4394
CompressionProcessing | BodyRelativeToPrevious | t-1 | 1.0433 | 0.6667 | 1.2429
CompressionProcessing | BodyRelativeToPrevious | t-2 | 2.1267 | 1.0000 | 5.2709
CompressionProcessing | BodyRelativeToPrevious | t-3 | 1.1835 | 1.0000 | 1.2361
CompressionProcessing | BodyRelativeToPrevious | t-5 | 0.9329 | 0.8000 | 0.9596
CompressionProcessing | TrueRangeRelativeToPrevious | t-1 | 1.0472 | 1.0000 | 0.5325
CompressionProcessing | TrueRangeRelativeToPrevious | t-2 | 1.2919 | 1.0000 | 0.8266
CompressionProcessing | TrueRangeRelativeToPrevious | t-3 | 1.0435 | 1.0000 | 0.5472
CompressionProcessing | TrueRangeRelativeToPrevious | t-5 | 1.0177 | 1.0000 | 0.4239
CompressionProcessing | VolumeRelativeToPrevious | t-1 | 1.9564 | 1.1169 | 3.3463
CompressionProcessing | VolumeRelativeToPrevious | t-2 | 1.4686 | 1.0663 | 1.4955
CompressionProcessing | VolumeRelativeToPrevious | t-3 | 1.2983 | 0.9219 | 1.6091
CompressionProcessing | VolumeRelativeToPrevious | t-5 | 1.1328 | 0.9515 | 1.0354
CompressionProcessing | VolumeRelativeToRollingMean | t-1 | 1.0803 | 0.8903 | 0.6831
CompressionProcessing | VolumeRelativeToRollingMean | t-2 | 0.8999 | 0.7306 | 0.7280
CompressionProcessing | VolumeRelativeToRollingMean | t-3 | 0.7410 | 0.6369 | 0.4375
CompressionProcessing | VolumeRelativeToRollingMean | t-5 | 0.6360 | 0.5637 | 0.4966
CompressionProcessing | VolumeRelativeToSessionMean | t-1 | 0.7916 | 0.5953 | 0.7925
CompressionProcessing | VolumeRelativeToSessionMean | t-2 | 0.6736 | 0.4237 | 0.8456
CompressionProcessing | VolumeRelativeToSessionMean | t-3 | 0.5769 | 0.4196 | 0.5282
CompressionProcessing | VolumeRelativeToSessionMean | t-5 | 0.5032 | 0.4079 | 0.5225
CompressionProcessing | EfficiencyRatio | t-1 | 0.4402 | 0.4000 | 0.3071
CompressionProcessing | EfficiencyRatio | t-2 | 0.4420 | 0.4677 | 0.3188
CompressionProcessing | EfficiencyRatio | t-3 | 0.4638 | 0.4286 | 0.3209
CompressionProcessing | EfficiencyRatio | t-5 | 0.4198 | 0.3905 | 0.2965
CompressionProcessing | CloseLocation | t-1 | 0.5165 | 0.5000 | 0.3394
CompressionProcessing | CloseLocation | t-2 | 0.5001 | 0.5000 | 0.3284
CompressionProcessing | CloseLocation | t-3 | 0.4929 | 0.5000 | 0.3183
CompressionProcessing | CloseLocation | t-5 | 0.5030 | 0.5000 | 0.3390
CompressionProcessing | MemoryStrength | t-1 | 0.2213 | 0.2213 | 0.0000
CompressionProcessing | MemoryStrength | t-2 | 0.2512 | 0.2213 | 0.0434
CompressionProcessing | MemoryStrength | t-3 | 0.2926 | 0.3142 | 0.0627
CompressionProcessing | MemoryStrength | t-5 | 0.3120 | 0.3142 | 0.0483
CompressionProcessing | BranchEntropy | t-1 | 1.1786 | 1.1786 | 0.0000
CompressionProcessing | BranchEntropy | t-2 | 1.0422 | 1.1786 | 0.1980
CompressionProcessing | BranchEntropy | t-3 | 0.8301 | 0.7548 | 0.3138
CompressionProcessing | BranchEntropy | t-5 | 0.9029 | 0.8421 | 0.2950
CompressionProcessing | PolarityFlipFlag | t-1 | 0.6233 | 1.0000 | 0.4846
CompressionProcessing | PolarityFlipFlag | t-2 | 0.6986 | 1.0000 | 0.4589
CompressionProcessing | PolarityFlipFlag | t-3 | 0.6027 | 1.0000 | 0.4893
CompressionProcessing | PolarityFlipFlag | t-5 | 0.7055 | 1.0000 | 0.4558
MixedStructure | RangeRelativeToPrevious | t-1 | 0.9668 | 0.8333 | 0.6350
MixedStructure | RangeRelativeToPrevious | t-2 | 1.3575 | 1.0000 | 1.3011
MixedStructure | RangeRelativeToPrevious | t-3 | 1.3152 | 1.0000 | 1.0296
MixedStructure | RangeRelativeToPrevious | t-5 | 1.0648 | 1.0000 | 0.5314
MixedStructure | BodyRelativeToPrevious | t-1 | 1.0243 | 0.5000 | 1.3979
MixedStructure | BodyRelativeToPrevious | t-2 | 2.6848 | 1.0000 | 7.1169
MixedStructure | BodyRelativeToPrevious | t-3 | 1.8245 | 1.0000 | 3.5916
MixedStructure | BodyRelativeToPrevious | t-5 | 1.3804 | 1.0000 | 4.4804
MixedStructure | TrueRangeRelativeToPrevious | t-1 | 0.9849 | 0.8462 | 0.6271
MixedStructure | TrueRangeRelativeToPrevious | t-2 | 1.3255 | 1.0000 | 1.2695
MixedStructure | TrueRangeRelativeToPrevious | t-3 | 1.2955 | 1.0000 | 0.9877
MixedStructure | TrueRangeRelativeToPrevious | t-5 | 1.0578 | 1.0000 | 0.5168
MixedStructure | VolumeRelativeToPrevious | t-1 | 1.0858 | 0.8954 | 0.8605
MixedStructure | VolumeRelativeToPrevious | t-2 | 1.4756 | 1.0010 | 2.3774
MixedStructure | VolumeRelativeToPrevious | t-3 | 1.4864 | 1.0297 | 1.5707
MixedStructure | VolumeRelativeToPrevious | t-5 | 1.2474 | 0.9333 | 1.6486
MixedStructure | VolumeRelativeToRollingMean | t-1 | 0.7437 | 0.6808 | 0.4269
MixedStructure | VolumeRelativeToRollingMean | t-2 | 0.9186 | 0.7060 | 0.7798
MixedStructure | VolumeRelativeToRollingMean | t-3 | 0.8687 | 0.7169 | 0.8123
MixedStructure | VolumeRelativeToRollingMean | t-5 | 0.6789 | 0.5816 | 0.6601
MixedStructure | VolumeRelativeToSessionMean | t-1 | 0.5933 | 0.5124 | 0.5048
MixedStructure | VolumeRelativeToSessionMean | t-2 | 0.7333 | 0.5252 | 0.7739
MixedStructure | VolumeRelativeToSessionMean | t-3 | 0.6637 | 0.5290 | 0.6047
MixedStructure | VolumeRelativeToSessionMean | t-5 | 0.5607 | 0.4488 | 0.5092
MixedStructure | EfficiencyRatio | t-1 | 0.4606 | 0.4848 | 0.3169
MixedStructure | EfficiencyRatio | t-2 | 0.4978 | 0.5000 | 0.2930
MixedStructure | EfficiencyRatio | t-3 | 0.4583 | 0.4444 | 0.3075
MixedStructure | EfficiencyRatio | t-5 | 0.3861 | 0.3333 | 0.2860
MixedStructure | CloseLocation | t-1 | 0.4821 | 0.4444 | 0.3410
MixedStructure | CloseLocation | t-2 | 0.5297 | 0.5000 | 0.3385
MixedStructure | CloseLocation | t-3 | 0.5120 | 0.5000 | 0.3366
MixedStructure | CloseLocation | t-5 | 0.4949 | 0.5000 | 0.3193
MixedStructure | MemoryStrength | t-1 | 0.2213 | 0.2213 | 0.0000
MixedStructure | MemoryStrength | t-2 | 0.2475 | 0.2213 | 0.0418
MixedStructure | MemoryStrength | t-3 | 0.2921 | 0.3142 | 0.0605
MixedStructure | MemoryStrength | t-5 | 0.3142 | 0.3518 | 0.0496
MixedStructure | BranchEntropy | t-1 | 1.1786 | 1.1786 | 0.0000
MixedStructure | BranchEntropy | t-2 | 1.0589 | 1.1786 | 0.1908
MixedStructure | BranchEntropy | t-3 | 0.8349 | 0.7548 | 0.3016
MixedStructure | BranchEntropy | t-5 | 0.8977 | 0.8421 | 0.2871
MixedStructure | PolarityFlipFlag | t-1 | 0.5651 | 1.0000 | 0.4957
MixedStructure | PolarityFlipFlag | t-2 | 0.6540 | 1.0000 | 0.4757
MixedStructure | PolarityFlipFlag | t-3 | 0.6286 | 1.0000 | 0.4832
MixedStructure | PolarityFlipFlag | t-5 | 0.7079 | 1.0000 | 0.4547
ReassertionProcessing | RangeRelativeToPrevious | t-1 | 0.8249 | 0.7500 | 0.4486
ReassertionProcessing | RangeRelativeToPrevious | t-2 | 1.3021 | 1.0000 | 0.7962
ReassertionProcessing | RangeRelativeToPrevious | t-3 | 1.0854 | 1.0000 | 0.6516
ReassertionProcessing | RangeRelativeToPrevious | t-5 | 0.9995 | 0.9730 | 0.4442
ReassertionProcessing | BodyRelativeToPrevious | t-1 | 0.9244 | 0.5000 | 1.2903
ReassertionProcessing | BodyRelativeToPrevious | t-2 | 2.1491 | 1.0000 | 3.6346
ReassertionProcessing | BodyRelativeToPrevious | t-3 | 1.6115 | 1.0000 | 2.9269
ReassertionProcessing | BodyRelativeToPrevious | t-5 | 1.2127 | 1.0000 | 1.4913
ReassertionProcessing | TrueRangeRelativeToPrevious | t-1 | 0.8237 | 0.7434 | 0.4304
ReassertionProcessing | TrueRangeRelativeToPrevious | t-2 | 1.2787 | 1.0000 | 0.7169
ReassertionProcessing | TrueRangeRelativeToPrevious | t-3 | 1.0907 | 1.0000 | 0.6122
ReassertionProcessing | TrueRangeRelativeToPrevious | t-5 | 1.0060 | 0.9836 | 0.4405
ReassertionProcessing | VolumeRelativeToPrevious | t-1 | 1.1602 | 0.8449 | 3.0610
ReassertionProcessing | VolumeRelativeToPrevious | t-2 | 1.3015 | 1.0734 | 0.9569
ReassertionProcessing | VolumeRelativeToPrevious | t-3 | 1.2683 | 0.9798 | 1.5133
ReassertionProcessing | VolumeRelativeToPrevious | t-5 | 1.0298 | 0.9178 | 0.5933
ReassertionProcessing | VolumeRelativeToRollingMean | t-1 | 0.5125 | 0.4726 | 0.3256
ReassertionProcessing | VolumeRelativeToRollingMean | t-2 | 0.5815 | 0.5463 | 0.2937
ReassertionProcessing | VolumeRelativeToRollingMean | t-3 | 0.5295 | 0.4858 | 0.2932
ReassertionProcessing | VolumeRelativeToRollingMean | t-5 | 0.4993 | 0.4570 | 0.2574
ReassertionProcessing | VolumeRelativeToSessionMean | t-1 | 0.4620 | 0.3868 | 0.4028
ReassertionProcessing | VolumeRelativeToSessionMean | t-2 | 0.5445 | 0.4424 | 0.4325
ReassertionProcessing | VolumeRelativeToSessionMean | t-3 | 0.5075 | 0.4232 | 0.4235
ReassertionProcessing | VolumeRelativeToSessionMean | t-5 | 0.4917 | 0.4150 | 0.3825
ReassertionProcessing | EfficiencyRatio | t-1 | 0.4569 | 0.4545 | 0.3297
ReassertionProcessing | EfficiencyRatio | t-2 | 0.5045 | 0.5000 | 0.2946
ReassertionProcessing | EfficiencyRatio | t-3 | 0.4713 | 0.5000 | 0.2962
ReassertionProcessing | EfficiencyRatio | t-5 | 0.3937 | 0.3578 | 0.2734
ReassertionProcessing | CloseLocation | t-1 | 0.4944 | 0.5000 | 0.3458
ReassertionProcessing | CloseLocation | t-2 | 0.4586 | 0.4878 | 0.3364
ReassertionProcessing | CloseLocation | t-3 | 0.4840 | 0.5000 | 0.3479
ReassertionProcessing | CloseLocation | t-5 | 0.5027 | 0.5000 | 0.3200
ReassertionProcessing | MemoryStrength | t-1 | 0.2213 | 0.2213 | 0.0000
ReassertionProcessing | MemoryStrength | t-2 | 0.2490 | 0.2213 | 0.0425
ReassertionProcessing | MemoryStrength | t-3 | 0.2908 | 0.3142 | 0.0619
ReassertionProcessing | MemoryStrength | t-5 | 0.3173 | 0.3518 | 0.0471
ReassertionProcessing | BranchEntropy | t-1 | 1.1786 | 1.1786 | 0.0000
ReassertionProcessing | BranchEntropy | t-2 | 1.0524 | 1.1786 | 0.1938
ReassertionProcessing | BranchEntropy | t-3 | 0.8401 | 0.7548 | 0.3094
ReassertionProcessing | BranchEntropy | t-5 | 0.8747 | 0.8421 | 0.2981
ReassertionProcessing | PolarityFlipFlag | t-1 | 0.6301 | 1.0000 | 0.4828
ReassertionProcessing | PolarityFlipFlag | t-2 | 0.6144 | 1.0000 | 0.4867
ReassertionProcessing | PolarityFlipFlag | t-3 | 0.6708 | 1.0000 | 0.4699
ReassertionProcessing | PolarityFlipFlag | t-5 | 0.6803 | 1.0000 | 0.4664
RecoveryResolution | RangeRelativeToPrevious | t-1 | 2.5904 | 2.4722 | 1.0086
RecoveryResolution | RangeRelativeToPrevious | t-2 | 0.9686 | 0.9375 | 0.4244
RecoveryResolution | RangeRelativeToPrevious | t-3 | 1.0735 | 1.0000 | 0.4838
RecoveryResolution | RangeRelativeToPrevious | t-5 | 0.9274 | 1.0000 | 0.3076
RecoveryResolution | BodyRelativeToPrevious | t-1 | 5.9028 | 4.0000 | 5.4020
RecoveryResolution | BodyRelativeToPrevious | t-2 | 0.9325 | 1.0000 | 0.6674
RecoveryResolution | BodyRelativeToPrevious | t-3 | 1.2737 | 1.0000 | 1.2964
RecoveryResolution | BodyRelativeToPrevious | t-5 | 1.2181 | 0.5925 | 1.5074
RecoveryResolution | TrueRangeRelativeToPrevious | t-1 | 2.4942 | 2.5000 | 0.9284
RecoveryResolution | TrueRangeRelativeToPrevious | t-2 | 0.9775 | 0.9375 | 0.4180
RecoveryResolution | TrueRangeRelativeToPrevious | t-3 | 1.0794 | 1.0000 | 0.4619
RecoveryResolution | TrueRangeRelativeToPrevious | t-5 | 0.9274 | 1.0000 | 0.2337
RecoveryResolution | VolumeRelativeToPrevious | t-1 | 2.5966 | 2.0771 | 1.2510
RecoveryResolution | VolumeRelativeToPrevious | t-2 | 1.3743 | 0.9882 | 1.0463
RecoveryResolution | VolumeRelativeToPrevious | t-3 | 1.2012 | 1.0242 | 0.7179
RecoveryResolution | VolumeRelativeToPrevious | t-5 | 1.2051 | 1.0571 | 0.8796
RecoveryResolution | VolumeRelativeToRollingMean | t-1 | 1.8577 | 1.4709 | 1.1099
RecoveryResolution | VolumeRelativeToRollingMean | t-2 | 0.7086 | 0.7016 | 0.2258
RecoveryResolution | VolumeRelativeToRollingMean | t-3 | 0.6343 | 0.5659 | 0.2923
RecoveryResolution | VolumeRelativeToRollingMean | t-5 | 0.6126 | 0.6079 | 0.2456
RecoveryResolution | VolumeRelativeToSessionMean | t-1 | 1.0813 | 1.0584 | 0.9971
RecoveryResolution | VolumeRelativeToSessionMean | t-2 | 0.4805 | 0.3958 | 0.3703
RecoveryResolution | VolumeRelativeToSessionMean | t-3 | 0.4710 | 0.4098 | 0.4176
RecoveryResolution | VolumeRelativeToSessionMean | t-5 | 0.4422 | 0.3803 | 0.3364
RecoveryResolution | EfficiencyRatio | t-1 | 0.6814 | 0.7285 | 0.2511
RecoveryResolution | EfficiencyRatio | t-2 | 0.4104 | 0.3095 | 0.3085
RecoveryResolution | EfficiencyRatio | t-3 | 0.3846 | 0.4167 | 0.2711
RecoveryResolution | EfficiencyRatio | t-5 | 0.4641 | 0.4143 | 0.2912
RecoveryResolution | CloseLocation | t-1 | 0.4808 | 0.4621 | 0.3705
RecoveryResolution | CloseLocation | t-2 | 0.5650 | 0.5625 | 0.3760
RecoveryResolution | CloseLocation | t-3 | 0.5043 | 0.5000 | 0.3201
RecoveryResolution | CloseLocation | t-5 | 0.5131 | 0.5000 | 0.3374
RecoveryResolution | MemoryStrength | t-1 | 0.2213 | 0.2213 | 0.0000
RecoveryResolution | MemoryStrength | t-2 | 0.2606 | 0.2213 | 0.0459
RecoveryResolution | MemoryStrength | t-3 | 0.3216 | 0.3142 | 0.0489
RecoveryResolution | MemoryStrength | t-5 | 0.3031 | 0.2907 | 0.0455
RecoveryResolution | BranchEntropy | t-1 | 1.1786 | 1.1786 | 0.0000
RecoveryResolution | BranchEntropy | t-2 | 0.9993 | 1.1786 | 0.2094
RecoveryResolution | BranchEntropy | t-3 | 0.6901 | 0.7548 | 0.2517
RecoveryResolution | BranchEntropy | t-5 | 1.0255 | 1.0104 | 0.1985
RecoveryResolution | PolarityFlipFlag | t-1 | 0.5000 | 0.5000 | 0.5000
RecoveryResolution | PolarityFlipFlag | t-2 | 0.6538 | 1.0000 | 0.4757
RecoveryResolution | PolarityFlipFlag | t-3 | 0.6154 | 1.0000 | 0.4865
RecoveryResolution | PolarityFlipFlag | t-5 | 0.6923 | 1.0000 | 0.4615
ExhaustionPersistence | RangeRelativeToPrevious | t-1 | 2.3876 | 2.0000 | 1.1375
ExhaustionPersistence | RangeRelativeToPrevious | t-2 | 1.1203 | 1.0000 | 0.7299
ExhaustionPersistence | RangeRelativeToPrevious | t-3 | 1.0089 | 0.9333 | 0.4732
ExhaustionPersistence | RangeRelativeToPrevious | t-5 | 0.9954 | 0.9167 | 0.3930
ExhaustionPersistence | BodyRelativeToPrevious | t-1 | 4.7214 | 4.0000 | 3.4234
ExhaustionPersistence | BodyRelativeToPrevious | t-2 | 1.0236 | 1.0000 | 0.9293
ExhaustionPersistence | BodyRelativeToPrevious | t-3 | 1.2166 | 0.6291 | 2.6690
ExhaustionPersistence | BodyRelativeToPrevious | t-5 | 1.3171 | 1.0000 | 1.3165
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-1 | 2.4292 | 2.1887 | 1.1173
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-2 | 1.0794 | 1.0000 | 0.6309
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-3 | 1.0236 | 1.0000 | 0.4642
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-5 | 1.0190 | 0.8571 | 0.4189
ExhaustionPersistence | VolumeRelativeToPrevious | t-1 | 3.5431 | 2.3010 | 2.6154
