APVA Family B Resolution Study v0.1B - Aggregate
================================================
Instruments: 6E, NQ, CL
Family B resolution uses the existing Study 30 family projection.

Aggregate Resolution Counts
===========================
Resolution           6E_Count     6E_Pct    6E_Med     NQ_Count     NQ_Pct    NQ_Med     CL_Count     CL_Pct    CL_Med ValidN    MeanPct  MeanMedian
B->A                       25     0.81%    1.0000            0     0.00%    0.0000            4     2.07%    1.0000      1     0.81%      1.0000
B->C                      853    27.79%    1.0000           18    20.45%    1.0000           53    27.46%    1.0000      2    27.63%      1.0000
B->D                      468    15.25%    1.0000           16    18.18%    1.0000           28    14.51%    1.0000      2    14.88%      1.0000
B->N                     1722    56.11%    1.0000           54    61.36%    1.0000          108    55.96%    1.0000      3    57.81%      1.0000
B->B_Persist                1     0.03%    5.0000            0     0.00%    0.0000            0     0.00%    0.0000      0     0.00%      0.0000

Aggregate Branch Predictors
===========================
Category                 Feature                                     6E_Effect    NQ_Effect    CL_Effect ValidN  PosN  NegN  MeanEffect
B->A                     AcceptanceState_Accepted                     0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     AcceptanceState_Contained                    0.108995     0.000000     0.537343      1     1     0    0.108995
B->A                     AcceptanceState_Rejected                     0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     AcceptanceState_Unknown                      0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     AcceptanceState_Unresolved                  -0.108995     0.000000    -0.537343      1     0     1   -0.108995
B->A                     CompressionOn                                0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     CompressionState_Absent                      0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     CompressionState_Clustered                  -0.023221     0.000000    -0.299223      1     0     1   -0.023221
B->A                     CompressionState_FailedResolution            0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     CompressionState_Lateral                     0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     CompressionState_Local                       0.023221     0.000000     0.299223      1     1     0    0.023221
B->A                     CompressionState_Resolving                   0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     CompressionState_Unknown                     0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     CurrentFlag_Accepted                         0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     CurrentFlag_Climactic                        0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     CurrentFlag_Compressed                       0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     CurrentFlag_Dissipating                     -0.068168     0.000000     1.032233      1     0     1   -0.068168
B->A                     CurrentFlag_Expanding                        0.350289     0.000000     0.309330      1     1     0    0.350289
B->A                     CurrentFlag_Peak                             0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     DissipationOn                               -0.068168     0.000000     1.032233      1     0     1   -0.068168
B->A                     DissipationState_Absent                      0.068168     0.000000    -1.032233      1     1     0    0.068168
B->A                     DissipationState_Climactic                   0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     DissipationState_Local                      -0.068168     0.000000     1.032233      1     0     1   -0.068168
B->A                     DissipationState_Repeated                    0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     DissipationState_Strong                      0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     DissipationState_Unknown                     0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     ExpansionOn                                  0.350289     0.000000     0.309330      1     1     0    0.350289
B->A                     ExpansionState_Absent                       -0.350289     0.000000    -0.309330      1     0     1   -0.350289
B->A                     ExpansionState_Climactic                     0.180663     0.000000     0.461608      1     1     0    0.180663
B->A                     ExpansionState_Failed                        0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     ExpansionState_Local                        -0.063704     0.000000    -0.364871      1     0     1   -0.063704
B->A                     ExpansionState_Strong                        0.303485     0.000000     0.255234      1     1     0    0.303485
B->A                     ExpansionState_Unknown                       0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     FamilyBRunLengthSoFar                        0.215328     0.000000     0.230340      1     1     0    0.215328
B->A                     FamilyBTotalRunLength                        0.299604     0.000000     0.343454      1     1     0    0.299604
B->A                     ParticipationState_Climactic                 0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     ParticipationState_Falling                   0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     ParticipationState_Normal                    0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     ParticipationState_Peak                      0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     ParticipationState_Rising                    0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     ParticipationState_Silent                    0.000000     0.000000     0.000000      1     0     0    0.000000
B->A                     PositionInRun_First                          0.242078     0.000000     0.322790      1     1     0    0.242078
B->A                     PositionInRun_Last                           0.242078     0.000000     0.322790      1     1     0    0.242078
B->A                     PositionInRun_Middle                         0.093403     0.000000    -0.103963      1     1     0    0.093403
B->A                     PositionInRun_Only                          -0.390291     0.000000    -0.470781      1     0     1   -0.390291
B->A                     Prev10AcceptedCount                          0.136385     0.000000    -0.644374      1     1     0    0.136385
B->A                     Prev10ClimacticCount                         0.079228     0.000000     0.063863      1     1     0    0.079228
B->A                     Prev10CompressedCount                        0.027352     0.000000     0.610631      1     1     0    0.027352
B->A                     Prev10DissipatingCount                       0.510751     0.000000    -1.084393      1     1     0    0.510751
B->A                     Prev10Dominance                              0.280590     0.000000    -0.967115      1     1     0    0.280590
B->A                     Prev10ExpandingCount                        -0.026341     0.000000    -0.110103      1     0     1   -0.026341
B->A                     Prev10NetAcceptance                          0.090874     0.000000    -1.606348      1     1     0    0.090874
B->A                     Prev10PeakCount                              0.002940     0.000000     1.531894      1     1     0    0.002940
B->A                     Prev20AcceptedCount                          0.204220     0.000000    -0.716553      1     1     0    0.204220
B->A                     Prev20ClimacticCount                         0.130803     0.000000    -0.027595      1     1     0    0.130803
B->A                     Prev20CompressedCount                       -0.049105     0.000000     0.656970      1     0     1   -0.049105
B->A                     Prev20DissipatingCount                       0.534004     0.000000    -1.513892      1     1     0    0.534004
B->A                     Prev20Dominance                              0.346692     0.000000    -1.208262      1     1     0    0.346692
B->A                     Prev20ExpandingCount                        -0.163265     0.000000    -0.327739      1     0     1   -0.163265
B->A                     Prev20NetAcceptance                          0.117154     0.000000    -1.486692      1     1     0    0.117154
B->A                     Prev20PeakCount                              0.030988     0.000000     1.282173      1     1     0    0.030988
B->A                     Prev5AcceptedCount                           0.136805     0.000000     0.066645      1     1     0    0.136805
B->A                     Prev5ClimacticCount                         -0.011219     0.000000     0.369115      1     0     1   -0.011219
B->A                     Prev5CompressedCount                         0.070978     0.000000    -0.099024      1     1     0    0.070978
B->A                     Prev5DissipatingCount                        0.665694     0.000000    -0.748757      1     1     0    0.665694
B->A                     Prev5Dominance                               0.328527     0.000000    -0.267935      1     1     0    0.328527
B->A                     Prev5ExpandingCount                          0.046778     0.000000     0.538687      1     1     0    0.046778
