APVA Family Evolution Study v0.1 - Cross-Instrument Aggregate
============================================================
Input instruments: 6E, NQ, CL
Family precedence: A, then B, then C, then D, then N.
Pathway aggregate threshold: 50; replication threshold: Count >= 20 in at least two instruments.

Aggregate Family Outcome Table
==============================
Family    Count_6E   Cont_6E   Fail_6E      Mean_6E  Count_NQ   Cont_NQ   Fail_NQ      Mean_NQ  Count_CL   Cont_CL   Fail_CL      Mean_CL Valid  Pos  Neg  MeanCont  MeanFail
A              181   54.19%   43.58%     0.000128        26   53.85%   46.15%    -2.826923        24   54.17%   45.83%    -0.055833     3    3    0   54.07%   45.19%
B             3069   45.79%   49.76%    -0.000022        88   61.63%   38.37%    12.965116       194   49.20%   49.20%     0.077754     3    1    2   52.21%   45.78%
C             5456   45.62%   49.57%    -0.000026       253   43.87%   55.34%    -5.328063       448   44.20%   55.80%    -0.070804     3    0    3   44.56%   53.57%
D             6497   46.24%   48.69%    -0.000010       431   42.56%   56.74%   -10.469186       521   51.44%   47.98%     0.009693     3    1    2   46.75%   51.14%
N            20057   46.52%   48.19%    -0.000008      1132   51.65%   48.17%    -1.141615      1497   49.62%   49.48%     0.000657     3    1    2   49.26%   48.62%

Aggregate Transition Table
==========================
Transition   Lag  Count_6E   Prob_6E   Lift_6E  Count_NQ   Prob_NQ   Lift_NQ  Count_CL   Prob_CL   Lift_CL  MeanLift
A->A           1         0    0.00%    0.0000         0    0.00%    0.0000         0    0.00%    0.0000    0.0000
A->B           1        12    6.63%    0.7617         1    3.85%    0.8440         0    0.00%    0.0000    0.5352
A->C           1        33   18.23%    1.1783         2    7.69%    0.5871         6   25.00%    1.4983    1.0879
A->D           1        26   14.36%    0.7796         8   30.77%    1.3785         4   16.67%    0.8589    1.0057
A->N           1       110   60.77%    1.0684        15   57.69%    0.9841        14   58.33%    1.0463    1.0329
B->A           1        19    0.62%    1.2061         0    0.00%    0.0000         3    1.55%    1.7300    0.9787
B->B           1       451   14.70%    1.6884         6    6.82%    1.4961        29   14.95%    2.0689    1.7511
B->C           1       717   23.36%    1.5099        15   17.05%    1.3010        44   22.68%    1.3593    1.3901
B->D           1       393   12.81%    0.6950        15   17.05%    0.7637        24   12.37%    0.6376    0.6987
B->N           1      1489   48.52%    0.8530        52   59.09%    1.0080        94   48.45%    0.8691    0.9100
C->A           1        54    0.99%    1.9281         4    1.58%    1.1742         5    1.12%    1.2486    1.4503
C->B           1      1021   18.72%    2.1501        45   17.79%    3.9029        95   21.21%    2.9349    2.9960
C->C           1      1367   25.06%    1.6193        72   28.46%    2.1721       133   29.69%    1.7793    1.8569
C->D           1       343    6.29%    0.3412        21    8.30%    0.3719        16    3.57%    0.1841    0.2990
C->N           1      2670   48.95%    0.8603       111   43.87%    0.7484       199   44.42%    0.7967    0.8018
D->A           1        30    0.46%    0.8995         9    2.09%    1.5509         5    0.96%    1.0737    1.1747
D->B           1       438    6.74%    0.7746        16    3.71%    0.8146        25    4.80%    0.6641    0.7511
D->C           1       798   12.28%    0.7938        52   12.06%    0.9208        75   14.40%    0.8628    0.8591
D->D           1       761   11.71%    0.6357        64   14.85%    0.6653        74   14.20%    0.7320    0.6777
D->N           1      4470   68.80%    1.2095       290   67.29%    1.1478       342   65.64%    1.1774    1.1782
N->A           1        78    0.39%    0.7576        13    1.15%    0.8529        11    0.74%    0.8221    0.8109
N->B           1      1147    5.72%    0.6570        20    1.77%    0.3877        45    3.01%    0.4160    0.4869
N->C           1      2541   12.67%    0.8188       112    9.90%    0.7552       190   12.70%    0.7607    0.7782
N->D           1      4974   24.80%    1.3459       323   28.56%    1.2784       403   26.94%    1.3874    1.3372
N->N           1     11317   56.42%    0.9920       663   58.62%    0.9991       847   56.62%    1.0148    1.0020
A->A           5         3    1.66%    3.2293         1    3.85%    2.8624         1    4.17%    4.6684    3.5867
A->B           5        10    5.52%    0.6348         3   11.54%    2.5372         2    8.33%    1.1551    1.4424
A->C           5        29   16.02%    1.0356         1    3.85%    0.2942         2    8.33%    0.5002    0.6100
A->D           5        42   23.20%    1.2595         3   11.54%    0.5180         4   16.67%    0.8602    0.8792
A->N           5        97   53.59%    0.9423        18   69.23%    1.1834        15   62.50%    1.1227    1.0828
B->A           5        14    0.46%    0.8888         0    0.00%    0.0000         2    1.04%    1.1551    0.6813
B->B           5       322   10.49%    1.2056         6    6.82%    1.4992        22   11.40%    1.5719    1.4256
B->C           5       558   18.18%    1.1752        12   13.64%    1.0429        38   19.69%    1.1757    1.1313
B->D           5       506   16.49%    0.8949        20   22.73%    1.0204        33   17.10%    0.8779    0.9311
B->N           5      1669   54.38%    0.9562        50   56.82%    0.9712        98   50.78%    0.9074    0.9449
C->A           5        43    0.79%    1.5355         2    0.79%    0.5883         6    1.34%    1.5006    1.2081
C->B           5       502    9.20%    1.0572        11    4.35%    0.9560        35    7.81%    1.0829    1.0321
C->C           5      1015   18.61%    1.2024        39   15.42%    1.1790        95   21.21%    1.2728    1.2181
C->D           5       904   16.57%    0.8993        51   20.16%    0.9050        73   16.29%    0.8410    0.8818
C->N           5      2990   54.82%    0.9636       150   59.29%    1.0135       239   53.35%    0.9583    0.9784
D->A           5        43    0.66%    1.2895         2    0.47%    0.3454         4    0.77%    0.8602    0.8317
D->B           5       545    8.39%    0.9639        12    2.79%    0.6122        46    8.83%    1.2238    0.9333
D->C           5       928   14.29%    0.9232        60   13.95%    1.0647        69   13.24%    0.7949    0.9276
D->D           5      1216   18.72%    1.0159        92   21.40%    0.9583       107   20.54%    1.0600    1.0114
D->N           5      3764   57.94%    1.0186       264   61.40%    1.0470       295   56.62%    1.0171    1.0276
N->A           5        78    0.39%    0.7577        21    1.86%    1.3806        11    0.74%    0.8233    0.9872
N->B           5      1690    8.43%    0.9682        56    4.96%    1.0878        89    5.96%    0.8241    0.9600
N->C           5      2926   14.59%    0.9429       141   12.50%    0.9527       244   16.34%    0.9783    0.9580
N->D           5      3828   19.09%    1.0359       264   23.40%    1.0470       303   20.29%    1.0447    1.0425
N->N           5     11533   57.51%    1.0110       646   57.27%    0.9755       846   56.66%    1.0151    1.0005

Aggregate Pathway Table
=======================
Pathway          Len  Count_6E   Cont_6E    OER_6E  Count_NQ   Cont_NQ    OER_NQ  Count_CL   Cont_CL    OER_CL Valid  MeanCont  MeanFail   MeanOER
N->N               2     11317   46.83%    0.9920       663   51.98%    0.9991       847   49.69%    1.0148     3   49.50%   48.39%    1.0020
N->D               2      4974   46.17%    1.3459       323   45.03%    1.2784       403   51.36%    1.3874     3   47.52%   50.33%    1.3372
D->N               2      4470   46.50%    1.2095       290   49.83%    1.1478       342   49.70%    1.1774     3   48.67%   48.89%    1.1782
C->N               2      2670   46.57%    0.8603       111   57.80%    0.7484       199   47.18%    0.7967     3   50.52%   47.66%    0.8018
N->C               2      2541   45.77%    0.8188       112   50.00%    0.7552       190   43.16%    0.7607     3   46.31%   51.78%    0.7782
B->N               2      1489   44.63%    0.8530        52   52.94%    1.0080        94   54.44%    0.8691     3   50.67%   47.54%    0.9100
C->C               2      1367   46.90%    1.6193        72   38.89%    2.1721       133   38.35%    1.7793     3   41.38%   56.58%    1.8569
N->B               2      1147   47.42%    0.6570        20   55.00%    0.3877        45   59.09%    0.4160     3   53.84%   44.59%    0.4869
C->B               2      1021   45.47%    2.1501        45   61.36%    3.9029        95   50.55%    2.9349     3   52.46%   45.51%    2.9960
D->C               2       798   45.10%    0.7938        52   34.62%    0.9208        75   53.33%    0.8628     3   44.35%   53.91%    0.8591
D->D               2       761   48.15%    0.6357        64   37.50%    0.6653        74   51.35%    0.7320     3   45.67%   52.60%    0.6777
B->C               2       717   43.02%    1.5099        15   46.67%    1.3010        44   50.00%    1.3593     2   46.51%   51.38%    1.4346
B->B               2       451   42.02%    1.6884         6   50.00%    1.4961        29   40.74%    2.0689     2   41.38%   53.71%    1.8787
D->B               2       438   46.13%    0.7746        16   73.33%    0.8146        25   36.00%    0.6641     2   41.07%   57.20%    0.7193
B->D               2       393   43.85%    0.6950        15   46.67%    0.7637        24   54.17%    0.6376     2   49.01%   48.94%    0.6663
C->D               2       343   45.03%    0.3412        21   14.29%    0.3719        16   56.25%    0.1841     2   29.66%   65.48%    0.3565
A->N               2       110   40.82%    1.0684        15   20.00%    0.9841        14   50.00%    1.0463     1   40.82%   55.10%    1.0684
N->A               2        78   57.69%    0.7576        13   53.85%    0.8529        11   54.55%    0.8221     1   57.69%   41.03%    0.7576
C->A               2        54   50.00%    1.9281         4   50.00%    1.1742         5   40.00%    1.2486     1   50.00%   50.00%    1.9281
N->N->N            3      6376   47.20%    0.9825       395   53.45%    1.0154       470   50.77%    1.0100     3   50.47%   47.46%    1.0026
N->D->N            3      3451   46.75%    1.6417       227   51.77%    1.5326       264   53.15%    1.6301     3   50.56%   47.12%    1.6014
N->N->D            3      3064   46.90%    1.4576       191   43.68%    1.2895       248   51.21%    1.5313     3   47.26%   50.71%    1.4261
D->N->N            3      2612   46.33%    1.2426       180   49.15%    1.2153       196   47.12%    1.2102     3   47.54%   50.44%    1.2227
C->N->N            3      1447   46.10%    0.8197        49   51.02%    0.5636       113   50.00%    0.8114     3   49.04%   48.44%    0.7316
N->C->N            3      1314   46.24%    0.7444        52   58.82%    0.5981        88   48.81%    0.6319     3   51.29%   47.22%    0.6581
N->N->C            3      1257   45.48%    0.7121        62   50.00%    0.7131       101   45.54%    0.7253     3   47.01%   51.24%    0.7168
D->N->D            3      1096   43.56%    1.6096        86   44.19%    1.5250        98   50.00%    1.7387     3   45.91%   51.78%    1.6244
B->N->N            3       810   46.21%    0.8157        29   51.72%    0.9589        61   48.28%    1.0115     3   48.74%   49.46%    0.9287
N->D->D            3       626   48.23%    0.9193        53   39.62%    0.9398        63   50.79%    1.1177     3   46.22%   52.55%    0.9923
N->C->C            3       595   48.72%    1.2391        31   48.39%    1.5953        55   36.36%    1.3197     3   44.49%   53.69%    1.3847
C->C->N            3       600   47.57%    1.2495        26   56.00%    1.3380        50   42.00%    1.1997     3   48.52%   49.92%    1.2624
N->D->C            3       564   43.76%    0.9863        27   33.33%    0.8156        53   49.06%    1.0935     3   42.05%   56.20%    0.9651
D->D->N            3       546   47.68%    0.8018        39   46.15%    0.6916        54   41.18%    0.9580     3   45.00%   51.65%    0.8171
N->B->N            3       578   41.61%    0.5821        13   53.85%    0.4299        23   50.00%    0.3814     2   45.81%   51.22%    0.4817
N->N->B            3       580   47.08%    0.5841         6   66.67%    0.1984        24   65.22%    0.3980     2   56.15%   41.37%    0.4910
D->N->C            3       527   46.90%    0.9216        20   60.00%    0.6042        38   34.21%    0.7840     3   47.04%   51.15%    0.7699
C->N->D            3       482   47.35%    0.8429        29   44.83%    0.8760        38   50.00%    0.7840     3   47.39%   50.84%    0.8343
C->N->C            3       488   44.51%    1.0162        21   42.86%    1.0807        35   54.29%    0.8398     3   47.22%   49.68%    0.9789
C->B->N            3       468   47.85%    1.7326        28   62.96%    4.1426        43   57.14%    2.3826     3   55.98%   42.24%    2.7526
N->C->B            3       440   45.17%    1.6289        20   50.00%    2.9590        36   58.82%    1.9948     3   51.33%   46.46%    2.1942
D->C->N            3       416   45.07%    0.7275        25   56.00%    0.7552        40   45.00%    0.8253     3   48.69%   48.52%    0.7693
C->C->C            3       364   41.94%    2.7866        29   24.14%    6.6773        40   35.00%    3.2071     3   33.69%   64.73%    4.2237
C->C->B            3       306   42.11%    4.1645        12   66.67%    7.9437        36   50.00%    6.6655     2   46.05%   51.88%    5.4150
B->C->N            3       325   49.09%    1.2032         8   62.50%    1.1836        18   61.11%    0.9974     1   49.09%   45.82%    1.2032
N->D->B            3       313   46.82%    0.9731        10   66.67%    0.8685        18   38.89%    0.8576     1   46.82%   49.06%    0.9731
B->N->D            3       312   45.45%    0.9700        13   61.54%    1.1290        13   61.54%    0.6194     1   45.45%   50.32%    0.9700
C->B->C            3       263   41.31%    3.5793         8   37.50%    5.2958        18   33.33%    3.3328     1   41.31%   55.98%    3.5793
B->N->C            3       252   47.98%    0.9329         7   42.86%    1.0357        14   28.57%    0.7757     1   47.98%   49.60%    0.9329
N->B->C            3       262   44.02%    0.9700         1  100.00%    0.1480         9   44.44%    0.4987     1   44.02%   50.58%    0.9700
D->B->N            3       244   49.00%    0.7586         9   22.22%    0.7816        14   53.85%    0.6670     1   49.00%   46.50%    0.7586
B->D->N            3       241   41.50%    0.7493        10   50.00%    0.8685        13    7.69%    0.6194     1   41.50%   53.50%    0.7493
C->N->B            3       241   47.55%    0.8922        10   40.00%    1.4795        10   60.00%    0.5541     1   47.55%   47.06%    0.8922
