APVA Information Decay Study v0.1 - Aggregate
============================================================================================================
Instruments: 6E, CL, NQ

Aggregate Half-Life Table
StateAgeNode | HalfLife_6E | HalfLife_CL | HalfLife_NQ | MeanHalfLife | ReplicationCount | ReplicationPercent
CompressionProcessing_Age1 | 3 | 2 | 3 | 2.67 | 3 | 100.00%
CompressionProcessing_Age11-20 | 2 | N/A | N/A | 2.00 | 1 | 33.33%
CompressionProcessing_Age2 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
CompressionProcessing_Age3 | 3 | 3 | 2 | 2.67 | 3 | 100.00%
CompressionProcessing_Age4 | 2 | 2 | 2 | 2.00 | 3 | 100.00%
CompressionProcessing_Age5 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
CompressionProcessing_Age6-10 | 2 | 2 | 2 | 2.00 | 3 | 100.00%
ConstructiveEmergence_Age1 | 3 | 2 | 2 | 2.33 | 3 | 100.00%
DecayToNeutral_Age1 | 5 | 2 | 3 | 3.33 | 3 | 100.00%
DestructiveRotation_Age1 | 3 | 3 | 5 | 3.67 | 3 | 100.00%
DestructiveRotation_Age2 | 3 | 2 | 5 | 3.33 | 3 | 100.00%
DestructiveRotation_Age3 | 2 | 3 | 3 | 2.67 | 3 | 100.00%
DestructiveRotation_Age4 | 2 | N/A | N/A | 2.00 | 1 | 33.33%
ExhaustionPersistence_Age1 | 10+ | 3 | 8 | 7.33 | 3 | 100.00%
ExhaustionPersistence_Age2 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
ExhaustionPersistence_Age3 | 2 | 2 | 3 | 2.33 | 3 | 100.00%
ExhaustionPersistence_Age4 | 2 | 2 | 3 | 2.33 | 3 | 100.00%
ExhaustionPersistence_Age5 | 5 | 3 | 2 | 3.33 | 3 | 100.00%
ExhaustionPersistence_Age6-10 | 3 | 2 | 2 | 2.33 | 3 | 100.00%
MixedStructure_Age1 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
MixedStructure_Age2 | 10+ | 5 | 10 | 8.67 | 3 | 100.00%
MixedStructure_Age3 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
MixedStructure_Age4 | 8 | 2 | 2 | 4.00 | 3 | 100.00%
MixedStructure_Age5 | 5 | N/A | N/A | 5.00 | 1 | 33.33%
NeutralProcessing_Age1 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
NeutralProcessing_Age11-20 | 5 | 3 | 3 | 3.67 | 3 | 100.00%
NeutralProcessing_Age2 | 5 | 5 | 5 | 5.00 | 3 | 100.00%
NeutralProcessing_Age21+ | 5 | N/A | N/A | 5.00 | 1 | 33.33%
NeutralProcessing_Age3 | 5 | 5 | 5 | 5.00 | 3 | 100.00%
NeutralProcessing_Age4 | 5 | 5 | 5 | 5.00 | 3 | 100.00%
NeutralProcessing_Age5 | 5 | 3 | 3 | 3.67 | 3 | 100.00%
NeutralProcessing_Age6-10 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
ReassertionProcessing_Age1 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
ReassertionProcessing_Age2 | 3 | 2 | 2 | 2.33 | 3 | 100.00%
ReassertionProcessing_Age3 | 2 | 2 | 2 | 2.00 | 3 | 100.00%
RecoveryResolution_Age1 | 5 | 5 | 5 | 5.00 | 3 | 100.00%
RecoveryResolution_Age2 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
RecoveryResolution_Age3 | 3 | 3 | 2 | 2.67 | 3 | 100.00%
RecoveryResolution_Age4 | 3 | 5 | N/A | 4.00 | 2 | 66.67%
RecoveryResolution_Age5 | 3 | N/A | N/A | 3.00 | 1 | 33.33%
RecoveryResolution_Age6-10 | 2 | N/A | N/A | 2.00 | 1 | 33.33%

Aggregate Memory Strength Table
StateAgeNode | MemoryStrength_6E | MemoryStrength_CL | MemoryStrength_NQ | MeanMemoryStrength
CompressionProcessing_Age1 | 0.2107 | 0.1697 | 0.2266 | 0.2023
CompressionProcessing_Age11-20 | 0.2556 | N/A | N/A | 0.2556
CompressionProcessing_Age2 | 0.2038 | 0.2168 | 0.2113 | 0.2106
CompressionProcessing_Age3 | 0.2152 | 0.1992 | 0.2537 | 0.2227
CompressionProcessing_Age4 | 0.2023 | 0.2803 | 0.1080 | 0.1969
CompressionProcessing_Age5 | 0.1950 | 0.2037 | 0.2014 | 0.2000
CompressionProcessing_Age6-10 | 0.1905 | 0.2037 | 0.1420 | 0.1787
ConstructiveEmergence_Age1 | 0.2062 | 0.1574 | 0.1865 | 0.1834
DecayToNeutral_Age1 | 0.2121 | 0.1769 | 0.2590 | 0.2160
DestructiveRotation_Age1 | 0.1720 | 0.1768 | 0.1808 | 0.1766
DestructiveRotation_Age2 | 0.2244 | 0.2315 | 0.3081 | 0.2547
DestructiveRotation_Age3 | 0.1717 | 0.1667 | 0.3111 | 0.2165
DestructiveRotation_Age4 | 0.0556 | N/A | N/A | 0.0556
ExhaustionPersistence_Age1 | 0.1775 | 0.1833 | 0.2048 | 0.1885
ExhaustionPersistence_Age2 | 0.2372 | 0.2760 | 0.3480 | 0.2871
ExhaustionPersistence_Age3 | 0.1959 | 0.1799 | 0.1667 | 0.1808
ExhaustionPersistence_Age4 | 0.1838 | 0.2118 | 0.2626 | 0.2194
ExhaustionPersistence_Age5 | 0.1513 | 0.2639 | 0.1759 | 0.1971
ExhaustionPersistence_Age6-10 | 0.1782 | 0.1667 | 0.1852 | 0.1767
MixedStructure_Age1 | 0.1787 | 0.1956 | 0.1752 | 0.1832
MixedStructure_Age2 | 0.1852 | 0.1567 | 0.2119 | 0.1846
MixedStructure_Age3 | 0.2011 | 0.4000 | 0.1111 | 0.2374
MixedStructure_Age4 | 0.1944 | 0.1111 | 0.3056 | 0.2037
MixedStructure_Age5 | 0.3333 | N/A | N/A | 0.3333
NeutralProcessing_Age1 | 0.2167 | 0.2042 | 0.2498 | 0.2236
NeutralProcessing_Age11-20 | 0.2868 | 0.1926 | 0.2102 | 0.2299
NeutralProcessing_Age2 | 0.2651 | 0.2734 | 0.2959 | 0.2782
NeutralProcessing_Age21+ | 0.3218 | N/A | N/A | 0.3218
NeutralProcessing_Age3 | 0.3511 | 0.3509 | 0.3638 | 0.3553
NeutralProcessing_Age4 | 0.3683 | 0.3265 | 0.3723 | 0.3557
NeutralProcessing_Age5 | 0.3132 | 0.3357 | 0.3030 | 0.3173
NeutralProcessing_Age6-10 | 0.2232 | 0.2169 | 0.1972 | 0.2124
ReassertionProcessing_Age1 | 0.1787 | 0.1925 | 0.1818 | 0.1843
ReassertionProcessing_Age2 | 0.1927 | 0.2188 | 0.1971 | 0.2029
ReassertionProcessing_Age3 | 0.2111 | 0.0556 | 0.3333 | 0.2000
RecoveryResolution_Age1 | 0.2497 | 0.2234 | 0.2331 | 0.2354
RecoveryResolution_Age2 | 0.2814 | 0.2924 | 0.3248 | 0.2995
RecoveryResolution_Age3 | 0.2098 | 0.2922 | 0.1975 | 0.2332
RecoveryResolution_Age4 | 0.2431 | 0.3333 | N/A | 0.2882
RecoveryResolution_Age5 | 0.2407 | N/A | N/A | 0.2407
RecoveryResolution_Age6-10 | 0.2444 | N/A | N/A | 0.2444

Aggregate Entropy Growth Table
StateAgeNode | EntropySlope_6E | EntropySlope_CL | EntropySlope_NQ | MeanEntropySlope
CompressionProcessing_Age1 | 0.1997 | 0.1938 | 0.1991 | 0.1975
CompressionProcessing_Age11-20 | 0.2062 | N/A | N/A | 0.2062
CompressionProcessing_Age2 | 0.1858 | 0.1793 | 0.2016 | 0.1889
CompressionProcessing_Age3 | 0.1970 | 0.1859 | 0.1919 | 0.1916
CompressionProcessing_Age4 | 0.1778 | 0.1844 | 0.1407 | 0.1676
