APVA Interpretation Arbitration Study v0.1 - Aggregate
Research only. Fixed low-degree-of-freedom arbitration with past-only structural reliability scoring.
Instruments: 6E, CL, NQ

Aggregate Reliability Table
InterpretationType | InterpretationKey | Count_6E | Persist_6E | Entropy_6E | DominantProb_6E | Score_6E | Count_CL | Persist_CL | Entropy_CL | DominantProb_CL | Score_CL | Count_NQ | Persist_NQ | Entropy_NQ | DominantProb_NQ | Score_NQ | ValidInstrumentCount | MeanPersistence | MeanEntropy | MeanDominantProbability | MeanScore
CurrentStateAge | CompressionProcessing+Age1 | 2928 | 56.66% | 1.1110 | 56.66% | 0.5989 | 177 | 51.98% | 1.1569 | 51.98% | 0.3207 | 89 | 57.30% | 1.1310 | 57.30% | 0.5648 | 3 | 55.31% | 1.1330 | 55.31% | 0.4948
CurrentStateAge | CompressionProcessing+Age2 | 1659 | 50.63% | 1.2356 | 50.63% | 0.4503 | 92 | 44.57% | 1.2870 | 44.57% | 0.2299 | 51 | 58.82% | 1.1075 | 58.82% | 0.6074 | 3 | 51.34% | 1.2100 | 51.34% | 0.4292
CurrentStateAge | CompressionProcessing+Age3 | 840 | 62.86% | 1.1341 | 62.86% | 0.7117 | 41 | 53.66% | 1.2311 | 53.66% | 0.3861 | 30 | 60.00% | 1.1965 | 60.00% | 0.4566 | 3 | 58.84% | 1.1872 | 58.84% | 0.5181
CurrentStateAge | CompressionProcessing+Age4 | 528 | 53.41% | 1.3071 | 53.41% | 0.4396 | 22 | 54.55% | 1.2438 | 54.55% | 0.3181 | 18 | 44.44% | 1.6581 | 44.44% | 0.0368 | 3 | 50.80% | 1.4030 | 50.80% | 0.2648
CurrentStateAge | CompressionProcessing+Age5 | 282 | 45.04% | 1.5435 | 45.04% | 0.1584 | 12 | 41.67% | 1.3522 | 41.67% | -0.0068 | 8 | 37.50% | 1.2555 | 37.50% | 0.0000 | 2 | 43.35% | 1.4478 | 43.35% | 0.0758
CurrentStateAge | CompressionProcessing+Age6-10 | 247 | 49.80% | 1.4301 | 49.80% | 0.3082 | 6 | 16.67% | 1.2425 | 50.00% | 0.0000 | 9 | 66.67% | 0.8487 | 66.67% | 0.0000 | 1 | 49.80% | 1.4301 | 49.80% | 0.3082
CurrentStateAge | ConstructiveEmergence+Age1 | 83 | 0.00% | 1.1780 | 46.99% | -0.3798 | 12 | 0.00% | 1.0776 | 41.67% | -0.5642 | 14 | 0.00% | 0.8305 | 64.29% | -0.1131 | 3 | 0.00% | 1.0287 | 50.98% | -0.3524
CurrentStateAge | DecayToNeutral+Age1 | 1486 | 0.00% | 1.1580 | 54.58% | -0.1005 | 103 | 0.00% | 1.0086 | 61.17% | -0.0150 | 86 | 0.00% | 0.9062 | 66.28% | 0.0997 | 3 | 0.00% | 1.0243 | 60.67% | -0.0053
CurrentStateAge | DestructiveRotation+Age1 | 836 | 11.96% | 1.8149 | 29.78% | -0.4085 | 71 | 16.90% | 1.6276 | 35.21% | -0.2616 | 63 | 17.46% | 1.7980 | 26.98% | -0.4202 | 3 | 15.44% | 1.7468 | 30.66% | -0.3634
CurrentStateAge | DestructiveRotation+Age2 | 100 | 11.00% | 1.6826 | 45.00% | -0.2492 | 12 | 8.33% | 1.6326 | 33.33% | -0.4945 | 11 | 45.45% | 1.4143 | 45.45% | 0.0303 | 3 | 21.60% | 1.5765 | 41.26% | -0.2378
CurrentStateAge | ExhaustionPersistence+Age1 | 1116 | 27.24% | 1.6846 | 27.24% | -0.3954 | 97 | 31.96% | 1.5473 | 31.96% | -0.2244 | 51 | 37.25% | 1.6073 | 37.25% | -0.1520 | 3 | 32.15% | 1.6131 | 32.15% | -0.2573
CurrentStateAge | ExhaustionPersistence+Age2 | 304 | 76.97% | 0.5803 | 76.97% | 1.0112 | 31 | 67.74% | 0.7337 | 67.74% | 0.6870 | 19 | 73.68% | 0.5763 | 73.68% | 0.6422 | 3 | 72.80% | 0.6301 | 72.80% | 0.7802
CurrentStateAge | ExhaustionPersistence+Age3 | 234 | 61.11% | 0.9008 | 61.11% | 0.5724 | 21 | 76.19% | 0.5489 | 76.19% | 0.7320 | 14 | 78.57% | 0.5196 | 78.57% | 0.8218 | 3 | 71.96% | 0.6564 | 71.96% | 0.7087
CurrentStateAge | ExhaustionPersistence+Age4 | 143 | 40.56% | 1.5370 | 40.56% | -0.0466 | 16 | 50.00% | 1.4402 | 50.00% | 0.1962 | 11 | 54.55% | 1.2945 | 54.55% | 0.2866 | 3 | 48.37% | 1.4239 | 48.37% | 0.1454
CurrentStateAge | ExhaustionPersistence+Age5 | 58 | 31.03% | 1.6524 | 31.03% | -0.3015 | 8 | 12.50% | 1.4942 | 37.50% | 0.0000 | 6 | 66.67% | 0.8676 | 66.67% | 0.0000 | 1 | 31.03% | 1.6524 | 31.03% | -0.3015
CurrentStateAge | MixedStructure+Age1 | 3264 | 10.88% | 1.7605 | 37.35% | -0.3190 | 279 | 10.04% | 1.7186 | 41.22% | -0.2696 | 183 | 14.75% | 1.7607 | 35.52% | -0.2986 | 3 | 11.89% | 1.7466 | 38.03% | -0.2957
CurrentStateAge | MixedStructure+Age2 | 355 | 11.83% | 1.6819 | 31.27% | -0.3778 | 28 | 17.86% | 1.6485 | 28.57% | -0.4557 | 27 | 14.81% | 1.5968 | 33.33% | -0.4097 | 3 | 14.83% | 1.6424 | 31.06% | -0.4144
CurrentStateAge | MixedStructure+Age3 | 42 | 19.05% | 1.5287 | 40.48% | -0.2579 | 5 | 40.00% | 1.0549 | 40.00% | 0.0000 | 4 | 50.00% | 1.0397 | 50.00% | 0.0000 | 1 | 19.05% | 1.5287 | 40.48% | -0.2579
CurrentStateAge | NeutralProcessing+Age1 | 5672 | 56.51% | 1.2623 | 56.51% | 0.4256 | 445 | 56.85% | 1.2605 | 56.85% | 0.4336 | 297 | 58.92% | 1.2465 | 58.92% | 0.4828 | 3 | 57.43% | 1.2564 | 57.43% | 0.4473
CurrentStateAge | NeutralProcessing+Age11-20 | 891 | 77.22% | 0.8432 | 77.22% | 1.1110 | 30 | 63.33% | 1.1205 | 63.33% | 0.5705 | 37 | 67.57% | 1.0988 | 67.57% | 0.7381 | 3 | 69.37% | 1.0208 | 69.37% | 0.8065
CurrentStateAge | NeutralProcessing+Age2 | 3205 | 54.73% | 1.2354 | 54.73% | 0.4050 | 253 | 55.34% | 1.2109 | 55.34% | 0.3543 | 175 | 64.00% | 1.0659 | 64.00% | 0.6851 | 3 | 58.02% | 1.1707 | 58.02% | 0.4815
CurrentStateAge | NeutralProcessing+Age21+ | 82 | 78.05% | 0.7959 | 78.05% | 1.0664 | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 1 | 78.05% | 0.7959 | 78.05% | 1.0664
CurrentStateAge | NeutralProcessing+Age3 | 1754 | 74.80% | 0.8439 | 74.80% | 0.9717 | 140 | 75.71% | 0.7992 | 75.71% | 0.9378 | 112 | 74.11% | 0.8115 | 74.11% | 0.8968 | 3 | 74.87% | 0.8182 | 74.87% | 0.9354
CurrentStateAge | NeutralProcessing+Age4 | 1312 | 90.85% | 0.4516 | 90.85% | 1.5650 | 106 | 89.62% | 0.4644 | 89.62% | 1.5039 | 83 | 96.39% | 0.1952 | 96.39% | 1.7869 | 3 | 92.29% | 0.3704 | 92.29% | 1.6186
CurrentStateAge | NeutralProcessing+Age5 | 1192 | 81.21% | 0.7665 | 81.21% | 1.2303 | 95 | 78.95% | 0.7551 | 78.95% | 1.1098 | 80 | 87.50% | 0.4947 | 87.50% | 1.3932 | 3 | 82.55% | 0.6721 | 82.55% | 1.2444
CurrentStateAge | NeutralProcessing+Age6-10 | 2884 | 74.10% | 0.9239 | 74.10% | 1.0072 | 208 | 69.23% | 1.0049 | 69.23% | 0.8682 | 191 | 70.16% | 1.0297 | 70.16% | 0.8740 | 3 | 71.16% | 0.9862 | 71.16% | 0.9165
CurrentStateAge | ReassertionProcessing+Age1 | 1759 | 13.47% | 1.3784 | 41.39% | -0.2207 | 174 | 18.39% | 1.3656 | 37.93% | -0.1990 | 147 | 21.09% | 1.3282 | 39.46% | -0.1358 | 3 | 17.65% | 1.3574 | 39.59% | -0.1852
CurrentStateAge | ReassertionProcessing+Age2 | 237 | 6.33% | 1.0276 | 45.99% | -0.2181 | 32 | 3.12% | 0.9081 | 56.25% | -0.0613 | 31 | 3.23% | 0.9467 | 61.29% | -0.0377 | 3 | 4.23% | 0.9608 | 54.51% | -0.1057
CurrentStateAge | RecoveryResolution+Age1 | 1079 | 31.42% | 0.9454 | 56.26% | 0.0162 | 94 | 40.43% | 0.9542 | 48.94% | 0.0250 | 46 | 28.26% | 0.9661 | 56.52% | -0.0316 | 3 | 33.37% | 0.9553 | 53.90% | 0.0032
