APVA Junction Audit Study v0.1 - Aggregate
============================================================================================================
Instruments: 6E, CL, NQ

Aggregate Junction Candidate Table
CurrentNode | Count | BaseDominantNextNode | BaseDominantProbability | PreviousNodeGain | BranchEntropy | ReplicationCount
RecoveryResolution_Age1 | 1219 | CompressionProcessing_Age1 | 55.70% | 32.57% | 0.9484 | 3
ReassertionProcessing_Age1 | 2080 | NeutralProcessing_Age1 | 40.58% | 15.14% | 1.3785 | 3
DestructiveRotation_Age1 | 970 | DecayToNeutral_Age1 | 29.48% | 14.43% | 1.8058 | 3
MixedStructure_Age1 | 3726 | NeutralProcessing_Age1 | 37.55% | 8.29% | 1.7596 | 3
ConstructiveEmergence_Age1 | 109 | MixedStructure_Age1 | 48.62% | 5.50% | 1.1479 | 3
ExhaustionPersistence_Age1 | 1264 | ExhaustionPersistence_Age2 | 28.01% | 5.46% | 1.6768 | 3
ExhaustionPersistence_Age6-10 | 38 | ExhaustionPersistence_Age6-10 | 39.47% | 5.26% | 1.4974 | 3
CompressionProcessing_Age1 | 3194 | CompressionProcessing_Age2 | 56.42% | 5.10% | 1.1164 | 3

Aggregate Base Branch Profile Table
CurrentNode | NextNode | Count | Probability | Rank
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 1802 | 56.42% | 1
CompressionProcessing_Age1 | NeutralProcessing_Age1 | 973 | 30.46% | 2
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 198 | 6.20% | 3
CompressionProcessing_Age1 | RecoveryResolution_Age1 | 144 | 4.51% | 4
CompressionProcessing_Age1 | MixedStructure_Age1 | 32 | 1.00% | 5
CompressionProcessing_Age1 | DestructiveRotation_Age1 | 22 | 0.69% | 6
CompressionProcessing_Age1 | ReassertionProcessing_Age1 | 19 | 0.59% | 7
CompressionProcessing_Age1 | DecayToNeutral_Age1 | 4 | 0.13% | 8
ConstructiveEmergence_Age1 | MixedStructure_Age1 | 53 | 48.62% | 1
ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 35 | 32.11% | 2
ConstructiveEmergence_Age1 | DecayToNeutral_Age1 | 15 | 13.76% | 3
ConstructiveEmergence_Age1 | CompressionProcessing_Age1 | 6 | 5.50% | 4
DestructiveRotation_Age1 | DecayToNeutral_Age1 | 286 | 29.48% | 1
DestructiveRotation_Age1 | NeutralProcessing_Age1 | 269 | 27.73% | 2
DestructiveRotation_Age1 | DestructiveRotation_Age2 | 123 | 12.68% | 3
DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 108 | 11.13% | 4
DestructiveRotation_Age1 | ReassertionProcessing_Age1 | 59 | 6.08% | 5
DestructiveRotation_Age1 | RecoveryResolution_Age1 | 49 | 5.05% | 6
DestructiveRotation_Age1 | MixedStructure_Age1 | 45 | 4.64% | 7
DestructiveRotation_Age1 | CompressionProcessing_Age1 | 28 | 2.89% | 8
DestructiveRotation_Age1 | ConstructiveEmergence_Age1 | 3 | 0.31% | 9
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 354 | 28.01% | 1
ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 274 | 21.68% | 2
ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 246 | 19.46% | 3
ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 181 | 14.32% | 4
ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 155 | 12.26% | 5
ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 54 | 4.27% | 6
ExhaustionPersistence_Age6-10 | ExhaustionPersistence_Age6-10 | 15 | 39.47% | 1
ExhaustionPersistence_Age6-10 | DecayToNeutral_Age1 | 10 | 26.32% | 2
ExhaustionPersistence_Age6-10 | NeutralProcessing_Age1 | 6 | 15.79% | 3
ExhaustionPersistence_Age6-10 | RecoveryResolution_Age1 | 4 | 10.53% | 4
ExhaustionPersistence_Age6-10 | DestructiveRotation_Age1 | 2 | 5.26% | 5
ExhaustionPersistence_Age6-10 | CompressionProcessing_Age1 | 1 | 2.63% | 6
MixedStructure_Age1 | NeutralProcessing_Age1 | 1399 | 37.55% | 1
MixedStructure_Age1 | DecayToNeutral_Age1 | 741 | 19.89% | 2
MixedStructure_Age1 | ExhaustionPersistence_Age1 | 462 | 12.40% | 3
MixedStructure_Age1 | MixedStructure_Age2 | 410 | 11.00% | 4
MixedStructure_Age1 | RecoveryResolution_Age1 | 344 | 9.23% | 5
MixedStructure_Age1 | ReassertionProcessing_Age1 | 174 | 4.67% | 6
MixedStructure_Age1 | CompressionProcessing_Age1 | 100 | 2.68% | 7
MixedStructure_Age1 | DestructiveRotation_Age1 | 72 | 1.93% | 8
MixedStructure_Age1 | ConstructiveEmergence_Age1 | 24 | 0.64% | 9
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 844 | 40.58% | 1
ReassertionProcessing_Age1 | MixedStructure_Age1 | 673 | 32.36% | 2
ReassertionProcessing_Age1 | ReassertionProcessing_Age2 | 300 | 14.42% | 3
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | 145 | 6.97% | 4
ReassertionProcessing_Age1 | CompressionProcessing_Age1 | 105 | 5.05% | 5
ReassertionProcessing_Age1 | ConstructiveEmergence_Age1 | 13 | 0.62% | 6
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 679 | 55.70% | 1
RecoveryResolution_Age1 | RecoveryResolution_Age2 | 390 | 31.99% | 2
RecoveryResolution_Age1 | NeutralProcessing_Age1 | 150 | 12.31% | 3

Aggregate Conditional Branch Table
PreviousNode | CurrentNode | NextNode | Count | ConditionalProbability | BaseProbability | ProbabilityDelta | DominantBranchChanged
ConstructiveEmergence_Age1 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 4 | 66.67% | 56.42% | 10.25% | False
ConstructiveEmergence_Age1 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 2 | 33.33% | 30.46% | 2.87% | False
DecayToNeutral_Age1 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 103 | 100.00% | 56.42% | 43.58% | False
DestructiveRotation_Age1 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 26 | 92.86% | 56.42% | 36.44% | False
DestructiveRotation_Age1 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 2 | 7.14% | 30.46% | -23.32% | False
DestructiveRotation_Age2 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 3 | 100.00% | 56.42% | 43.58% | False
DestructiveRotation_Age3 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 2 | 100.00% | 56.42% | 43.58% | False
ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 66 | 42.58% | 56.42% | -13.84% | False
ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 65 | 41.94% | 30.46% | 11.47% | False
ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | DestructiveRotation_Age1 | 20 | 12.90% | 0.69% | 12.21% | False
ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | DecayToNeutral_Age1 | 4 | 2.58% | 0.13% | 2.46% | False
ExhaustionPersistence_Age4 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 11 | 68.75% | 56.42% | 12.33% | False
ExhaustionPersistence_Age4 | CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 2 | 12.50% | 6.20% | 6.30% | False
ExhaustionPersistence_Age4 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 2 | 12.50% | 30.46% | -17.96% | False
ExhaustionPersistence_Age4 | CompressionProcessing_Age1 | RecoveryResolution_Age1 | 1 | 6.25% | 4.51% | 1.74% | False
ExhaustionPersistence_Age5 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 4 | 44.44% | 56.42% | -11.97% | False
ExhaustionPersistence_Age5 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 3 | 33.33% | 30.46% | 2.87% | False
ExhaustionPersistence_Age5 | CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 1 | 11.11% | 6.20% | 4.91% | False
ExhaustionPersistence_Age5 | CompressionProcessing_Age1 | RecoveryResolution_Age1 | 1 | 11.11% | 4.51% | 6.60% | False
ExhaustionPersistence_Age6-10 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 1 | 100.00% | 30.46% | 69.54% | True
MixedStructure_Age1 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 81 | 81.00% | 56.42% | 24.58% | False
MixedStructure_Age1 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 19 | 19.00% | 30.46% | -11.46% | False
MixedStructure_Age2 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 8 | 100.00% | 56.42% | 43.58% | False
NeutralProcessing_Age1 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 526 | 58.38% | 56.42% | 1.96% | False
NeutralProcessing_Age1 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 253 | 28.08% | 30.46% | -2.38% | False
NeutralProcessing_Age1 | CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 61 | 6.77% | 6.20% | 0.57% | False
NeutralProcessing_Age1 | CompressionProcessing_Age1 | RecoveryResolution_Age1 | 43 | 4.77% | 4.51% | 0.26% | False
NeutralProcessing_Age1 | CompressionProcessing_Age1 | MixedStructure_Age1 | 10 | 1.11% | 1.00% | 0.11% | False
NeutralProcessing_Age1 | CompressionProcessing_Age1 | ReassertionProcessing_Age1 | 6 | 0.67% | 0.59% | 0.07% | False
NeutralProcessing_Age1 | CompressionProcessing_Age1 | DestructiveRotation_Age1 | 2 | 0.22% | 0.69% | -0.47% | False
NeutralProcessing_Age11-20 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 30 | 60.00% | 56.42% | 3.58% | False
NeutralProcessing_Age11-20 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 11 | 22.00% | 30.46% | -8.46% | False
NeutralProcessing_Age11-20 | CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 6 | 12.00% | 6.20% | 5.80% | False
NeutralProcessing_Age11-20 | CompressionProcessing_Age1 | RecoveryResolution_Age1 | 2 | 4.00% | 4.51% | -0.51% | False
NeutralProcessing_Age11-20 | CompressionProcessing_Age1 | MixedStructure_Age1 | 1 | 2.00% | 1.00% | 1.00% | False
NeutralProcessing_Age2 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 252 | 55.51% | 30.46% | 25.04% | True
NeutralProcessing_Age2 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 129 | 28.41% | 56.42% | -28.00% | True
NeutralProcessing_Age2 | CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 31 | 6.83% | 6.20% | 0.63% | True
NeutralProcessing_Age2 | CompressionProcessing_Age1 | RecoveryResolution_Age1 | 22 | 4.85% | 4.51% | 0.34% | True
NeutralProcessing_Age2 | CompressionProcessing_Age1 | MixedStructure_Age1 | 11 | 2.42% | 1.00% | 1.42% | True
NeutralProcessing_Age2 | CompressionProcessing_Age1 | ReassertionProcessing_Age1 | 9 | 1.98% | 0.59% | 1.39% | True
NeutralProcessing_Age21+ | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 3 | 75.00% | 30.46% | 44.54% | True
NeutralProcessing_Age21+ | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 1 | 25.00% | 56.42% | -31.42% | True
NeutralProcessing_Age3 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 57 | 50.89% | 30.46% | 20.43% | True
NeutralProcessing_Age3 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 29 | 25.89% | 56.42% | -30.53% | True
NeutralProcessing_Age3 | CompressionProcessing_Age1 | RecoveryResolution_Age1 | 12 | 10.71% | 4.51% | 6.21% | True
NeutralProcessing_Age3 | CompressionProcessing_Age1 | MixedStructure_Age1 | 9 | 8.04% | 1.00% | 7.03% | True
NeutralProcessing_Age3 | CompressionProcessing_Age1 | ReassertionProcessing_Age1 | 3 | 2.68% | 0.59% | 2.08% | True
NeutralProcessing_Age3 | CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 2 | 1.79% | 6.20% | -4.41% | True
NeutralProcessing_Age4 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 14 | 53.85% | 30.46% | 23.38% | True
NeutralProcessing_Age4 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 5 | 19.23% | 56.42% | -37.19% | True
NeutralProcessing_Age4 | CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 4 | 15.38% | 6.20% | 9.19% | True
NeutralProcessing_Age4 | CompressionProcessing_Age1 | RecoveryResolution_Age1 | 3 | 11.54% | 4.51% | 7.03% | True
NeutralProcessing_Age5 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 33 | 54.10% | 56.42% | -2.32% | False
NeutralProcessing_Age5 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 21 | 34.43% | 30.46% | 3.96% | False
NeutralProcessing_Age5 | CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 6 | 9.84% | 6.20% | 3.64% | False
NeutralProcessing_Age5 | CompressionProcessing_Age1 | RecoveryResolution_Age1 | 1 | 1.64% | 4.51% | -2.87% | False
NeutralProcessing_Age6-10 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 75 | 51.37% | 56.42% | -5.05% | False
NeutralProcessing_Age6-10 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 53 | 36.30% | 30.46% | 5.84% | False
NeutralProcessing_Age6-10 | CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 11 | 7.53% | 6.20% | 1.34% | False
NeutralProcessing_Age6-10 | CompressionProcessing_Age1 | RecoveryResolution_Age1 | 5 | 3.42% | 4.51% | -1.08% | False
NeutralProcessing_Age6-10 | CompressionProcessing_Age1 | MixedStructure_Age1 | 1 | 0.68% | 1.00% | -0.32% | False
NeutralProcessing_Age6-10 | CompressionProcessing_Age1 | ReassertionProcessing_Age1 | 1 | 0.68% | 0.59% | 0.09% | False
