APVA Minimal Engine Study v0.1 - Aggregate
====================================================================================================
Instruments: 6E, CL, NQ

Aggregate Transition Hazard Table
State | AgeBucket | Horizon | Count_6E | ExitRate_6E | Entropy_6E | DominantDestination_6E | DominantProbability_6E | Count_CL | ExitRate_CL | Entropy_CL | DominantDestination_CL | DominantProbability_CL | Count_NQ | ExitRate_NQ | Entropy_NQ | DominantDestination_NQ | DominantProbability_NQ | ValidInstrumentCount | MeanExitRate | MeanEntropy | MeanDominantProbability
CompressionProcessing | 1 | t+1 | 2928 | 43.34% | 1.1110 | CompressionProcessing | 56.66% | 177 | 48.02% | 1.1569 | CompressionProcessing | 51.98% | 89 | 42.70% | 1.1310 | CompressionProcessing | 57.30% | 3 | 44.69% | 1.1330 | 55.31%
CompressionProcessing | 1 | t+2 | 2928 | 58.27% | 1.3785 | CompressionProcessing | 41.73% | 176 | 62.50% | 1.5171 | CompressionProcessing | 37.50% | 89 | 55.06% | 1.2798 | CompressionProcessing | 44.94% | 3 | 58.61% | 1.3918 | 41.39%
CompressionProcessing | 1 | t+3 | 2928 | 57.41% | 1.5205 | CompressionProcessing | 42.59% | 176 | 64.77% | 1.5868 | CompressionProcessing | 35.23% | 89 | 62.92% | 1.6028 | CompressionProcessing | 37.08% | 3 | 61.70% | 1.5700 | 38.30%
CompressionProcessing | 1 | t+5 | 2928 | 78.69% | 1.6281 | NeutralProcessing | 45.49% | 176 | 82.39% | 1.7869 | NeutralProcessing | 39.77% | 89 | 85.39% | 1.5993 | NeutralProcessing | 50.56% | 3 | 82.16% | 1.6714 | 45.28%
CompressionProcessing | 11-20 | t+1 | 5 | 60.00% | 1.0549 | CompressionProcessing | 40.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
CompressionProcessing | 11-20 | t+2 | 5 | 20.00% | 0.5004 | CompressionProcessing | 80.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
CompressionProcessing | 11-20 | t+3 | 5 | 80.00% | 1.3322 | NeutralProcessing | 40.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
CompressionProcessing | 11-20 | t+5 | 5 | 80.00% | 0.9503 | NeutralProcessing | 60.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
CompressionProcessing | 2 | t+1 | 1659 | 49.37% | 1.2356 | CompressionProcessing | 50.63% | 92 | 55.43% | 1.2870 | CompressionProcessing | 44.57% | 51 | 41.18% | 1.1075 | CompressionProcessing | 58.82% | 3 | 48.66% | 1.2100 | 51.34%
CompressionProcessing | 2 | t+2 | 1659 | 49.85% | 1.3532 | CompressionProcessing | 50.15% | 92 | 57.61% | 1.2446 | CompressionProcessing | 42.39% | 51 | 54.90% | 1.5402 | CompressionProcessing | 45.10% | 3 | 54.12% | 1.3793 | 45.88%
