APVA Context Disambiguation Study v0.1
Frozen candidate validation. Research only. No trades, optimization, fitting, machine learning, or parameter search.

Diagnostics
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
State counts: RecoveryResolution=68, ExhaustionPersistence=107, CompressionProcessing=205, NeutralProcessing=976, ReassertionProcessing=179, DecayToNeutral=86, DestructiveRotation=79, ConstructiveEmergence=14, MixedStructure=216
Age counts: 1=976, 2=327, 3=175, 4=114, 5=94, 6-10=207, 11-20=37, 21+=0
Distinct context count: 156

1. Candidate summary
Candidate | Description | Count | DirectionAgreement
A | NeutralProcessing -> CompressionProcessing Age 3 | 9 | Negative
B | RecoveryResolution -> CompressionProcessing Age 3 | 11 | Negative
C | RecoveryResolution -> NeutralProcessing Age 1 | 13 | Positive
D | DecayToNeutral -> NeutralProcessing Age 4 | 23 | Positive
E | Baseline CompressionProcessing Age 3 | 30 | Positive
F | Baseline NeutralProcessing Age 1 | 297 | Positive
G | Baseline NeutralProcessing Age 4 | 82 | Negative

2. Outcome validation
Candidate | Count | MeanDRFwd5 | MedianDRFwd5 | ContinuationRate5 | FailureRate5 | FlatRate5 | OutcomeSkew | StdDevDRFwd5 | MaxFavorableDRFwd5 | MaxAdverseDRFwd5
A | 9 | -37.1389 | -4.2500 | 44.44% | 55.56% | 0.00% | -11.11% | 69.1921 | 33.0000 | -165.7500
B | 11 | -30.2273 | -9.7500 | 27.27% | 63.64% | 9.09% | -36.36% | 47.9503 | 33.5000 | -126.2500
C | 13 | 20.0577 | 23.2500 | 76.92% | 23.08% | 0.00% | 53.85% | 87.3597 | 210.2500 | -167.2500
D | 23 | -1.2935 | 2.2500 | 52.17% | 47.83% | 0.00% | 4.35% | 112.4979 | 129.0000 | -470.5000
E | 30 | -11.9833 | 3.8750 | 53.33% | 43.33% | 3.33% | 10.00% | 60.9333 | 110.5000 | -165.7500
F | 297 | 0.0135 | 3.5000 | 53.20% | 46.46% | 0.34% | 6.73% | 70.2260 | 271.2500 | -493.0000
G | 82 | -6.0488 | -1.0000 | 48.78% | 51.22% | 0.00% | -2.44% | 73.7385 | 133.2500 | -470.5000

3. Transition validation
Candidate | Horizon | NextState | Count | Probability | Lift | Entropy | NormalizedEntropy | DominantDestination | DominantProbability
A | t+1 | CompressionProcessing | 5 | 55.56% | 5.2276 | 1.1491 | 0.8289 | CompressionProcessing | 55.56%
A | t+1 | DecayToNeutral | 2 | 22.22% | 4.9845 | 1.1491 | 0.8289 | CompressionProcessing | 55.56%
A | t+1 | NeutralProcessing | 1 | 11.11% | 0.2196 | 1.1491 | 0.8289 | CompressionProcessing | 55.56%
A | t+1 | RecoveryResolution | 1 | 11.11% | 3.1520 | 1.1491 | 0.8289 | CompressionProcessing | 55.56%
A | t+2 | CompressionProcessing | 5 | 55.56% | 5.2249 | 0.9369 | 0.8528 | CompressionProcessing | 55.56%
A | t+2 | NeutralProcessing | 3 | 33.33% | 0.6585 | 0.9369 | 0.8528 | CompressionProcessing | 55.56%
A | t+2 | RecoveryResolution | 1 | 11.11% | 3.1503 | 0.9369 | 0.8528 | CompressionProcessing | 55.56%
A | t+3 | NeutralProcessing | 4 | 44.44% | 0.8775 | 1.2730 | 0.9183 | NeutralProcessing | 44.44%
A | t+3 | MixedStructure | 2 | 22.22% | 2.0104 | 1.2730 | 0.9183 | NeutralProcessing | 44.44%
A | t+3 | CompressionProcessing | 2 | 22.22% | 2.0889 | 1.2730 | 0.9183 | NeutralProcessing | 44.44%
A | t+3 | ReassertionProcessing | 1 | 11.11% | 1.1962 | 1.2730 | 0.9183 | NeutralProcessing | 44.44%
A | t+5 | NeutralProcessing | 3 | 33.33% | 0.6581 | 1.4648 | 0.9101 | NeutralProcessing | 33.33%
A | t+5 | CompressionProcessing | 3 | 33.33% | 3.1301 | 1.4648 | 0.9101 | NeutralProcessing | 33.33%
A | t+5 | ExhaustionPersistence | 1 | 11.11% | 1.9990 | 1.4648 | 0.9101 | NeutralProcessing | 33.33%
A | t+5 | DestructiveRotation | 1 | 11.11% | 2.7075 | 1.4648 | 0.9101 | NeutralProcessing | 33.33%
A | t+5 | RecoveryResolution | 1 | 11.11% | 3.1454 | 1.4648 | 0.9101 | NeutralProcessing | 33.33%
B | t+1 | CompressionProcessing | 9 | 81.82% | 7.6989 | 0.6002 | 0.5463 | CompressionProcessing | 81.82%
B | t+1 | DecayToNeutral | 1 | 9.09% | 2.0391 | 0.6002 | 0.5463 | CompressionProcessing | 81.82%
B | t+1 | NeutralProcessing | 1 | 9.09% | 0.1797 | 0.6002 | 0.5463 | CompressionProcessing | 81.82%
B | t+2 | NeutralProcessing | 3 | 27.27% | 0.5387 | 1.7202 | 0.9601 | NeutralProcessing | 27.27%
B | t+2 | CompressionProcessing | 2 | 18.18% | 1.7100 | 1.7202 | 0.9601 | NeutralProcessing | 27.27%
B | t+2 | MixedStructure | 2 | 18.18% | 1.6381 | 1.7202 | 0.9601 | NeutralProcessing | 27.27%
B | t+2 | DestructiveRotation | 2 | 18.18% | 4.4373 | 1.7202 | 0.9601 | NeutralProcessing | 27.27%
B | t+2 | ExhaustionPersistence | 1 | 9.09% | 1.6381 | 1.7202 | 0.9601 | NeutralProcessing | 27.27%
B | t+2 | DecayToNeutral | 1 | 9.09% | 2.0381 | 1.7202 | 0.9601 | NeutralProcessing | 27.27%
B | t+3 | NeutralProcessing | 4 | 36.36% | 0.7180 | 1.4681 | 0.9122 | NeutralProcessing | 36.36%
B | t+3 | DecayToNeutral | 3 | 27.27% | 6.1110 | 1.4681 | 0.9122 | NeutralProcessing | 36.36%
B | t+3 | MixedStructure | 2 | 18.18% | 1.6449 | 1.4681 | 0.9122 | NeutralProcessing | 36.36%
B | t+3 | CompressionProcessing | 1 | 9.09% | 0.8545 | 1.4681 | 0.9122 | NeutralProcessing | 36.36%
B | t+3 | ConstructiveEmergence | 1 | 9.09% | 12.5130 | 1.4681 | 0.9122 | NeutralProcessing | 36.36%
B | t+5 | NeutralProcessing | 5 | 45.45% | 0.8974 | 1.3667 | 0.8492 | NeutralProcessing | 45.45%
B | t+5 | MixedStructure | 3 | 27.27% | 2.4764 | 1.3667 | 0.8492 | NeutralProcessing | 45.45%
B | t+5 | DestructiveRotation | 1 | 9.09% | 2.2152 | 1.3667 | 0.8492 | NeutralProcessing | 45.45%
B | t+5 | ConstructiveEmergence | 1 | 9.09% | 12.5000 | 1.3667 | 0.8492 | NeutralProcessing | 45.45%
B | t+5 | DecayToNeutral | 1 | 9.09% | 2.0349 | 1.3667 | 0.8492 | NeutralProcessing | 45.45%
C | t+1 | CompressionProcessing | 7 | 53.85% | 5.0668 | 0.6902 | 0.9957 | CompressionProcessing | 53.85%
C | t+1 | NeutralProcessing | 6 | 46.15% | 0.9122 | 0.6902 | 0.9957 | CompressionProcessing | 53.85%
C | t+2 | NeutralProcessing | 7 | 53.85% | 1.0637 | 0.8981 | 0.8175 | NeutralProcessing | 53.85%
C | t+2 | CompressionProcessing | 5 | 38.46% | 3.6173 | 0.8981 | 0.8175 | NeutralProcessing | 53.85%
C | t+2 | ExhaustionPersistence | 1 | 7.69% | 1.3861 | 0.8981 | 0.8175 | NeutralProcessing | 53.85%
C | t+3 | CompressionProcessing | 5 | 38.46% | 3.6154 | 1.2203 | 0.8802 | CompressionProcessing | 38.46%
