APVA Destination Robustness Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Destination event count: 57

1. Baseline Signature Table
DestinationFamily | Signal | Horizon | EffectSize | ReplicationCount | Direction | Rank
CompressionProcessing | VolumeRelativeToPrevious | t-5 | 1.4496 | 1 | Positive | 1
CompressionProcessing | PolarityFlipFlag | t-3 | 1.2594 | 1 | Positive | 2
CompressionProcessing | VolumeRelativeToRollingMean | t-2 | 0.9824 | 1 | Positive | 3
CompressionProcessing | VolumeRelativeToPrevious | t-1 | -0.9235 | 1 | Negative | 4
CompressionProcessing | TrueRangeRelativeToPrevious | t-1 | -0.9114 | 1 | Negative | 5
CompressionProcessing | RangeRelativeToPrevious | t-1 | -0.9099 | 1 | Negative | 6
CompressionProcessing | BodyRelativeToPrevious | t-2 | 0.8777 | 1 | Positive | 7
CompressionProcessing | VolumeRelativeToSessionMean | t-2 | 0.8209 | 1 | Positive | 8
CompressionProcessing | VolumeRelativeToRollingMean | t-3 | 0.7607 | 1 | Positive | 9
CompressionProcessing | VolumeRelativeToSessionMean | t-3 | 0.7513 | 1 | Positive | 10
CompressionProcessing | VolumeRelativeToPrevious | t-3 | -0.7484 | 1 | Negative | 11
CompressionProcessing | VolumeRelativeToRollingMean | t-5 | 0.7433 | 1 | Positive | 12
CompressionProcessing | BodyRelativeToPrevious | t-3 | -0.6467 | 1 | Negative | 13
CompressionProcessing | VolumeRelativeToPrevious | t-2 | 0.6115 | 1 | Positive | 14
CompressionProcessing | CloseLocation | t-2 | -0.6034 | 1 | Negative | 15
CompressionProcessing | BodyRelativeToPrevious | t-1 | -0.5853 | 1 | Negative | 16
CompressionProcessing | CloseLocation | t-1 | 0.5779 | 1 | Positive | 17
CompressionProcessing | RangeRelativeToPrevious | t-2 | 0.4958 | 1 | Positive | 18
CompressionProcessing | TrueRangeRelativeToPrevious | t-2 | 0.4955 | 1 | Positive | 19
CompressionProcessing | VolumeRelativeToRollingMean | t-1 | 0.4747 | 1 | Positive | 20
CompressionProcessing | VolumeRelativeToSessionMean | t-5 | 0.4487 | 1 | Positive | 21
CompressionProcessing | EfficiencyRatio | t-1 | -0.4338 | 1 | Negative | 22
CompressionProcessing | BodyRelativeToPrevious | t-5 | -0.4325 | 1 | Negative | 23
CompressionProcessing | MemoryStrength | t-2 | -0.3736 | 1 | Negative | 24
CompressionProcessing | BranchEntropy | t-2 | 0.3736 | 1 | Positive | 25
CompressionProcessing | TrueRangeRelativeToPrevious | t-3 | -0.3334 | 1 | Negative | 26
CompressionProcessing | PolarityFlipFlag | t-1 | 0.3197 | 1 | Positive | 27
CompressionProcessing | RangeRelativeToPrevious | t-3 | -0.3189 | 1 | Negative | 28
CompressionProcessing | VolumeRelativeToSessionMean | t-1 | 0.3087 | 1 | Positive | 29
CompressionProcessing | EfficiencyRatio | t-2 | 0.2530 | 1 | Positive | 30
CompressionProcessing | MemoryStrength | t-3 | -0.2108 | 0 | Negative | 31
CompressionProcessing | PolarityFlipFlag | t-2 | 0.2020 | 0 | Positive | 32
CompressionProcessing | EfficiencyRatio | t-5 | -0.1942 | 0 | Negative | 33
CompressionProcessing | BranchEntropy | t-3 | 0.1699 | 0 | Positive | 34
CompressionProcessing | CloseLocation | t-3 | 0.1448 | 0 | Positive | 35
CompressionProcessing | BranchEntropy | t-5 | 0.1308 | 0 | Positive | 36
CompressionProcessing | MemoryStrength | t-5 | -0.0711 | 0 | Negative | 37
CompressionProcessing | EfficiencyRatio | t-3 | 0.0663 | 0 | Positive | 38
CompressionProcessing | RangeRelativeToPrevious | t-5 | -0.0620 | 0 | Negative | 39
CompressionProcessing | TrueRangeRelativeToPrevious | t-5 | -0.0620 | 0 | Negative | 40
CompressionProcessing | PolarityFlipFlag | t-5 | 0.0469 | 0 | Positive | 41
CompressionProcessing | CloseLocation | t-5 | 0.0063 | 0 | Positive | 42
CompressionProcessing | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 43
CompressionProcessing | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 44
ConstructiveEmergence | EfficiencyRatio | t-1 | 2.2209 | 1 | Positive | 1
