APVA Excursion Destinations Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
Destination event count: 57

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
CompressionProcessing | 5 | 0 | 0 | 5 | 8.77% | 1
MixedStructure | 17 | 0 | 0 | 17 | 29.82% | 1
ReassertionProcessing | 25 | 0 | 0 | 25 | 43.86% | 1
RecoveryResolution | 2 | 0 | 0 | 2 | 3.51% | 1
ExhaustionPersistence | 6 | 0 | 0 | 6 | 10.53% | 1
ConstructiveEmergence | 2 | 0 | 0 | 2 | 3.51% | 1
DestructiveRotation | 0 | 0 | 0 | 0 | 0.00% | 0
DecayToNeutral | 0 | 0 | 0 | 0 | 0.00% | 0

2. Destination Profile Table
DestinationFamily | Signal | Horizon | Mean | Median | StdDev
CompressionProcessing | RangeRelativeToPrevious | t-1 | 0.6243 | 0.5854 | 0.2077
CompressionProcessing | RangeRelativeToPrevious | t-2 | 2.1464 | 1.5514 | 2.1408
CompressionProcessing | RangeRelativeToPrevious | t-3 | 0.9227 | 0.9458 | 0.1089
CompressionProcessing | RangeRelativeToPrevious | t-5 | 0.9981 | 0.9206 | 0.1480
CompressionProcessing | BodyRelativeToPrevious | t-1 | 0.4260 | 0.4286 | 0.1748
CompressionProcessing | BodyRelativeToPrevious | t-2 | 16.9160 | 8.0000 | 18.2981
CompressionProcessing | BodyRelativeToPrevious | t-3 | 0.3766 | 0.1692 | 0.4569
CompressionProcessing | BodyRelativeToPrevious | t-5 | 0.9429 | 1.0476 | 0.5182
CompressionProcessing | TrueRangeRelativeToPrevious | t-1 | 0.6243 | 0.5854 | 0.2077
CompressionProcessing | TrueRangeRelativeToPrevious | t-2 | 2.1464 | 1.5514 | 2.1408
CompressionProcessing | TrueRangeRelativeToPrevious | t-3 | 0.9160 | 0.9458 | 0.1192
CompressionProcessing | TrueRangeRelativeToPrevious | t-5 | 0.9981 | 0.9206 | 0.1480
CompressionProcessing | VolumeRelativeToPrevious | t-1 | 0.7433 | 0.6369 | 0.2128
CompressionProcessing | VolumeRelativeToPrevious | t-2 | 1.7239 | 1.7046 | 1.2372
CompressionProcessing | VolumeRelativeToPrevious | t-3 | 0.8182 | 0.8276 | 0.2250
CompressionProcessing | VolumeRelativeToPrevious | t-5 | 1.2833 | 1.2460 | 0.2696
CompressionProcessing | VolumeRelativeToRollingMean | t-1 | 1.1440 | 0.6428 | 1.0964
CompressionProcessing | VolumeRelativeToRollingMean | t-2 | 1.3970 | 1.1231 | 1.0153
CompressionProcessing | VolumeRelativeToRollingMean | t-3 | 0.8350 | 0.7047 | 0.3561
CompressionProcessing | VolumeRelativeToRollingMean | t-5 | 0.8389 | 0.7636 | 0.4928
CompressionProcessing | VolumeRelativeToSessionMean | t-1 | 0.7752 | 0.4829 | 0.7295
CompressionProcessing | VolumeRelativeToSessionMean | t-2 | 0.9252 | 0.7529 | 0.6206
CompressionProcessing | VolumeRelativeToSessionMean | t-3 | 0.7002 | 0.5728 | 0.3368
CompressionProcessing | VolumeRelativeToSessionMean | t-5 | 0.5884 | 0.4989 | 0.3471
CompressionProcessing | EfficiencyRatio | t-1 | 0.3562 | 0.3604 | 0.2017
CompressionProcessing | EfficiencyRatio | t-2 | 0.4885 | 0.5594 | 0.2602
CompressionProcessing | EfficiencyRatio | t-3 | 0.3504 | 0.1154 | 0.3714
CompressionProcessing | EfficiencyRatio | t-5 | 0.3408 | 0.2857 | 0.2128
CompressionProcessing | CloseLocation | t-1 | 0.6180 | 0.6847 | 0.2695
CompressionProcessing | CloseLocation | t-2 | 0.3631 | 0.3659 | 0.1462
CompressionProcessing | CloseLocation | t-3 | 0.5863 | 0.5610 | 0.2733
CompressionProcessing | CloseLocation | t-5 | 0.5174 | 0.5524 | 0.2133
CompressionProcessing | MemoryStrength | t-1 | 0.1972 | 0.1972 | 0.0000
CompressionProcessing | MemoryStrength | t-2 | 0.2183 | 0.1972 | 0.0423
CompressionProcessing | MemoryStrength | t-3 | 0.2745 | 0.3030 | 0.0680
CompressionProcessing | MemoryStrength | t-5 | 0.3186 | 0.3638 | 0.0667
CompressionProcessing | BranchEntropy | t-1 | 1.2412 | 1.2412 | 0.0000
CompressionProcessing | BranchEntropy | t-2 | 1.0919 | 1.2412 | 0.2986
CompressionProcessing | BranchEntropy | t-3 | 0.7334 | 0.4947 | 0.4288
CompressionProcessing | BranchEntropy | t-5 | 0.8250 | 0.8115 | 0.3545
CompressionProcessing | PolarityFlipFlag | t-1 | 0.6000 | 1.0000 | 0.4899
CompressionProcessing | PolarityFlipFlag | t-2 | 0.6000 | 1.0000 | 0.4899
CompressionProcessing | PolarityFlipFlag | t-3 | 1.0000 | 1.0000 | 0.0000
CompressionProcessing | PolarityFlipFlag | t-5 | 0.6000 | 1.0000 | 0.4899
MixedStructure | RangeRelativeToPrevious | t-1 | 0.9225 | 0.8086 | 0.3898
MixedStructure | RangeRelativeToPrevious | t-2 | 1.3945 | 1.0860 | 0.7406
MixedStructure | RangeRelativeToPrevious | t-3 | 1.1893 | 1.0899 | 0.4916
MixedStructure | RangeRelativeToPrevious | t-5 | 1.0899 | 1.0215 | 0.3922
MixedStructure | BodyRelativeToPrevious | t-1 | 1.7397 | 0.8824 | 2.9183
MixedStructure | BodyRelativeToPrevious | t-2 | 6.9415 | 1.8857 | 16.1516
MixedStructure | BodyRelativeToPrevious | t-3 | 6.6410 | 0.6897 | 11.0634
MixedStructure | BodyRelativeToPrevious | t-5 | 6.2451 | 0.8409 | 16.0295
MixedStructure | TrueRangeRelativeToPrevious | t-1 | 0.9252 | 0.8086 | 0.3914
MixedStructure | TrueRangeRelativeToPrevious | t-2 | 1.3945 | 1.0860 | 0.7406
MixedStructure | TrueRangeRelativeToPrevious | t-3 | 1.1860 | 1.0899 | 0.4940
MixedStructure | TrueRangeRelativeToPrevious | t-5 | 1.0899 | 1.0215 | 0.3922
MixedStructure | VolumeRelativeToPrevious | t-1 | 1.0784 | 1.1048 | 0.3456
MixedStructure | VolumeRelativeToPrevious | t-2 | 1.2072 | 1.0463 | 0.6347
MixedStructure | VolumeRelativeToPrevious | t-3 | 1.1938 | 1.1588 | 0.4190
MixedStructure | VolumeRelativeToPrevious | t-5 | 0.9893 | 0.9358 | 0.3219
MixedStructure | VolumeRelativeToRollingMean | t-1 | 0.8587 | 0.8251 | 0.5697
MixedStructure | VolumeRelativeToRollingMean | t-2 | 0.8352 | 0.6705 | 0.5505
