APVA Interpretation Arbitration Study v0.1
Research only. No optimization, fitting, machine learning, trading rules, or future leakage.

Diagnostics
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
State counts: RecoveryResolution=68, ExhaustionPersistence=107, CompressionProcessing=205, NeutralProcessing=976, ReassertionProcessing=179, DecayToNeutral=86, DestructiveRotation=79, ConstructiveEmergence=14, MixedStructure=216
Age counts: 1=976, 2=327, 3=175, 4=114, 5=94, 6-10=207, 11-20=37, 21+=0
Validated context counts: B=11, C=13, D=23
Candidate interpretation counts: ValidatedContext=47, PreviousDistinctContext=1926, CurrentStateAge=1930

1. Reliability tables
InterpretationType | InterpretationKey | Count | PersistenceRate_t1 | ExitRate_t1 | Entropy_t1 | NormalizedEntropy_t1 | DominantDestination | DominantProbability_t1 | ReliabilityScore
CurrentStateAge | CompressionProcessing+Age1 | 89 | 57.30% | 42.70% | 1.1310 | 0.5812 | CompressionProcessing | 57.30% | 0.5648
CurrentStateAge | CompressionProcessing+Age2 | 51 | 58.82% | 41.18% | 1.1075 | 0.5691 | CompressionProcessing | 58.82% | 0.6074
CurrentStateAge | CompressionProcessing+Age3 | 30 | 60.00% | 40.00% | 1.1965 | 0.7434 | CompressionProcessing | 60.00% | 0.4566
CurrentStateAge | CompressionProcessing+Age4 | 18 | 44.44% | 55.56% | 1.6581 | 0.8521 | CompressionProcessing | 44.44% | 0.0368
CurrentStateAge | CompressionProcessing+Age5 | 8 | 37.50% | 62.50% | 1.2555 | 0.9056 | CompressionProcessing | 37.50% | 0.0000
CurrentStateAge | CompressionProcessing+Age6-10 | 9 | 66.67% | 33.33% | 0.8487 | 0.7725 | CompressionProcessing | 66.67% | 0.0000
CurrentStateAge | ConstructiveEmergence+Age1 | 14 | 0.00% | 100.00% | 0.8305 | 0.7559 | MixedStructure | 64.29% | -0.1131
CurrentStateAge | DecayToNeutral+Age1 | 86 | 0.00% | 100.00% | 0.9062 | 0.5631 | NeutralProcessing | 66.28% | 0.0997
CurrentStateAge | DestructiveRotation+Age1 | 63 | 17.46% | 82.54% | 1.7980 | 0.8646 | DecayToNeutral | 26.98% | -0.4202
CurrentStateAge | DestructiveRotation+Age2 | 11 | 45.45% | 54.55% | 1.4143 | 0.8787 | DestructiveRotation | 45.45% | 0.0303
CurrentStateAge | DestructiveRotation+Age3 | 5 | 0.00% | 100.00% | 0.5004 | 0.7219 | DecayToNeutral | 80.00% | 0.0000
CurrentStateAge | ExhaustionPersistence+Age1 | 51 | 37.25% | 62.75% | 1.6073 | 0.8971 | ExhaustionPersistence | 37.25% | -0.1520
CurrentStateAge | ExhaustionPersistence+Age2 | 19 | 73.68% | 26.32% | 0.5763 | 0.8315 | ExhaustionPersistence | 73.68% | 0.6422
CurrentStateAge | ExhaustionPersistence+Age3 | 14 | 78.57% | 21.43% | 0.5196 | 0.7496 | ExhaustionPersistence | 78.57% | 0.8218
CurrentStateAge | ExhaustionPersistence+Age4 | 11 | 54.55% | 45.45% | 1.2945 | 0.8043 | ExhaustionPersistence | 54.55% | 0.2866
CurrentStateAge | ExhaustionPersistence+Age5 | 6 | 66.67% | 33.33% | 0.8676 | 0.7897 | ExhaustionPersistence | 66.67% | 0.0000
CurrentStateAge | ExhaustionPersistence+Age6-10 | 6 | 33.33% | 66.67% | 1.3297 | 0.9591 | ExhaustionPersistence | 33.33% | 0.0000
CurrentStateAge | MixedStructure+Age1 | 183 | 14.75% | 85.25% | 1.7607 | 0.8013 | NeutralProcessing | 35.52% | -0.2986
CurrentStateAge | MixedStructure+Age2 | 27 | 14.81% | 85.19% | 1.5968 | 0.8912 | NeutralProcessing | 33.33% | -0.4097
CurrentStateAge | MixedStructure+Age3 | 4 | 50.00% | 50.00% | 1.0397 | 0.9464 | MixedStructure | 50.00% | 0.0000
CurrentStateAge | MixedStructure+Age4 | 2 | 0.00% | 100.00% | 0.6931 | 1.0000 | NeutralProcessing | 50.00% | 0.0000
CurrentStateAge | NeutralProcessing+Age1 | 297 | 58.92% | 41.08% | 1.2465 | 0.6957 | NeutralProcessing | 58.92% | 0.4828
CurrentStateAge | NeutralProcessing+Age11-20 | 37 | 67.57% | 32.43% | 1.0988 | 0.6132 | NeutralProcessing | 67.57% | 0.7381
