APVA Loop Closure Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Loop candidates: 114

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
NQ | 113 | 1 | 0 | 99.12% | 11.1504 | 10.0000 | 30
Aggregate | 113 | 1 | 0 | 99.12% | 11.1504 | 10.0000 | 30

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
FormationPhase | 1.0000 | 1.0000 | 1 | 8.23%
LifecyclePhase | 1.6549 | 2.0000 | 3 | 13.62%
LateNeutralPhase | 2.1770 | 1.0000 | 12 | 17.92%
FailurePhase | 1.0000 | 1.0000 | 1 | 8.23%
DestinationPhase | 1.0000 | 1.0000 | 1 | 8.23%
ExcursionPhase | 3.7522 | 2.0000 | 19 | 30.88%
ReturnPhase | 0.5664 | 1.0000 | 1 | 4.66%
NextFormationPhase | 1.0000 | 1.0000 | 1 | 8.23%

3. Canonical Loop Path Table
CanonicalPath | Count | Probability | ReplicationCount | MeanDuration
NeutralStart -> Age2 -> ReassertionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 18 | 15.93% | 1 | 6.5556
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> MixedStructure -> NeutralStart | 11 | 9.73% | 1 | 4.6364
NeutralStart -> Age3 -> ReassertionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 8 | 7.08% | 1 | 7.1250
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 4 | 3.54% | 1 | 10.0000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 3 | 2.65% | 1 | 10.3333
NeutralStart -> Age6-10 -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 3 | 2.65% | 1 | 17.6667
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> ReassertionProcessing -> DestructiveRotation -> DestructiveRotation -> NeutralStart | 2 | 1.77% | 1 | 14.0000
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 2 | 1.77% | 1 | 9.0000
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> MixedStructure -> NeutralStart | 2 | 1.77% | 1 | 8.5000
NeutralStart -> Age3 -> MixedStructure -> MixedStructure -> MixedStructure -> NeutralStart | 2 | 1.77% | 1 | 16.0000
NeutralStart -> Age3 -> CompressionProcessing -> CompressionProcessing -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 2 | 1.77% | 1 | 5.0000
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> DecayToNeutral -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 2 | 1.77% | 1 | 13.5000
NeutralStart -> Age2 -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 2 | 1.77% | 1 | 9.5000
NeutralStart -> Age11-20 -> MixedStructure -> MixedStructure -> MixedStructure -> NeutralStart | 2 | 1.77% | 1 | 13.5000
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 2 | 1.77% | 1 | 16.0000
NeutralStart -> Age5 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> ConstructiveEmergence -> MixedStructure -> MixedStructure -> NeutralStart | 1 | 0.88% | 1 | 12.0000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.88% | 1 | 30.0000
NeutralStart -> Age4 -> ReassertionProcessing -> ReassertionProcessing -> ReassertionProcessing -> NeutralStart | 1 | 0.88% | 1 | 8.0000
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 1 | 0.88% | 1 | 8.0000
NeutralStart -> Age6-10 -> ExhaustionPersistence -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 1 | 0.88% | 1 | 7.0000
NeutralStart -> Age5 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 1 | 0.88% | 1 | 8.0000
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> DestructiveRotation -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 1 | 0.88% | 1 | 7.0000
NeutralStart -> Age3 -> CompressionProcessing -> CompressionProcessing -> ExhaustionPersistence -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 1 | 0.88% | 1 | 13.0000
NeutralStart -> Age6-10 -> RecoveryResolution -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 1 | 0.88% | 1 | 9.0000
NeutralStart -> Age2 -> ConstructiveEmergence -> ConstructiveEmergence -> ConstructiveEmergence -> NeutralStart | 1 | 0.88% | 1 | 18.0000
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> DecayToNeutral -> MixedStructure -> ReassertionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 1 | 0.88% | 1 | 13.0000
NeutralStart -> Age6-10 -> ConstructiveEmergence -> ConstructiveEmergence -> ConstructiveEmergence -> NeutralStart | 1 | 0.88% | 1 | 8.0000
NeutralStart -> Age11-20 -> MixedStructure -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 1 | 0.88% | 1 | 13.0000
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> MixedStructure -> DecayToNeutral -> MixedStructure -> ExhaustionPersistence -> DecayToNeutral -> DestructiveRotation -> ExhaustionPersistence -> DecayToNeutral -> DestructiveRotation -> DecayToNeutral -> MixedStructure -> MixedStructure -> NeutralStart | 1 | 0.88% | 1 | 24.0000
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> DestructiveRotation -> ExhaustionPersistence -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 1 | 0.88% | 1 | 8.0000
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> DestructiveRotation -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 1 | 0.88% | 1 | 25.0000
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 1 | 0.88% | 1 | 18.0000
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> ReassertionProcessing -> DestructiveRotation -> ReassertionProcessing -> DestructiveRotation -> ReassertionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 1 | 0.88% | 1 | 17.0000
NeutralStart -> Age2 -> DestructiveRotation -> DestructiveRotation -> DestructiveRotation -> NeutralStart | 1 | 0.88% | 1 | 6.0000
NeutralStart -> Age3 -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.88% | 1 | 7.0000
NeutralStart -> Age11-20 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 1 | 0.88% | 1 | 18.0000
NeutralStart -> Age3 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.88% | 1 | 12.0000
