APVA Minimal Engine Study v0.1
================================================================================
Diagnostics
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
State counts: RecoveryResolution=68, ExhaustionPersistence=107, CompressionProcessing=205, NeutralProcessing=976, ReassertionProcessing=179, DecayToNeutral=86, DestructiveRotation=79, ConstructiveEmergence=14, MixedStructure=216
State-age key count: 34

1. Transition Hazard Table
State | AgeBucket | Horizon | Count | NextStateDistribution | PersistenceRate | ExitRate | Entropy | NormalizedEntropy | DominantDestination | DominantProbability
CompressionProcessing | 1 | t+1 | 89 | CompressionProcessing:57.30%, NeutralProcessing:29.21%, RecoveryResolution:5.62%, ExhaustionPersistence:4.49%, DecayToNeutral:1.12%, DestructiveRotation:1.12%, MixedStructure:1.12% | 57.30% | 42.70% | 1.1310 | 0.5812 | CompressionProcessing | 57.30%
CompressionProcessing | 1 | t+2 | 89 | CompressionProcessing:44.94%, NeutralProcessing:39.33%, ReassertionProcessing:5.62%, DecayToNeutral:2.25%, ExhaustionPersistence:2.25%, MixedStructure:2.25%, RecoveryResolution:2.25%, DestructiveRotation:1.12% | 44.94% | 55.06% | 1.2798 | 0.6155 | CompressionProcessing | 44.94%
CompressionProcessing | 1 | t+3 | 89 | CompressionProcessing:37.08%, NeutralProcessing:32.58%, MixedStructure:11.24%, DecayToNeutral:5.62%, RecoveryResolution:5.62%, ExhaustionPersistence:3.37%, DestructiveRotation:2.25%, ConstructiveEmergence:1.12%, ReassertionProcessing:1.12% | 37.08% | 62.92% | 1.6028 | 0.7295 | CompressionProcessing | 37.08%
CompressionProcessing | 1 | t+5 | 89 | NeutralProcessing:50.56%, CompressionProcessing:14.61%, MixedStructure:11.24%, DecayToNeutral:6.74%, ReassertionProcessing:6.74%, ExhaustionPersistence:3.37%, RecoveryResolution:3.37%, DestructiveRotation:2.25%, ConstructiveEmergence:1.12% | 14.61% | 85.39% | 1.5993 | 0.7279 | NeutralProcessing | 50.56%
CompressionProcessing | 2 | t+1 | 51 | CompressionProcessing:58.82%, NeutralProcessing:29.41%, ExhaustionPersistence:3.92%, DecayToNeutral:1.96%, MixedStructure:1.96%, ReassertionProcessing:1.96%, RecoveryResolution:1.96% | 58.82% | 41.18% | 1.1075 | 0.5691 | CompressionProcessing | 58.82%
CompressionProcessing | 2 | t+2 | 51 | CompressionProcessing:45.10%, NeutralProcessing:21.57%, MixedStructure:11.76%, DecayToNeutral:9.80%, RecoveryResolution:5.88%, ExhaustionPersistence:3.92%, DestructiveRotation:1.96% | 45.10% | 54.90% | 1.5402 | 0.7915 | CompressionProcessing | 45.10%
CompressionProcessing | 2 | t+3 | 51 | NeutralProcessing:33.33%, CompressionProcessing:31.37%, DecayToNeutral:9.80%, MixedStructure:9.80%, RecoveryResolution:7.84%, DestructiveRotation:3.92%, ExhaustionPersistence:3.92% | 31.37% | 68.63% | 1.6389 | 0.8422 | NeutralProcessing | 33.33%
CompressionProcessing | 2 | t+5 | 51 | NeutralProcessing:47.06%, CompressionProcessing:19.61%, MixedStructure:13.73%, DecayToNeutral:7.84%, DestructiveRotation:3.92%, RecoveryResolution:3.92%, ExhaustionPersistence:1.96%, ReassertionProcessing:1.96% | 19.61% | 80.39% | 1.5546 | 0.7476 | NeutralProcessing | 47.06%
CompressionProcessing | 3 | t+1 | 30 | CompressionProcessing:60.00%, NeutralProcessing:16.67%, DecayToNeutral:10.00%, ExhaustionPersistence:6.67%, RecoveryResolution:6.67% | 60.00% | 40.00% | 1.1965 | 0.7434 | CompressionProcessing | 60.00%
CompressionProcessing | 3 | t+2 | 30 | CompressionProcessing:40.00%, NeutralProcessing:30.00%, DecayToNeutral:6.67%, DestructiveRotation:6.67%, ExhaustionPersistence:6.67%, MixedStructure:6.67%, RecoveryResolution:3.33% | 40.00% | 60.00% | 1.5632 | 0.8033 | CompressionProcessing | 40.00%
CompressionProcessing | 3 | t+3 | 30 | NeutralProcessing:40.00%, CompressionProcessing:16.67%, MixedStructure:16.67%, DecayToNeutral:13.33%, ReassertionProcessing:6.67%, ConstructiveEmergence:3.33%, ExhaustionPersistence:3.33% | 16.67% | 83.33% | 1.6397 | 0.8426 | NeutralProcessing | 40.00%
CompressionProcessing | 3 | t+5 | 30 | NeutralProcessing:46.67%, CompressionProcessing:13.33%, ExhaustionPersistence:10.00%, MixedStructure:10.00%, DestructiveRotation:6.67%, ConstructiveEmergence:3.33%, DecayToNeutral:3.33%, ReassertionProcessing:3.33%, RecoveryResolution:3.33% | 13.33% | 86.67% | 1.7189 | 0.7823 | NeutralProcessing | 46.67%
CompressionProcessing | 4 | t+1 | 18 | CompressionProcessing:44.44%, DecayToNeutral:11.11%, DestructiveRotation:11.11%, MixedStructure:11.11%, NeutralProcessing:11.11%, ExhaustionPersistence:5.56%, RecoveryResolution:5.56% | 44.44% | 55.56% | 1.6581 | 0.8521 | CompressionProcessing | 44.44%
CompressionProcessing | 4 | t+2 | 18 | NeutralProcessing:33.33%, CompressionProcessing:22.22%, DecayToNeutral:16.67%, MixedStructure:16.67%, ConstructiveEmergence:5.56%, ReassertionProcessing:5.56% | 22.22% | 77.78% | 1.6188 | 0.9035 | NeutralProcessing | 33.33%
CompressionProcessing | 4 | t+3 | 18 | NeutralProcessing:44.44%, CompressionProcessing:22.22%, MixedStructure:16.67%, DecayToNeutral:5.56%, DestructiveRotation:5.56%, RecoveryResolution:5.56% | 22.22% | 77.78% | 1.4750 | 0.8232 | NeutralProcessing | 44.44%
CompressionProcessing | 4 | t+5 | 18 | NeutralProcessing:50.00%, CompressionProcessing:22.22%, MixedStructure:16.67%, DestructiveRotation:5.56%, ReassertionProcessing:5.56% | 22.22% | 77.78% | 1.3006 | 0.8081 | NeutralProcessing | 50.00%
CompressionProcessing | 5 | t+1 | 8 | CompressionProcessing:37.50%, NeutralProcessing:37.50%, MixedStructure:12.50%, ReassertionProcessing:12.50% | 37.50% | 62.50% | 1.2555 | 0.9056 | CompressionProcessing | 37.50%
CompressionProcessing | 5 | t+2 | 8 | CompressionProcessing:37.50%, NeutralProcessing:37.50%, DestructiveRotation:12.50%, RecoveryResolution:12.50% | 37.50% | 62.50% | 1.2555 | 0.9056 | CompressionProcessing | 37.50%
CompressionProcessing | 5 | t+3 | 8 | NeutralProcessing:50.00%, CompressionProcessing:25.00%, DestructiveRotation:12.50%, RecoveryResolution:12.50% | 25.00% | 75.00% | 1.2130 | 0.8750 | NeutralProcessing | 50.00%
CompressionProcessing | 5 | t+5 | 8 | NeutralProcessing:62.50%, CompressionProcessing:25.00%, DecayToNeutral:12.50% | 25.00% | 75.00% | 0.9003 | 0.8194 | NeutralProcessing | 62.50%
CompressionProcessing | 6-10 | t+1 | 9 | CompressionProcessing:66.67%, NeutralProcessing:22.22%, RecoveryResolution:11.11% | 66.67% | 33.33% | 0.8487 | 0.7725 | CompressionProcessing | 66.67%
CompressionProcessing | 6-10 | t+2 | 9 | CompressionProcessing:44.44%, NeutralProcessing:33.33%, ReassertionProcessing:11.11%, RecoveryResolution:11.11% | 44.44% | 55.56% | 1.2149 | 0.8764 | CompressionProcessing | 44.44%
CompressionProcessing | 6-10 | t+3 | 9 | NeutralProcessing:55.56%, CompressionProcessing:33.33%, ReassertionProcessing:11.11% | 33.33% | 66.67% | 0.9369 | 0.8528 | NeutralProcessing | 55.56%
CompressionProcessing | 6-10 | t+5 | 9 | NeutralProcessing:100.00% | 0.00% | 100.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00%
ConstructiveEmergence | 1 | t+1 | 14 | MixedStructure:64.29%, NeutralProcessing:28.57%, DecayToNeutral:7.14% | 0.00% | 100.00% | 0.8305 | 0.7559 | MixedStructure | 64.29%
ConstructiveEmergence | 1 | t+2 | 14 | NeutralProcessing:50.00%, MixedStructure:28.57%, DecayToNeutral:14.29%, ExhaustionPersistence:7.14% | 0.00% | 100.00% | 1.1710 | 0.8447 | NeutralProcessing | 50.00%
ConstructiveEmergence | 1 | t+3 | 14 | NeutralProcessing:57.14%, MixedStructure:21.43%, DecayToNeutral:7.14%, DestructiveRotation:7.14%, RecoveryResolution:7.14% | 0.00% | 100.00% | 1.2154 | 0.7552 | NeutralProcessing | 57.14%
ConstructiveEmergence | 1 | t+5 | 14 | NeutralProcessing:78.57%, RecoveryResolution:14.29%, ReassertionProcessing:7.14% | 0.00% | 100.00% | 0.6560 | 0.5971 | NeutralProcessing | 78.57%
DecayToNeutral | 1 | t+1 | 86 | NeutralProcessing:66.28%, MixedStructure:24.42%, DestructiveRotation:6.98%, CompressionProcessing:1.16%, ConstructiveEmergence:1.16% | 0.00% | 100.00% | 0.9062 | 0.5631 | NeutralProcessing | 66.28%
DecayToNeutral | 1 | t+2 | 86 | NeutralProcessing:43.02%, MixedStructure:22.09%, DecayToNeutral:15.12%, DestructiveRotation:5.81%, ExhaustionPersistence:4.65%, RecoveryResolution:3.49%, CompressionProcessing:2.33%, ConstructiveEmergence:2.33%, ReassertionProcessing:1.16% | 15.12% | 84.88% | 1.6340 | 0.7436 | NeutralProcessing | 43.02%
DecayToNeutral | 1 | t+3 | 86 | NeutralProcessing:54.65%, MixedStructure:19.77%, ReassertionProcessing:6.98%, CompressionProcessing:5.81%, DecayToNeutral:5.81%, ExhaustionPersistence:4.65%, RecoveryResolution:2.33% | 5.81% | 94.19% | 1.3974 | 0.7181 | NeutralProcessing | 54.65%
DecayToNeutral | 1 | t+5 | 86 | NeutralProcessing:59.30%, MixedStructure:9.30%, CompressionProcessing:5.81%, DecayToNeutral:5.81%, ReassertionProcessing:5.81%, RecoveryResolution:4.65%, ConstructiveEmergence:3.49%, ExhaustionPersistence:3.49%, DestructiveRotation:2.33% | 5.81% | 94.19% | 1.4913 | 0.6787 | NeutralProcessing | 59.30%
DestructiveRotation | 1 | t+1 | 63 | DecayToNeutral:26.98%, NeutralProcessing:25.40%, DestructiveRotation:17.46%, ExhaustionPersistence:12.70%, ReassertionProcessing:7.94%, CompressionProcessing:3.17%, MixedStructure:3.17%, RecoveryResolution:3.17% | 17.46% | 82.54% | 1.7980 | 0.8646 | DecayToNeutral | 26.98%
DestructiveRotation | 1 | t+2 | 63 | NeutralProcessing:38.10%, DestructiveRotation:15.87%, ExhaustionPersistence:11.11%, CompressionProcessing:9.52%, MixedStructure:9.52%, ReassertionProcessing:7.94%, DecayToNeutral:4.76%, RecoveryResolution:3.17% | 15.87% | 84.13% | 1.8074 | 0.8692 | NeutralProcessing | 38.10%
DestructiveRotation | 1 | t+3 | 63 | NeutralProcessing:38.10%, ReassertionProcessing:14.29%, CompressionProcessing:11.11%, DecayToNeutral:11.11%, MixedStructure:7.94%, RecoveryResolution:7.94%, ExhaustionPersistence:6.35%, DestructiveRotation:3.17% | 3.17% | 96.83% | 1.8206 | 0.8755 | NeutralProcessing | 38.10%
DestructiveRotation | 1 | t+5 | 63 | NeutralProcessing:49.21%, RecoveryResolution:11.11%, ReassertionProcessing:9.52%, ExhaustionPersistence:7.94%, MixedStructure:7.94%, CompressionProcessing:6.35%, DestructiveRotation:4.76%, ConstructiveEmergence:1.59%, DecayToNeutral:1.59% | 4.76% | 95.24% | 1.6707 | 0.7604 | NeutralProcessing | 49.21%
DestructiveRotation | 2 | t+1 | 11 | DestructiveRotation:45.45%, DecayToNeutral:18.18%, ExhaustionPersistence:18.18%, NeutralProcessing:9.09%, RecoveryResolution:9.09% | 45.45% | 54.55% | 1.4143 | 0.8787 | DestructiveRotation | 45.45%
DestructiveRotation | 2 | t+2 | 11 | DecayToNeutral:54.55%, NeutralProcessing:18.18%, CompressionProcessing:9.09%, MixedStructure:9.09%, ReassertionProcessing:9.09% | 0.00% | 100.00% | 1.2945 | 0.8043 | DecayToNeutral | 54.55%
DestructiveRotation | 2 | t+3 | 11 | NeutralProcessing:63.64%, MixedStructure:18.18%, DecayToNeutral:9.09%, DestructiveRotation:9.09% | 9.09% | 90.91% | 1.0336 | 0.7456 | NeutralProcessing | 63.64%
DestructiveRotation | 2 | t+5 | 11 | NeutralProcessing:45.45%, CompressionProcessing:18.18%, DecayToNeutral:18.18%, MixedStructure:9.09%, ReassertionProcessing:9.09% | 0.00% | 100.00% | 1.4143 | 0.8787 | NeutralProcessing | 45.45%
DestructiveRotation | 3 | t+1 | 5 | DecayToNeutral:80.00%, MixedStructure:20.00% | 0.00% | 100.00% | 0.5004 | 0.7219 | DecayToNeutral | 80.00%
DestructiveRotation | 3 | t+2 | 5 | NeutralProcessing:60.00%, DecayToNeutral:20.00%, MixedStructure:20.00% | 0.00% | 100.00% | 0.9503 | 0.8650 | NeutralProcessing | 60.00%
DestructiveRotation | 3 | t+3 | 5 | NeutralProcessing:40.00%, ConstructiveEmergence:20.00%, ExhaustionPersistence:20.00%, MixedStructure:20.00% | 0.00% | 100.00% | 1.3322 | 0.9610 | NeutralProcessing | 40.00%
DestructiveRotation | 3 | t+5 | 5 | NeutralProcessing:80.00%, DestructiveRotation:20.00% | 20.00% | 80.00% | 0.5004 | 0.7219 | NeutralProcessing | 80.00%
ExhaustionPersistence | 1 | t+1 | 51 | ExhaustionPersistence:37.25%, DecayToNeutral:21.57%, RecoveryResolution:15.69%, NeutralProcessing:11.76%, DestructiveRotation:7.84%, CompressionProcessing:5.88% | 37.25% | 62.75% | 1.6073 | 0.8971 | ExhaustionPersistence | 37.25%
ExhaustionPersistence | 1 | t+2 | 51 | ExhaustionPersistence:27.45%, RecoveryResolution:25.49%, NeutralProcessing:23.53%, DestructiveRotation:15.69%, CompressionProcessing:3.92%, DecayToNeutral:3.92% | 27.45% | 72.55% | 1.5883 | 0.8865 | ExhaustionPersistence | 27.45%
