APVA Neutral Failure Timing Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
ReferenceFailureCount: 113
StableControlCount: 1012
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
NeutralProcessing_Age2 | 40 | 0 | 0 | 40 | 35.40%
NeutralProcessing_Age6-10 | 39 | 0 | 0 | 39 | 34.51%
NeutralProcessing_Age3 | 15 | 0 | 0 | 15 | 13.27%
NeutralProcessing_Age11-20 | 10 | 0 | 0 | 10 | 8.85%
NeutralProcessing_Age5 | 7 | 0 | 0 | 7 | 6.19%
NeutralProcessing_Age4 | 2 | 0 | 0 | 2 | 1.77%

2. Warning Window Signal Table
FailureNode | AgeBucket | Horizon | Signal | FailureMean | ControlMean | EffectSize | ReplicationCount
AllFailureNodes | 4 | t-5 | BodyRelativeToPrevious | 6.2500 | 1.7493 | 2.9552 | 0
AllFailureNodes | 4 | t-0 | EfficiencyRatio | 0.6478 | 0.3281 | 1.7798 | 0
AllFailureNodes | 11-20 | t-5 | VolumeRelativeToSessionMean | 0.3880 | 0.6010 | -1.6954 | 0
AllFailureNodes | 4 | t-3 | EfficiencyRatio | 0.0988 | 0.4043 | -1.6535 | 0
AllFailureNodes | 4 | t-5 | VolumeRelativeToPrevious | 2.0426 | 0.9398 | 1.6091 | 0
AllFailureNodes | 4 | t-0 | PolarityFlipFlag | 0.0000 | 0.5342 | -1.5144 | 0
AllFailureNodes | 4 | t-3 | VolumeRelativeToRollingMean | 1.7472 | 0.7361 | 1.3598 | 0
AllFailureNodes | 4 | t-2 | VolumeRelativeToPrevious | 0.5776 | 0.9294 | -1.3571 | 0
AllFailureNodes | 4 | t-2 | EfficiencyRatio | 0.1401 | 0.3606 | -1.3468 | 0
AllFailureNodes | 4 | t-5 | VolumeRelativeToRollingMean | 1.9547 | 0.8490 | 1.3348 | 0
AllFailureNodes | 4 | t-3 | BodyRelativeToPrevious | 0.1359 | 0.9442 | -1.3117 | 0
AllFailureNodes | 5 | t-5 | RangeRelativeToPrevious | 0.7297 | 1.1940 | -1.2568 | 0
AllFailureNodes | 5 | t-5 | TrueRangeRelativeToPrevious | 0.7297 | 1.1912 | -1.2442 | 0
AllFailureNodes | 4 | t-5 | RangeRelativeToPrevious | 2.2390 | 1.1937 | 1.1636 | 0
AllFailureNodes | 4 | t-5 | TrueRangeRelativeToPrevious | 2.2390 | 1.1972 | 1.1588 | 0
