APVA Node Flow Study v0.1
========================================================================================================
Diagnostics
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
Node count: 34
Category count: 4

1. Node Category Assignment
StateAgeNode | NodeCategory | ImportanceScore | ReliabilityScore
CompressionProcessing_Age1 | Secondary Node | 0.4572 | 0.5261
CompressionProcessing_Age2 | Weak Node | 0.4242 | 0.4877
CompressionProcessing_Age3 | Insufficient Node | 0.4203 | 0.5104
CompressionProcessing_Age4 | Insufficient Node | 0.2593 | 0.4636
CompressionProcessing_Age5 | Insufficient Node | 0.3292 | 0.3412
CompressionProcessing_Age6-10 | Insufficient Node | 0.3398 | 0.4905
ConstructiveEmergence_Age1 | Insufficient Node | 0.3703 | 0.4670
DecayToNeutral_Age1 | Secondary Node | 0.5043 | 0.5686
DestructiveRotation_Age1 | Weak Node | 0.3719 | 0.4084
DestructiveRotation_Age2 | Insufficient Node | 0.4837 | 0.4355
DestructiveRotation_Age3 | Insufficient Node | 0.5266 | 0.5378
ExhaustionPersistence_Age1 | Secondary Node | 0.4851 | 0.4419
ExhaustionPersistence_Age2 | Insufficient Node | 0.5466 | 0.5115
ExhaustionPersistence_Age3 | Insufficient Node | 0.4195 | 0.5384
ExhaustionPersistence_Age4 | Insufficient Node | 0.4242 | 0.4658
ExhaustionPersistence_Age5 | Insufficient Node | 0.3635 | 0.5056
ExhaustionPersistence_Age6-10 | Insufficient Node | 0.2792 | 0.3390
MixedStructure_Age1 | Weak Node | 0.4222 | 0.5929
MixedStructure_Age2 | Insufficient Node | 0.5136 | 0.3873
MixedStructure_Age3 | Insufficient Node | 0.2924 | 0.4200
MixedStructure_Age4 | Insufficient Node | 0.4132 | 0.3345
NeutralProcessing_Age1 | Core Node | 0.6198 | 0.8126
NeutralProcessing_Age11-20 | Insufficient Node | 0.4378 | 0.5631
NeutralProcessing_Age2 | Core Node | 0.6362 | 0.6893
NeutralProcessing_Age3 | Core Node | 0.6727 | 0.6518
NeutralProcessing_Age4 | Core Node | 0.7205 | 0.7429
NeutralProcessing_Age5 | Core Node | 0.5917 | 0.6931
NeutralProcessing_Age6-10 | Secondary Node | 0.5219 | 0.7166
ReassertionProcessing_Age1 | Weak Node | 0.4136 | 0.5227
ReassertionProcessing_Age2 | Insufficient Node | 0.3817 | 0.4746
ReassertionProcessing_Age3 | Insufficient Node | 0.5705 | 0.6667
RecoveryResolution_Age1 | Insufficient Node | 0.4810 | 0.4782
RecoveryResolution_Age2 | Insufficient Node | 0.5129 | 0.4751
RecoveryResolution_Age3 | Insufficient Node | 0.4123 | 0.5275

2. Node-to-Node Flow Matrix
SourceNode | DestinationNode | TransitionCount | TransitionProbability
CompressionProcessing_Age1 | CompressionProcessing_Age1 | 0 | 0.00%
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 51 | 57.30%
CompressionProcessing_Age1 | CompressionProcessing_Age3 | 0 | 0.00%
CompressionProcessing_Age1 | CompressionProcessing_Age4 | 0 | 0.00%
CompressionProcessing_Age1 | CompressionProcessing_Age5 | 0 | 0.00%
CompressionProcessing_Age1 | CompressionProcessing_Age6-10 | 0 | 0.00%
CompressionProcessing_Age1 | ConstructiveEmergence_Age1 | 0 | 0.00%
CompressionProcessing_Age1 | DecayToNeutral_Age1 | 1 | 1.12%
CompressionProcessing_Age1 | DestructiveRotation_Age1 | 1 | 1.12%
CompressionProcessing_Age1 | DestructiveRotation_Age2 | 0 | 0.00%
CompressionProcessing_Age1 | DestructiveRotation_Age3 | 0 | 0.00%
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 4 | 4.49%
CompressionProcessing_Age1 | ExhaustionPersistence_Age2 | 0 | 0.00%
CompressionProcessing_Age1 | ExhaustionPersistence_Age3 | 0 | 0.00%
CompressionProcessing_Age1 | ExhaustionPersistence_Age4 | 0 | 0.00%
CompressionProcessing_Age1 | ExhaustionPersistence_Age5 | 0 | 0.00%
CompressionProcessing_Age1 | ExhaustionPersistence_Age6-10 | 0 | 0.00%
CompressionProcessing_Age1 | MixedStructure_Age1 | 1 | 1.12%
CompressionProcessing_Age1 | MixedStructure_Age2 | 0 | 0.00%
CompressionProcessing_Age1 | MixedStructure_Age3 | 0 | 0.00%
CompressionProcessing_Age1 | MixedStructure_Age4 | 0 | 0.00%
CompressionProcessing_Age1 | NeutralProcessing_Age1 | 26 | 29.21%
CompressionProcessing_Age1 | NeutralProcessing_Age11-20 | 0 | 0.00%
CompressionProcessing_Age1 | NeutralProcessing_Age2 | 0 | 0.00%
CompressionProcessing_Age1 | NeutralProcessing_Age3 | 0 | 0.00%
CompressionProcessing_Age1 | NeutralProcessing_Age4 | 0 | 0.00%
CompressionProcessing_Age1 | NeutralProcessing_Age5 | 0 | 0.00%
CompressionProcessing_Age1 | NeutralProcessing_Age6-10 | 0 | 0.00%
CompressionProcessing_Age1 | ReassertionProcessing_Age1 | 0 | 0.00%
CompressionProcessing_Age1 | ReassertionProcessing_Age2 | 0 | 0.00%
CompressionProcessing_Age1 | ReassertionProcessing_Age3 | 0 | 0.00%
CompressionProcessing_Age1 | RecoveryResolution_Age1 | 5 | 5.62%
CompressionProcessing_Age1 | RecoveryResolution_Age2 | 0 | 0.00%
CompressionProcessing_Age1 | RecoveryResolution_Age3 | 0 | 0.00%
CompressionProcessing_Age2 | CompressionProcessing_Age1 | 0 | 0.00%
CompressionProcessing_Age2 | CompressionProcessing_Age2 | 0 | 0.00%
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 30 | 58.82%
