APVA Outcome vs State Age Study v0.1 - NQ
============================================================

Rows: 1930

State                        Age           N    Valid       MeanDR     MedianDR      Cont      Fail      Flat      Skew
RecoveryResolution           1            46       45     17.36667     17.75000    62.22%    37.78%     0.00%    24.44%
RecoveryResolution           2            13       13     -3.96154     21.00000    61.54%    38.46%     0.00%    23.08%
RecoveryResolution           3             9        9      5.00000     10.50000    66.67%    33.33%     0.00%    33.33%
ExhaustionPersistence        1            51       51     -2.54902     -2.50000    45.10%    52.94%     1.96%    -7.84%
ExhaustionPersistence        2            19       19    -25.06579    -37.75000    26.32%    73.68%     0.00%   -47.37%
ExhaustionPersistence        3            14       14    -39.62500    -21.25000    35.71%    64.29%     0.00%   -28.57%
ExhaustionPersistence        4            11       11    -17.09091    -19.25000    27.27%    72.73%     0.00%   -45.45%
ExhaustionPersistence        5             6        6    -25.75000      4.87500    66.67%    33.33%     0.00%    33.33%
ExhaustionPersistence        6-10          6        6    -46.91667    -12.62500    50.00%    50.00%     0.00%     0.00%
CompressionProcessing        1            89       87      2.20402      1.75000    50.57%    49.43%     0.00%     1.15%
CompressionProcessing        2            51       51     -7.07843     -2.50000    45.10%    54.90%     0.00%    -9.80%
CompressionProcessing        3            30       30    -11.98333      3.87500    53.33%    43.33%     3.33%    10.00%
CompressionProcessing        4            18       18      9.30556      0.12500    50.00%    50.00%     0.00%     0.00%
CompressionProcessing        5             8        8      6.40625    -11.87500    25.00%    75.00%     0.00%   -50.00%
CompressionProcessing        6-10          9        9     -9.83333     -1.25000    33.33%    66.67%     0.00%   -33.33%
NeutralProcessing            1           297      297      0.01347      3.50000    53.20%    46.46%     0.34%     6.73%
NeutralProcessing            2           175      173     -1.36561      3.50000    54.34%    45.66%     0.00%     8.67%
NeutralProcessing            3           112      111     12.18694      2.00000    53.15%    46.85%     0.00%     6.31%
NeutralProcessing            4            83       82     -6.04878     -1.00000    48.78%    51.22%     0.00%    -2.44%
NeutralProcessing            5            80       79     -1.77215      1.75000    53.16%    46.84%     0.00%     6.33%
NeutralProcessing            6-10        192      188     -0.76596     -1.75000    48.40%    51.60%     0.00%    -3.19%
NeutralProcessing            11-20        37       37     -4.41216      0.50000    51.35%    48.65%     0.00%     2.70%
ReassertionProcessing        1           147      147     -2.85544     -4.75000    46.26%    53.06%     0.68%    -6.80%
ReassertionProcessing        2            31       31    -14.44355     -9.50000    38.71%    61.29%     0.00%   -22.58%
ReassertionProcessing        3             1        1    -21.75000    -21.75000     0.00%   100.00%     0.00%  -100.00%
DecayToNeutral               1            86       84    -13.44643     -5.87500    42.86%    55.95%     1.19%   -13.10%
DestructiveRotation          1            63       63     -6.58333     -5.75000    47.62%    50.79%     1.59%    -3.17%
DestructiveRotation          2            11       11    -19.84091     -3.50000    36.36%    63.64%     0.00%   -27.27%
DestructiveRotation          3             5        5    -29.80000    -12.00000    40.00%    60.00%     0.00%   -20.00%
ConstructiveEmergence        1            14       14      0.30357      7.00000    64.29%    35.71%     0.00%    28.57%
MixedStructure               1           183      183    -11.48087     -5.25000    43.72%    56.28%     0.00%   -12.57%
MixedStructure               2            27       27      1.27778     -4.50000    40.74%    55.56%     3.70%   -14.81%
MixedStructure               3             4        4     19.12500     21.75000    50.00%    50.00%     0.00%     0.00%
MixedStructure               4             2        2    -35.12500    -35.12500    50.00%    50.00%     0.00%     0.00%
