APVA Stage + Alignment + Breakout Type Study v0.1 - NQ
======================================================
Instrument: NQ
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
Total stage-alignment-breakout observations: 1514
Breakout, SequenceStage, alignment, event, and DRFwd logic are reused from prior studies.
This is a descriptive decomposition of the prior Stage x Alignment result.

Observation Counts by BreakoutType
==================================
IBSYM             458
Lateral          1056

Observation Counts by Stage
===========================
Stage0       128
Stage1       394
Stage2       277
Stage3       257
Stage4       458

Observation Counts by Alignment
===============================
Aligned           757
Opposed           757

Event x Stage x Alignment x BreakoutType
========================================
Event                    Type       Stage Alignment    Count   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
AllBars                  IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
AllBars                  IBSYM     Stage0 Opposed        55     8.931818     6.000000    56.36%    43.64%     0.00%
AllBars                  IBSYM     Stage1 Aligned        70   -23.267857   -15.250000    41.43%    58.57%     0.00%
AllBars                  IBSYM     Stage1 Opposed        18   -12.041667    -8.375000    44.44%    55.56%     0.00%
AllBars                  IBSYM     Stage2 Aligned        41     1.317073     7.750000    56.10%    43.90%     0.00%
AllBars                  IBSYM     Stage2 Opposed        57     1.425439     4.250000    54.39%    45.61%     0.00%
AllBars                  IBSYM     Stage3 Aligned        18     5.986111     3.500000    50.00%    50.00%     0.00%
AllBars                  IBSYM     Stage3 Opposed        54   -12.500000    -8.875000    44.44%    55.56%     0.00%
AllBars                  IBSYM     Stage4 Aligned        82     4.085366     2.500000    53.66%    46.34%     0.00%
AllBars                  IBSYM     Stage4 Opposed        63     2.916667    -2.000000    46.03%    53.97%     0.00%
AllBars                  Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
AllBars                  Lateral   Stage0 Opposed        73   -13.513699    -7.250000    36.99%    63.01%     0.00%
AllBars                  Lateral   Stage1 Aligned       232   -11.878233    -0.875000    49.14%    50.86%     0.00%
AllBars                  Lateral   Stage1 Opposed        69    -1.036232    -2.500000    49.28%    50.72%     0.00%
AllBars                  Lateral   Stage2 Aligned        81   -18.580247    -8.750000    39.51%    59.26%     1.23%
AllBars                  Lateral   Stage2 Opposed        98     6.938776     0.250000    51.02%    48.98%     0.00%
AllBars                  Lateral   Stage3 Aligned        42    -4.297619     5.125000    61.90%    38.10%     0.00%
AllBars                  Lateral   Stage3 Opposed       143     6.956294     1.500000    52.45%    47.55%     0.00%
AllBars                  Lateral   Stage4 Aligned       188    -5.478723    -0.375000    49.47%    50.53%     0.00%
AllBars                  Lateral   Stage4 Opposed       125    -1.002000    -1.000000    47.20%    52.00%     0.80%
DissipationAny           IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
DissipationAny           IBSYM     Stage0 Opposed        40     5.031250     5.875000    52.50%    47.50%     0.00%
DissipationAny           IBSYM     Stage1 Aligned        42   -26.904762   -10.500000    40.48%    59.52%     0.00%
DissipationAny           IBSYM     Stage1 Opposed        15   -10.466667    -4.750000    46.67%    53.33%     0.00%
DissipationAny           IBSYM     Stage2 Aligned        23    -4.880435     3.750000    52.17%    47.83%     0.00%
DissipationAny           IBSYM     Stage2 Opposed        23     8.478261     8.500000    52.17%    47.83%     0.00%
DissipationAny           IBSYM     Stage3 Aligned        12     8.916667     8.875000    50.00%    50.00%     0.00%
DissipationAny           IBSYM     Stage3 Opposed        37   -15.716216   -10.250000    43.24%    56.76%     0.00%
DissipationAny           IBSYM     Stage4 Aligned        50    -0.680000     2.500000    56.00%    44.00%     0.00%
DissipationAny           IBSYM     Stage4 Opposed        43     2.587209    -1.000000    48.84%    51.16%     0.00%
DissipationAny           Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
DissipationAny           Lateral   Stage0 Opposed        44   -16.193182   -10.750000    34.09%    65.91%     0.00%
DissipationAny           Lateral   Stage1 Aligned       128    -8.445312    -2.500000    47.66%    52.34%     0.00%
DissipationAny           Lateral   Stage1 Opposed        50     0.315000     4.125000    52.00%    48.00%     0.00%
DissipationAny           Lateral   Stage2 Aligned        56   -26.526786   -14.375000    37.50%    62.50%     0.00%
DissipationAny           Lateral   Stage2 Opposed        33    25.310606     9.500000    69.70%    30.30%     0.00%
DissipationAny           Lateral   Stage3 Aligned        29   -11.258621     3.250000    55.17%    44.83%     0.00%
DissipationAny           Lateral   Stage3 Opposed        84     4.229167    -1.875000    48.81%    51.19%     0.00%
DissipationAny           Lateral   Stage4 Aligned       109    -6.600917    -0.250000    49.54%    50.46%     0.00%
DissipationAny           Lateral   Stage4 Opposed        71     0.485915     3.250000    52.11%    47.89%     0.00%
DissipationContained     IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
DissipationContained     IBSYM     Stage0 Opposed        22    41.000000    35.375000    72.73%    27.27%     0.00%
DissipationContained     IBSYM     Stage1 Aligned        17   -57.132353   -18.500000    29.41%    70.59%     0.00%
DissipationContained     IBSYM     Stage1 Opposed         7    38.071429    29.250000    71.43%    28.57%     0.00%
DissipationContained     IBSYM     Stage2 Aligned        10    23.825000    24.375000    70.00%    30.00%     0.00%
DissipationContained     IBSYM     Stage2 Opposed        14    19.589286    17.250000    64.29%    35.71%     0.00%
DissipationContained     IBSYM     Stage3 Aligned         9     3.111111   -11.750000    33.33%    66.67%     0.00%
DissipationContained     IBSYM     Stage3 Opposed        16    -8.484375     0.500000    50.00%    50.00%     0.00%
DissipationContained     IBSYM     Stage4 Aligned        26     4.278846    13.625000    61.54%    38.46%     0.00%
DissipationContained     IBSYM     Stage4 Opposed        22     2.102273    -5.875000    40.91%    59.09%     0.00%
DissipationContained     Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
DissipationContained     Lateral   Stage0 Opposed        23    -7.695652    -8.000000    34.78%    65.22%     0.00%
DissipationContained     Lateral   Stage1 Aligned        60    -9.879167     3.375000    55.00%    45.00%     0.00%
DissipationContained     Lateral   Stage1 Opposed        33     5.765152     6.000000    54.55%    45.45%     0.00%
DissipationContained     Lateral   Stage2 Aligned        33   -10.250000    -8.000000    42.42%    57.58%     0.00%
DissipationContained     Lateral   Stage2 Opposed        20    26.250000    21.000000    65.00%    35.00%     0.00%
DissipationContained     Lateral   Stage3 Aligned        17   -16.691176    -0.500000    47.06%    52.94%     0.00%
DissipationContained     Lateral   Stage3 Opposed        41     9.475610     0.500000    51.22%    48.78%     0.00%
DissipationContained     Lateral   Stage4 Aligned        71    -7.771127     2.750000    53.52%    46.48%     0.00%
DissipationContained     Lateral   Stage4 Opposed        41    -3.420732    -2.500000    46.34%    53.66%     0.00%
DissipationAccepted      IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
DissipationAccepted      IBSYM     Stage0 Opposed        17   -40.573529   -45.250000    29.41%    70.59%     0.00%
