APVA State Hazard Function Study v0.1 - NQ
==============================================================

Rows: 1930

State                        Age           N     Surv1      Haz1     Surv3      Haz3     Surv5      Haz5
RecoveryResolution           1            46    28.26%    71.74%     2.17%    97.83%     2.17%    97.83%
RecoveryResolution           2            13    69.23%    30.77%     7.69%    92.31%     0.00%   100.00%
RecoveryResolution           3             9     0.00%   100.00%     0.00%   100.00%    11.11%    88.89%
ExhaustionPersistence        1            51    37.25%    62.75%    25.49%    74.51%     9.80%    90.20%
ExhaustionPersistence        2            19    73.68%    26.32%    31.58%    68.42%    10.53%    89.47%
ExhaustionPersistence        3            14    78.57%    21.43%    28.57%    71.43%     0.00%   100.00%
ExhaustionPersistence        4            11    54.55%    45.45%    18.18%    81.82%     9.09%    90.91%
ExhaustionPersistence        5             6    66.67%    33.33%     0.00%   100.00%     0.00%   100.00%
ExhaustionPersistence        6-10          6    33.33%    66.67%     0.00%   100.00%     0.00%   100.00%
CompressionProcessing        1            89    57.30%    42.70%    37.08%    62.92%    14.61%    85.39%
CompressionProcessing        2            51    58.82%    41.18%    31.37%    68.63%    19.61%    80.39%
CompressionProcessing        3            30    60.00%    40.00%    16.67%    83.33%    13.33%    86.67%
CompressionProcessing        4            18    44.44%    55.56%    22.22%    77.78%    22.22%    77.78%
CompressionProcessing        5             8    37.50%    62.50%    25.00%    75.00%    25.00%    75.00%
CompressionProcessing        6-10          9    66.67%    33.33%    33.33%    66.67%     0.00%   100.00%
NeutralProcessing            1           297    58.92%    41.08%    61.28%    38.72%    54.21%    45.79%
NeutralProcessing            2           175    64.00%    36.00%    78.29%    21.71%    49.71%    50.29%
NeutralProcessing            3           112    74.11%    25.89%    76.79%    23.21%    46.43%    53.57%
NeutralProcessing            4            83    96.39%     3.61%    62.65%    37.35%    48.19%    51.81%
NeutralProcessing            5            80    87.50%    12.50%    50.00%    50.00%    51.25%    48.75%
NeutralProcessing            6-10        192    69.79%    30.21%    51.04%    48.96%    42.19%    57.81%
NeutralProcessing            11-20        37    67.57%    32.43%    51.35%    48.65%    48.65%    51.35%
ReassertionProcessing        1           147    21.09%    78.91%    19.73%    80.27%    12.24%    87.76%
ReassertionProcessing        2            31     3.23%    96.77%    16.13%    83.87%     9.68%    90.32%
ReassertionProcessing        3             1     0.00%   100.00%     0.00%   100.00%     0.00%   100.00%
DecayToNeutral               1            86     0.00%   100.00%     5.81%    94.19%     5.81%    94.19%
DestructiveRotation          1            63    17.46%    82.54%     3.17%    96.83%     4.76%    95.24%
DestructiveRotation          2            11    45.45%    54.55%     9.09%    90.91%     0.00%   100.00%
DestructiveRotation          3             5     0.00%   100.00%     0.00%   100.00%    20.00%    80.00%
ConstructiveEmergence        1            14     0.00%   100.00%     0.00%   100.00%     0.00%   100.00%
MixedStructure               1           183    14.75%    85.25%    17.49%    82.51%    10.93%    89.07%
MixedStructure               2            27    14.81%    85.19%     3.70%    96.30%     7.41%    92.59%
MixedStructure               3             4    50.00%    50.00%    25.00%    75.00%    25.00%    75.00%
MixedStructure               4             2     0.00%   100.00%     0.00%   100.00%     0.00%   100.00%
