APVA Transition Context Matrix Study v0.1
Research only. No trades, entries/exits, optimization, fitting, or machine learning.

Diagnostics
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
Valid context observations: 1929
Structural state counts: RecoveryResolution=68, ExhaustionPersistence=107, CompressionProcessing=205, NeutralProcessing=976, ReassertionProcessing=179, DecayToNeutral=86, DestructiveRotation=79, ConstructiveEmergence=14, MixedStructure=216
State-age counts: CompressionProcessing+Age1=89, CompressionProcessing+Age2=51, CompressionProcessing+Age3=30, CompressionProcessing+Age4=18, CompressionProcessing+Age5=8, CompressionProcessing+Age6-10=9, ConstructiveEmergence+Age1=14, DecayToNeutral+Age1=86, DestructiveRotation+Age1=63, DestructiveRotation+Age2=11, DestructiveRotation+Age3=5, ExhaustionPersistence+Age1=51, ExhaustionPersistence+Age2=19, ExhaustionPersistence+Age3=14, ExhaustionPersistence+Age4=11, ExhaustionPersistence+Age5=6, ExhaustionPersistence+Age6-10=6, MixedStructure+Age1=183, MixedStructure+Age2=27, MixedStructure+Age3=4, MixedStructure+Age4=2, NeutralProcessing+Age1=297, NeutralProcessing+Age2=175, NeutralProcessing+Age3=112, NeutralProcessing+Age4=83, NeutralProcessing+Age5=80, NeutralProcessing+Age6-10=192, NeutralProcessing+Age11-20=37, ReassertionProcessing+Age1=147, ReassertionProcessing+Age2=31, ReassertionProcessing+Age3=1, RecoveryResolution+Age1=46, RecoveryResolution+Age2=13, RecoveryResolution+Age3=9

1. Baseline State+Age transition table
CurrentState | AgeBucket | Horizon | NextState | SourceCount | Count | Probability | Lift | Entropy | NormalizedEntropy
CompressionProcessing | 1 | t+1 | CompressionProcessing | 89 | 51 | 57.30% | 5.3921 | 1.1310 | 0.5812
CompressionProcessing | 1 | t+1 | DecayToNeutral | 89 | 1 | 1.12% | 0.2520 | 1.1310 | 0.5812
CompressionProcessing | 1 | t+1 | DestructiveRotation | 89 | 1 | 1.12% | 0.2744 | 1.1310 | 0.5812
CompressionProcessing | 1 | t+1 | ExhaustionPersistence | 89 | 4 | 4.49% | 0.8102 | 1.1310 | 0.5812
CompressionProcessing | 1 | t+1 | MixedStructure | 89 | 1 | 1.12% | 0.1008 | 1.1310 | 0.5812
CompressionProcessing | 1 | t+1 | NeutralProcessing | 89 | 26 | 29.21% | 0.5774 | 1.1310 | 0.5812
CompressionProcessing | 1 | t+1 | RecoveryResolution | 89 | 5 | 5.62% | 1.5937 | 1.1310 | 0.5812
CompressionProcessing | 1 | t+2 | CompressionProcessing | 89 | 40 | 44.94% | 4.2269 | 1.2798 | 0.6155
CompressionProcessing | 1 | t+2 | DecayToNeutral | 89 | 2 | 2.25% | 0.5038 | 1.2798 | 0.6155
CompressionProcessing | 1 | t+2 | DestructiveRotation | 89 | 1 | 1.12% | 0.2742 | 1.2798 | 0.6155
CompressionProcessing | 1 | t+2 | ExhaustionPersistence | 89 | 2 | 2.25% | 0.4049 | 1.2798 | 0.6155
CompressionProcessing | 1 | t+2 | MixedStructure | 89 | 2 | 2.25% | 0.2025 | 1.2798 | 0.6155
CompressionProcessing | 1 | t+2 | NeutralProcessing | 89 | 35 | 39.33% | 0.7768 | 1.2798 | 0.6155
CompressionProcessing | 1 | t+2 | ReassertionProcessing | 89 | 5 | 5.62% | 0.6051 | 1.2798 | 0.6155
CompressionProcessing | 1 | t+2 | RecoveryResolution | 89 | 2 | 2.25% | 0.6371 | 1.2798 | 0.6155
CompressionProcessing | 1 | t+3 | CompressionProcessing | 89 | 33 | 37.08% | 3.4854 | 1.6028 | 0.7295
CompressionProcessing | 1 | t+3 | ConstructiveEmergence | 89 | 1 | 1.12% | 1.5465 | 1.6028 | 0.7295
CompressionProcessing | 1 | t+3 | DecayToNeutral | 89 | 5 | 5.62% | 1.2588 | 1.6028 | 0.7295
CompressionProcessing | 1 | t+3 | DestructiveRotation | 89 | 2 | 2.25% | 0.5481 | 1.6028 | 0.7295
CompressionProcessing | 1 | t+3 | ExhaustionPersistence | 89 | 3 | 3.37% | 0.6071 | 1.6028 | 0.7295
CompressionProcessing | 1 | t+3 | MixedStructure | 89 | 10 | 11.24% | 1.0165 | 1.6028 | 0.7295
CompressionProcessing | 1 | t+3 | NeutralProcessing | 89 | 29 | 32.58% | 0.6433 | 1.6028 | 0.7295
CompressionProcessing | 1 | t+3 | ReassertionProcessing | 89 | 1 | 1.12% | 0.1210 | 1.6028 | 0.7295
CompressionProcessing | 1 | t+3 | RecoveryResolution | 89 | 5 | 5.62% | 1.5920 | 1.6028 | 0.7295
CompressionProcessing | 1 | t+5 | CompressionProcessing | 89 | 13 | 14.61% | 1.3716 | 1.5993 | 0.7279
CompressionProcessing | 1 | t+5 | ConstructiveEmergence | 89 | 1 | 1.12% | 1.5449 | 1.5993 | 0.7279
CompressionProcessing | 1 | t+5 | DecayToNeutral | 89 | 6 | 6.74% | 1.5090 | 1.5993 | 0.7279
CompressionProcessing | 1 | t+5 | DestructiveRotation | 89 | 2 | 2.25% | 0.5476 | 1.5993 | 0.7279
CompressionProcessing | 1 | t+5 | ExhaustionPersistence | 89 | 3 | 3.37% | 0.6064 | 1.5993 | 0.7279
CompressionProcessing | 1 | t+5 | MixedStructure | 89 | 10 | 11.24% | 1.0202 | 1.5993 | 0.7279
CompressionProcessing | 1 | t+5 | NeutralProcessing | 89 | 45 | 50.56% | 0.9983 | 1.5993 | 0.7279
CompressionProcessing | 1 | t+5 | ReassertionProcessing | 89 | 6 | 6.74% | 0.7250 | 1.5993 | 0.7279
CompressionProcessing | 1 | t+5 | RecoveryResolution | 89 | 3 | 3.37% | 0.9542 | 1.5993 | 0.7279
