APVA Neutral Failure Timing Study v0.1 - Aggregate
================================================================================================
Instrument: ALL
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv; .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv; .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
ReferenceFailureCount: 2331
StableControlCount: 16494
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
NeutralProcessing_Age2 | 1051 | 931 | 80 | 40 | 45.09%
NeutralProcessing_Age6-10 | 586 | 507 | 40 | 39 | 25.14%
NeutralProcessing_Age3 | 276 | 242 | 19 | 15 | 11.84%
NeutralProcessing_Age5 | 166 | 145 | 14 | 7 | 7.12%
NeutralProcessing_Age11-20 | 141 | 126 | 5 | 10 | 6.05%
NeutralProcessing_Age4 | 100 | 90 | 8 | 2 | 4.29%
NeutralProcessing_Age21+ | 11 | 11 | 0 | 0 | 0.47%

2. Warning Window Signal Table
FailureNode | AgeBucket | Horizon | Signal | FailureMean | ControlMean | EffectSize | ReplicationCount
AllFailureNodes | 21+ | t-3 | EfficiencyRatio | 0.6377 | 0.3859 | 0.8633 | 1
AllFailureNodes | 4 | t-0 | RangeRelativeToPrevious | 2.0152 | 1.1779 | 0.7929 | 2
AllFailureNodes | 4 | t-0 | TrueRangeRelativeToPrevious | 1.9820 | 1.1698 | 0.7643 | 2
AllFailureNodes | 3 | t-3 | RangeRelativeToPrevious | 1.7863 | 1.1265 | 0.7473 | 3
AllFailureNodes | 3 | t-3 | TrueRangeRelativeToPrevious | 1.7540 | 1.1112 | 0.7472 | 3
AllFailureNodes | 4 | t-0 | EfficiencyRatio | 0.6108 | 0.4111 | 0.7384 | 3
AllFailureNodes | 21+ | t-1 | VolumeRelativeToRollingMean | 0.7412 | 0.4439 | 0.6900 | 1
AllFailureNodes | 4 | t-0 | VolumeRelativeToRollingMean | 1.3010 | 0.6572 | 0.6736 | 2
AllFailureNodes | 21+ | t-3 | BodyRelativeToPrevious | 2.2257 | 1.1000 | 0.6682 | 1
AllFailureNodes | 21+ | t-3 | PolarityFlipFlag | 0.3636 | 0.6667 | -0.6363 | 1
AllFailureNodes | 21+ | t-2 | TrueRangeRelativeToPrevious | 0.7782 | 1.1165 | -0.6112 | 1
AllFailureNodes | 21+ | t-3 | TrueRangeRelativeToPrevious | 1.7424 | 1.1548 | 0.6044 | 1
AllFailureNodes | 21+ | t-5 | BodyRelativeToPrevious | 0.5104 | 1.1979 | -0.6043 | 1
AllFailureNodes | 4 | t-0 | BodyRelativeToPrevious | 3.7339 | 1.5005 | 0.5835 | 2
AllFailureNodes | 21+ | t-2 | BodyRelativeToPrevious | 0.6783 | 1.2474 | -0.5406 | 1
AllFailureNodes | 3 | t-3 | BodyRelativeToPrevious | 2.8010 | 1.4177 | 0.5141 | 2
AllFailureNodes | 21+ | t-0 | VolumeRelativeToRollingMean | 0.8045 | 0.4881 | 0.5096 | 1
AllFailureNodes | 21+ | t-5 | VolumeRelativeToPrevious | 0.8728 | 1.2846 | -0.4842 | 1
AllFailureNodes | 21+ | t-1 | VolumeRelativeToSessionMean | 0.3321 | 0.2149 | 0.4818 | 1
AllFailureNodes | 21+ | t-5 | RangeRelativeToPrevious | 0.8699 | 1.1212 | -0.4722 | 1
AllFailureNodes | 4 | t-0 | VolumeRelativeToSessionMean | 0.9253 | 0.5780 | 0.4665 | 2
