APVA Outcome vs State Age Study v0.1 - Aggregate
========================================================

Instruments: 6E, CL, NQ

State                        Age        6E_N    6E_Cont    6E_Fail    6E_Skew    6E_MeanDR     CL_N    CL_Cont    CL_Fail    CL_Skew    CL_MeanDR     NQ_N    NQ_Cont    NQ_Fail    NQ_Skew    NQ_MeanDR  ValidN   MeanCont   MeanFail   MeanSkew       MeanDR
RecoveryResolution           1          1079     45.67%     50.56%     -4.89%     -0.00003       94     52.22%     45.56%      6.67%      0.35344       46     62.22%     37.78%     24.44%     17.36667       3     53.37%     44.63%      8.74%      5.90670
RecoveryResolution           2           339     42.90%     54.13%    -11.22%     -0.00003       38     45.95%     54.05%     -8.11%     -0.17405       13      0.00%      0.00%      0.00%      0.00000       2     44.43%     54.09%     -9.66%     -0.08704
RecoveryResolution           3           251     47.66%     50.64%     -2.98%      0.00002       27     51.85%     48.15%      3.70%      0.36074        9      0.00%      0.00%      0.00%      0.00000       2     49.76%     49.39%      0.36%      0.18038
ExhaustionPersistence        1          1116     47.65%     46.56%      1.08%     -0.00001       97     40.21%     59.79%    -19.59%     -0.43969       51     45.10%     52.94%     -7.84%     -2.54902       3     44.32%     53.10%     -8.78%     -0.99624
ExhaustionPersistence        2           304     42.47%     52.51%    -10.03%     -0.00007       31     41.94%     58.06%    -16.13%     -0.10129       19      0.00%      0.00%      0.00%      0.00000       2     42.21%     55.29%    -13.08%     -0.05068
ExhaustionPersistence        3           234     44.65%     52.09%     -7.44%     -0.00002       21     52.38%     47.62%      4.76%      0.09571       14      0.00%      0.00%      0.00%      0.00000       2     48.52%     49.86%     -1.34%      0.04785
CompressionProcessing        1          2928     46.94%     48.50%     -1.56%     -0.00001      177     45.40%     54.02%     -8.62%     -0.01701       89     50.57%     49.43%      1.15%      2.20402       3     47.64%     50.65%     -3.01%      0.72900
CompressionProcessing        2          1659     44.41%     50.64%     -6.23%     -0.00004       92     42.70%     57.30%    -14.61%      0.01382       51     45.10%     54.90%     -9.80%     -7.07843       3     44.07%     54.28%    -10.21%     -2.35488
CompressionProcessing        3           840     46.00%     50.59%     -4.59%     -0.00003       41     60.98%     34.15%     26.83%      0.40244       30     53.33%     43.33%     10.00%    -11.98333       3     53.44%     42.69%     10.75%     -3.86031
CompressionProcessing        4           528     46.22%     48.67%     -2.45%      0.00001       22     31.82%     63.64%    -31.82%     -0.05000       18      0.00%      0.00%      0.00%      0.00000       2     39.02%     56.15%    -17.14%     -0.02500
NeutralProcessing            1          5672     45.82%     48.77%     -2.95%     -0.00001      446     51.16%     48.14%      3.02%      0.06498      297     53.20%     46.46%      6.73%      0.01347       3     50.06%     47.79%      2.27%      0.02615
NeutralProcessing            2          3205     47.27%     48.48%     -1.20%     -0.00001      253     45.71%     53.47%     -7.76%     -0.07780      175     54.34%     45.66%      8.67%     -1.36561       3     49.11%     49.20%     -0.10%     -0.48114
NeutralProcessing            3          1754     48.66%     44.73%      3.94%      0.00002      140     53.73%     44.03%      9.70%      0.23828      112     53.15%     46.85%      6.31%     12.18694       3     51.85%     45.20%      6.65%      4.14175
NeutralProcessing            4          1312     45.50%     48.77%     -3.27%     -0.00001      106     66.35%     33.65%     32.69%      0.14375       83     48.78%     51.22%     -2.44%     -6.04878       3     53.54%     44.55%      8.99%     -1.96835
NeutralProcessing            5          1192     44.94%     48.70%     -3.76%     -0.00002       95     38.95%     60.00%    -21.05%     -0.19063       80     53.16%     46.84%      6.33%     -1.77215       3     45.68%     51.84%     -6.16%     -0.65427
NeutralProcessing            6-10       2884     45.97%     49.24%     -3.27%     -0.00001      208     48.02%     51.98%     -3.96%     -0.10109      192     48.40%     51.60%     -3.19%     -0.76596       3     47.46%     50.94%     -3.48%     -0.28902
NeutralProcessing            11-20       891     46.80%     45.82%      0.97%     -0.00001       30     51.85%     44.44%      7.41%      0.02889       37     51.35%     48.65%      2.70%     -4.41216       3     50.00%     46.30%      3.70%     -1.46110
ReassertionProcessing        1          1759     46.77%     48.15%     -1.39%      0.00000      174     49.43%     50.00%     -0.57%      0.02023      147     46.26%     53.06%     -6.80%     -2.85544       3     47.48%     50.40%     -2.92%     -0.94507
ReassertionProcessing        2           237     44.26%     50.64%     -6.38%     -0.00006       32     46.88%     53.12%     -6.25%     -0.08156       31     38.71%     61.29%    -22.58%    -14.44355       3     43.28%     55.02%    -11.74%     -4.84172
DecayToNeutral               1          1486     47.75%     46.72%      1.03%     -0.00001      103     53.47%     46.53%      6.93%     -0.20267       86     42.86%     55.95%    -13.10%    -13.44643       3     48.02%     49.74%     -1.71%     -4.54970
DestructiveRotation          1           836     46.77%     49.68%     -2.92%     -0.00001       71     52.86%     47.14%      5.71%     -0.28671       63     47.62%     50.79%     -3.17%     -6.58333       3     49.08%     49.21%     -0.13%     -2.29002
MixedStructure               1          3265     46.27%     48.30%     -2.03%     -0.00002      279     47.12%     52.16%     -5.04%     -0.03917      183     43.72%     56.28%    -12.57%    -11.48087       3     45.70%     52.25%     -6.54%     -3.84002
MixedStructure               2           355     45.45%     48.97%     -3.52%     -0.00002       28     51.85%     48.15%      3.70%      0.12148       27     40.74%     55.56%    -14.81%      1.27778       3     46.02%     50.89%     -4.88%      0.46641

Rankings
========

Best replicated state-age outcome skew
......................................
  1. CompressionProcessing Age=3 | Skew=10.75% MeanDR=-3.86031
  2. NeutralProcessing Age=4 | Skew=8.99% MeanDR=-1.96835
  3. RecoveryResolution Age=1 | Skew=8.74% MeanDR=5.90670
  4. NeutralProcessing Age=3 | Skew=6.65% MeanDR=4.14175
  5. NeutralProcessing Age=11-20 | Skew=3.70% MeanDR=-1.46110
  6. NeutralProcessing Age=1 | Skew=2.27% MeanDR=0.02615
  7. RecoveryResolution Age=3 | Skew=0.36% MeanDR=0.18038
  8. NeutralProcessing Age=2 | Skew=-0.10% MeanDR=-0.48114
  9. DestructiveRotation Age=1 | Skew=-0.13% MeanDR=-2.29002
 10. ExhaustionPersistence Age=3 | Skew=-1.34% MeanDR=0.04785
 11. DecayToNeutral Age=1 | Skew=-1.71% MeanDR=-4.54970
 12. ReassertionProcessing Age=1 | Skew=-2.92% MeanDR=-0.94507
 13. CompressionProcessing Age=1 | Skew=-3.01% MeanDR=0.72900
 14. NeutralProcessing Age=6-10 | Skew=-3.48% MeanDR=-0.28902
 15. MixedStructure Age=2 | Skew=-4.88% MeanDR=0.46641
 16. NeutralProcessing Age=5 | Skew=-6.16% MeanDR=-0.65427
 17. MixedStructure Age=1 | Skew=-6.54% MeanDR=-3.84002
 18. ExhaustionPersistence Age=1 | Skew=-8.78% MeanDR=-0.99624
 19. RecoveryResolution Age=2 | Skew=-9.66% MeanDR=-0.08704
 20. CompressionProcessing Age=2 | Skew=-10.21% MeanDR=-2.35488
 21. ReassertionProcessing Age=2 | Skew=-11.74% MeanDR=-4.84172
 22. ExhaustionPersistence Age=2 | Skew=-13.08% MeanDR=-0.05068
 23. CompressionProcessing Age=4 | Skew=-17.14% MeanDR=-0.02500

Worst replicated state-age outcome skew
.......................................
  1. CompressionProcessing Age=4 | Skew=-17.14% MeanDR=-0.02500
  2. ExhaustionPersistence Age=2 | Skew=-13.08% MeanDR=-0.05068
  3. ReassertionProcessing Age=2 | Skew=-11.74% MeanDR=-4.84172
  4. CompressionProcessing Age=2 | Skew=-10.21% MeanDR=-2.35488
  5. RecoveryResolution Age=2 | Skew=-9.66% MeanDR=-0.08704
  6. ExhaustionPersistence Age=1 | Skew=-8.78% MeanDR=-0.99624
  7. MixedStructure Age=1 | Skew=-6.54% MeanDR=-3.84002
  8. NeutralProcessing Age=5 | Skew=-6.16% MeanDR=-0.65427
  9. MixedStructure Age=2 | Skew=-4.88% MeanDR=0.46641
 10. NeutralProcessing Age=6-10 | Skew=-3.48% MeanDR=-0.28902
 11. CompressionProcessing Age=1 | Skew=-3.01% MeanDR=0.72900
 12. ReassertionProcessing Age=1 | Skew=-2.92% MeanDR=-0.94507
 13. DecayToNeutral Age=1 | Skew=-1.71% MeanDR=-4.54970
 14. ExhaustionPersistence Age=3 | Skew=-1.34% MeanDR=0.04785
 15. DestructiveRotation Age=1 | Skew=-0.13% MeanDR=-2.29002
 16. NeutralProcessing Age=2 | Skew=-0.10% MeanDR=-0.48114
 17. RecoveryResolution Age=3 | Skew=0.36% MeanDR=0.18038
 18. NeutralProcessing Age=1 | Skew=2.27% MeanDR=0.02615
 19. NeutralProcessing Age=11-20 | Skew=3.70% MeanDR=-1.46110
 20. NeutralProcessing Age=3 | Skew=6.65% MeanDR=4.14175
 21. RecoveryResolution Age=1 | Skew=8.74% MeanDR=5.90670
 22. NeutralProcessing Age=4 | Skew=8.99% MeanDR=-1.96835
 23. CompressionProcessing Age=3 | Skew=10.75% MeanDR=-3.86031
