APVA Path Motif Study v0.1 - Aggregate
============================================================================================================
Instruments: 6E, CL, NQ

Aggregate Motif Table
PreviousNode | CurrentNode | NextNode | Count | Probability | ReplicationCount
NeutralProcessing_Age1 | NeutralProcessing_Age2 | NeutralProcessing_Age3 | 2006 | 55.22% | 3
NeutralProcessing_Age2 | NeutralProcessing_Age3 | NeutralProcessing_Age4 | 1501 | 74.83% | 3
NeutralProcessing_Age3 | NeutralProcessing_Age4 | NeutralProcessing_Age5 | 1367 | 91.07% | 3
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 1322 | 60.92% | 3
NeutralProcessing_Age4 | NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | 1113 | 81.42% | 3
CompressionProcessing_Age1 | CompressionProcessing_Age2 | CompressionProcessing_Age3 | 911 | 50.55% | 3
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 849 | 76.28% | 3
MixedStructure_Age1 | NeutralProcessing_Age1 | NeutralProcessing_Age2 | 827 | 59.11% | 3
NeutralProcessing_Age1 | NeutralProcessing_Age2 | MixedStructure_Age1 | 653 | 17.97% | 3
CompressionProcessing_Age1 | CompressionProcessing_Age2 | NeutralProcessing_Age1 | 597 | 33.13% | 3
CompressionProcessing_Age2 | CompressionProcessing_Age3 | CompressionProcessing_Age4 | 568 | 62.35% | 3
CompressionProcessing_Age1 | NeutralProcessing_Age1 | NeutralProcessing_Age2 | 549 | 56.48% | 3
NeutralProcessing_Age1 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 526 | 58.38% | 3
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 518 | 72.55% | 3
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | NeutralProcessing_Age2 | 509 | 60.31% | 3
DecayToNeutral_Age1 | NeutralProcessing_Age1 | NeutralProcessing_Age2 | 498 | 53.49% | 3
NeutralProcessing_Age1 | NeutralProcessing_Age2 | ReassertionProcessing_Age1 | 464 | 12.77% | 3
NeutralProcessing_Age1 | NeutralProcessing_Age2 | CompressionProcessing_Age1 | 454 | 12.50% | 3
RecoveryResolution_Age1 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 440 | 64.80% | 3
MixedStructure_Age1 | DecayToNeutral_Age1 | NeutralProcessing_Age1 | 408 | 55.06% | 3
NeutralProcessing_Age2 | MixedStructure_Age1 | NeutralProcessing_Age1 | 394 | 60.34% | 3
